county,precinct,office,district,party,candidate,votes,absentee
Lewis,West Turin 2 LD 8,Governor,,DEM,Andrew M. Cuomo,6,0
Lewis,West Turin 3 LD 8,Governor,,DEM,Andrew M. Cuomo,26,2
Lewis,West Turin 4 LD 8,Governor,,DEM,Andrew M. Cuomo,42,4
Lewis,Total,Governor,,DEM,Andrew M. Cuomo,1953,153
Lewis,Croghan 1 LD 2,Governor,,REP,Rob Astorino,56,2
Lewis,Croghan 2 LD 2,Governor,,REP,Rob Astorino,89,4
Lewis,Croghan 3 LD 2,Governor,,REP,Rob Astorino,120,2
Lewis,Croghan 4 LD 1,Governor,,REP,Rob Astorino,137,7
Lewis,Denmark 1 LD 2,Governor,,REP,Rob Astorino,60,0
Lewis,Denmark 2 LD 3,Governor,,REP,Rob Astorino,106,4
Lewis,Denmark 3 LD 3,Governor,,REP,Rob Astorino,82,3
Lewis,Diana 1 LD 1,Governor,,REP,Rob Astorino,157,3
Lewis,Diana 2 LD 1,Governor,,REP,Rob Astorino,69,0
Lewis,Greig LD 9,Governor,,REP,Rob Astorino,147,11
Lewis,Harrisburg LD 8,Governor,,REP,Rob Astorino,55,1
Lewis,Lewis LD 10,Governor,,REP,Rob Astorino,127,5
Lewis,Leyden 1 LD 10,Governor,,REP,Rob Astorino,100,4
Lewis,Leyden 2 LD 10,Governor,,REP,Rob Astorino,57,0
Lewis,Leyden 3 LD 10,Governor,,REP,Rob Astorino,66,3
Lewis,Lowville 1 LD 6,Governor,,REP,Rob Astorino,80,8
Lewis,Lowville 2 LD 5,Governor,,REP,Rob Astorino,107,3
Lewis,Lowville 3 LD 3,Governor,,REP,Rob Astorino,61,6
Lewis,Lowville 4 LD 5,Governor,,REP,Rob Astorino,201,21
Lewis,Lowville 5 LD 7,Governor,,REP,Rob Astorino,41,3
Lewis,Lyonsdale 1 LD 9,Governor,,REP,Rob Astorino,120,4
Lewis,Lyonsdale 2 LD 9,Governor,,REP,Rob Astorino,29,1
Lewis,Lyonsdale 3 LD 9,Governor,,REP,Rob Astorino,11,0
Lewis,Martinsburg LD 7,Governor,,REP,Rob Astorino,161,6
Lewis,Montague LD 8,Governor,,REP,Rob Astorino,17,1
Lewis,New Bremen 1 LD 4,Governor,,REP,Rob Astorino,151,4
Lewis,New Bremen 2 LD 4,Governor,,REP,Rob Astorino,187,10
Lewis,Osceola LD 10,Governor,,REP,Rob Astorino,55,3
Lewis,Pinckney LD 8,Governor,,REP,Rob Astorino,63,2
Lewis,Turin LD 7,Governor,,REP,Rob Astorino,83,9
Lewis,Watson LD 6,Governor,,REP,Rob Astorino,207,11
Lewis,West Turin 1 LD 8,Governor,,REP,Rob Astorino,91,8
Lewis,West Turin 2 LD 8,Governor,,REP,Rob Astorino,27,1
Lewis,West Turin 3 LD 8,Governor,,REP,Rob Astorino,32,1
Lewis,West Turin 4 LD 8,Governor,,REP,Rob Astorino,70,2
Lewis,Total,Governor,,REP,Rob Astorino,3222,153
Lewis,Croghan 1 LD 2,Governor,,CON,Rob Astorino,10,0
Lewis,Croghan 2 LD 2,Governor,,CON,Rob Astorino,12,2
Lewis,Croghan 3 LD 2,Governor,,CON,Rob Astorino,34,3
Lewis,Croghan 4 LD 1,Governor,,CON,Rob Astorino,16,0
Lewis,Denmark 1 LD 2,Governor,,CON,Rob Astorino,9,0
Lewis,Denmark 2 LD 3,Governor,,CON,Rob Astorino,17,0
Lewis,Denmark 3 LD 3,Governor,,CON,Rob Astorino,13,0
Lewis,Diana 1 LD 1,Governor,,CON,Rob Astorino,26,0
Lewis,Diana 2 LD 1,Governor,,CON,Rob Astorino,9,1
Lewis,Greig LD 9,Governor,,CON,Rob Astorino,31,2
Lewis,Harrisburg LD 8,Governor,,CON,Rob Astorino,8,0
Lewis,Lewis LD 10,Governor,,CON,Rob Astorino,31,1
Lewis,Leyden 1 LD 10,Governor,,CON,Rob Astorino,25,0
Lewis,Leyden 2 LD 10,Governor,,CON,Rob Astorino,12,0
Lewis,Leyden 3 LD 10,Governor,,CON,Rob Astorino,3,0
Lewis,Lowville 1 LD 6,Governor,,CON,Rob Astorino,12,2
Lewis,Lowville 2 LD 5,Governor,,CON,Rob Astorino,12,0
Lewis,Lowville 3 LD 3,Governor,,CON,Rob Astorino,10,4
Lewis,Lowville 4 LD 5,Governor,,CON,Rob Astorino,37,0
Lewis,Lowville 5 LD 7,Governor,,CON,Rob Astorino,6,0
Lewis,Lyonsdale 1 LD 9,Governor,,CON,Rob Astorino,29,2
Lewis,Lyonsdale 2 LD 9,Governor,,CON,Rob Astorino,5,0
Lewis,Lyonsdale 3 LD 9,Governor,,CON,Rob Astorino,0,0
Lewis,Martinsburg LD 7,Governor,,CON,Rob Astorino,19,1
Lewis,Montague LD 8,Governor,,CON,Rob Astorino,1,0
Lewis,New Bremen 1 LD 4,Governor,,CON,Rob Astorino,11,1
Lewis,New Bremen 2 LD 4,Governor,,CON,Rob Astorino,31,0
Lewis,Osceola LD 10,Governor,,CON,Rob Astorino,8,0
Lewis,Pinckney LD 8,Governor,,CON,Rob Astorino,7,1
Lewis,Turin LD 7,Governor,,CON,Rob Astorino,11,1
Lewis,Watson LD 6,Governor,,CON,Rob Astorino,29,1
Lewis,West Turin 1 LD 8,Governor,,CON,Rob Astorino,15,0
Lewis,West Turin 2 LD 8,Governor,,CON,Rob Astorino,1,0
Lewis,West Turin 3 LD 8,Governor,,CON,Rob Astorino,5,2
Lewis,West Turin 4 LD 8,Governor,,CON,Rob Astorino,9,0
Lewis,Total,Governor,,CON,Rob Astorino,514,24
Lewis,Croghan 1 LD 2,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Croghan 2 LD 2,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Croghan 3 LD 2,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,Croghan 4 LD 1,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,Denmark 1 LD 2,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Denmark 2 LD 3,Governor,,WF,Andrew M. Cuomo,4,0
Lewis,Denmark 3 LD 3,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Diana 1 LD 1,Governor,,WF,Andrew M. Cuomo,0,0
Lewis,Diana 2 LD 1,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Greig LD 9,Governor,,WF,Andrew M. Cuomo,4,0
Lewis,Harrisburg LD 8,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Lewis LD 10,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Leyden 1 LD 10,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Leyden 2 LD 10,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Leyden 3 LD 10,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,Lowville 1 LD 6,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Lowville 2 LD 5,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Lowville 3 LD 3,Governor,,WF,Andrew M. Cuomo,0,0
Lewis,Lowville 4 LD 5,Governor,,WF,Andrew M. Cuomo,8,0
Lewis,Lowville 5 LD 7,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Lyonsdale 1 LD 9,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,Lyonsdale 2 LD 9,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,Lyonsdale 3 LD 9,Governor,,WF,Andrew M. Cuomo,0,0
Lewis,Martinsburg LD 7,Governor,,WF,Andrew M. Cuomo,6,0
Lewis,Montague LD 8,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,New Bremen 1 LD 4,Governor,,WF,Andrew M. Cuomo,5,0
Lewis,New Bremen 2 LD 4,Governor,,WF,Andrew M. Cuomo,6,0
Lewis,Osceola LD 10,Governor,,WF,Andrew M. Cuomo,0,0
Lewis,Pinckney LD 8,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Turin LD 7,Governor,,WF,Andrew M. Cuomo,1,0
Lewis,Watson LD 6,Governor,,WF,Andrew M. Cuomo,6,1
Lewis,West Turin 1 LD 8,Governor,,WF,Andrew M. Cuomo,2,0
Lewis,West Turin 2 LD 8,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,West Turin 3 LD 8,Governor,,WF,Andrew M. Cuomo,0,0
Lewis,West Turin 4 LD 8,Governor,,WF,Andrew M. Cuomo,3,0
Lewis,Total,Governor,,WF,Andrew M. Cuomo,82,1
Lewis,Croghan 1 LD 2,Governor,,IND,Andrew M. Cuomo,2,0
Lewis,Croghan 2 LD 2,Governor,,IND,Andrew M. Cuomo,1,1
Lewis,Croghan 3 LD 2,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Croghan 4 LD 1,Governor,,IND,Andrew M. Cuomo,0,0
Lewis,Denmark 1 LD 2,Governor,,IND,Andrew M. Cuomo,1,2
Lewis,Denmark 2 LD 3,Governor,,IND,Andrew M. Cuomo,5,0
Lewis,Denmark 3 LD 3,Governor,,IND,Andrew M. Cuomo,6,0
Lewis,Diana 1 LD 1,Governor,,IND,Andrew M. Cuomo,6,0
Lewis,Diana 2 LD 1,Governor,,IND,Andrew M. Cuomo,1,0
Lewis,Greig LD 9,Governor,,IND,Andrew M. Cuomo,11,0
Lewis,Harrisburg LD 8,Governor,,IND,Andrew M. Cuomo,2,1
Lewis,Lewis LD 10,Governor,,IND,Andrew M. Cuomo,3,0
Lewis,Leyden 1 LD 10,Governor,,IND,Andrew M. Cuomo,2,0
Lewis,Leyden 2 LD 10,Governor,,IND,Andrew M. Cuomo,1,0
Lewis,Leyden 3 LD 10,Governor,,IND,Andrew M. Cuomo,2,0
Lewis,Lowville 1 LD 6,Governor,,IND,Andrew M. Cuomo,4,1
Lewis,Lowville 2 LD 5,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Lowville 3 LD 3,Governor,,IND,Andrew M. Cuomo,2,0
Lewis,Lowville 4 LD 5,Governor,,IND,Andrew M. Cuomo,5,1
Lewis,Lowville 5 LD 7,Governor,,IND,Andrew M. Cuomo,4,1
Lewis,Lyonsdale 1 LD 9,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Lyonsdale 2 LD 9,Governor,,IND,Andrew M. Cuomo,1,0
Lewis,Lyonsdale 3 LD 9,Governor,,IND,Andrew M. Cuomo,0,0
Lewis,Martinsburg LD 7,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Montague LD 8,Governor,,IND,Andrew M. Cuomo,0,0
Lewis,New Bremen 1 LD 4,Governor,,IND,Andrew M. Cuomo,6,0
Lewis,New Bremen 2 LD 4,Governor,,IND,Andrew M. Cuomo,9,0
Lewis,Osceola LD 10,Governor,,IND,Andrew M. Cuomo,1,0
Lewis,Pinckney LD 8,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Turin LD 7,Governor,,IND,Andrew M. Cuomo,4,0
Lewis,Watson LD 6,Governor,,IND,Andrew M. Cuomo,7,0
Lewis,West Turin 1 LD 8,Governor,,IND,Andrew M. Cuomo,5,0
Lewis,West Turin 2 LD 8,Governor,,IND,Andrew M. Cuomo,0,0
Lewis,West Turin 3 LD 8,Governor,,IND,Andrew M. Cuomo,0,0
Lewis,West Turin 4 LD 8,Governor,,IND,Andrew M. Cuomo,2,0
Lewis,Total,Governor,,IND,Andrew M. Cuomo,113,7
Lewis,Croghan 1 LD 2,Governor,,GRE,Howie Hawkins,2,0
Lewis,Croghan 2 LD 2,Governor,,GRE,Howie Hawkins,5,0
Lewis,Croghan 3 LD 2,Governor,,GRE,Howie Hawkins,12,0
Lewis,Croghan 4 LD 1,Governor,,GRE,Howie Hawkins,12,0
Lewis,Denmark 1 LD 2,Governor,,GRE,Howie Hawkins,3,0
Lewis,Denmark 2 LD 3,Governor,,GRE,Howie Hawkins,11,0
Lewis,Denmark 3 LD 3,Governor,,GRE,Howie Hawkins,4,0
Lewis,Diana 1 LD 1,Governor,,GRE,Howie Hawkins,15,0
Lewis,Diana 2 LD 1,Governor,,GRE,Howie Hawkins,2,1
Lewis,Greig LD 9,Governor,,GRE,Howie Hawkins,20,0
Lewis,Harrisburg LD 8,Governor,,GRE,Howie Hawkins,6,0
Lewis,Lewis LD 10,Governor,,GRE,Howie Hawkins,18,0
Lewis,Leyden 1 LD 10,Governor,,GRE,Howie Hawkins,12,2
Lewis,Leyden 2 LD 10,Governor,,GRE,Howie Hawkins,7,0
Lewis,Leyden 3 LD 10,Governor,,GRE,Howie Hawkins,6,0
Lewis,Lowville 1 LD 6,Governor,,GRE,Howie Hawkins,4,1
Lewis,Lowville 2 LD 5,Governor,,GRE,Howie Hawkins,10,2
Lewis,Lowville 3 LD 3,Governor,,GRE,Howie Hawkins,3,0
Lewis,Lowville 4 LD 5,Governor,,GRE,Howie Hawkins,18,3
Lewis,Lowville 5 LD 7,Governor,,GRE,Howie Hawkins,6,0
Lewis,Lyonsdale 1 LD 9,Governor,,GRE,Howie Hawkins,7,0
Lewis,Lyonsdale 2 LD 9,Governor,,GRE,Howie Hawkins,1,0
Lewis,Lyonsdale 3 LD 9,Governor,,GRE,Howie Hawkins,1,0
Lewis,Martinsburg LD 7,Governor,,GRE,Howie Hawkins,14,0
Lewis,Montague LD 8,Governor,,GRE,Howie Hawkins,3,0
Lewis,New Bremen 1 LD 4,Governor,,GRE,Howie Hawkins,18,2
Lewis,New Bremen 2 LD 4,Governor,,GRE,Howie Hawkins,20,0
Lewis,Osceola LD 10,Governor,,GRE,Howie Hawkins,6,0
Lewis,Pinckney LD 8,Governor,,GRE,Howie Hawkins,7,0
Lewis,Turin LD 7,Governor,,GRE,Howie Hawkins,13,0
Lewis,Watson LD 6,Governor,,GRE,Howie Hawkins,25,2
Lewis,West Turin 1 LD 8,Governor,,GRE,Howie Hawkins,8,0
Lewis,West Turin 2 LD 8,Governor,,GRE,Howie Hawkins,0,0
Lewis,West Turin 3 LD 8,Governor,,GRE,Howie Hawkins,7,0
Lewis,West Turin 4 LD 8,Governor,,GRE,Howie Hawkins,1,0
Lewis,Total,Governor,,GRE,Howie Hawkins,307,13
Lewis,Croghan 1 LD 2,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Croghan 2 LD 2,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Croghan 3 LD 2,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,Croghan 4 LD 1,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Denmark 1 LD 2,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Denmark 2 LD 3,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Denmark 3 LD 3,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Diana 1 LD 1,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,Diana 2 LD 1,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Greig LD 9,Governor,,WEP,Andrew M. Cuomo,4,0
Lewis,Harrisburg LD 8,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Lewis LD 10,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Leyden 1 LD 10,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Leyden 2 LD 10,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Leyden 3 LD 10,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Lowville 1 LD 6,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Lowville 2 LD 5,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,Lowville 3 LD 3,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Lowville 4 LD 5,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,Lowville 5 LD 7,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Lyonsdale 1 LD 9,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Lyonsdale 2 LD 9,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Lyonsdale 3 LD 9,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Martinsburg LD 7,Governor,,WEP,Andrew M. Cuomo,3,1
Lewis,Montague LD 8,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,New Bremen 1 LD 4,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,New Bremen 2 LD 4,Governor,,WEP,Andrew M. Cuomo,1,0
Lewis,Osceola LD 10,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Pinckney LD 8,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Turin LD 7,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,Watson LD 6,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,West Turin 1 LD 8,Governor,,WEP,Andrew M. Cuomo,0,0
Lewis,West Turin 2 LD 8,Governor,,WEP,Andrew M. Cuomo,2,0
Lewis,West Turin 3 LD 8,Governor,,WEP,Andrew M. Cuomo,0,1
Lewis,West Turin 4 LD 8,Governor,,WEP,Andrew M. Cuomo,3,0
Lewis,Total,Governor,,WEP,Andrew M. Cuomo,32,2
Lewis,Croghan 1 LD 2,Governor,,SAP,Steven Cohn,0,0
Lewis,Croghan 2 LD 2,Governor,,SAP,Steven Cohn,0,0
Lewis,Croghan 3 LD 2,Governor,,SAP,Steven Cohn,0,0
Lewis,Croghan 4 LD 1,Governor,,SAP,Steven Cohn,0,0
Lewis,Denmark 1 LD 2,Governor,,SAP,Steven Cohn,1,0
Lewis,Denmark 2 LD 3,Governor,,SAP,Steven Cohn,1,0
Lewis,Denmark 3 LD 3,Governor,,SAP,Steven Cohn,0,0
Lewis,Diana 1 LD 1,Governor,,SAP,Steven Cohn,1,0
Lewis,Diana 2 LD 1,Governor,,SAP,Steven Cohn,0,0
Lewis,Greig LD 9,Governor,,SAP,Steven Cohn,1,0
Lewis,Harrisburg LD 8,Governor,,SAP,Steven Cohn,1,0
Lewis,Lewis LD 10,Governor,,SAP,Steven Cohn,0,0
Lewis,Leyden 1 LD 10,Governor,,SAP,Steven Cohn,1,0
Lewis,Leyden 2 LD 10,Governor,,SAP,Steven Cohn,0,0
Lewis,Leyden 3 LD 10,Governor,,SAP,Steven Cohn,1,0
Lewis,Lowville 1 LD 6,Governor,,SAP,Steven Cohn,0,0
Lewis,Lowville 2 LD 5,Governor,,SAP,Steven Cohn,0,0
Lewis,Lowville 3 LD 3,Governor,,SAP,Steven Cohn,0,0
Lewis,Lowville 4 LD 5,Governor,,SAP,Steven Cohn,0,0
Lewis,Lowville 5 LD 7,Governor,,SAP,Steven Cohn,2,0
Lewis,Lyonsdale 1 LD 9,Governor,,SAP,Steven Cohn,0,0
Lewis,Lyonsdale 2 LD 9,Governor,,SAP,Steven Cohn,0,0
Lewis,Lyonsdale 3 LD 9,Governor,,SAP,Steven Cohn,0,0
Lewis,Martinsburg LD 7,Governor,,SAP,Steven Cohn,2,0
Lewis,Montague LD 8,Governor,,SAP,Steven Cohn,0,0
Lewis,New Bremen 1 LD 4,Governor,,SAP,Steven Cohn,3,0
Lewis,New Bremen 2 LD 4,Governor,,SAP,Steven Cohn,0,0
Lewis,Osceola LD 10,Governor,,SAP,Steven Cohn,0,0
Lewis,Pinckney LD 8,Governor,,SAP,Steven Cohn,0,0
Lewis,Turin LD 7,Governor,,SAP,Steven Cohn,2,0
Lewis,Watson LD 6,Governor,,SAP,Steven Cohn,1,0
Lewis,West Turin 1 LD 8,Governor,,SAP,Steven Cohn,1,0
Lewis,West Turin 2 LD 8,Governor,,SAP,Steven Cohn,0,0
Lewis,West Turin 3 LD 8,Governor,,SAP,Steven Cohn,0,0
Lewis,West Turin 4 LD 8,Governor,,SAP,Steven Cohn,0,0
Lewis,Total,Governor,,SAP,Steven Cohn,18,0
Lewis,Croghan 1 LD 2,Governor,,SCC,Rob Astorino,1,0
Lewis,Croghan 2 LD 2,Governor,,SCC,Rob Astorino,5,0
Lewis,Croghan 3 LD 2,Governor,,SCC,Rob Astorino,8,0
Lewis,Croghan 4 LD 1,Governor,,SCC,Rob Astorino,6,1
Lewis,Denmark 1 LD 2,Governor,,SCC,Rob Astorino,1,0
Lewis,Denmark 2 LD 3,Governor,,SCC,Rob Astorino,4,1
Lewis,Denmark 3 LD 3,Governor,,SCC,Rob Astorino,4,0
Lewis,Diana 1 LD 1,Governor,,SCC,Rob Astorino,6,0
Lewis,Diana 2 LD 1,Governor,,SCC,Rob Astorino,2,0
Lewis,Greig LD 9,Governor,,SCC,Rob Astorino,4,0
Lewis,Harrisburg LD 8,Governor,,SCC,Rob Astorino,1,0
Lewis,Lewis LD 10,Governor,,SCC,Rob Astorino,7,0
Lewis,Leyden 1 LD 10,Governor,,SCC,Rob Astorino,3,0
Lewis,Leyden 2 LD 10,Governor,,SCC,Rob Astorino,2,1
Lewis,Leyden 3 LD 10,Governor,,SCC,Rob Astorino,3,0
Lewis,Lowville 1 LD 6,Governor,,SCC,Rob Astorino,3,0
Lewis,Lowville 2 LD 5,Governor,,SCC,Rob Astorino,4,0
Lewis,Lowville 3 LD 3,Governor,,SCC,Rob Astorino,2,0
Lewis,Lowville 4 LD 5,Governor,,SCC,Rob Astorino,16,1
Lewis,Lowville 5 LD 7,Governor,,SCC,Rob Astorino,2,0
Lewis,Lyonsdale 1 LD 9,Governor,,SCC,Rob Astorino,7,0
Lewis,Lyonsdale 2 LD 9,Governor,,SCC,Rob Astorino,1,0
Lewis,Lyonsdale 3 LD 9,Governor,,SCC,Rob Astorino,0,0
Lewis,Martinsburg LD 7,Governor,,SCC,Rob Astorino,6,1
Lewis,Montague LD 8,Governor,,SCC,Rob Astorino,2,0
Lewis,New Bremen 1 LD 4,Governor,,SCC,Rob Astorino,11,0
Lewis,New Bremen 2 LD 4,Governor,,SCC,Rob Astorino,14,0
Lewis,Osceola LD 10,Governor,,SCC,Rob Astorino,4,0
Lewis,Pinckney LD 8,Governor,,SCC,Rob Astorino,0,0
Lewis,Turin LD 7,Governor,,SCC,Rob Astorino,2,0
Lewis,Watson LD 6,Governor,,SCC,Rob Astorino,7,0
Lewis,West Turin 1 LD 8,Governor,,SCC,Rob Astorino,11,0
Lewis,West Turin 2 LD 8,Governor,,SCC,Rob Astorino,1,0
Lewis,West Turin 3 LD 8,Governor,,SCC,Rob Astorino,1,0
Lewis,West Turin 4 LD 8,Governor,,SCC,Rob Astorino,4,0
Lewis,Total,Governor,,SCC,Rob Astorino,155,5
Lewis,Croghan 1 LD 2,Governor,,LBT,Michael McDermott,2,0
Lewis,Croghan 2 LD 2,Governor,,LBT,Michael McDermott,1,0
Lewis,Croghan 3 LD 2,Governor,,LBT,Michael McDermott,1,0
Lewis,Croghan 4 LD 1,Governor,,LBT,Michael McDermott,1,0
Lewis,Denmark 1 LD 2,Governor,,LBT,Michael McDermott,0,0
Lewis,Denmark 2 LD 3,Governor,,LBT,Michael McDermott,0,0
Lewis,Denmark 3 LD 3,Governor,,LBT,Michael McDermott,0,0
Lewis,Diana 1 LD 1,Governor,,LBT,Michael McDermott,0,0
Lewis,Diana 2 LD 1,Governor,,LBT,Michael McDermott,0,0
Lewis,Greig LD 9,Governor,,LBT,Michael McDermott,7,0
Lewis,Harrisburg LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,Lewis LD 10,Governor,,LBT,Michael McDermott,1,0
Lewis,Leyden 1 LD 10,Governor,,LBT,Michael McDermott,1,0
Lewis,Leyden 2 LD 10,Governor,,LBT,Michael McDermott,2,0
Lewis,Leyden 3 LD 10,Governor,,LBT,Michael McDermott,0,0
Lewis,Lowville 1 LD 6,Governor,,LBT,Michael McDermott,0,0
Lewis,Lowville 2 LD 5,Governor,,LBT,Michael McDermott,2,0
Lewis,Lowville 3 LD 3,Governor,,LBT,Michael McDermott,0,0
Lewis,Lowville 4 LD 5,Governor,,LBT,Michael McDermott,3,0
Lewis,Lowville 5 LD 7,Governor,,LBT,Michael McDermott,0,0
Lewis,Lyonsdale 1 LD 9,Governor,,LBT,Michael McDermott,3,0
Lewis,Lyonsdale 2 LD 9,Governor,,LBT,Michael McDermott,1,0
Lewis,Lyonsdale 3 LD 9,Governor,,LBT,Michael McDermott,1,0
Lewis,Martinsburg LD 7,Governor,,LBT,Michael McDermott,2,0
Lewis,Montague LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,New Bremen 1 LD 4,Governor,,LBT,Michael McDermott,1,0
Lewis,New Bremen 2 LD 4,Governor,,LBT,Michael McDermott,7,0
Lewis,Osceola LD 10,Governor,,LBT,Michael McDermott,0,0
Lewis,Pinckney LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,Turin LD 7,Governor,,LBT,Michael McDermott,0,0
Lewis,Watson LD 6,Governor,,LBT,Michael McDermott,0,0
Lewis,West Turin 1 LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,West Turin 2 LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,West Turin 3 LD 8,Governor,,LBT,Michael McDermott,0,0
Lewis,West Turin 4 LD 8,Governor,,LBT,Michael McDermott,2,0
Lewis,Total,Governor,,LBT,Michael McDermott,38,0
Lewis,Croghan 1 LD 2,Governor,,,Write-in,0,
Lewis,Croghan 2 LD 2,Governor,,,Write-in,1,
