county,precinct,office,disctrict,party,candidate,votes
Tompkins,Dryden 3 LD 9,Governor,,DEM,Andrew M. Cuomo,40
Tompkins,Dryden 4 LD 13,Governor,,DEM,Andrew M. Cuomo,221
Tompkins,Dryden 5 LD 13,Governor,,DEM,Andrew M. Cuomo,152
Tompkins,Dryden 6 LD 14,Governor,,DEM,Andrew M. Cuomo,197
Tompkins,Dryden 7 LD 14,Governor,,DEM,Andrew M. Cuomo,173
Tompkins,Dryden 8 LD 13,Governor,,DEM,Andrew M. Cuomo,240
Tompkins,Dryden 9 LD 13,Governor,,DEM,Andrew M. Cuomo,276
Tompkins,Dryden 10 LD 14,Governor,,DEM,Andrew M. Cuomo,163
Tompkins,Enfield 1 LD 8,Governor,,DEM,Andrew M. Cuomo,111
Tompkins,Enfield 2 LD 5,Governor,,DEM,Andrew M. Cuomo,121
Tompkins,Enfield 3 LD 8,Governor,,DEM,Andrew M. Cuomo,99
Tompkins,Groton 1 LD 9,Governor,,DEM,Andrew M. Cuomo,92
Tompkins,Groton 2 LD 9,Governor,,DEM,Andrew M. Cuomo,137
Tompkins,Groton 3 LD 9,Governor,,DEM,Andrew M. Cuomo,133
Tompkins,Groton 4 LD 9,Governor,,DEM,Andrew M. Cuomo,138
Tompkins,Ithaca 1 LD 5,Governor,,DEM,Andrew M. Cuomo,182
Tompkins,Ithaca 2 LD 12,Governor,,DEM,Andrew M. Cuomo,132
Tompkins,Ithaca 3 LD 12,Governor,,DEM,Andrew M. Cuomo,212
Tompkins,Ithaca 4 LD 11,Governor,,DEM,Andrew M. Cuomo,280
Tompkins,Ithaca 5 LD 11,Governor,,DEM,Andrew M. Cuomo,182
Tompkins,Ithaca 6 LD 11,Governor,,DEM,Andrew M. Cuomo,305
Tompkins,Ithaca 7 LD 10,Governor,,DEM,Andrew M. Cuomo,310
Tompkins,Ithaca 8 LD 10,Governor,,DEM,Andrew M. Cuomo,251
Tompkins,Ithaca 9 LD 10 ,Governor,,DEM,Andrew M. Cuomo,266
Tompkins,Ithaca 10 LD 12,Governor,,DEM,Andrew M. Cuomo,177
Tompkins,Ithaca 11 LD 11,Governor,,DEM,Andrew M. Cuomo,262
Tompkins,Ithaca 12 LD 7,Governor,,DEM,Andrew M. Cuomo,92
Tompkins,Lansing 1 LD 6,Governor,,DEM,Andrew M. Cuomo,273
Tompkins,"Lansing 2 LD 6, 8 LD 9",Governor,,DEM,Andrew M. Cuomo,201
Tompkins,Lansing 3 LD 6,Governor,,DEM,Andrew M. Cuomo,263
Tompkins,Lansing 4 LD 6,Governor,,DEM,Andrew M. Cuomo,145
Tompkins,Lansing 5 LD 6,Governor,,DEM,Andrew M. Cuomo,297
Tompkins,Lansing 6 LD 10 ,Governor,,DEM,Andrew M. Cuomo,209
Tompkins,Lansing 7 LD 10 ,Governor,,DEM,Andrew M. Cuomo,233
Tompkins,Newfield 1 LD 8,Governor,,DEM,Andrew M. Cuomo,166
Tompkins,Newfield 2 LD 8,Governor,,DEM,Andrew M. Cuomo,151
Tompkins,Newfield 3 LD 8,Governor,,DEM,Andrew M. Cuomo,156
Tompkins,Ulysses 1 LD 5,Governor,,DEM,Andrew M. Cuomo,239
Tompkins,Ulysses 2 LD 5,Governor,,DEM,Andrew M. Cuomo,148
Tompkins,Ulysses 3 LD 5,Governor,,DEM,Andrew M. Cuomo,209
Tompkins,Ulysses 4 LD 5,Governor,,DEM,Andrew M. Cuomo,216
Tompkins,Total,Governor,,DEM,Andrew M. Cuomo,11486
Tompkins,Ithaca City 1-1 LD 1,Governor,,REP,Rob Astorino,37
Tompkins,Ithaca City 1-2 LD 1,Governor,,REP,Rob Astorino,30
Tompkins,Ithaca City 1-3 LD 1,Governor,,REP,Rob Astorino,18
Tompkins,Ithaca City 1-4 LD 3,Governor,,REP,Rob Astorino,32
Tompkins,Ithaca City 2-1 LD 1,Governor,,REP,Rob Astorino,25
Tompkins,Ithaca City 2-2 LD 1,Governor,,REP,Rob Astorino,39
Tompkins,Ithaca City 2-3 LD 1,Governor,,REP,Rob Astorino,25
Tompkins,Ithaca City 2-4 LD 4,Governor,,REP,Rob Astorino,11
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,REP,Rob Astorino,27
Tompkins,Ithaca City 3-3 LD 3,Governor,,REP,Rob Astorino,23
Tompkins,Ithaca City 4-1 LD 4,Governor,,REP,Rob Astorino,17
Tompkins,Ithaca City 5-1 LD 2,Governor,,REP,Rob Astorino,35
Tompkins,Ithaca City 5-2 LD 2,Governor,,REP,Rob Astorino,24
Tompkins,Ithaca City 5-3 LD 2,Governor,,REP,Rob Astorino,9
Tompkins,Caroline 1 LD 7,Governor,,REP,Rob Astorino,99
Tompkins,Caroline 2 LD 7,Governor,,REP,Rob Astorino,151
Tompkins,Caroline 3 LD 7,Governor,,REP,Rob Astorino,129
Tompkins,Danby 1 LD 7,Governor,,REP,Rob Astorino,129
Tompkins,Danby 2 LD 7,Governor,,REP,Rob Astorino,45
Tompkins,Danby 3 LD 7,Governor,,REP,Rob Astorino,146
Tompkins,Dryden 1 LD 13,Governor,,REP,Rob Astorino,152
Tompkins,Dryden 2 LD 14,Governor,,REP,Rob Astorino,209
Tompkins,Dryden 3 LD 9,Governor,,REP,Rob Astorino,66
Tompkins,Dryden 4 LD 13,Governor,,REP,Rob Astorino,68
Tompkins,Dryden 5 LD 13,Governor,,REP,Rob Astorino,152
Tompkins,Dryden 6 LD 14,Governor,,REP,Rob Astorino,169
Tompkins,Dryden 7 LD 14,Governor,,REP,Rob Astorino,175
Tompkins,Dryden 8 LD 13,Governor,,REP,Rob Astorino,93
Tompkins,Dryden 9 LD 13,Governor,,REP,Rob Astorino,70
Tompkins,Dryden 10 LD 14,Governor,,REP,Rob Astorino,213
Tompkins,Enfield 1 LD 8,Governor,,REP,Rob Astorino,121
Tompkins,Enfield 2 LD 5,Governor,,REP,Rob Astorino,109
Tompkins,Enfield 3 LD 8,Governor,,REP,Rob Astorino,121
Tompkins,Groton 1 LD 9,Governor,,REP,Rob Astorino,133
Tompkins,Groton 2 LD 9,Governor,,REP,Rob Astorino,181
Tompkins,Groton 3 LD 9,Governor,,REP,Rob Astorino,186
Tompkins,Groton 4 LD 9,Governor,,REP,Rob Astorino,215
Tompkins,Ithaca 1 LD 5,Governor,,REP,Rob Astorino,71
Tompkins,Ithaca 2 LD 12,Governor,,REP,Rob Astorino,48
Tompkins,Ithaca 3 LD 12,Governor,,REP,Rob Astorino,61
Tompkins,Ithaca 4 LD 11,Governor,,REP,Rob Astorino,63
Tompkins,Ithaca 5 LD 11,Governor,,REP,Rob Astorino,61
Tompkins,Ithaca 6 LD 11,Governor,,REP,Rob Astorino,65
Tompkins,Ithaca 7 LD 10,Governor,,REP,Rob Astorino,71
Tompkins,Ithaca 8 LD 10,Governor,,REP,Rob Astorino,49
Tompkins,Ithaca 9 LD 10 ,Governor,,REP,Rob Astorino,61
Tompkins,Ithaca 10 LD 12,Governor,,REP,Rob Astorino,62
Tompkins,Ithaca 11 LD 11,Governor,,REP,Rob Astorino,75
Tompkins,Ithaca 12 LD 7,Governor,,REP,Rob Astorino,33
Tompkins,Lansing 1 LD 6,Governor,,REP,Rob Astorino,173
Tompkins,"Lansing 2 LD 6, 8 LD 9",Governor,,REP,Rob Astorino,178
Tompkins,Lansing 3 LD 6,Governor,,REP,Rob Astorino,196
Tompkins,Lansing 4 LD 6,Governor,,REP,Rob Astorino,175
Tompkins,Lansing 5 LD 6,Governor,,REP,Rob Astorino,166
Tompkins,Lansing 6 LD 10 ,Governor,,REP,Rob Astorino,46
Tompkins,Lansing 7 LD 10 ,Governor,,REP,Rob Astorino,73
Tompkins,Newfield 1 LD 8,Governor,,REP,Rob Astorino,141
Tompkins,Newfield 2 LD 8,Governor,,REP,Rob Astorino,243
Tompkins,Newfield 3 LD 8,Governor,,REP,Rob Astorino,162
Tompkins,Ulysses 1 LD 5,Governor,,REP,Rob Astorino,136
Tompkins,Ulysses 2 LD 5,Governor,,REP,Rob Astorino,131
Tompkins,Ulysses 3 LD 5,Governor,,REP,Rob Astorino,112
Tompkins,Ulysses 4 LD 5,Governor,,REP,Rob Astorino,139
Tompkins,Total,Governor,,REP,Rob Astorino,6275
Tompkins,Ithaca City 1-1 LD 1,Governor,,CON,Rob Astorino,9
Tompkins,Ithaca City 1-2 LD 1,Governor,,CON,Rob Astorino,7
Tompkins,Ithaca City 1-3 LD 1,Governor,,CON,Rob Astorino,2
Tompkins,Ithaca City 1-4 LD 3,Governor,,CON,Rob Astorino,6
Tompkins,Ithaca City 2-1 LD 1,Governor,,CON,Rob Astorino,7
Tompkins,Ithaca City 2-2 LD 1,Governor,,CON,Rob Astorino,5
Tompkins,Ithaca City 2-3 LD 1,Governor,,CON,Rob Astorino,3
Tompkins,Ithaca City 2-4 LD 4,Governor,,CON,Rob Astorino,2
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,CON,Rob Astorino,1
Tompkins,Ithaca City 3-3 LD 3,Governor,,CON,Rob Astorino,5
Tompkins,Ithaca City 4-1 LD 4,Governor,,CON,Rob Astorino,2
Tompkins,Ithaca City 5-1 LD 2,Governor,,CON,Rob Astorino,6
Tompkins,Ithaca City 5-2 LD 2,Governor,,CON,Rob Astorino,6
Tompkins,Ithaca City 5-3 LD 2,Governor,,CON,Rob Astorino,1
Tompkins,Caroline 1 LD 7,Governor,,CON,Rob Astorino,20
Tompkins,Caroline 2 LD 7,Governor,,CON,Rob Astorino,25
Tompkins,Caroline 3 LD 7,Governor,,CON,Rob Astorino,18
Tompkins,Danby 1 LD 7,Governor,,CON,Rob Astorino,28
Tompkins,Danby 2 LD 7,Governor,,CON,Rob Astorino,7
Tompkins,Danby 3 LD 7,Governor,,CON,Rob Astorino,16
Tompkins,Dryden 1 LD 13,Governor,,CON,Rob Astorino,21
Tompkins,Dryden 2 LD 14,Governor,,CON,Rob Astorino,41
Tompkins,Dryden 3 LD 9,Governor,,CON,Rob Astorino,7
Tompkins,Dryden 4 LD 13,Governor,,CON,Rob Astorino,15
Tompkins,Dryden 5 LD 13,Governor,,CON,Rob Astorino,23
Tompkins,Dryden 6 LD 14,Governor,,CON,Rob Astorino,20
Tompkins,Dryden 7 LD 14,Governor,,CON,Rob Astorino,33
Tompkins,Dryden 8 LD 13,Governor,,CON,Rob Astorino,15
Tompkins,Dryden 9 LD 13,Governor,,CON,Rob Astorino,15
Tompkins,Dryden 10 LD 14,Governor,,CON,Rob Astorino,33
Tompkins,Enfield 1 LD 8,Governor,,CON,Rob Astorino,23
Tompkins,Enfield 2 LD 5,Governor,,CON,Rob Astorino,15
Tompkins,Enfield 3 LD 8,Governor,,CON,Rob Astorino,12
Tompkins,Groton 1 LD 9,Governor,,CON,Rob Astorino,18
Tompkins,Groton 2 LD 9,Governor,,CON,Rob Astorino,33
Tompkins,Groton 3 LD 9,Governor,,CON,Rob Astorino,31
Tompkins,Groton 4 LD 9,Governor,,CON,Rob Astorino,29
Tompkins,Ithaca 1 LD 5,Governor,,CON,Rob Astorino,23
Tompkins,Ithaca 2 LD 12,Governor,,CON,Rob Astorino,7
Tompkins,Ithaca 3 LD 12,Governor,,CON,Rob Astorino,11
Tompkins,Ithaca 4 LD 11,Governor,,CON,Rob Astorino,7
Tompkins,Ithaca 5 LD 11,Governor,,CON,Rob Astorino,3
Tompkins,Ithaca 6 LD 11,Governor,,CON,Rob Astorino,4
Tompkins,Ithaca 7 LD 10,Governor,,CON,Rob Astorino,4
Tompkins,Ithaca 8 LD 10,Governor,,CON,Rob Astorino,2
Tompkins,Ithaca 9 LD 10 ,Governor,,CON,Rob Astorino,8
Tompkins,Ithaca 10 LD 12,Governor,,CON,Rob Astorino,12
Tompkins,Ithaca 11 LD 11,Governor,,CON,Rob Astorino,14
Tompkins,Ithaca 12 LD 7,Governor,,CON,Rob Astorino,1
Tompkins,Lansing 1 LD 6,Governor,,CON,Rob Astorino,29
Tompkins,"Lansing 2 LD 6, 8 LD 9",Governor,,CON,Rob Astorino,24
Tompkins,Lansing 3 LD 6,Governor,,CON,Rob Astorino,26
Tompkins,Lansing 4 LD 6,Governor,,CON,Rob Astorino,25
Tompkins,Lansing 5 LD 6,Governor,,CON,Rob Astorino,21
Tompkins,Lansing 6 LD 10 ,Governor,,CON,Rob Astorino,11
Tompkins,Lansing 7 LD 10 ,Governor,,CON,Rob Astorino,12
Tompkins,Newfield 1 LD 8,Governor,,CON,Rob Astorino,38
Tompkins,Newfield 2 LD 8,Governor,,CON,Rob Astorino,34
Tompkins,Newfield 3 LD 8,Governor,,CON,Rob Astorino,28
Tompkins,Ulysses 1 LD 5,Governor,,CON,Rob Astorino,25
Tompkins,Ulysses 2 LD 5,Governor,,CON,Rob Astorino,18
Tompkins,Ulysses 3 LD 5,Governor,,CON,Rob Astorino,9
Tompkins,Ulysses 4 LD 5,Governor,,CON,Rob Astorino,17
Tompkins,Total,Governor,,CON,Rob Astorino,973
Tompkins,Ithaca City 1-1 LD 1,Governor,,WOR,Andrew M. Cuomo,31
Tompkins,Ithaca City 1-2 LD 1,Governor,,WOR,Andrew M. Cuomo,22
Tompkins,Ithaca City 1-3 LD 1,Governor,,WOR,Andrew M. Cuomo,9
Tompkins,Ithaca City 1-4 LD 3,Governor,,WOR,Andrew M. Cuomo,44
Tompkins,Ithaca City 2-1 LD 1,Governor,,WOR,Andrew M. Cuomo,44
Tompkins,Ithaca City 2-2 LD 1,Governor,,WOR,Andrew M. Cuomo,42
Tompkins,Ithaca City 2-3 LD 1,Governor,,WOR,Andrew M. Cuomo,49
Tompkins,Ithaca City 2-4 LD 4,Governor,,WOR,Andrew M. Cuomo,29
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,WOR,Andrew M. Cuomo,29
Tompkins,Ithaca City 3-3 LD 3,Governor,,WOR,Andrew M. Cuomo,31
Tompkins,Ithaca City 4-1 LD 4,Governor,,WOR,Andrew M. Cuomo,21
Tompkins,Ithaca City 5-1 LD 2,Governor,,WOR,Andrew M. Cuomo,74
Tompkins,Ithaca City 5-2 LD 2,Governor,,WOR,Andrew M. Cuomo,50
Tompkins,Ithaca City 5-3 LD 2,Governor,,WOR,Andrew M. Cuomo,11
Tompkins,Caroline 1 LD 7,Governor,,WOR,Andrew M. Cuomo,10
Tompkins,Caroline 2 LD 7,Governor,,WOR,Andrew M. Cuomo,26
Tompkins,Caroline 3 LD 7,Governor,,WOR,Andrew M. Cuomo,27
Tompkins,Danby 1 LD 7,Governor,,WOR,Andrew M. Cuomo,29
Tompkins,Danby 2 LD 7,Governor,,WOR,Andrew M. Cuomo,2
Tompkins,Danby 3 LD 7,Governor,,WOR,Andrew M. Cuomo,36
Tompkins,Dryden 1 LD 13,Governor,,WOR,Andrew M. Cuomo,17
Tompkins,Dryden 2 LD 14,Governor,,WOR,Andrew M. Cuomo,12
Tompkins,Dryden 3 LD 9,Governor,,WOR,Andrew M. Cuomo,4
Tompkins,Dryden 4 LD 13,Governor,,WOR,Andrew M. Cuomo,14
Tompkins,Dryden 5 LD 13,Governor,,WOR,Andrew M. Cuomo,9
Tompkins,Dryden 6 LD 14,Governor,,WOR,Andrew M. Cuomo,12
Tompkins,Dryden 7 LD 14,Governor,,WOR,Andrew M. Cuomo,4
Tompkins,Dryden 8 LD 13,Governor,,WOR,Andrew M. Cuomo,51
Tompkins,Dryden 9 LD 13,Governor,,WOR,Andrew M. Cuomo,24
Tompkins,Dryden 10 LD 14,Governor,,WOR,Andrew M. Cuomo,12
Tompkins,Enfield 1 LD 8,Governor,,WOR,Andrew M. Cuomo,19
Tompkins,Enfield 2 LD 5,Governor,,WOR,Andrew M. Cuomo,16
Tompkins,Enfield 3 LD 8,Governor,,WOR,Andrew M. Cuomo,14
Tompkins,Groton 1 LD 9,Governor,,WOR,Andrew M. Cuomo,4
Tompkins,Groton 2 LD 9,Governor,,WOR,Andrew M. Cuomo,9
Tompkins,Groton 3 LD 9,Governor,,WOR,Andrew M. Cuomo,15
Tompkins,Groton 4 LD 9,Governor,,WOR,Andrew M. Cuomo,7
Tompkins,Ithaca 1 LD 5,Governor,,WOR,Andrew M. Cuomo,20
Tompkins,Ithaca 2 LD 12,Governor,,WOR,Andrew M. Cuomo,19
Tompkins,Ithaca 3 LD 12,Governor,,WOR,Andrew M. Cuomo,22
Tompkins,Ithaca 4 LD 11,Governor,,WOR,Andrew M. Cuomo,41
Tompkins,Ithaca 5 LD 11,Governor,,WOR,Andrew M. Cuomo,33
Tompkins,Ithaca 6 LD 11,Governor,,WOR,Andrew M. Cuomo,26
Tompkins,Ithaca 7 LD 10,Governor,,WOR,Andrew M. Cuomo,27
Tompkins,Ithaca 8 LD 10,Governor,,WOR,Andrew M. Cuomo,43
Tompkins,Ithaca 9 LD 10 ,Governor,,WOR,Andrew M. Cuomo,32
Tompkins,Ithaca 10 LD 12,Governor,,WOR,Andrew M. Cuomo,51
Tompkins,Ithaca 11 LD 11,Governor,,WOR,Andrew M. Cuomo,30
Tompkins,Ithaca 12 LD 7,Governor,,WOR,Andrew M. Cuomo,11
Tompkins,Lansing 1 LD 6,Governor,,WOR,Andrew M. Cuomo,23
Tompkins,"Lansing 2 LD 6, 8 LD 9",Governor,,WOR,Andrew M. Cuomo,14
Tompkins,Lansing 3 LD 6,Governor,,WOR,Andrew M. Cuomo,21
Tompkins,Lansing 4 LD 6,Governor,,WOR,Andrew M. Cuomo,22
Tompkins,Lansing 5 LD 6,Governor,,WOR,Andrew M. Cuomo,31
Tompkins,Lansing 6 LD 10 ,Governor,,WOR,Andrew M. Cuomo,16
Tompkins,Lansing 7 LD 10 ,Governor,,WOR,Andrew M. Cuomo,14
Tompkins,Newfield 1 LD 8,Governor,,WOR,Andrew M. Cuomo,7
Tompkins,Newfield 2 LD 8,Governor,,WOR,Andrew M. Cuomo,17
Tompkins,Newfield 3 LD 8,Governor,,WOR,Andrew M. Cuomo,20
Tompkins,Ulysses 1 LD 5,Governor,,WOR,Andrew M. Cuomo,33
Tompkins,Ulysses 2 LD 5,Governor,,WOR,Andrew M. Cuomo,15
Tompkins,Ulysses 3 LD 5,Governor,,WOR,Andrew M. Cuomo,25
Tompkins,Ulysses 4 LD 5,Governor,,WOR,Andrew M. Cuomo,29
Tompkins,Total,Governor,,WOR,Andrew M. Cuomo,1501
Tompkins,Ithaca City 1-1 LD 1,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca City 1-2 LD 1,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca City 1-3 LD 1,Governor,,IND,Andrew M. Cuomo,1
Tompkins,Ithaca City 1-4 LD 3,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Ithaca City 2-1 LD 1,Governor,,IND,Andrew M. Cuomo,3
Tompkins,Ithaca City 2-2 LD 1,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Ithaca City 2-3 LD 1,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Ithaca City 2-4 LD 4,Governor,,IND,Andrew M. Cuomo,0
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca City 3-3 LD 3,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Ithaca City 4-1 LD 4,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca City 5-1 LD 2,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca City 5-2 LD 2,Governor,,IND,Andrew M. Cuomo,3
Tompkins,Ithaca City 5-3 LD 2,Governor,,IND,Andrew M. Cuomo,0
Tompkins,Caroline 1 LD 7,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Caroline 2 LD 7,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Caroline 3 LD 7,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Danby 1 LD 7,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Danby 2 LD 7,Governor,,IND,Andrew M. Cuomo,0
Tompkins,Danby 3 LD 7,Governor,,IND,Andrew M. Cuomo,9
Tompkins,Dryden 1 LD 13,Governor,,IND,Andrew M. Cuomo,15
Tompkins,Dryden 2 LD 14,Governor,,IND,Andrew M. Cuomo,11
Tompkins,Dryden 3 LD 9,Governor,,IND,Andrew M. Cuomo,0
Tompkins,Dryden 4 LD 13,Governor,,IND,Andrew M. Cuomo,6
Tompkins,Dryden 5 LD 13,Governor,,IND,Andrew M. Cuomo,7
Tompkins,Dryden 6 LD 14,Governor,,IND,Andrew M. Cuomo,5
Tompkins,Dryden 7 LD 14,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Dryden 8 LD 13,Governor,,IND,Andrew M. Cuomo,11
Tompkins,Dryden 9 LD 13,Governor,,IND,Andrew M. Cuomo,6
Tompkins,Dryden 10 LD 14,Governor,,IND,Andrew M. Cuomo,9
Tompkins,Enfield 1 LD 8,Governor,,IND,Andrew M. Cuomo,5
Tompkins,Enfield 2 LD 5,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Enfield 3 LD 8,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Groton 1 LD 9,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Groton 2 LD 9,Governor,,IND,Andrew M. Cuomo,7
Tompkins,Groton 3 LD 9,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Groton 4 LD 9,Governor,,IND,Andrew M. Cuomo,12
Tompkins,Ithaca 1 LD 5,Governor,,IND,Andrew M. Cuomo,6
Tompkins,Ithaca 2 LD 12,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Ithaca 3 LD 12,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Ithaca 4 LD 11,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Ithaca 5 LD 11,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Ithaca 6 LD 11,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Ithaca 7 LD 10,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Ithaca 8 LD 10,Governor,,IND,Andrew M. Cuomo,6
Tompkins,Ithaca 9 LD 10 ,Governor,,IND,Andrew M. Cuomo,2
Tompkins,Ithaca 10 LD 12,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Ithaca 11 LD 11,Governor,,IND,Andrew M. Cuomo,9
Tompkins,Ithaca 12 LD 7,Governor,,IND,Andrew M. Cuomo,6
Tompkins,Lansing 1 LD 6,Governor,,IND,Andrew M. Cuomo,10
Tompkins,"Lansing 2 LD 6, 8 LD 9",Governor,,IND,Andrew M. Cuomo,10
Tompkins,Lansing 3 LD 6,Governor,,IND,Andrew M. Cuomo,16
Tompkins,Lansing 4 LD 6,Governor,,IND,Andrew M. Cuomo,7
Tompkins,Lansing 5 LD 6,Governor,,IND,Andrew M. Cuomo,7
Tompkins,Lansing 6 LD 10 ,Governor,,IND,Andrew M. Cuomo,4
Tompkins,Lansing 7 LD 10 ,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Newfield 1 LD 8,Governor,,IND,Andrew M. Cuomo,9
Tompkins,Newfield 2 LD 8,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Newfield 3 LD 8,Governor,,IND,Andrew M. Cuomo,10
Tompkins,Ulysses 1 LD 5,Governor,,IND,Andrew M. Cuomo,7
Tompkins,Ulysses 2 LD 5,Governor,,IND,Andrew M. Cuomo,5
Tompkins,Ulysses 3 LD 5,Governor,,IND,Andrew M. Cuomo,8
Tompkins,Ulysses 4 LD 5,Governor,,IND,Andrew M. Cuomo,11
Tompkins,Total,Governor,,IND,Andrew M. Cuomo,403
Tompkins,Ithaca City 1-1 LD 1,Governor,,GRE,Howie Hawkins,77
Tompkins,Ithaca City 1-2 LD 1,Governor,,GRE,Howie Hawkins,65
Tompkins,Ithaca City 1-3 LD 1,Governor,,GRE,Howie Hawkins,33
Tompkins,Ithaca City 1-4 LD 3,Governor,,GRE,Howie Hawkins,113
Tompkins,Ithaca City 2-1 LD 1,Governor,,GRE,Howie Hawkins,128
Tompkins,Ithaca City 2-2 LD 1,Governor,,GRE,Howie Hawkins,133
Tompkins,Ithaca City 2-3 LD 1,Governor,,GRE,Howie Hawkins,128
Tompkins,Ithaca City 2-4 LD 4,Governor,,GRE,Howie Hawkins,81
Tompkins,"Ithaca City 3-1 LD 2, 3-2 LD 3",Governor,,GRE,Howie Hawkins,55
Tompkins,Ithaca City 3-3 LD 3,Governor,,GRE,Howie Hawkins,91
Tompkins,Ithaca City 4-1 LD 4,Governor,,GRE,Howie Hawkins,34
Tompkins,Ithaca City 5-1 LD 2,Governor,,GRE,Howie Hawkins,167
Tompkins,Ithaca City 5-2 LD 2,Governor,,GRE,Howie Hawkins,159
Tompkins,Ithaca City 5-3 LD 2,Governor,,GRE,Howie Hawkins,28
Tompkins,Caroline 1 LD 7,Governor,,GRE,Howie Hawkins,40
Tompkins,Caroline 2 LD 7,Governor,,GRE,Howie Hawkins,83
Tompkins,Caroline 3 LD 7,Governor,,GRE,Howie Hawkins,93
Tompkins,Danby 1 LD 7,Governor,,GRE,Howie Hawkins,120
Tompkins,Danby 2 LD 7,Governor,,GRE,Howie Hawkins,32
Tompkins,Danby 3 LD 7,Governor,,GRE,Howie Hawkins,117
Tompkins,Dryden 1 LD 13,Governor,,GRE,Howie Hawkins,43
Tompkins,Dryden 2 LD 14,Governor,,GRE,Howie Hawkins,66
Tompkins,Dryden 3 LD 9,Governor,,GRE,Howie Hawkins,7
Tompkins,Dryden 4 LD 13,Governor,,GRE,Howie Hawkins,87
Tompkins,Dryden 5 LD 13,Governor,,GRE,Howie Hawkins,55
Tompkins,Dryden 6 LD 14,Governor,,GRE,Howie Hawkins,60
Tompkins,Dryden 7 LD 14,Governor,,GRE,Howie Hawkins,37
