county,precinct,office,district,candidate,party,Absentee,votes
Ulster,Kingston Ward 9 -3,Governor,,Andrew M. Cuomo,DEM,7,85
Ulster,Denning 1,Governor,,Andrew M. Cuomo,DEM,4,19
Ulster,Denning 2,Governor,,Andrew M. Cuomo,DEM,0,15
Ulster,Esopus 1,Governor,,Andrew M. Cuomo,DEM,13,203
Ulster,Esopus 2,Governor,,Andrew M. Cuomo,DEM,5,75
Ulster,Esopus 3,Governor,,Andrew M. Cuomo,DEM,11,111
Ulster,Esopus 4,Governor,,Andrew M. Cuomo,DEM,7,123
Ulster,Esopus 5,Governor,,Andrew M. Cuomo,DEM,6,104
Ulster,Esopus 6,Governor,,Andrew M. Cuomo,DEM,11,130
Ulster,Esopus 7,Governor,,Andrew M. Cuomo,DEM,12,120
Ulster,Gardiner 1,Governor,,Andrew M. Cuomo,DEM,13,148
Ulster,Gardiner 2,Governor,,Andrew M. Cuomo,DEM,7,151
Ulster,Gardiner 3,Governor,,Andrew M. Cuomo,DEM,9,136
Ulster,Gardiner 4,Governor,,Andrew M. Cuomo,DEM,9,83
Ulster,Hardenburgh 1,Governor,,Andrew M. Cuomo,DEM,2,1
Ulster,Hardenburgh 2,Governor,,Andrew M. Cuomo,DEM,2,17
Ulster,Hurley 1,Governor,,Andrew M. Cuomo,DEM,3,99
Ulster,Hurley 2,Governor,,Andrew M. Cuomo,DEM,9,87
Ulster,Hurley 3,Governor,,Andrew M. Cuomo,DEM,10,75
Ulster,Hurley 4,Governor,,Andrew M. Cuomo,DEM,11,104
Ulster,Hurley 5,Governor,,Andrew M. Cuomo,DEM,12,113
Ulster,Hurley 6,Governor,,Andrew M. Cuomo,DEM,4,61
Ulster,Hurley 7,Governor,,Andrew M. Cuomo,DEM,3,152
Ulster,Hurley 8,Governor,,Andrew M. Cuomo,DEM,8,108
Ulster,"Kingston, Town 1",Governor,,Andrew M. Cuomo,DEM,7,69
Ulster,Lloyd 1,Governor,,Andrew M. Cuomo,DEM,8,132
Ulster,Lloyd 2,Governor,,Andrew M. Cuomo,DEM,18,94
Ulster,Lloyd 3,Governor,,Andrew M. Cuomo,DEM,7,103
Ulster,Lloyd 4,Governor,,Andrew M. Cuomo,DEM,10,116
Ulster,Lloyd 5,Governor,,Andrew M. Cuomo,DEM,18,209
Ulster,Lloyd 6,Governor,,Andrew M. Cuomo,DEM,19,85
Ulster,Lloyd 7,Governor,,Andrew M. Cuomo,DEM,10,117
Ulster,Marbletown 1,Governor,,Andrew M. Cuomo,DEM,1,64
Ulster,Marbletown 2,Governor,,Andrew M. Cuomo,DEM,9,90
Ulster,Marbletown 3,Governor,,Andrew M. Cuomo,DEM,13,146
Ulster,Marbletown 4,Governor,,Andrew M. Cuomo,DEM,4,78
Ulster,Marbletown 5,Governor,,Andrew M. Cuomo,DEM,6,83
Ulster,Marbletown 6,Governor,,Andrew M. Cuomo,DEM,16,115
Ulster,Marbletown 7,Governor,,Andrew M. Cuomo,DEM,8,158
Ulster,Marlborough 1,Governor,,Andrew M. Cuomo,DEM,5,106
Ulster,Marlborough 2,Governor,,Andrew M. Cuomo,DEM,4,100
Ulster,Marlborough 3,Governor,,Andrew M. Cuomo,DEM,9,103
Ulster,Marlborough 4,Governor,,Andrew M. Cuomo,DEM,4,119
Ulster,Marlborough 5,Governor,,Andrew M. Cuomo,DEM,4,89
Ulster,Marlborough 6,Governor,,Andrew M. Cuomo,DEM,6,86
Ulster,New Paltz 1,Governor,,Andrew M. Cuomo,DEM,25,212
Ulster,New Paltz 2,Governor,,Andrew M. Cuomo,DEM,7,120
Ulster,New Paltz 3,Governor,,Andrew M. Cuomo,DEM,5,71
Ulster,New Paltz 4,Governor,,Andrew M. Cuomo,DEM,12,148
Ulster,New Paltz 5,Governor,,Andrew M. Cuomo,DEM,6,92
Ulster,New Paltz 6,Governor,,Andrew M. Cuomo,DEM,11,140
Ulster,New Paltz 7,Governor,,Andrew M. Cuomo,DEM,6,149
Ulster,New Paltz 8,Governor,,Andrew M. Cuomo,DEM,7,107
Ulster,New Paltz 9,Governor,,Andrew M. Cuomo,DEM,1,52
Ulster,New Paltz 10,Governor,,Andrew M. Cuomo,DEM,6,117
Ulster,Olive 1,Governor,,Andrew M. Cuomo,DEM,12,117
Ulster,Olive 2,Governor,,Andrew M. Cuomo,DEM,5,82
Ulster,Olive 3,Governor,,Andrew M. Cuomo,DEM,13,95
Ulster,Olive 4,Governor,,Andrew M. Cuomo,DEM,15,97
Ulster,Olive 5,Governor,,Andrew M. Cuomo,DEM,5,93
Ulster,Plattekill 1,Governor,,Andrew M. Cuomo,DEM,8,140
Ulster,Plattekill 2,Governor,,Andrew M. Cuomo,DEM,9,169
Ulster,Plattekill 3,Governor,,Andrew M. Cuomo,DEM,4,68
Ulster,Plattekill 4,Governor,,Andrew M. Cuomo,DEM,2,92
Ulster,Plattekill 5,Governor,,Andrew M. Cuomo,DEM,12,120
Ulster,Plattekill 6,Governor,,Andrew M. Cuomo,DEM,9,126
Ulster,Rochester 1,Governor,,Andrew M. Cuomo,DEM,13,141
Ulster,Rochester 2,Governor,,Andrew M. Cuomo,DEM,26,108
Ulster,Rochester 3,Governor,,Andrew M. Cuomo,DEM,21,91
Ulster,Rochester 4,Governor,,Andrew M. Cuomo,DEM,12,113
Ulster,Rochester 5,Governor,,Andrew M. Cuomo,DEM,9,106
Ulster,Rosendale 1,Governor,,Andrew M. Cuomo,DEM,10,156
Ulster,Rosendale 2,Governor,,Andrew M. Cuomo,DEM,5,96
Ulster,Rosendale 3,Governor,,Andrew M. Cuomo,DEM,11,92
Ulster,Rosendale 4,Governor,,Andrew M. Cuomo,DEM,8,124
Ulster,Rosendale 5,Governor,,Andrew M. Cuomo,DEM,15,132
Ulster,Saugerties 1,Governor,,Andrew M. Cuomo,DEM,5,49
Ulster,Saugerties 2,Governor,,Andrew M. Cuomo,DEM,7,111
Ulster,Saugerties 3,Governor,,Andrew M. Cuomo,DEM,4,81
Ulster,Saugerties 4,Governor,,Andrew M. Cuomo,DEM,9,191
Ulster,Saugerties 5,Governor,,Andrew M. Cuomo,DEM,9,184
Ulster,Saugerties 6,Governor,,Andrew M. Cuomo,DEM,5,117
Ulster,Saugerties 7,Governor,,Andrew M. Cuomo,DEM,7,33
Ulster,Saugerties 8,Governor,,Andrew M. Cuomo,DEM,16,136
Ulster,Saugerties 9,Governor,,Andrew M. Cuomo,DEM,6,86
Ulster,Saugerties 10,Governor,,Andrew M. Cuomo,DEM,0,83
Ulster,Saugerties 11,Governor,,Andrew M. Cuomo,DEM,19,177
Ulster,Saugerties 12,Governor,,Andrew M. Cuomo,DEM,10,114
Ulster,Saugerties 13,Governor,,Andrew M. Cuomo,DEM,11,157
Ulster,Saugerties 14,Governor,,Andrew M. Cuomo,DEM,1,36
Ulster,Saugerties 15,Governor,,Andrew M. Cuomo,DEM,17,124
Ulster,Saugerties 16,Governor,,Andrew M. Cuomo,DEM,9,124
Ulster,Shandaken 1,Governor,,Andrew M. Cuomo,DEM,15,123
Ulster,Shandaken 2,Governor,,Andrew M. Cuomo,DEM,7,46
Ulster,Shandaken 3,Governor,,Andrew M. Cuomo,DEM,8,75
Ulster,Shandaken 4,Governor,,Andrew M. Cuomo,DEM,7,55
Ulster,Shawangunk 1,Governor,,Andrew M. Cuomo,DEM,3,70
Ulster,Shawangunk 2,Governor,,Andrew M. Cuomo,DEM,6,94
Ulster,Shawangunk 3,Governor,,Andrew M. Cuomo,DEM,3,65
Ulster,Shawangunk 4,Governor,,Andrew M. Cuomo,DEM,7,39
Ulster,Shawangunk 5,Governor,,Andrew M. Cuomo,DEM,3,51
Ulster,Shawangunk 6,Governor,,Andrew M. Cuomo,DEM,2,88
Ulster,Shawangunk 7,Governor,,Andrew M. Cuomo,DEM,5,88
Ulster,Ulster 1,Governor,,Andrew M. Cuomo,DEM,9,93
Ulster,Ulster 2,Governor,,Andrew M. Cuomo,DEM,34,95
Ulster,Ulster 3,Governor,,Andrew M. Cuomo,DEM,3,49
Ulster,Ulster 4,Governor,,Andrew M. Cuomo,DEM,4,48
Ulster,Ulster 5,Governor,,Andrew M. Cuomo,DEM,25,76
Ulster,Ulster 6,Governor,,Andrew M. Cuomo,DEM,1,44
Ulster,Ulster 7,Governor,,Andrew M. Cuomo,DEM,6,52
Ulster,Ulster 8,Governor,,Andrew M. Cuomo,DEM,5,47
Ulster,Ulster 9,Governor,,Andrew M. Cuomo,DEM,8,91
Ulster,Ulster 10,Governor,,Andrew M. Cuomo,DEM,6,141
Ulster,Ulster 11,Governor,,Andrew M. Cuomo,DEM,13,91
Ulster,Ulster 12,Governor,,Andrew M. Cuomo,DEM,2,71
Ulster,Ulster 13,Governor,,Andrew M. Cuomo,DEM,9,142
Ulster,Ulster 14,Governor,,Andrew M. Cuomo,DEM,2,89
Ulster,Wawarsing 1,Governor,,Andrew M. Cuomo,DEM,1,45
Ulster,Wawarsing 2,Governor,,Andrew M. Cuomo,DEM,19,96
Ulster,Wawarsing 3,Governor,,Andrew M. Cuomo,DEM,6,94
Ulster,Wawarsing 4,Governor,,Andrew M. Cuomo,DEM,8,72
Ulster,Wawarsing 5,Governor,,Andrew M. Cuomo,DEM,5,45
Ulster,Wawarsing 6,Governor,,Andrew M. Cuomo,DEM,9,43
Ulster,Wawarsing 7,Governor,,Andrew M. Cuomo,DEM,9,62
Ulster,Wawarsing 8,Governor,,Andrew M. Cuomo,DEM,20,141
Ulster,Wawarsing 9,Governor,,Andrew M. Cuomo,DEM,0,39
Ulster,Wawarsing 10,Governor,,Andrew M. Cuomo,DEM,6,51
Ulster,Wawarsing 11,Governor,,Andrew M. Cuomo,DEM,6,33
Ulster,Wawarsing 12,Governor,,Andrew M. Cuomo,DEM,3,58
Ulster,Woodstock 1,Governor,,Andrew M. Cuomo,DEM,20,180
Ulster,Woodstock 2,Governor,,Andrew M. Cuomo,DEM,13,80
Ulster,Woodstock 3,Governor,,Andrew M. Cuomo,DEM,18,161
Ulster,Woodstock 4,Governor,,Andrew M. Cuomo,DEM,11,110
Ulster,Woodstock 5,Governor,,Andrew M. Cuomo,DEM,6,76
Ulster,Woodstock 6,Governor,,Andrew M. Cuomo,DEM,9,103
Ulster,Woodstock 7,Governor,,Andrew M. Cuomo,DEM,18,130
Ulster,Woodstock 8,Governor,,Andrew M. Cuomo,DEM,14,93
Ulster,Woodstock 9,Governor,,Andrew M. Cuomo,DEM,13,103
Ulster,TOTAL,Governor,,Andrew M. Cuomo,DEM,1451,16031
Ulster,Kingston Ward 1 -1,Governor,,Rob Astorino,REP,4,43
Ulster,Kingston Ward 1 -2,Governor,,Rob Astorino,REP,3,115
Ulster,Kingston Ward 1 -3,Governor,,Rob Astorino,REP,5,86
Ulster,Kingston Ward 2 -1,Governor,,Rob Astorino,REP,5,40
Ulster,Kingston Ward 2 -2,Governor,,Rob Astorino,REP,3,14
Ulster,Kingston Ward 2 -3,Governor,,Rob Astorino,REP,6,64
Ulster,Kingston Ward 3 -1,Governor,,Rob Astorino,REP,13,120
Ulster,Kingston Ward 3 -2,Governor,,Rob Astorino,REP,1,36
Ulster,Kingston Ward 3 -3,Governor,,Rob Astorino,REP,4,95
Ulster,Kingston Ward 4 -1,Governor,,Rob Astorino,REP,6,36
Ulster,Kingston Ward 4 -2,Governor,,Rob Astorino,REP,2,22
Ulster,Kingston Ward 5 -1,Governor,,Rob Astorino,REP,1,50
Ulster,Kingston Ward 5 -2,Governor,,Rob Astorino,REP,12,83
Ulster,Kingston Ward 5 -3,Governor,,Rob Astorino,REP,3,23
Ulster,Kingston Ward 6 -1,Governor,,Rob Astorino,REP,2,124
Ulster,Kingston Ward 6 -2,Governor,,Rob Astorino,REP,6,21
Ulster,Kingston Ward 6 -3,Governor,,Rob Astorino,REP,3,66
Ulster,Kingston Ward 7 -1,Governor,,Rob Astorino,REP,5,101
Ulster,Kingston Ward 7 -2,Governor,,Rob Astorino,REP,6,100
Ulster,Kingston Ward 7 -3,Governor,,Rob Astorino,REP,2,65
Ulster,Kingston Ward 8 -1,Governor,,Rob Astorino,REP,1,25
Ulster,Kingston Ward 8 -2,Governor,,Rob Astorino,REP,1,16
Ulster,Kingston Ward 8 -3,Governor,,Rob Astorino,REP,3,64
Ulster,Kingston Ward 9 -1,Governor,,Rob Astorino,REP,3,81
Ulster,Kingston Ward 9 -2,Governor,,Rob Astorino,REP,2,60
Ulster,Kingston Ward 9 -3,Governor,,Rob Astorino,REP,0,44
Ulster,Denning 1,Governor,,Rob Astorino,REP,12,58
Ulster,Denning 2,Governor,,Rob Astorino,REP,2,48
Ulster,Esopus 1,Governor,,Rob Astorino,REP,4,171
Ulster,Esopus 2,Governor,,Rob Astorino,REP,4,118
Ulster,Esopus 3,Governor,,Rob Astorino,REP,5,221
Ulster,Esopus 4,Governor,,Rob Astorino,REP,9,221
Ulster,Esopus 5,Governor,,Rob Astorino,REP,5,126
Ulster,Esopus 6,Governor,,Rob Astorino,REP,5,140
Ulster,Esopus 7,Governor,,Rob Astorino,REP,21,295
Ulster,Gardiner 1,Governor,,Rob Astorino,REP,8,192
Ulster,Gardiner 2,Governor,,Rob Astorino,REP,9,168
Ulster,Gardiner 3,Governor,,Rob Astorino,REP,3,138
Ulster,Gardiner 4,Governor,,Rob Astorino,REP,4,128
Ulster,Hardenburgh 1,Governor,,Rob Astorino,REP,14,0
Ulster,Hardenburgh 2,Governor,,Rob Astorino,REP,12,24
Ulster,Hurley 1,Governor,,Rob Astorino,REP,5,107
Ulster,Hurley 2,Governor,,Rob Astorino,REP,8,111
Ulster,Hurley 3,Governor,,Rob Astorino,REP,5,144
Ulster,Hurley 4,Governor,,Rob Astorino,REP,8,141
Ulster,Hurley 5,Governor,,Rob Astorino,REP,3,65
Ulster,Hurley 6,Governor,,Rob Astorino,REP,2,96
Ulster,Hurley 7,Governor,,Rob Astorino,REP,6,89
Ulster,Hurley 8,Governor,,Rob Astorino,REP,1,125
Ulster,"Kingston, Town 1",Governor,,Rob Astorino,REP,8,136
Ulster,Lloyd 1,Governor,,Rob Astorino,REP,10,206
Ulster,Lloyd 2,Governor,,Rob Astorino,REP,11,113
Ulster,Lloyd 3,Governor,,Rob Astorino,REP,4,126
Ulster,Lloyd 4,Governor,,Rob Astorino,REP,6,142
Ulster,Lloyd 5,Governor,,Rob Astorino,REP,13,155
Ulster,Lloyd 6,Governor,,Rob Astorino,REP,8,114
Ulster,Lloyd 7,Governor,,Rob Astorino,REP,8,147
Ulster,Marbletown 1,Governor,,Rob Astorino,REP,4,33
Ulster,Marbletown 2,Governor,,Rob Astorino,REP,0,61
Ulster,Marbletown 3,Governor,,Rob Astorino,REP,3,129
Ulster,Marbletown 4,Governor,,Rob Astorino,REP,0,80
Ulster,Marbletown 5,Governor,,Rob Astorino,REP,4,107
Ulster,Marbletown 6,Governor,,Rob Astorino,REP,9,98
Ulster,Marbletown 7,Governor,,Rob Astorino,REP,6,131
Ulster,Marlborough 1,Governor,,Rob Astorino,REP,6,165
Ulster,Marlborough 2,Governor,,Rob Astorino,REP,2,103
Ulster,Marlborough 3,Governor,,Rob Astorino,REP,12,173
Ulster,Marlborough 4,Governor,,Rob Astorino,REP,6,227
Ulster,Marlborough 5,Governor,,Rob Astorino,REP,4,127
Ulster,Marlborough 6,Governor,,Rob Astorino,REP,1,160
Ulster,New Paltz 1,Governor,,Rob Astorino,REP,4,66
Ulster,New Paltz 2,Governor,,Rob Astorino,REP,5,77
Ulster,New Paltz 3,Governor,,Rob Astorino,REP,4,55
Ulster,New Paltz 4,Governor,,Rob Astorino,REP,5,59
Ulster,New Paltz 5,Governor,,Rob Astorino,REP,4,55
Ulster,New Paltz 6,Governor,,Rob Astorino,REP,3,90
Ulster,New Paltz 7,Governor,,Rob Astorino,REP,6,131
Ulster,New Paltz 8,Governor,,Rob Astorino,REP,4,46
Ulster,New Paltz 9,Governor,,Rob Astorino,REP,0,13
Ulster,New Paltz 10,Governor,,Rob Astorino,REP,0,87
Ulster,Olive 1,Governor,,Rob Astorino,REP,8,181
Ulster,Olive 2,Governor,,Rob Astorino,REP,3,108
Ulster,Olive 3,Governor,,Rob Astorino,REP,8,116
Ulster,Olive 4,Governor,,Rob Astorino,REP,1,102
Ulster,Olive 5,Governor,,Rob Astorino,REP,2,98
Ulster,Plattekill 1,Governor,,Rob Astorino,REP,6,221
Ulster,Plattekill 2,Governor,,Rob Astorino,REP,2,160
Ulster,Plattekill 3,Governor,,Rob Astorino,REP,12,134
Ulster,Plattekill 4,Governor,,Rob Astorino,REP,8,198
Ulster,Plattekill 5,Governor,,Rob Astorino,REP,10,173
Ulster,Plattekill 6,Governor,,Rob Astorino,REP,2,186
Ulster,Rochester 1,Governor,,Rob Astorino,REP,14,182
Ulster,Rochester 2,Governor,,Rob Astorino,REP,6,218
Ulster,Rochester 3,Governor,,Rob Astorino,REP,8,230
Ulster,Rochester 4,Governor,,Rob Astorino,REP,12,110
Ulster,Rochester 5,Governor,,Rob Astorino,REP,4,157
Ulster,Rosendale 1,Governor,,Rob Astorino,REP,13,91
Ulster,Rosendale 2,Governor,,Rob Astorino,REP,6,122
Ulster,Rosendale 3,Governor,,Rob Astorino,REP,6,145
Ulster,Rosendale 4,Governor,,Rob Astorino,REP,7,148
Ulster,Rosendale 5,Governor,,Rob Astorino,REP,9,145
Ulster,Saugerties 1,Governor,,Rob Astorino,REP,4,50
Ulster,Saugerties 2,Governor,,Rob Astorino,REP,9,77
Ulster,Saugerties 3,Governor,,Rob Astorino,REP,3,79
Ulster,Saugerties 4,Governor,,Rob Astorino,REP,7,159
Ulster,Saugerties 5,Governor,,Rob Astorino,REP,6,138
Ulster,Saugerties 6,Governor,,Rob Astorino,REP,7,186
Ulster,Saugerties 7,Governor,,Rob Astorino,REP,5,63
Ulster,Saugerties 8,Governor,,Rob Astorino,REP,13,128
Ulster,Saugerties 9,Governor,,Rob Astorino,REP,1,67
Ulster,Saugerties 10,Governor,,Rob Astorino,REP,2,87
Ulster,Saugerties 11,Governor,,Rob Astorino,REP,7,201
Ulster,Saugerties 12,Governor,,Rob Astorino,REP,12,199
Ulster,Saugerties 13,Governor,,Rob Astorino,REP,11,191
Ulster,Saugerties 14,Governor,,Rob Astorino,REP,4,40
Ulster,Saugerties 15,Governor,,Rob Astorino,REP,10,162
Ulster,Saugerties 16,Governor,,Rob Astorino,REP,6,179
Ulster,Shandaken 1,Governor,,Rob Astorino,REP,8,90
Ulster,Shandaken 2,Governor,,Rob Astorino,REP,3,66
Ulster,Shandaken 3,Governor,,Rob Astorino,REP,6,81
Ulster,Shandaken 4,Governor,,Rob Astorino,REP,3,40
Ulster,Shawangunk 1,Governor,,Rob Astorino,REP,6,162
Ulster,Shawangunk 2,Governor,,Rob Astorino,REP,4,238
Ulster,Shawangunk 3,Governor,,Rob Astorino,REP,9,203
Ulster,Shawangunk 4,Governor,,Rob Astorino,REP,3,146
Ulster,Shawangunk 5,Governor,,Rob Astorino,REP,4,131
Ulster,Shawangunk 6,Governor,,Rob Astorino,REP,4,227
Ulster,Shawangunk 7,Governor,,Rob Astorino,REP,6,260
Ulster,Ulster 1,Governor,,Rob Astorino,REP,4,169
Ulster,Ulster 2,Governor,,Rob Astorino,REP,11,140
Ulster,Ulster 3,Governor,,Rob Astorino,REP,2,47
Ulster,Ulster 4,Governor,,Rob Astorino,REP,1,48
Ulster,Ulster 5,Governor,,Rob Astorino,REP,4,53
Ulster,Ulster 6,Governor,,Rob Astorino,REP,0,51
Ulster,Ulster 7,Governor,,Rob Astorino,REP,4,105
Ulster,Ulster 8,Governor,,Rob Astorino,REP,6,57
Ulster,Ulster 9,Governor,,Rob Astorino,REP,9,124
Ulster,Ulster 10,Governor,,Rob Astorino,REP,3,152
Ulster,Ulster 11,Governor,,Rob Astorino,REP,9,88
Ulster,Ulster 12,Governor,,Rob Astorino,REP,5,106
Ulster,Ulster 13,Governor,,Rob Astorino,REP,9,190
Ulster,Ulster 14,Governor,,Rob Astorino,REP,4,136
Ulster,Wawarsing 1,Governor,,Rob Astorino,REP,1,37
Ulster,Wawarsing 2,Governor,,Rob Astorino,REP,4,98
Ulster,Wawarsing 3,Governor,,Rob Astorino,REP,3,61
Ulster,Wawarsing 4,Governor,,Rob Astorino,REP,0,66
Ulster,Wawarsing 5,Governor,,Rob Astorino,REP,8,124
Ulster,Wawarsing 6,Governor,,Rob Astorino,REP,15,102
Ulster,Wawarsing 7,Governor,,Rob Astorino,REP,2,87
Ulster,Wawarsing 8,Governor,,Rob Astorino,REP,12,194
Ulster,Wawarsing 9,Governor,,Rob Astorino,REP,3,56
Ulster,Wawarsing 10,Governor,,Rob Astorino,REP,3,99
Ulster,Wawarsing 11,Governor,,Rob Astorino,REP,0,32
Ulster,Wawarsing 12,Governor,,Rob Astorino,REP,4,104
Ulster,Woodstock 1,Governor,,Rob Astorino,REP,3,39
Ulster,Woodstock 2,Governor,,Rob Astorino,REP,3,47
Ulster,Woodstock 3,Governor,,Rob Astorino,REP,1,70
Ulster,Woodstock 4,Governor,,Rob Astorino,REP,2,29
Ulster,Woodstock 5,Governor,,Rob Astorino,REP,1,25
Ulster,Woodstock 6,Governor,,Rob Astorino,REP,3,53
Ulster,Woodstock 7,Governor,,Rob Astorino,REP,1,31
Ulster,Woodstock 8,Governor,,Rob Astorino,REP,4,16
Ulster,Woodstock 9,Governor,,Rob Astorino,REP,1,42
Ulster,TOTAL,Governor,,Rob Astorino,REP,872,17685
Ulster,Kingston Ward 1 -1,Governor,,Rob Astorino,CON,2,6
Ulster,Kingston Ward 1 -2,Governor,,Rob Astorino,CON,1,25
Ulster,Kingston Ward 1 -3,Governor,,Rob Astorino,CON,1,19
Ulster,Kingston Ward 2 -1,Governor,,Rob Astorino,CON,1,16
Ulster,Kingston Ward 2 -2,Governor,,Rob Astorino,CON,0,3
Ulster,Kingston Ward 2 -3,Governor,,Rob Astorino,CON,3,12
Ulster,Kingston Ward 3 -1,Governor,,Rob Astorino,CON,2,24
Ulster,Kingston Ward 3 -2,Governor,,Rob Astorino,CON,0,10
Ulster,Kingston Ward 3 -3,Governor,,Rob Astorino,CON,8,29
Ulster,Kingston Ward 4 -1,Governor,,Rob Astorino,CON,1,8
Ulster,Kingston Ward 4 -2,Governor,,Rob Astorino,CON,1,6
Ulster,Kingston Ward 5 -1,Governor,,Rob Astorino,CON,1,5
Ulster,Kingston Ward 5 -2,Governor,,Rob Astorino,CON,2,16
Ulster,Kingston Ward 5 -3,Governor,,Rob Astorino,CON,0,10
Ulster,Kingston Ward 6 -1,Governor,,Rob Astorino,CON,2,19
Ulster,Kingston Ward 6 -2,Governor,,Rob Astorino,CON,1,4
Ulster,Kingston Ward 6 -3,Governor,,Rob Astorino,CON,0,15
Ulster,Kingston Ward 7 -1,Governor,,Rob Astorino,CON,0,20
Ulster,Kingston Ward 7 -2,Governor,,Rob Astorino,CON,2,23
Ulster,Kingston Ward 7 -3,Governor,,Rob Astorino,CON,1,13
Ulster,Kingston Ward 8 -1,Governor,,Rob Astorino,CON,0,6
Ulster,Kingston Ward 8 -2,Governor,,Rob Astorino,CON,0,1
Ulster,Kingston Ward 8 -3,Governor,,Rob Astorino,CON,0,16
Ulster,Kingston Ward 9 -1,Governor,,Rob Astorino,CON,0,12
Ulster,Kingston Ward 9 -2,Governor,,Rob Astorino,CON,4,19
Ulster,Kingston Ward 9 -3,Governor,,Rob Astorino,CON,0,7
Ulster,Denning 1,Governor,,Rob Astorino,CON,0,2
Ulster,Denning 2,Governor,,Rob Astorino,CON,0,7
Ulster,Esopus 1,Governor,,Rob Astorino,CON,0,47
Ulster,Esopus 2,Governor,,Rob Astorino,CON,4,46
Ulster,Esopus 3,Governor,,Rob Astorino,CON,4,31
Ulster,Esopus 4,Governor,,Rob Astorino,CON,4,44
Ulster,Esopus 5,Governor,,Rob Astorino,CON,4,42
Ulster,Esopus 6,Governor,,Rob Astorino,CON,2,34
Ulster,Esopus 7,Governor,,Rob Astorino,CON,6,56
Ulster,Gardiner 1,Governor,,Rob Astorino,CON,4,63
Ulster,Gardiner 2,Governor,,Rob Astorino,CON,1,30
Ulster,Gardiner 3,Governor,,Rob Astorino,CON,0,39
Ulster,Gardiner 4,Governor,,Rob Astorino,CON,3,28
Ulster,Hardenburgh 1,Governor,,Rob Astorino,CON,0,0
Ulster,Hardenburgh 2,Governor,,Rob Astorino,CON,2,12
Ulster,Hurley 1,Governor,,Rob Astorino,CON,3,24
Ulster,Hurley 2,Governor,,Rob Astorino,CON,4,21
Ulster,Hurley 3,Governor,,Rob Astorino,CON,0,34
Ulster,Hurley 4,Governor,,Rob Astorino,CON,2,24
Ulster,Hurley 5,Governor,,Rob Astorino,CON,1,23
Ulster,Hurley 6,Governor,,Rob Astorino,CON,1,24
Ulster,Hurley 7,Governor,,Rob Astorino,CON,3,16
Ulster,Hurley 8,Governor,,Rob Astorino,CON,3,27
Ulster,"Kingston, Town 1",Governor,,Rob Astorino,CON,0,36
Ulster,Lloyd 1,Governor,,Rob Astorino,CON,1,41
Ulster,Lloyd 2,Governor,,Rob Astorino,CON,2,36
Ulster,Lloyd 3,Governor,,Rob Astorino,CON,1,17
Ulster,Lloyd 4,Governor,,Rob Astorino,CON,3,31
Ulster,Lloyd 5,Governor,,Rob Astorino,CON,1,34
Ulster,Lloyd 6,Governor,,Rob Astorino,CON,0,31
Ulster,Lloyd 7,Governor,,Rob Astorino,CON,1,47
Ulster,Marbletown 1,Governor,,Rob Astorino,CON,1,8
Ulster,Marbletown 2,Governor,,Rob Astorino,CON,3,21
