county,precinct,office,district,party,candidate,votes,,,
Madison,FENNER 1,Ballots Cast,,,,734,,,
Madison,GEORGETOWN 1,Ballots Cast,,,,307,,,
Madison,HAMILTON 1,Ballots Cast,,,,535,,,
Madison,HAMILTON 2,Ballots Cast,,,,723,,,
Madison,HAMILTON 3,Ballots Cast,,,,248,,,
Madison,HAMILTON 4,Ballots Cast,,,,592,,,
Madison,LEBANON 1,Ballots Cast,,,,203,,,
Madison,LEBANON 2,Ballots Cast,,,,346,,,
Madison,LENOX 1,Ballots Cast,,,,687,,,
Madison,LENOX 2,Ballots Cast,,,,546,,,
Madison,LENOX 3,Ballots Cast,,,,639,,,
Madison,LENOX 4,Ballots Cast,,,,500,,,
Madison,LENOX 5,Ballots Cast,,,,707,,,
Madison,LENOX 6,Ballots Cast,,,,297,,,
Madison,LINCOLN 1,Ballots Cast,,,,389,,,
Madison,LINCOLN 2,Ballots Cast,,,,410,,,
Madison,MADISON 1,Ballots Cast,,,,688,,,
Madison,MADISON 2,Ballots Cast,,,,560,,,
Madison,NELSON 1,Ballots Cast,,,,503,,,
Madison,NELSON 2,Ballots Cast,,,,525,,,
Madison,SMITHFIELD 1,Ballots Cast,,,,456,,,
Madison,STOCKBRIDGE 1,Ballots Cast,,,,329,,,
Madison,STOCKBRIDGE 2,Ballots Cast,,,,392,,,
Madison,SULLIVAN 1,Ballots Cast,,,,886,,,
Madison,SULLIVAN 2,Ballots Cast,,,,792,,,
Madison,SULLIVAN 3,Ballots Cast,,,,545,,,
Madison,SULLIVAN 4,Ballots Cast,,,,265,,,
Madison,SULLIVAN 5,Ballots Cast,,,,730,,,
Madison,SULLIVAN 6,Ballots Cast,,,,751,,,
Madison,SULLIVAN 7,Ballots Cast,,,,598,,,
Madison,SULLIVAN 8,Ballots Cast,,,,386,,,
Madison,SULLIVAN 9,Ballots Cast,,,,497,,,
Madison,SULLIVAN 10,Ballots Cast,,,,553,,,
Madison,SULLIVAN 11,Ballots Cast,,,,494,,,
Madison,ONEIDA WARD 1-1,Ballots Cast,,,,356,,,
Madison,ONEIDA WARD 1-2,Ballots Cast,,,,491,,,
Madison,ONEIDA WARD 2-1,Ballots Cast,,,,609,,,
Madison,ONEIDA WARD 2-2,Ballots Cast,,,,430,,,
Madison,ONEIDA WARD 3-1,Ballots Cast,,,,658,,,
Madison,ONEIDA WARD 4-1,Ballots Cast,,,,424,,,
Madison,ONEIDA WARD 5-1,Ballots Cast,,,,500,,,
Madison,ONEIDA WARD 6-1,Ballots Cast,,,,457,,,
Madison,BROOKFIELD 1,President,,DEM,Barack Obama,90,,,
Madison,BROOKFIELD 2,President,,DEM,Barack Obama,193,,,
Madison,BROOKFIELD 3,President,,DEM,Barack Obama,120,,,
Madison,CAZENOVIA 1,President,,DEM,Barack Obama,192,,,
Madison,CAZENOVIA 2,President,,DEM,Barack Obama,245,,,
Madison,CAZENOVIA 3,President,,DEM,Barack Obama,319,,,
Madison,CAZENOVIA 4,President,,DEM,Barack Obama,325,,,
Madison,CAZENOVIA 5,President,,DEM,Barack Obama,350,,,
Madison,CAZENOVIA 6,President,,DEM,Barack Obama,225,,,
Madison,DERUYTER 1,President,,DEM,Barack Obama,281,,,
Madison,EATON 1,President,,DEM,Barack Obama,360,,,
Madison,EATON 2,President,,DEM,Barack Obama,143,,,
Madison,EATON 3,President,,DEM,Barack Obama,113,,,
Madison,FENNER 1,President,,DEM,Barack Obama,294,,,
Madison,GEORGETOWN 1,President,,DEM,Barack Obama,102,,,
Madison,HAMILTON 1,President,,DEM,Barack Obama,361,,,
Madison,HAMILTON 2,President,,DEM,Barack Obama,489,,,
Madison,HAMILTON 3,President,,DEM,Barack Obama,124,,,
Madison,HAMILTON 4,President,,DEM,Barack Obama,296,,,
Madison,LEBANON 1,President,,DEM,Barack Obama,87,,,
Madison,LEBANON 2,President,,DEM,Barack Obama,173,,,
Madison,LENOX 1,President,,DEM,Barack Obama,288,,,
Madison,LENOX 2,President,,DEM,Barack Obama,254,,,
Madison,LENOX 3,President,,DEM,Barack Obama,356,,,
Madison,LENOX 4,President,,DEM,Barack Obama,260,,,
Madison,LENOX 5,President,,DEM,Barack Obama,304,,,
Madison,LENOX 6,President,,DEM,Barack Obama,127,,,
Madison,LINCOLN 1,President,,DEM,Barack Obama,132,,,
Madison,LINCOLN 2,President,,DEM,Barack Obama,162,,,
Madison,MADISON 1,President,,DEM,Barack Obama,291,,,
Madison,MADISON 2,President,,DEM,Barack Obama,292,,,
Madison,NELSON 1,President,,DEM,Barack Obama,228,,,
Madison,NELSON 2,President,,DEM,Barack Obama,247,,,
Madison,SMITHFIELD 1,President,,DEM,Barack Obama,203,,,
Madison,STOCKBRIDGE 1,President,,DEM,Barack Obama,129,,,
Madison,STOCKBRIDGE 2,President,,DEM,Barack Obama,146,,,
Madison,SULLIVAN 1,President,,DEM,Barack Obama,436,,,
Madison,SULLIVAN 2,President,,DEM,Barack Obama,335,,,
Madison,SULLIVAN 3,President,,DEM,Barack Obama,249,,,
Madison,SULLIVAN 4,President,,DEM,Barack Obama,120,,,
Madison,SULLIVAN 5,President,,DEM,Barack Obama,326,,,
Madison,SULLIVAN 6,President,,DEM,Barack Obama,333,,,
Madison,SULLIVAN 7,President,,DEM,Barack Obama,253,,,
Madison,SULLIVAN 8,President,,DEM,Barack Obama,206,,,
Madison,SULLIVAN 9,President,,DEM,Barack Obama,212,,,
Madison,SULLIVAN 10,President,,DEM,Barack Obama,255,,,
Madison,SULLIVAN 11,President,,DEM,Barack Obama,227,,,
Madison,ONEIDA WARD 1-1,President,,DEM,Barack Obama,139,,,
Madison,ONEIDA WARD 1-2,President,,DEM,Barack Obama,233,,,
Madison,ONEIDA WARD 2-1,President,,DEM,Barack Obama,285,,,
Madison,ONEIDA WARD 2-2,President,,DEM,Barack Obama,233,,,
Madison,ONEIDA WARD 3-1,President,,DEM,Barack Obama,360,,,
Madison,ONEIDA WARD 4-1,President,,DEM,Barack Obama,240,,,
Madison,ONEIDA WARD 5-1,President,,DEM,Barack Obama,264,,,
Madison,ONEIDA WARD 6-1,President,,DEM,Barack Obama,224,,,
Madison,BROOKFIELD 1,President,,REP,Mitt Romney,128,,,
Madison,BROOKFIELD 2,President,,REP,Mitt Romney,183,,,
Madison,BROOKFIELD 3,President,,REP,Mitt Romney,116,,,
Madison,CAZENOVIA 1,President,,REP,Mitt Romney,252,,,
Madison,CAZENOVIA 2,President,,REP,Mitt Romney,200,,,
Madison,CAZENOVIA 3,President,,REP,Mitt Romney,193,,,
Madison,CAZENOVIA 4,President,,REP,Mitt Romney,304,,,
Madison,CAZENOVIA 5,President,,REP,Mitt Romney,400,,,
Madison,CAZENOVIA 6,President,,REP,Mitt Romney,209,,,
Madison,DERUYTER 1,President,,REP,Mitt Romney,341,,,
Madison,EATON 1,President,,REP,Mitt Romney,288,,,
Madison,EATON 2,President,,REP,Mitt Romney,145,,,
Madison,EATON 3,President,,REP,Mitt Romney,132,,,
Madison,FENNER 1,President,,REP,Mitt Romney,344,,,
Madison,GEORGETOWN 1,President,,REP,Mitt Romney,156,,,
Madison,HAMILTON 1,President,,REP,Mitt Romney,130,,,
Madison,HAMILTON 2,President,,REP,Mitt Romney,180,,,
Madison,HAMILTON 3,President,,REP,Mitt Romney,100,,,
Madison,HAMILTON 4,President,,REP,Mitt Romney,242,,,
Madison,LEBANON 1,President,,REP,Mitt Romney,86,,,
Madison,LEBANON 2,President,,REP,Mitt Romney,144,,,
Madison,LENOX 1,President,,REP,Mitt Romney,327,,,
Madison,LENOX 2,President,,REP,Mitt Romney,234,,,
Madison,LENOX 3,President,,REP,Mitt Romney,217,,,
Madison,LENOX 4,President,,REP,Mitt Romney,190,,,
Madison,LENOX 5,President,,REP,Mitt Romney,333,,,
Madison,LENOX 6,President,,REP,Mitt Romney,143,,,
Madison,LINCOLN 1,President,,REP,Mitt Romney,206,,,
Madison,LINCOLN 2,President,,REP,Mitt Romney,206,,,
Madison,MADISON 1,President,,REP,Mitt Romney,331,,,
Madison,MADISON 2,President,,REP,Mitt Romney,211,,,
Madison,NELSON 1,President,,REP,Mitt Romney,212,,,
Madison,NELSON 2,President,,REP,Mitt Romney,225,,,
Madison,SMITHFIELD 1,President,,REP,Mitt Romney,193,,,
Madison,STOCKBRIDGE 1,President,,REP,Mitt Romney,163,,,
Madison,STOCKBRIDGE 2,President,,REP,Mitt Romney,192,,,
Madison,SULLIVAN 1,President,,REP,Mitt Romney,367,,,
Madison,SULLIVAN 2,President,,REP,Mitt Romney,363,,,
Madison,SULLIVAN 3,President,,REP,Mitt Romney,258,,,
Madison,SULLIVAN 4,President,,REP,Mitt Romney,118,,,
Madison,SULLIVAN 5,President,,REP,Mitt Romney,322,,,
Madison,SULLIVAN 6,President,,REP,Mitt Romney,336,,,
Madison,SULLIVAN 7,President,,REP,Mitt Romney,278,,,
Madison,SULLIVAN 8,President,,REP,Mitt Romney,145,,,
Madison,SULLIVAN 9,President,,REP,Mitt Romney,210,,,
Madison,SULLIVAN 10,President,,REP,Mitt Romney,229,,,
Madison,SULLIVAN 11,President,,REP,Mitt Romney,204,,,
Madison,ONEIDA WARD 1-1,President,,REP,Mitt Romney,192,,,
Madison,ONEIDA WARD 1-2,President,,REP,Mitt Romney,208,,,
Madison,ONEIDA WARD 2-1,President,,REP,Mitt Romney,255,,,
Madison,ONEIDA WARD 2-2,President,,REP,Mitt Romney,148,,,
Madison,ONEIDA WARD 3-1,President,,REP,Mitt Romney,233,,,
Madison,ONEIDA WARD 4-1,President,,REP,Mitt Romney,136,,,
Madison,ONEIDA WARD 5-1,President,,REP,Mitt Romney,187,,,
Madison,ONEIDA WARD 6-1,President,,REP,Mitt Romney,166,,,
Madison,BROOKFIELD 1,President,,CON,Mitt Romney,28,,,
Madison,BROOKFIELD 2,President,,CON,Mitt Romney,29,,,
Madison,BROOKFIELD 3,President,,CON,Mitt Romney,27,,,
Madison,CAZENOVIA 1,President,,CON,Mitt Romney,27,,,
Madison,CAZENOVIA 2,President,,CON,Mitt Romney,15,,,
Madison,CAZENOVIA 3,President,,CON,Mitt Romney,25,,,
Madison,CAZENOVIA 4,President,,CON,Mitt Romney,34,,,
Madison,CAZENOVIA 5,President,,CON,Mitt Romney,38,,,
Madison,CAZENOVIA 6,President,,CON,Mitt Romney,23,,,
Madison,DERUYTER 1,President,,CON,Mitt Romney,55,,,
Madison,EATON 1,President,,CON,Mitt Romney,47,,,
Madison,EATON 2,President,,CON,Mitt Romney,30,,,
Madison,EATON 3,President,,CON,Mitt Romney,17,,,
Madison,FENNER 1,President,,CON,Mitt Romney,54,,,
Madison,GEORGETOWN 1,President,,CON,Mitt Romney,28,,,
Madison,HAMILTON 1,President,,CON,Mitt Romney,11,,,
Madison,HAMILTON 2,President,,CON,Mitt Romney,14,,,
Madison,HAMILTON 3,President,,CON,Mitt Romney,11,,,
Madison,HAMILTON 4,President,,CON,Mitt Romney,26,,,
Madison,LEBANON 1,President,,CON,Mitt Romney,15,,,
Madison,LEBANON 2,President,,CON,Mitt Romney,15,,,
Madison,LENOX 1,President,,CON,Mitt Romney,36,,,
Madison,LENOX 2,President,,CON,Mitt Romney,18,,,
Madison,LENOX 3,President,,CON,Mitt Romney,31,,,
Madison,LENOX 4,President,,CON,Mitt Romney,28,,,
Madison,LENOX 5,President,,CON,Mitt Romney,34,,,
Madison,LENOX 6,President,,CON,Mitt Romney,14,,,
Madison,LINCOLN 1,President,,CON,Mitt Romney,31,,,
Madison,LINCOLN 2,President,,CON,Mitt Romney,19,,,
Madison,MADISON 1,President,,CON,Mitt Romney,32,,,
Madison,MADISON 2,President,,CON,Mitt Romney,22,,,
Madison,NELSON 1,President,,CON,Mitt Romney,38,,,
Madison,NELSON 2,President,,CON,Mitt Romney,33,,,
Madison,SMITHFIELD 1,President,,CON,Mitt Romney,36,,,
Madison,STOCKBRIDGE 1,President,,CON,Mitt Romney,19,,,
Madison,STOCKBRIDGE 2,President,,CON,Mitt Romney,29,,,
Madison,SULLIVAN 1,President,,CON,Mitt Romney,48,,,
Madison,SULLIVAN 2,President,,CON,Mitt Romney,52,,,
Madison,SULLIVAN 3,President,,CON,Mitt Romney,18,,,
Madison,SULLIVAN 4,President,,CON,Mitt Romney,18,,,
Madison,SULLIVAN 5,President,,CON,Mitt Romney,43,,,
Madison,SULLIVAN 6,President,,CON,Mitt Romney,45,,,
Madison,SULLIVAN 7,President,,CON,Mitt Romney,38,,,
Madison,SULLIVAN 8,President,,CON,Mitt Romney,16,,,
Madison,SULLIVAN 9,President,,CON,Mitt Romney,56,,,
Madison,SULLIVAN 10,President,,CON,Mitt Romney,34,,,
Madison,SULLIVAN 11,President,,CON,Mitt Romney,32,,,
Madison,ONEIDA WARD 1-1,President,,CON,Mitt Romney,15,,,
Madison,ONEIDA WARD 1-2,President,,CON,Mitt Romney,23,,,
Madison,ONEIDA WARD 2-1,President,,CON,Mitt Romney,42,,,
Madison,ONEIDA WARD 2-2,President,,CON,Mitt Romney,21,,,
Madison,ONEIDA WARD 3-1,President,,CON,Mitt Romney,31,,,
Madison,ONEIDA WARD 4-1,President,,CON,Mitt Romney,31,,,
Madison,ONEIDA WARD 5-1,President,,CON,Mitt Romney,23,,,
Madison,ONEIDA WARD 6-1,President,,CON,Mitt Romney,36,,,
Madison,BROOKFIELD 1,President,,WOR,Barack Obama,4,,,
Madison,BROOKFIELD 2,President,,WOR,Barack Obama,13,,,
Madison,BROOKFIELD 3,President,,WOR,Barack Obama,10,,,
Madison,CAZENOVIA 1,President,,WOR,Barack Obama,15,,,
Madison,CAZENOVIA 2,President,,WOR,Barack Obama,6,,,
Madison,CAZENOVIA 3,President,,WOR,Barack Obama,15,,,
Madison,CAZENOVIA 4,President,,WOR,Barack Obama,11,,,
Madison,CAZENOVIA 5,President,,WOR,Barack Obama,5,,,
Madison,CAZENOVIA 6,President,,WOR,Barack Obama,7,,,
Madison,DERUYTER 1,President,,WOR,Barack Obama,14,,,
Madison,EATON 1,President,,WOR,Barack Obama,18,,,
Madison,EATON 2,President,,WOR,Barack Obama,12,,,
Madison,EATON 3,President,,WOR,Barack Obama,10,,,
Madison,FENNER 1,President,,WOR,Barack Obama,25,,,
Madison,GEORGETOWN 1,President,,WOR,Barack Obama,11,,,
Madison,HAMILTON 1,President,,WOR,Barack Obama,19,,,
Madison,HAMILTON 2,President,,WOR,Barack Obama,11,,,
Madison,HAMILTON 3,President,,WOR,Barack Obama,8,,,
Madison,HAMILTON 4,President,,WOR,Barack Obama,10,,,
Madison,LEBANON 1,President,,WOR,Barack Obama,6,,,
Madison,LEBANON 2,President,,WOR,Barack Obama,6,,,
Madison,LENOX 1,President,,WOR,Barack Obama,22,,,
Madison,LENOX 2,President,,WOR,Barack Obama,17,,,
Madison,LENOX 3,President,,WOR,Barack Obama,13,,,
Madison,LENOX 4,President,,WOR,Barack Obama,9,,,
Madison,LENOX 5,President,,WOR,Barack Obama,16,,,
Madison,LENOX 6,President,,WOR,Barack Obama,8,,,
Madison,LINCOLN 1,President,,WOR,Barack Obama,9,,,
Madison,LINCOLN 2,President,,WOR,Barack Obama,7,,,
Madison,MADISON 1,President,,WOR,Barack Obama,16,,,
Madison,MADISON 2,President,,WOR,Barack Obama,13,,,
Madison,NELSON 1,President,,WOR,Barack Obama,13,,,
Madison,NELSON 2,President,,WOR,Barack Obama,9,,,
Madison,SMITHFIELD 1,President,,WOR,Barack Obama,10,,,
Madison,STOCKBRIDGE 1,President,,WOR,Barack Obama,7,,,
Madison,STOCKBRIDGE 2,President,,WOR,Barack Obama,8,,,
Madison,SULLIVAN 1,President,,WOR,Barack Obama,16,,,
Madison,SULLIVAN 2,President,,WOR,Barack Obama,17,,,
Madison,SULLIVAN 3,President,,WOR,Barack Obama,11,,,
Madison,SULLIVAN 4,President,,WOR,Barack Obama,5,,,
Madison,SULLIVAN 5,President,,WOR,Barack Obama,17,,,
Madison,SULLIVAN 6,President,,WOR,Barack Obama,9,,,
Madison,SULLIVAN 7,President,,WOR,Barack Obama,8,,,
Madison,SULLIVAN 8,President,,WOR,Barack Obama,4,,,
Madison,SULLIVAN 9,President,,WOR,Barack Obama,13,,,
Madison,SULLIVAN 10,President,,WOR,Barack Obama,11,,,
Madison,SULLIVAN 11,President,,WOR,Barack Obama,16,,,
Madison,ONEIDA WARD 1-1,President,,WOR,Barack Obama,5,,,
Madison,ONEIDA WARD 1-2,President,,WOR,Barack Obama,9,,,
Madison,ONEIDA WARD 2-1,President,,WOR,Barack Obama,8,,,
Madison,ONEIDA WARD 2-2,President,,WOR,Barack Obama,14,,,
Madison,ONEIDA WARD 3-1,President,,WOR,Barack Obama,16,,,
Madison,ONEIDA WARD 4-1,President,,WOR,Barack Obama,10,,,
Madison,ONEIDA WARD 5-1,President,,WOR,Barack Obama,17,,,
Madison,ONEIDA WARD 6-1,President,,WOR,Barack Obama,21,,,
Madison,BROOKFIELD 1,President,,GRE,Jill Stein,3,,,
Madison,BROOKFIELD 2,President,,GRE,Jill Stein,5,,,
Madison,BROOKFIELD 3,President,,GRE,Jill Stein,1,,,
Madison,CAZENOVIA 1,President,,GRE,Jill Stein,10,,,
Madison,CAZENOVIA 2,President,,GRE,Jill Stein,1,,,
Madison,CAZENOVIA 3,President,,GRE,Jill Stein,4,,,
Madison,CAZENOVIA 4,President,,GRE,Jill Stein,3,,,
Madison,CAZENOVIA 5,President,,GRE,Jill Stein,1,,,
Madison,CAZENOVIA 6,President,,GRE,Jill Stein,3,,,
Madison,DERUYTER 1,President,,GRE,Jill Stein,10,,,
Madison,EATON 1,President,,GRE,Jill Stein,2,,,
Madison,EATON 2,President,,GRE,Jill Stein,6,,,
Madison,EATON 3,President,,GRE,Jill Stein,4,,,
Madison,FENNER 1,President,,GRE,Jill Stein,8,,,
Madison,GEORGETOWN 1,President,,GRE,Jill Stein,2,,,
Madison,HAMILTON 1,President,,GRE,Jill Stein,5,,,
Madison,HAMILTON 2,President,,GRE,Jill Stein,8,,,
Madison,HAMILTON 3,President,,GRE,Jill Stein,0,,,
Madison,HAMILTON 4,President,,GRE,Jill Stein,6,,,
Madison,LEBANON 1,President,,GRE,Jill Stein,3,,,
Madison,LEBANON 2,President,,GRE,Jill Stein,1,,,
Madison,LENOX 1,President,,GRE,Jill Stein,3,,,
Madison,LENOX 2,President,,GRE,Jill Stein,4,,,
Madison,LENOX 3,President,,GRE,Jill Stein,6,,,
Madison,LENOX 4,President,,GRE,Jill Stein,2,,,
Madison,LENOX 5,President,,GRE,Jill Stein,4,,,
Madison,LENOX 6,President,,GRE,Jill Stein,2,,,
Madison,LINCOLN 1,President,,GRE,Jill Stein,0,,,
Madison,LINCOLN 2,President,,GRE,Jill Stein,6,,,
Madison,MADISON 1,President,,GRE,Jill Stein,6,,,
Madison,MADISON 2,President,,GRE,Jill Stein,9,,,
Madison,NELSON 1,President,,GRE,Jill Stein,7,,,
Madison,NELSON 2,President,,GRE,Jill Stein,3,,,
Madison,SMITHFIELD 1,President,,GRE,Jill Stein,2,,,
Madison,STOCKBRIDGE 1,President,,GRE,Jill Stein,0,,,
Madison,STOCKBRIDGE 2,President,,GRE,Jill Stein,8,,,
Madison,SULLIVAN 1,President,,GRE,Jill Stein,6,,,
Madison,SULLIVAN 2,President,,GRE,Jill Stein,6,,,
Madison,SULLIVAN 3,President,,GRE,Jill Stein,4,,,
Madison,SULLIVAN 4,President,,GRE,Jill Stein,1,,,
Madison,SULLIVAN 5,President,,GRE,Jill Stein,8,,,
Madison,SULLIVAN 6,President,,GRE,Jill Stein,13,,,
Madison,SULLIVAN 7,President,,GRE,Jill Stein,4,,,
Madison,SULLIVAN 8,President,,GRE,Jill Stein,3,,,
Madison,SULLIVAN 9,President,,GRE,Jill Stein,2,,,
Madison,SULLIVAN 10,President,,GRE,Jill Stein,7,,,
Madison,SULLIVAN 11,President,,GRE,Jill Stein,4,,,
Madison,ONEIDA WARD 1-1,President,,GRE,Jill Stein,1,,,
Madison,ONEIDA WARD 1-2,President,,GRE,Jill Stein,6,,,
Madison,ONEIDA WARD 2-1,President,,GRE,Jill Stein,5,,,
Madison,ONEIDA WARD 2-2,President,,GRE,Jill Stein,5,,,
Madison,ONEIDA WARD 3-1,President,,GRE,Jill Stein,8,,,
Madison,ONEIDA WARD 4-1,President,,GRE,Jill Stein,3,,,
Madison,ONEIDA WARD 5-1,President,,GRE,Jill Stein,3,,,
Madison,ONEIDA WARD 6-1,President,,GRE,Jill Stein,1,,,
Madison,BROOKFIELD 1,President,,PSL,Peta Lindsay,0,,,
Madison,BROOKFIELD 2,President,,PSL,Peta Lindsay,0,,,
Madison,BROOKFIELD 3,President,,PSL,Peta Lindsay,0,,,
Madison,CAZENOVIA 1,President,,PSL,Peta Lindsay,1,,,
Madison,CAZENOVIA 2,President,,PSL,Peta Lindsay,0,,,
Madison,CAZENOVIA 3,President,,PSL,Peta Lindsay,0,,,
Madison,CAZENOVIA 4,President,,PSL,Peta Lindsay,0,,,
Madison,CAZENOVIA 5,President,,PSL,Peta Lindsay,0,,,
Madison,CAZENOVIA 6,President,,PSL,Peta Lindsay,0,,,
Madison,DERUYTER 1,President,,PSL,Peta Lindsay,0,,,
Madison,EATON 1,President,,PSL,Peta Lindsay,0,,,
Madison,EATON 2,President,,PSL,Peta Lindsay,1,,,
Madison,EATON 3,President,,PSL,Peta Lindsay,0,,,
Madison,FENNER 1,President,,PSL,Peta Lindsay,0,,,
Madison,GEORGETOWN 1,President,,PSL,Peta Lindsay,0,,,
Madison,HAMILTON 1,President,,PSL,Peta Lindsay,0,,,
Madison,HAMILTON 2,President,,PSL,Peta Lindsay,1,,,
Madison,HAMILTON 3,President,,PSL,Peta Lindsay,0,,,
Madison,HAMILTON 4,President,,PSL,Peta Lindsay,2,,,
Madison,LEBANON 1,President,,PSL,Peta Lindsay,0,,,
Madison,LEBANON 2,President,,PSL,Peta Lindsay,0,,,
Madison,LENOX 1,President,,PSL,Peta Lindsay,0,,,
Madison,LENOX 2,President,,PSL,Peta Lindsay,0,,,
Madison,LENOX 3,President,,PSL,Peta Lindsay,1,,,
Madison,LENOX 4,President,,PSL,Peta Lindsay,0,,,
Madison,LENOX 5,President,,PSL,Peta Lindsay,0,,,
Madison,LENOX 6,President,,PSL,Peta Lindsay,0,,,
Madison,LINCOLN 1,President,,PSL,Peta Lindsay,0,,,
Madison,LINCOLN 2,President,,PSL,Peta Lindsay,0,,,
Madison,MADISON 1,President,,PSL,Peta Lindsay,0,,,
Madison,MADISON 2,President,,PSL,Peta Lindsay,0,,,
Madison,NELSON 1,President,,PSL,Peta Lindsay,0,,,
Madison,NELSON 2,President,,PSL,Peta Lindsay,0,,,
Madison,SMITHFIELD 1,President,,PSL,Peta Lindsay,0,,,
Madison,STOCKBRIDGE 1,President,,PSL,Peta Lindsay,0,,,
Madison,STOCKBRIDGE 2,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 1,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 2,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 3,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 4,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 5,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 6,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 7,President,,PSL,Peta Lindsay,1,,,
Madison,SULLIVAN 8,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 9,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 10,President,,PSL,Peta Lindsay,0,,,
Madison,SULLIVAN 11,President,,PSL,Peta Lindsay,0,,,
Madison,ONEIDA WARD 1-1,President,,PSL,Peta Lindsay,0,,,
