candidate,office,district,party,county,precinct,votes,election_day,absentee,military,affidavit,federal,uocava
Write-Ins,Attorney General,,REF,Schuyler,CC Orange,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Orange,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Reading,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Reading,0,0,0,0,0,0,0
Cynthia E. Nixon,Governor,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Andrew M. Cuomo,Governor,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Undervotes,Governor,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Overvotes,Governor,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Write-Ins,Governor,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Sean Patrick Maloney,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Letitia A. James,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Leecia R. Eve,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Zephyr Teachout,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Undervotes,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Overvotes,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Write-Ins,Attorney General,,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Nancy B Sliwa,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Mike Diederich,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Christopher B Garvey,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Undervotes,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Overvotes,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Write-Ins,Attorney General,,REF,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Amanda Kirchgessner,State Senate,58,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Michael Lausell,State Senate,58,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Undervotes,State Senate,58,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Overvotes,State Senate,58,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
Write-Ins,State Senate,58,DEM,Schuyler,CC Tyrone,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
