county,precinct,office,district,party,candidate,machine,absentee,absentee_hc,affidavit,votes
St. Lawrence,Brasher 2,Governor,,WOR,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Canton 1,Governor,,CON,Marc Molinaro,19,0,0,0,19
St. Lawrence,Canton 1,Governor,,DEM,Andrew M. Cuomo,320,34,3,5,362
St. Lawrence,Canton 1,Governor,,GRE,Howie Hawkins,16,2,0,0,18
St. Lawrence,Canton 1,Governor,,IND,Andrew M. Cuomo,7,1,0,0,8
St. Lawrence,Canton 1,Governor,,LBT,Larry Sharpe,12,0,0,0,12
St. Lawrence,Canton 1,Governor,,REF,Marc Molinaro,1,0,0,0,1
St. Lawrence,Canton 1,Governor,,REP,Marc Molinaro,115,13,0,0,128
St. Lawrence,Canton 1,Governor,,SAM,Stephanie A. Miner,20,1,0,0,21
St. Lawrence,Canton 1,Governor,,WEP,Andrew M. Cuomo,2,2,0,0,4
St. Lawrence,Canton 1,Governor,,WOR,Andrew M. Cuomo,14,2,0,0,16
St. Lawrence,Canton 2,Governor,,CON,Marc Molinaro,33,2,0,0,35
St. Lawrence,Canton 2,Governor,,DEM,Andrew M. Cuomo,181,15,1,1,198
St. Lawrence,Canton 2,Governor,,GRE,Howie Hawkins,8,1,0,0,9
St. Lawrence,Canton 2,Governor,,IND,Andrew M. Cuomo,6,0,0,0,6
St. Lawrence,Canton 2,Governor,,LBT,Larry Sharpe,9,0,0,0,9
St. Lawrence,Canton 2,Governor,,REF,Marc Molinaro,7,0,0,0,7
St. Lawrence,Canton 2,Governor,,REP,Marc Molinaro,228,14,0,2,244
St. Lawrence,Canton 2,Governor,,SAM,Stephanie A. Miner,6,1,0,0,7
St. Lawrence,Canton 2,Governor,,WEP,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Canton 2,Governor,,WOR,Andrew M. Cuomo,5,0,0,0,5
St. Lawrence,Canton 3,Governor,,CON,Marc Molinaro,17,2,0,0,19
St. Lawrence,Canton 3,Governor,,DEM,Andrew M. Cuomo,212,25,0,3,240
St. Lawrence,Canton 3,Governor,,GRE,Howie Hawkins,17,4,0,0,21
St. Lawrence,Canton 3,Governor,,IND,Andrew M. Cuomo,4,0,0,0,4
St. Lawrence,Canton 3,Governor,,LBT,Larry Sharpe,10,0,0,0,10
St. Lawrence,Canton 3,Governor,,REF,Marc Molinaro,0,1,0,0,1
St. Lawrence,Canton 3,Governor,,REP,Marc Molinaro,106,19,1,2,128
St. Lawrence,Canton 3,Governor,,SAM,Stephanie A. Miner,7,1,0,0,8
St. Lawrence,Canton 3,Governor,,WEP,Andrew M. Cuomo,8,0,0,0,8
St. Lawrence,Canton 3,Governor,,WOR,Andrew M. Cuomo,14,0,0,0,14
St. Lawrence,Canton 4,Governor,,CON,Marc Molinaro,10,0,0,0,10
St. Lawrence,Canton 4,Governor,,DEM,Andrew M. Cuomo,26,0,0,0,26
St. Lawrence,Canton 4,Governor,,GRE,Howie Hawkins,8,0,0,0,8
St. Lawrence,Canton 4,Governor,,IND,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Canton 4,Governor,,LBT,Larry Sharpe,2,0,0,0,2
St. Lawrence,Canton 4,Governor,,REF,Marc Molinaro,1,0,0,0,1
St. Lawrence,Canton 4,Governor,,REP,Marc Molinaro,52,2,0,0,54
St. Lawrence,Canton 4,Governor,,SAM,Stephanie A. Miner,3,0,0,0,3
St. Lawrence,Canton 4,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Canton 4,Governor,,WOR,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Canton 5,Governor,,CON,Marc Molinaro,15,0,0,1,16
St. Lawrence,Canton 5,Governor,,DEM,Andrew M. Cuomo,63,1,0,1,65
St. Lawrence,Canton 5,Governor,,GRE,Howie Hawkins,4,0,0,0,4
St. Lawrence,Canton 5,Governor,,IND,Andrew M. Cuomo,5,0,0,0,5
St. Lawrence,Canton 5,Governor,,LBT,Larry Sharpe,8,0,0,1,9
St. Lawrence,Canton 5,Governor,,REF,Marc Molinaro,3,0,0,0,3
St. Lawrence,Canton 5,Governor,,REP,Marc Molinaro,145,9,0,2,156
St. Lawrence,Canton 5,Governor,,SAM,Stephanie A. Miner,4,0,0,0,4
St. Lawrence,Canton 5,Governor,,WEP,Andrew M. Cuomo,2,1,0,0,3
St. Lawrence,Canton 5,Governor,,WOR,Andrew M. Cuomo,5,1,0,0,6
St. Lawrence,Canton 6,Governor,,CON,Marc Molinaro,22,1,0,0,23
St. Lawrence,Canton 6,Governor,,DEM,Andrew M. Cuomo,237,10,1,7,255
St. Lawrence,Canton 6,Governor,,GRE,Howie Hawkins,6,1,0,1,8
St. Lawrence,Canton 6,Governor,,IND,Andrew M. Cuomo,5,0,0,0,5
St. Lawrence,Canton 6,Governor,,LBT,Larry Sharpe,10,1,0,1,12
St. Lawrence,Canton 6,Governor,,REF,Marc Molinaro,2,0,0,0,2
St. Lawrence,Canton 6,Governor,,REP,Marc Molinaro,142,9,0,0,151
St. Lawrence,Canton 6,Governor,,SAM,Stephanie A. Miner,6,0,0,0,6
St. Lawrence,Canton 6,Governor,,WEP,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Canton 6,Governor,,WOR,Andrew M. Cuomo,8,0,0,0,8
St. Lawrence,Canton 7,Governor,,CON,Marc Molinaro,10,1,0,0,11
St. Lawrence,Canton 7,Governor,,DEM,Andrew M. Cuomo,61,7,0,0,68
St. Lawrence,Canton 7,Governor,,GRE,Howie Hawkins,0,0,0,0,0
St. Lawrence,Canton 7,Governor,,IND,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Canton 7,Governor,,LBT,Larry Sharpe,5,0,0,0,5
St. Lawrence,Canton 7,Governor,,REF,Marc Molinaro,2,0,0,0,2
St. Lawrence,Canton 7,Governor,,REP,Marc Molinaro,86,6,0,0,92
St. Lawrence,Canton 7,Governor,,SAM,Stephanie A. Miner,0,0,0,1,1
St. Lawrence,Canton 7,Governor,,WEP,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Canton 7,Governor,,WOR,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Canton 8,Governor,,CON,Marc Molinaro,35,2,0,0,37
St. Lawrence,Canton 8,Governor,,DEM,Andrew M. Cuomo,183,23,3,1,210
St. Lawrence,Canton 8,Governor,,GRE,Howie Hawkins,25,2,0,0,27
St. Lawrence,Canton 8,Governor,,IND,Andrew M. Cuomo,6,1,0,0,7
St. Lawrence,Canton 8,Governor,,LBT,Larry Sharpe,11,0,0,0,11
St. Lawrence,Canton 8,Governor,,REF,Marc Molinaro,4,0,0,0,4
St. Lawrence,Canton 8,Governor,,REP,Marc Molinaro,229,8,0,1,238
St. Lawrence,Canton 8,Governor,,SAM,Stephanie A. Miner,4,4,0,0,8
St. Lawrence,Canton 8,Governor,,WEP,Andrew M. Cuomo,4,0,1,0,5
St. Lawrence,Canton 8,Governor,,WOR,Andrew M. Cuomo,9,0,0,0,9
St. Lawrence,Clare 1,Governor,,CON,Marc Molinaro,3,0,0,0,3
St. Lawrence,Clare 1,Governor,,DEM,Andrew M. Cuomo,8,0,0,0,8
St. Lawrence,Clare 1,Governor,,GRE,Howie Hawkins,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,IND,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,LBT,Larry Sharpe,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,REF,Marc Molinaro,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,REP,Marc Molinaro,35,0,0,0,35
St. Lawrence,Clare 1,Governor,,SAM,Stephanie A. Miner,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Clare 1,Governor,,WOR,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Clifton 1,Governor,,CON,Marc Molinaro,3,1,0,0,4
St. Lawrence,Clifton 1,Governor,,DEM,Andrew M. Cuomo,33,1,0,0,34
St. Lawrence,Clifton 1,Governor,,GRE,Howie Hawkins,3,0,0,0,3
St. Lawrence,Clifton 1,Governor,,IND,Andrew M. Cuomo,0,1,0,0,1
St. Lawrence,Clifton 1,Governor,,LBT,Larry Sharpe,3,0,0,0,3
St. Lawrence,Clifton 1,Governor,,REF,Marc Molinaro,0,0,0,0,0
St. Lawrence,Clifton 1,Governor,,REP,Marc Molinaro,64,0,0,0,64
St. Lawrence,Clifton 1,Governor,,SAM,Stephanie A. Miner,1,0,0,0,1
St. Lawrence,Clifton 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Clifton 1,Governor,,WOR,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Clifton 2,Governor,,CON,Marc Molinaro,10,0,0,0,10
St. Lawrence,Clifton 2,Governor,,DEM,Andrew M. Cuomo,34,5,0,0,39
St. Lawrence,Clifton 2,Governor,,GRE,Howie Hawkins,1,0,0,0,1
St. Lawrence,Clifton 2,Governor,,IND,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Clifton 2,Governor,,LBT,Larry Sharpe,4,0,0,0,4
St. Lawrence,Clifton 2,Governor,,REF,Marc Molinaro,1,0,0,0,1
St. Lawrence,Clifton 2,Governor,,REP,Marc Molinaro,66,12,0,2,80
St. Lawrence,Clifton 2,Governor,,SAM,Stephanie A. Miner,3,0,0,0,3
St. Lawrence,Clifton 2,Governor,,WEP,Andrew M. Cuomo,2,0,0,0,2
St. Lawrence,Clifton 2,Governor,,WOR,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Colton 1,Governor,,CON,Marc Molinaro,32,4,0,0,36
St. Lawrence,Colton 1,Governor,,DEM,Andrew M. Cuomo,201,28,0,0,229
St. Lawrence,Colton 1,Governor,,GRE,Howie Hawkins,8,0,0,0,8
St. Lawrence,Colton 1,Governor,,IND,Andrew M. Cuomo,7,0,0,0,7
St. Lawrence,Colton 1,Governor,,LBT,Larry Sharpe,25,1,0,0,26
St. Lawrence,Colton 1,Governor,,REF,Marc Molinaro,3,0,0,0,3
St. Lawrence,Colton 1,Governor,,REP,Marc Molinaro,377,19,0,2,398
St. Lawrence,Colton 1,Governor,,SAM,Stephanie A. Miner,5,1,0,0,6
St. Lawrence,Colton 1,Governor,,WEP,Andrew M. Cuomo,2,0,0,0,2
St. Lawrence,Colton 1,Governor,,WOR,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,DeKalb 1,Governor,,CON,Marc Molinaro,28,2,0,1,31
St. Lawrence,DeKalb 1,Governor,,DEM,Andrew M. Cuomo,92,9,0,1,102
St. Lawrence,DeKalb 1,Governor,,GRE,Howie Hawkins,5,1,0,0,6
St. Lawrence,DeKalb 1,Governor,,IND,Andrew M. Cuomo,4,0,0,0,4
St. Lawrence,DeKalb 1,Governor,,LBT,Larry Sharpe,5,0,0,1,6
St. Lawrence,DeKalb 1,Governor,,REF,Marc Molinaro,3,1,0,0,4
St. Lawrence,DeKalb 1,Governor,,REP,Marc Molinaro,198,8,1,1,208
St. Lawrence,DeKalb 1,Governor,,SAM,Stephanie A. Miner,4,0,0,0,4
St. Lawrence,DeKalb 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,DeKalb 1,Governor,,WOR,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,DeKalb 2,Governor,,CON,Marc Molinaro,27,1,0,0,28
St. Lawrence,DeKalb 2,Governor,,DEM,Andrew M. Cuomo,64,2,0,0,66
St. Lawrence,DeKalb 2,Governor,,GRE,Howie Hawkins,5,0,0,1,6
St. Lawrence,DeKalb 2,Governor,,IND,Andrew M. Cuomo,5,1,0,0,6
St. Lawrence,DeKalb 2,Governor,,LBT,Larry Sharpe,8,1,0,0,9
St. Lawrence,DeKalb 2,Governor,,REF,Marc Molinaro,3,0,0,0,3
St. Lawrence,DeKalb 2,Governor,,REP,Marc Molinaro,166,3,0,1,170
St. Lawrence,DeKalb 2,Governor,,SAM,Stephanie A. Miner,2,2,0,0,4
St. Lawrence,DeKalb 2,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,DeKalb 2,Governor,,WOR,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,DePeyster 1,Governor,,CON,Marc Molinaro,14,0,0,0,14
St. Lawrence,DePeyster 1,Governor,,DEM,Andrew M. Cuomo,21,3,0,0,24
St. Lawrence,DePeyster 1,Governor,,GRE,Howie Hawkins,6,0,0,0,6
St. Lawrence,DePeyster 1,Governor,,IND,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,DePeyster 1,Governor,,LBT,Larry Sharpe,2,0,0,0,2
St. Lawrence,DePeyster 1,Governor,,REF,Marc Molinaro,2,0,0,0,2
St. Lawrence,DePeyster 1,Governor,,REP,Marc Molinaro,139,6,0,1,146
St. Lawrence,DePeyster 1,Governor,,SAM,Stephanie A. Miner,1,0,0,0,1
St. Lawrence,DePeyster 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,DePeyster 1,Governor,,WOR,Andrew M. Cuomo,4,0,0,0,4
St. Lawrence,Edwards 1,Governor,,CON,Marc Molinaro,20,1,0,0,21
St. Lawrence,Edwards 1,Governor,,DEM,Andrew M. Cuomo,80,7,0,0,87
St. Lawrence,Edwards 1,Governor,,GRE,Howie Hawkins,4,0,0,0,4
St. Lawrence,Edwards 1,Governor,,IND,Andrew M. Cuomo,2,0,0,0,2
St. Lawrence,Edwards 1,Governor,,LBT,Larry Sharpe,7,0,0,0,7
St. Lawrence,Edwards 1,Governor,,REF,Marc Molinaro,4,0,0,0,4
St. Lawrence,Edwards 1,Governor,,REP,Marc Molinaro,199,9,0,0,208
St. Lawrence,Edwards 1,Governor,,SAM,Stephanie A. Miner,3,1,0,0,4
St. Lawrence,Edwards 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Edwards 1,Governor,,WOR,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Fine 1,Governor,,CON,Marc Molinaro,16,0,0,0,16
St. Lawrence,Fine 1,Governor,,DEM,Andrew M. Cuomo,130,12,0,2,144
St. Lawrence,Fine 1,Governor,,GRE,Howie Hawkins,6,1,0,0,7
St. Lawrence,Fine 1,Governor,,IND,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Fine 1,Governor,,LBT,Larry Sharpe,12,0,0,0,12
St. Lawrence,Fine 1,Governor,,REF,Marc Molinaro,5,0,0,0,5
St. Lawrence,Fine 1,Governor,,REP,Marc Molinaro,253,13,0,0,266
St. Lawrence,Fine 1,Governor,,SAM,Stephanie A. Miner,6,0,0,0,6
St. Lawrence,Fine 1,Governor,,WEP,Andrew M. Cuomo,3,0,0,0,3
St. Lawrence,Fine 1,Governor,,WOR,Andrew M. Cuomo,4,0,0,0,4
St. Lawrence,Fowler 1,Governor,,CON,Marc Molinaro,18,2,0,0,20
St. Lawrence,Fowler 1,Governor,,DEM,Andrew M. Cuomo,58,6,0,0,64
St. Lawrence,Fowler 1,Governor,,GRE,Howie Hawkins,7,0,0,0,7
St. Lawrence,Fowler 1,Governor,,IND,Andrew M. Cuomo,1,0,0,0,1
St. Lawrence,Fowler 1,Governor,,LBT,Larry Sharpe,10,0,0,0,10
St. Lawrence,Fowler 1,Governor,,REF,Marc Molinaro,2,0,0,0,2
St. Lawrence,Fowler 1,Governor,,REP,Marc Molinaro,223,8,0,1,232
St. Lawrence,Fowler 1,Governor,,SAM,Stephanie A. Miner,3,0,0,0,3
St. Lawrence,Fowler 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,0,0
St. Lawrence,Fowler 1,Governor,,WOR,Andrew M. Cuomo,0,0,0,0,0
