county,precinct,office,district,party,candidate,election_day,absentee
Herkimer,City of Little Falls Ward 4 1 LD 12,Lieutenant Governor,,DEM,Jumaane Williams,10,1
Herkimer,City of Little Falls Ward 4 1 LD 12,Lieutenant Governor,,DEM,Kathy C. Hochul,21,3
Herkimer,City of Little Falls Ward 4 1 LD 12,Lieutenant Governor,,DEM,Void,0,
Herkimer,City of Little Falls Ward 4 1 LD 12,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Columbia 1 LD 7,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of Columbia 1 LD 7,Lieutenant Governor,,DEM,Jumaane Williams,5,0
Herkimer,Town of Columbia 1 LD 7,Lieutenant Governor,,DEM,Kathy C. Hochul,9,1
Herkimer,Town of Columbia 1 LD 7,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Columbia 1 LD 7,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Columbia 2 LD 13,Lieutenant Governor,,DEM,Blank,0,
Herkimer,Town of Columbia 2 LD 13,Lieutenant Governor,,DEM,Jumaane Williams,0,0
Herkimer,Town of Columbia 2 LD 13,Lieutenant Governor,,DEM,Kathy C. Hochul,4,0
Herkimer,Town of Columbia 2 LD 13,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Columbia 2 LD 13,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Danube 1 LD 14,Lieutenant Governor,,DEM,Blank,5,
Herkimer,Town of Danube 1 LD 14,Lieutenant Governor,,DEM,Jumaane Williams,6,0
Herkimer,Town of Danube 1 LD 14,Lieutenant Governor,,DEM,Kathy C. Hochul,4,1
Herkimer,Town of Danube 1 LD 14,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Danube 1 LD 14,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Fairfield 1 LD 16,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Fairfield 1 LD 16,Lieutenant Governor,,DEM,Jumaane Williams,13,2
Herkimer,Town of Fairfield 1 LD 16,Lieutenant Governor,,DEM,Kathy C. Hochul,16,2
Herkimer,Town of Fairfield 1 LD 16,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Fairfield 1 LD 16,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 1 LD 8,Lieutenant Governor,,DEM,Blank,9,
Herkimer,Town of Frankfort 1 LD 8,Lieutenant Governor,,DEM,Jumaane Williams,12,0
Herkimer,Town of Frankfort 1 LD 8,Lieutenant Governor,,DEM,Kathy C. Hochul,13,5
Herkimer,Town of Frankfort 1 LD 8,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 1 LD 8,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 2 LD 9,Lieutenant Governor,,DEM,Blank,13,
Herkimer,Town of Frankfort 2 LD 9,Lieutenant Governor,,DEM,Jumaane Williams,13,0
Herkimer,Town of Frankfort 2 LD 9,Lieutenant Governor,,DEM,Kathy C. Hochul,20,1
Herkimer,Town of Frankfort 2 LD 9,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 2 LD 9,Lieutenant Governor,,DEM,Write-in,1,
Herkimer,Town of Frankfort 3 LD 9,Lieutenant Governor,,DEM,Blank,9,
Herkimer,Town of Frankfort 3 LD 9,Lieutenant Governor,,DEM,Jumaane Williams,6,0
Herkimer,Town of Frankfort 3 LD 9,Lieutenant Governor,,DEM,Kathy C. Hochul,6,0
Herkimer,Town of Frankfort 3 LD 9,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 3 LD 9,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 4 LD 8,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Frankfort 4 LD 8,Lieutenant Governor,,DEM,Jumaane Williams,4,1
Herkimer,Town of Frankfort 4 LD 8,Lieutenant Governor,,DEM,Kathy C. Hochul,16,4
Herkimer,Town of Frankfort 4 LD 8,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 4 LD 8,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 5 LD 8,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Frankfort 5 LD 8,Lieutenant Governor,,DEM,Jumaane Williams,15,3
Herkimer,Town of Frankfort 5 LD 8,Lieutenant Governor,,DEM,Kathy C. Hochul,27,2
Herkimer,Town of Frankfort 5 LD 8,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Frankfort 5 LD 8,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Frankfort 6 LD 9,Lieutenant Governor,,DEM,Blank,11,
Herkimer,Town of Frankfort 6 LD 9,Lieutenant Governor,,DEM,Jumaane Williams,13,2
Herkimer,Town of Frankfort 6 LD 9,Lieutenant Governor,,DEM,Kathy C. Hochul,22,6
Herkimer,Town of Frankfort 6 LD 9,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Frankfort 6 LD 9,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 1 LD 7,Lieutenant Governor,,DEM,Blank,6,
Herkimer,Town of German Flatts 1 LD 7,Lieutenant Governor,,DEM,Jumaane Williams,4,0
Herkimer,Town of German Flatts 1 LD 7,Lieutenant Governor,,DEM,Kathy C. Hochul,8,2
Herkimer,Town of German Flatts 1 LD 7,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of German Flatts 1 LD 7,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 10 LD 5,Lieutenant Governor,,DEM,Blank,1,
Herkimer,Town of German Flatts 10 LD 5,Lieutenant Governor,,DEM,Jumaane Williams,2,0
Herkimer,Town of German Flatts 10 LD 5,Lieutenant Governor,,DEM,Kathy C. Hochul,7,0
Herkimer,Town of German Flatts 10 LD 5,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 10 LD 5,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 11 LD 6,Lieutenant Governor,,DEM,Blank,6,
Herkimer,Town of German Flatts 11 LD 6,Lieutenant Governor,,DEM,Jumaane Williams,5,3
Herkimer,Town of German Flatts 11 LD 6,Lieutenant Governor,,DEM,Kathy C. Hochul,15,0
Herkimer,Town of German Flatts 11 LD 6,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 11 LD 6,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 12 LD 6,Lieutenant Governor,,DEM,Blank,5,
Herkimer,Town of German Flatts 12 LD 6,Lieutenant Governor,,DEM,Jumaane Williams,7,0
Herkimer,Town of German Flatts 12 LD 6,Lieutenant Governor,,DEM,Kathy C. Hochul,7,1
Herkimer,Town of German Flatts 12 LD 6,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 12 LD 6,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 13 LD 5,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of German Flatts 13 LD 5,Lieutenant Governor,,DEM,Jumaane Williams,10,0
Herkimer,Town of German Flatts 13 LD 5,Lieutenant Governor,,DEM,Kathy C. Hochul,20,4
Herkimer,Town of German Flatts 13 LD 5,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 13 LD 5,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 14 LD 5,Lieutenant Governor,,DEM,Blank,1,
Herkimer,Town of German Flatts 14 LD 5,Lieutenant Governor,,DEM,Jumaane Williams,3,0
Herkimer,Town of German Flatts 14 LD 5,Lieutenant Governor,,DEM,Kathy C. Hochul,12,1
Herkimer,Town of German Flatts 14 LD 5,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 14 LD 5,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 2 LD 1,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of German Flatts 2 LD 1,Lieutenant Governor,,DEM,Jumaane Williams,5,0
Herkimer,Town of German Flatts 2 LD 1,Lieutenant Governor,,DEM,Kathy C. Hochul,12,1
Herkimer,Town of German Flatts 2 LD 1,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 2 LD 1,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 3 LD 4,Lieutenant Governor,,DEM,Blank,5,
Herkimer,Town of German Flatts 3 LD 4,Lieutenant Governor,,DEM,Jumaane Williams,11,1
Herkimer,Town of German Flatts 3 LD 4,Lieutenant Governor,,DEM,Kathy C. Hochul,17,1
Herkimer,Town of German Flatts 3 LD 4,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 3 LD 4,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 4 LD 5,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of German Flatts 4 LD 5,Lieutenant Governor,,DEM,Jumaane Williams,0,1
Herkimer,Town of German Flatts 4 LD 5,Lieutenant Governor,,DEM,Kathy C. Hochul,6,0
Herkimer,Town of German Flatts 4 LD 5,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 4 LD 5,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 5 LD 6,Lieutenant Governor,,DEM,Blank,1,
Herkimer,Town of German Flatts 5 LD 6,Lieutenant Governor,,DEM,Jumaane Williams,2,0
Herkimer,Town of German Flatts 5 LD 6,Lieutenant Governor,,DEM,Kathy C. Hochul,3,0
Herkimer,Town of German Flatts 5 LD 6,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 5 LD 6,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 6 LD 6,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of German Flatts 6 LD 6,Lieutenant Governor,,DEM,Jumaane Williams,11,1
Herkimer,Town of German Flatts 6 LD 6,Lieutenant Governor,,DEM,Kathy C. Hochul,12,1
Herkimer,Town of German Flatts 6 LD 6,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 6 LD 6,Lieutenant Governor,,DEM,Write-in,1,
Herkimer,Town of German Flatts 7 LD 4,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of German Flatts 7 LD 4,Lieutenant Governor,,DEM,Jumaane Williams,3,1
Herkimer,Town of German Flatts 7 LD 4,Lieutenant Governor,,DEM,Kathy C. Hochul,7,0
Herkimer,Town of German Flatts 7 LD 4,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 7 LD 4,Lieutenant Governor,,DEM,Write-in,1,
Herkimer,Town of German Flatts 8 LD 5,Lieutenant Governor,,DEM,Blank,6,
Herkimer,Town of German Flatts 8 LD 5,Lieutenant Governor,,DEM,Jumaane Williams,7,1
Herkimer,Town of German Flatts 8 LD 5,Lieutenant Governor,,DEM,Kathy C. Hochul,12,0
Herkimer,Town of German Flatts 8 LD 5,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 8 LD 5,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of German Flatts 9 LD 4,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of German Flatts 9 LD 4,Lieutenant Governor,,DEM,Jumaane Williams,4,0
Herkimer,Town of German Flatts 9 LD 4,Lieutenant Governor,,DEM,Kathy C. Hochul,12,0
Herkimer,Town of German Flatts 9 LD 4,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of German Flatts 9 LD 4,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 1 LD 2,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Herkimer 1 LD 2,Lieutenant Governor,,DEM,Jumaane Williams,7,1
Herkimer,Town of Herkimer 1 LD 2,Lieutenant Governor,,DEM,Kathy C. Hochul,13,2
Herkimer,Town of Herkimer 1 LD 2,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 1 LD 2,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 2 LD 2,Lieutenant Governor,,DEM,Blank,7,
Herkimer,Town of Herkimer 2 LD 2,Lieutenant Governor,,DEM,Jumaane Williams,1,4
Herkimer,Town of Herkimer 2 LD 2,Lieutenant Governor,,DEM,Kathy C. Hochul,11,1
Herkimer,Town of Herkimer 2 LD 2,Lieutenant Governor,,DEM,Void,2,
Herkimer,Town of Herkimer 2 LD 2,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 3 LD 2,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of Herkimer 3 LD 2,Lieutenant Governor,,DEM,Jumaane Williams,7,0
Herkimer,Town of Herkimer 3 LD 2,Lieutenant Governor,,DEM,Kathy C. Hochul,16,3
Herkimer,Town of Herkimer 3 LD 2,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 3 LD 2,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 4 LD 2,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of Herkimer 4 LD 2,Lieutenant Governor,,DEM,Jumaane Williams,10,1
Herkimer,Town of Herkimer 4 LD 2,Lieutenant Governor,,DEM,Kathy C. Hochul,7,3
Herkimer,Town of Herkimer 4 LD 2,Lieutenant Governor,,DEM,Void,2,
Herkimer,Town of Herkimer 4 LD 2,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 5 LD 1,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Herkimer 5 LD 1,Lieutenant Governor,,DEM,Jumaane Williams,2,0
Herkimer,Town of Herkimer 5 LD 1,Lieutenant Governor,,DEM,Kathy C. Hochul,8,2
Herkimer,Town of Herkimer 5 LD 1,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 5 LD 1,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 6 LD 3,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Herkimer 6 LD 3,Lieutenant Governor,,DEM,Jumaane Williams,9,1
Herkimer,Town of Herkimer 6 LD 3,Lieutenant Governor,,DEM,Kathy C. Hochul,28,0
Herkimer,Town of Herkimer 6 LD 3,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 6 LD 3,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 7 LD 3,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Herkimer 7 LD 3,Lieutenant Governor,,DEM,Jumaane Williams,4,0
Herkimer,Town of Herkimer 7 LD 3,Lieutenant Governor,,DEM,Kathy C. Hochul,14,2
Herkimer,Town of Herkimer 7 LD 3,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Herkimer 7 LD 3,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 8 LD 1,Lieutenant Governor,,DEM,Blank,5,
Herkimer,Town of Herkimer 8 LD 1,Lieutenant Governor,,DEM,Jumaane Williams,9,2
Herkimer,Town of Herkimer 8 LD 1,Lieutenant Governor,,DEM,Kathy C. Hochul,18,2
Herkimer,Town of Herkimer 8 LD 1,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 8 LD 1,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Herkimer 9 LD 3,Lieutenant Governor,,DEM,Blank,9,
Herkimer,Town of Herkimer 9 LD 3,Lieutenant Governor,,DEM,Jumaane Williams,5,0
Herkimer,Town of Herkimer 9 LD 3,Lieutenant Governor,,DEM,Kathy C. Hochul,7,2
Herkimer,Town of Herkimer 9 LD 3,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Herkimer 9 LD 3,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Litchfield 1 LD 13,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of Litchfield 1 LD 13,Lieutenant Governor,,DEM,Jumaane Williams,15,0
Herkimer,Town of Litchfield 1 LD 13,Lieutenant Governor,,DEM,Kathy C. Hochul,16,0
Herkimer,Town of Litchfield 1 LD 13,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Litchfield 1 LD 13,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Little Falls 1 LD 14,Lieutenant Governor,,DEM,Blank,16,
Herkimer,Town of Little Falls 1 LD 14,Lieutenant Governor,,DEM,Jumaane Williams,9,0
Herkimer,Town of Little Falls 1 LD 14,Lieutenant Governor,,DEM,Kathy C. Hochul,13,5
Herkimer,Town of Little Falls 1 LD 14,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Little Falls 1 LD 14,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 1 LD 10,Lieutenant Governor,,DEM,Blank,0,
Herkimer,Town of Manheim 1 LD 10,Lieutenant Governor,,DEM,Jumaane Williams,4,0
Herkimer,Town of Manheim 1 LD 10,Lieutenant Governor,,DEM,Kathy C. Hochul,4,0
Herkimer,Town of Manheim 1 LD 10,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Manheim 1 LD 10,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 2 LD 10,Lieutenant Governor,,DEM,Blank,7,
Herkimer,Town of Manheim 2 LD 10,Lieutenant Governor,,DEM,Jumaane Williams,14,0
Herkimer,Town of Manheim 2 LD 10,Lieutenant Governor,,DEM,Kathy C. Hochul,17,1
Herkimer,Town of Manheim 2 LD 10,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Manheim 2 LD 10,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Manheim 3 LD 10,Lieutenant Governor,,DEM,Blank,1,
Herkimer,Town of Manheim 3 LD 10,Lieutenant Governor,,DEM,Jumaane Williams,4,0
Herkimer,Town of Manheim 3 LD 10,Lieutenant Governor,,DEM,Kathy C. Hochul,9,1
Herkimer,Town of Manheim 3 LD 10,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Manheim 3 LD 10,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Newport 1 LD 17,Lieutenant Governor,,DEM,Blank,7,
Herkimer,Town of Newport 1 LD 17,Lieutenant Governor,,DEM,Jumaane Williams,22,2
Herkimer,Town of Newport 1 LD 17,Lieutenant Governor,,DEM,Kathy C. Hochul,24,0
Herkimer,Town of Newport 1 LD 17,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Newport 1 LD 17,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Norway 1 LD 16,Lieutenant Governor,,DEM,Blank,4,
Herkimer,Town of Norway 1 LD 16,Lieutenant Governor,,DEM,Jumaane Williams,7,0
Herkimer,Town of Norway 1 LD 16,Lieutenant Governor,,DEM,Kathy C. Hochul,0,2
Herkimer,Town of Norway 1 LD 16,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Norway 1 LD 16,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Ohio 1 LD 15,Lieutenant Governor,,DEM,Blank,3,
Herkimer,Town of Ohio 1 LD 15,Lieutenant Governor,,DEM,Jumaane Williams,7,0
Herkimer,Town of Ohio 1 LD 15,Lieutenant Governor,,DEM,Kathy C. Hochul,6,3
Herkimer,Town of Ohio 1 LD 15,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Ohio 1 LD 15,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 1 LD 17,Lieutenant Governor,,DEM,Blank,7,
Herkimer,Town of Russia 1 LD 17,Lieutenant Governor,,DEM,Jumaane Williams,17,1
Herkimer,Town of Russia 1 LD 17,Lieutenant Governor,,DEM,Kathy C. Hochul,15,1
Herkimer,Town of Russia 1 LD 17,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Russia 1 LD 17,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 2 LD 15,Lieutenant Governor,,DEM,Blank,2,
Herkimer,Town of Russia 2 LD 15,Lieutenant Governor,,DEM,Jumaane Williams,6,0
Herkimer,Town of Russia 2 LD 15,Lieutenant Governor,,DEM,Kathy C. Hochul,7,1
Herkimer,Town of Russia 2 LD 15,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Russia 2 LD 15,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Russia 3 LD 17,Lieutenant Governor,,DEM,Blank,0,
Herkimer,Town of Russia 3 LD 17,Lieutenant Governor,,DEM,Jumaane Williams,2,0
Herkimer,Town of Russia 3 LD 17,Lieutenant Governor,,DEM,Kathy C. Hochul,4,0
Herkimer,Town of Russia 3 LD 17,Lieutenant Governor,,DEM,Void,1,
Herkimer,Town of Russia 3 LD 17,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Salisbury 1 LD 16,Lieutenant Governor,,DEM,Blank,2,
Herkimer,Town of Salisbury 1 LD 16,Lieutenant Governor,,DEM,Jumaane Williams,12,0
Herkimer,Town of Salisbury 1 LD 16,Lieutenant Governor,,DEM,Kathy C. Hochul,10,1
Herkimer,Town of Salisbury 1 LD 16,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Salisbury 1 LD 16,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 1 LD 11,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Schuyler 1 LD 11,Lieutenant Governor,,DEM,Jumaane Williams,2,1
Herkimer,Town of Schuyler 1 LD 11,Lieutenant Governor,,DEM,Kathy C. Hochul,10,3
Herkimer,Town of Schuyler 1 LD 11,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 1 LD 11,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 2 LD 11,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Schuyler 2 LD 11,Lieutenant Governor,,DEM,Jumaane Williams,5,0
Herkimer,Town of Schuyler 2 LD 11,Lieutenant Governor,,DEM,Kathy C. Hochul,16,0
Herkimer,Town of Schuyler 2 LD 11,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 2 LD 11,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Schuyler 3 LD 11,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Schuyler 3 LD 11,Lieutenant Governor,,DEM,Jumaane Williams,8,0
Herkimer,Town of Schuyler 3 LD 11,Lieutenant Governor,,DEM,Kathy C. Hochul,27,0
Herkimer,Town of Schuyler 3 LD 11,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Schuyler 3 LD 11,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Stark 1 LD 14,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Stark 1 LD 14,Lieutenant Governor,,DEM,Jumaane Williams,5,2
Herkimer,Town of Stark 1 LD 14,Lieutenant Governor,,DEM,Kathy C. Hochul,6,0
Herkimer,Town of Stark 1 LD 14,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Stark 1 LD 14,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Warren 1 LD 7,Lieutenant Governor,,DEM,Blank,1,
Herkimer,Town of Warren 1 LD 7,Lieutenant Governor,,DEM,Jumaane Williams,3,0
Herkimer,Town of Warren 1 LD 7,Lieutenant Governor,,DEM,Kathy C. Hochul,9,0
Herkimer,Town of Warren 1 LD 7,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Warren 1 LD 7,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Webb 1 LD 15,Lieutenant Governor,,DEM,Blank,5,
Herkimer,Town of Webb 1 LD 15,Lieutenant Governor,,DEM,Jumaane Williams,30,4
Herkimer,Town of Webb 1 LD 15,Lieutenant Governor,,DEM,Kathy C. Hochul,48,4
Herkimer,Town of Webb 1 LD 15,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Webb 1 LD 15,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Webb 2 LD 15,Lieutenant Governor,,DEM,Blank,2,
Herkimer,Town of Webb 2 LD 15,Lieutenant Governor,,DEM,Jumaane Williams,5,0
Herkimer,Town of Webb 2 LD 15,Lieutenant Governor,,DEM,Kathy C. Hochul,7,1
Herkimer,Town of Webb 2 LD 15,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Webb 2 LD 15,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Winfield 1 LD 13,Lieutenant Governor,,DEM,Blank,2,
Herkimer,Town of Winfield 1 LD 13,Lieutenant Governor,,DEM,Jumaane Williams,3,1
Herkimer,Town of Winfield 1 LD 13,Lieutenant Governor,,DEM,Kathy C. Hochul,7,0
Herkimer,Town of Winfield 1 LD 13,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Winfield 1 LD 13,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,Town of Winfield 2 LD 13,Lieutenant Governor,,DEM,Blank,8,
Herkimer,Town of Winfield 2 LD 13,Lieutenant Governor,,DEM,Jumaane Williams,7,0
Herkimer,Town of Winfield 2 LD 13,Lieutenant Governor,,DEM,Kathy C. Hochul,7,0
Herkimer,Town of Winfield 2 LD 13,Lieutenant Governor,,DEM,Void,0,
Herkimer,Town of Winfield 2 LD 13,Lieutenant Governor,,DEM,Write-in,0,
Herkimer,City of Little Falls Ward 1 1 LD 12,Governor,,DEM,Andrew M. Cuomo,30,6
Herkimer,City of Little Falls Ward 1 1 LD 12,Governor,,DEM,Blank,0,
Herkimer,City of Little Falls Ward 1 1 LD 12,Governor,,DEM,Cynthia E. Nixon,23,2
Herkimer,City of Little Falls Ward 1 1 LD 12,Governor,,DEM,Void,0,
