county,office,district,precinct,candidate,party,votes
Niagara,Governor,,Lewiston 000 : 006,Andrew M. Cuomo ,DEM,108
Niagara,Governor,,Lewiston 000 : 007,Andrew M. Cuomo ,DEM,125
Niagara,Governor,,Lewiston 000 : 008,Andrew M. Cuomo ,DEM,129
Niagara,Governor,,Lewiston 000 : 009,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,Lewiston 000 : 010,Andrew M. Cuomo ,DEM,140
Niagara,Governor,,Lewiston 000 : 011,Andrew M. Cuomo ,DEM,264
Niagara,Governor,,Lewiston 000 : 012,Andrew M. Cuomo ,DEM,143
Niagara,Governor,,Lewiston 000 : 013,Andrew M. Cuomo ,DEM,224
Niagara,Governor,,Lewiston 000 : 014,Andrew M. Cuomo ,DEM,185
Niagara,Governor,,N Tonawanda 001 : 001,Andrew M. Cuomo ,DEM,122
Niagara,Governor,,N Tonawanda 001 : 002,Andrew M. Cuomo ,DEM,167
Niagara,Governor,,N Tonawanda 001 : 003,Andrew M. Cuomo ,DEM,121
Niagara,Governor,,N Tonawanda 001 : 004,Andrew M. Cuomo ,DEM,167
Niagara,Governor,,N Tonawanda 001 : 005,Andrew M. Cuomo ,DEM,117
Niagara,Governor,,N Tonawanda 001 : 006,Andrew M. Cuomo ,DEM,150
Niagara,Governor,,N Tonawanda 001 : 007,Andrew M. Cuomo ,DEM,111
Niagara,Governor,,N Tonawanda 001 : 008,Andrew M. Cuomo ,DEM,61
Niagara,Governor,,N Tonawanda 001 : 009,Andrew M. Cuomo ,DEM,171
Niagara,Governor,,N Tonawanda 001 : 010,Andrew M. Cuomo ,DEM,133
Niagara,Governor,,N Tonawanda 002 : 001,Andrew M. Cuomo ,DEM,93
Niagara,Governor,,N Tonawanda 002 : 002,Andrew M. Cuomo ,DEM,105
Niagara,Governor,,N Tonawanda 002 : 003,Andrew M. Cuomo ,DEM,141
Niagara,Governor,,N Tonawanda 002 : 004,Andrew M. Cuomo ,DEM,88
Niagara,Governor,,N Tonawanda 002 : 005,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,N Tonawanda 002 : 006,Andrew M. Cuomo ,DEM,3
Niagara,Governor,,N Tonawanda 002 : 007,Andrew M. Cuomo ,DEM,187
Niagara,Governor,,N Tonawanda 002 : 008,Andrew M. Cuomo ,DEM,87
Niagara,Governor,,N Tonawanda 002 : 009,Andrew M. Cuomo ,DEM,98
Niagara,Governor,,N Tonawanda 002 : 010,Andrew M. Cuomo ,DEM,65
Niagara,Governor,,N Tonawanda 002 : 011,Andrew M. Cuomo ,DEM,124
Niagara,Governor,,N Tonawanda 003 : 001,Andrew M. Cuomo ,DEM,110
Niagara,Governor,,N Tonawanda 003 : 002,Andrew M. Cuomo ,DEM,70
Niagara,Governor,,N Tonawanda 003 : 003,Andrew M. Cuomo ,DEM,92
Niagara,Governor,,N Tonawanda 003 : 004,Andrew M. Cuomo ,DEM,195
Niagara,Governor,,N Tonawanda 003 : 005,Andrew M. Cuomo ,DEM,153
Niagara,Governor,,N Tonawanda 003 : 006,Andrew M. Cuomo ,DEM,185
Niagara,Governor,,N Tonawanda 003 : 007,Andrew M. Cuomo ,DEM,111
Niagara,Governor,,N Tonawanda 003 : 008,Andrew M. Cuomo ,DEM,106
Niagara,Governor,,N Tonawanda 003 : 009,Andrew M. Cuomo ,DEM,115
Niagara,Governor,,N Tonawanda 003 : 010,Andrew M. Cuomo ,DEM,102
Niagara,Governor,,N Tonawanda 003 : 011,Andrew M. Cuomo ,DEM,109
Niagara,Governor,,N Tonawanda 003 : 012,Andrew M. Cuomo ,DEM,234
Niagara,Governor,,Newfane 000 : 001,Andrew M. Cuomo ,DEM,87
Niagara,Governor,,Newfane 000 : 002,Andrew M. Cuomo ,DEM,101
Niagara,Governor,,Newfane 000 : 003,Andrew M. Cuomo ,DEM,96
Niagara,Governor,,Newfane 000 : 004,Andrew M. Cuomo ,DEM,143
Niagara,Governor,,Newfane 000 : 005,Andrew M. Cuomo ,DEM,157
Niagara,Governor,,Newfane 000 : 006,Andrew M. Cuomo ,DEM,105
Niagara,Governor,,Newfane 000 : 007,Andrew M. Cuomo ,DEM,96
Niagara,Governor,,Newfane 000 : 008,Andrew M. Cuomo ,DEM,112
Niagara,Governor,,Niagara Falls 003 : 001,Andrew M. Cuomo ,DEM,115
Niagara,Governor,,Niagara Falls 003 : 002,Andrew M. Cuomo ,DEM,144
Niagara,Governor,,Niagara Falls 003 : 003,Andrew M. Cuomo ,DEM,178
Niagara,Governor,,Niagara Falls 003 : 004,Andrew M. Cuomo ,DEM,187
Niagara,Governor,,Niagara Falls 003 : 005,Andrew M. Cuomo ,DEM,214
Niagara,Governor,,Niagara Falls 003 : 006,Andrew M. Cuomo ,DEM,150
Niagara,Governor,,Niagara Falls 003 : 007,Andrew M. Cuomo ,DEM,196
Niagara,Governor,,Niagara Falls 003 : 008,Andrew M. Cuomo ,DEM,178
Niagara,Governor,,Niagara Falls 003 : 009,Andrew M. Cuomo ,DEM,94
Niagara,Governor,,Niagara Falls 003 : 010,Andrew M. Cuomo ,DEM,143
Niagara,Governor,,Niagara Falls 003 : 011,Andrew M. Cuomo ,DEM,135
Niagara,Governor,,Niagara Falls 003 : 012,Andrew M. Cuomo ,DEM,84
Niagara,Governor,,Niagara Falls 003 : 013,Andrew M. Cuomo ,DEM,13
Niagara,Governor,,Niagara Falls 004 : 001,Andrew M. Cuomo ,DEM,339
Niagara,Governor,,Niagara Falls 004 : 002,Andrew M. Cuomo ,DEM,244
Niagara,Governor,,Niagara Falls 004 : 003,Andrew M. Cuomo ,DEM,216
Niagara,Governor,,Niagara Falls 004 : 004,Andrew M. Cuomo ,DEM,192
Niagara,Governor,,Niagara Falls 004 : 005,Andrew M. Cuomo ,DEM,212
Niagara,Governor,,Niagara Falls 004 : 006,Andrew M. Cuomo ,DEM,120
Niagara,Governor,,Niagara Falls 004 : 007,Andrew M. Cuomo ,DEM,172
Niagara,Governor,,Niagara Falls 004 : 008,Andrew M. Cuomo ,DEM,221
Niagara,Governor,,Niagara Falls 005 : 001,Andrew M. Cuomo ,DEM,201
Niagara,Governor,,Niagara Falls 005 : 002,Andrew M. Cuomo ,DEM,194
Niagara,Governor,,Niagara Falls 005 : 003,Andrew M. Cuomo ,DEM,166
Niagara,Governor,,Niagara Falls 005 : 004,Andrew M. Cuomo ,DEM,163
Niagara,Governor,,Niagara Falls 005 : 005,Andrew M. Cuomo ,DEM,149
Niagara,Governor,,Niagara Falls 005 : 006,Andrew M. Cuomo ,DEM,132
Niagara,Governor,,Niagara Falls 006 : 001,Andrew M. Cuomo ,DEM,234
Niagara,Governor,,Niagara Falls 006 : 002,Andrew M. Cuomo ,DEM,198
Niagara,Governor,,Niagara Falls 006 : 003,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,Niagara Falls 006 : 004,Andrew M. Cuomo ,DEM,170
Niagara,Governor,,Niagara Falls 006 : 005,Andrew M. Cuomo ,DEM,122
Niagara,Governor,,Niagara Falls 006 : 006,Andrew M. Cuomo ,DEM,108
Niagara,Governor,,Niagara Falls 006 : 007,Andrew M. Cuomo ,DEM,155
Niagara,Governor,,Niagara Falls 006 : 008,Andrew M. Cuomo ,DEM,166
Niagara,Governor,,Niagara Falls 006 : 009,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,Niagara Falls 006 : 010,Andrew M. Cuomo ,DEM,143
Niagara,Governor,,Pendleton 000 : 001,Andrew M. Cuomo ,DEM,153
Niagara,Governor,,Pendleton 000 : 002,Andrew M. Cuomo ,DEM,127
Niagara,Governor,,Pendleton 000 : 003,Andrew M. Cuomo ,DEM,158
Niagara,Governor,,Pendleton 000 : 004,Andrew M. Cuomo ,DEM,201
Niagara,Governor,,Pendleton 000 : 005,Andrew M. Cuomo ,DEM,112
Niagara,Governor,,Pendleton 000 : 006,Andrew M. Cuomo ,DEM,142
Niagara,Governor,,Porter 000 : 001,Andrew M. Cuomo ,DEM,195
Niagara,Governor,,Porter 000 : 002,Andrew M. Cuomo ,DEM,143
Niagara,Governor,,Porter 000 : 003,Andrew M. Cuomo ,DEM,115
Niagara,Governor,,Porter 000 : 004,Andrew M. Cuomo ,DEM,80
Niagara,Governor,,Porter 000 : 005,Andrew M. Cuomo ,DEM,234
Niagara,Governor,,Porter 000 : 006,Andrew M. Cuomo ,DEM,139
Niagara,Governor,,Royalton 000 : 001,Andrew M. Cuomo ,DEM,134
Niagara,Governor,,Royalton 000 : 002,Andrew M. Cuomo ,DEM,136
Niagara,Governor,,Royalton 000 : 003,Andrew M. Cuomo ,DEM,105
Niagara,Governor,,Royalton 000 : 004,Andrew M. Cuomo ,DEM,46
Niagara,Governor,,Royalton 000 : 005,Andrew M. Cuomo ,DEM,46
Niagara,Governor,,Royalton 000 : 006,Andrew M. Cuomo ,DEM,142
Niagara,Governor,,Somerset 000 : 001,Andrew M. Cuomo ,DEM,79
Niagara,Governor,,Somerset 000 : 002,Andrew M. Cuomo ,DEM,86
Niagara,Governor,,Town of Lockport 000 : 001,Andrew M. Cuomo ,DEM,108
Niagara,Governor,,Town of Lockport 000 : 002,Andrew M. Cuomo ,DEM,140
Niagara,Governor,,Town of Lockport 000 : 003,Andrew M. Cuomo ,DEM,94
Niagara,Governor,,Town of Lockport 000 : 004,Andrew M. Cuomo ,DEM,220
Niagara,Governor,,Town of Lockport 000 : 005,Andrew M. Cuomo ,DEM,160
Niagara,Governor,,Town of Lockport 000 : 006,Andrew M. Cuomo ,DEM,179
Niagara,Governor,,Town of Lockport 000 : 007,Andrew M. Cuomo ,DEM,110
Niagara,Governor,,Town of Lockport 000 : 008,Andrew M. Cuomo ,DEM,103
Niagara,Governor,,Town of Lockport 000 : 009,Andrew M. Cuomo ,DEM,161
Niagara,Governor,,Town of Lockport 000 : 010,Andrew M. Cuomo ,DEM,104
Niagara,Governor,,Town of Lockport 000 : 011,Andrew M. Cuomo ,DEM,200
Niagara,Governor,,Town of Lockport 000 : 012,Andrew M. Cuomo ,DEM,164
Niagara,Governor,,Town of Lockport 000 : 013,Andrew M. Cuomo ,DEM,197
Niagara,Governor,,Town of Lockport 000 : 014,Andrew M. Cuomo ,DEM,250
Niagara,Governor,,Town of Lockport 000 : 015,Andrew M. Cuomo ,DEM,217
Niagara,Governor,,Town of Lockport 000 : 016,Andrew M. Cuomo ,DEM,135
Niagara,Governor,,Town of Niagara 000 : 001,Andrew M. Cuomo ,DEM,106
Niagara,Governor,,Town of Niagara 000 : 002,Andrew M. Cuomo ,DEM,43
Niagara,Governor,,Town of Niagara 000 : 003,Andrew M. Cuomo ,DEM,140
Niagara,Governor,,Town of Niagara 000 : 004,Andrew M. Cuomo ,DEM,99
Niagara,Governor,,Town of Niagara 000 : 005,Andrew M. Cuomo ,DEM,208
Niagara,Governor,,Town of Niagara 000 : 006,Andrew M. Cuomo ,DEM,89
Niagara,Governor,,Town of Niagara 000 : 007,Andrew M. Cuomo ,DEM,185
Niagara,Governor,,Wheatfield 000 : 001,Andrew M. Cuomo ,DEM,78
Niagara,Governor,,Wheatfield 000 : 002,Andrew M. Cuomo ,DEM,126
Niagara,Governor,,Wheatfield 000 : 003,Andrew M. Cuomo ,DEM,173
Niagara,Governor,,Wheatfield 000 : 004,Andrew M. Cuomo ,DEM,165
Niagara,Governor,,Wheatfield 000 : 005,Andrew M. Cuomo ,DEM,245
Niagara,Governor,,Wheatfield 000 : 006,Andrew M. Cuomo ,DEM,217
Niagara,Governor,,Wheatfield 000 : 007,Andrew M. Cuomo ,DEM,200
Niagara,Governor,,Wheatfield 000 : 008,Andrew M. Cuomo ,DEM,167
Niagara,Governor,,Wheatfield 000 : 009,Andrew M. Cuomo ,DEM,132
Niagara,Governor,,Wheatfield 000 : 010,Andrew M. Cuomo ,DEM,158
Niagara,Governor,,Wheatfield 000 : 011,Andrew M. Cuomo ,DEM,262
Niagara,Governor,,Wheatfield 000 : 012,Andrew M. Cuomo ,DEM,205
Niagara,Governor,,Wheatfield 000 : 013,Andrew M. Cuomo ,DEM,152
Niagara,Governor,,Wheatfield 000 : 014,Andrew M. Cuomo ,DEM,154
Niagara,Governor,,Wilson 000 : 001,Andrew M. Cuomo ,DEM,134
Niagara,Governor,,Wilson 000 : 002,Andrew M. Cuomo ,DEM,109
Niagara,Governor,,Wilson 000 : 003,Andrew M. Cuomo ,DEM,132
Niagara,Governor,,Wilson 000 : 004,Andrew M. Cuomo ,DEM,104
Niagara,Governor,,Wilson 000 : 005,Andrew M. Cuomo ,DEM,103
Niagara,Governor,,Cambria 000  : 001,Marc Molinaro ,REP,260
Niagara,Governor,,Cambria 000  : 002,Marc Molinaro ,REP,341
Niagara,Governor,,Cambria 000  : 003,Marc Molinaro ,REP,337
Niagara,Governor,,Cambria 000  : 004,Marc Molinaro ,REP,354
Niagara,Governor,,City of Lockport 001 : 001,Marc Molinaro ,REP,131
Niagara,Governor,,City of Lockport 001 : 002,Marc Molinaro ,REP,140
Niagara,Governor,,City of Lockport 001 : 003,Marc Molinaro ,REP,175
Niagara,Governor,,City of Lockport 001 : 004,Marc Molinaro ,REP,33
Niagara,Governor,,City of Lockport 002 : 001,Marc Molinaro ,REP,83
Niagara,Governor,,City of Lockport 002 : 002,Marc Molinaro ,REP,132
Niagara,Governor,,City of Lockport 002 : 003,Marc Molinaro ,REP,191
Niagara,Governor,,City of Lockport 002 : 004,Marc Molinaro ,REP,254
Niagara,Governor,,City of Lockport 003 : 001,Marc Molinaro ,REP,184
Niagara,Governor,,City of Lockport 003 : 002,Marc Molinaro ,REP,128
Niagara,Governor,,City of Lockport 003 : 003,Marc Molinaro ,REP,136
Niagara,Governor,,City of Lockport 004 : 001,Marc Molinaro ,REP,152
Niagara,Governor,,City of Lockport 004 : 002,Marc Molinaro ,REP,114
Niagara,Governor,,City of Lockport 004 : 003,Marc Molinaro ,REP,201
Niagara,Governor,,City of Lockport 004 : 004,Marc Molinaro ,REP,74
Niagara,Governor,,City of Lockport 005 : 001,Marc Molinaro ,REP,102
Niagara,Governor,,City of Lockport 005 : 002,Marc Molinaro ,REP,170
Niagara,Governor,,City of Lockport 005 : 003,Marc Molinaro ,REP,242
Niagara,Governor,,City of Lockport 005 : 004,Marc Molinaro ,REP,118
Niagara,Governor,,Hartland 000 : 001,Marc Molinaro ,REP,278
Niagara,Governor,,Hartland 000 : 002,Marc Molinaro ,REP,293
Niagara,Governor,,Hartland 000 : 003,Marc Molinaro ,REP,256
Niagara,Governor,,Lewiston 000 : 001,Marc Molinaro ,REP,186
Niagara,Governor,,Lewiston 000 : 002,Marc Molinaro ,REP,209
Niagara,Governor,,Lewiston 000 : 003,Marc Molinaro ,REP,169
Niagara,Governor,,Lewiston 000 : 004,Marc Molinaro ,REP,277
Niagara,Governor,,Lewiston 000 : 005,Marc Molinaro ,REP,269
Niagara,Governor,,Lewiston 000 : 006,Marc Molinaro ,REP,270
Niagara,Governor,,Lewiston 000 : 007,Marc Molinaro ,REP,228
Niagara,Governor,,Lewiston 000 : 008,Marc Molinaro ,REP,255
Niagara,Governor,,Lewiston 000 : 009,Marc Molinaro ,REP,275
Niagara,Governor,,Lewiston 000 : 010,Marc Molinaro ,REP,182
Niagara,Governor,,Lewiston 000 : 011,Marc Molinaro ,REP,242
Niagara,Governor,,Lewiston 000 : 012,Marc Molinaro ,REP,231
Niagara,Governor,,Lewiston 000 : 013,Marc Molinaro ,REP,264
Niagara,Governor,,Lewiston 000 : 014,Marc Molinaro ,REP,215
Niagara,Governor,,N Tonawanda 001 : 001,Marc Molinaro ,REP,157
Niagara,Governor,,N Tonawanda 001 : 002,Marc Molinaro ,REP,177
Niagara,Governor,,N Tonawanda 001 : 003,Marc Molinaro ,REP,141
Niagara,Governor,,N Tonawanda 001 : 004,Marc Molinaro ,REP,206
Niagara,Governor,,N Tonawanda 001 : 005,Marc Molinaro ,REP,177
Niagara,Governor,,N Tonawanda 001 : 006,Marc Molinaro ,REP,161
Niagara,Governor,,N Tonawanda 001 : 007,Marc Molinaro ,REP,103
Niagara,Governor,,N Tonawanda 001 : 008,Marc Molinaro ,REP,84
Niagara,Governor,,N Tonawanda 001 : 009,Marc Molinaro ,REP,185
Niagara,Governor,,N Tonawanda 001 : 010,Marc Molinaro ,REP,144
Niagara,Governor,,N Tonawanda 002 : 001,Marc Molinaro ,REP,94
Niagara,Governor,,N Tonawanda 002 : 002,Marc Molinaro ,REP,105
Niagara,Governor,,N Tonawanda 002 : 003,Marc Molinaro ,REP,159
Niagara,Governor,,N Tonawanda 002 : 004,Marc Molinaro ,REP,102
Niagara,Governor,,N Tonawanda 002 : 005,Marc Molinaro ,REP,114
Niagara,Governor,,N Tonawanda 002 : 006,Marc Molinaro ,REP,1
Niagara,Governor,,N Tonawanda 002 : 007,Marc Molinaro ,REP,180
Niagara,Governor,,N Tonawanda 002 : 008,Marc Molinaro ,REP,102
Niagara,Governor,,N Tonawanda 002 : 009,Marc Molinaro ,REP,79
Niagara,Governor,,N Tonawanda 002 : 010,Marc Molinaro ,REP,85
Niagara,Governor,,N Tonawanda 002 : 011,Marc Molinaro ,REP,68
Niagara,Governor,,N Tonawanda 003 : 001,Marc Molinaro ,REP,155
Niagara,Governor,,N Tonawanda 003 : 002,Marc Molinaro ,REP,116
Niagara,Governor,,N Tonawanda 003 : 003,Marc Molinaro ,REP,86
Niagara,Governor,,N Tonawanda 003 : 004,Marc Molinaro ,REP,257
Niagara,Governor,,N Tonawanda 003 : 005,Marc Molinaro ,REP,164
Niagara,Governor,,N Tonawanda 003 : 006,Marc Molinaro ,REP,200
Niagara,Governor,,N Tonawanda 003 : 007,Marc Molinaro ,REP,143
Niagara,Governor,,N Tonawanda 003 : 008,Marc Molinaro ,REP,126
Niagara,Governor,,N Tonawanda 003 : 009,Marc Molinaro ,REP,155
Niagara,Governor,,N Tonawanda 003 : 010,Marc Molinaro ,REP,114
Niagara,Governor,,N Tonawanda 003 : 011,Marc Molinaro ,REP,141
Niagara,Governor,,N Tonawanda 003 : 012,Marc Molinaro ,REP,259
Niagara,Governor,,Newfane 000 : 001,Marc Molinaro ,REP,143
Niagara,Governor,,Newfane 000 : 002,Marc Molinaro ,REP,215
Niagara,Governor,,Newfane 000 : 003,Marc Molinaro ,REP,228
Niagara,Governor,,Newfane 000 : 004,Marc Molinaro ,REP,331
Niagara,Governor,,Newfane 000 : 005,Marc Molinaro ,REP,338
Niagara,Governor,,Newfane 000 : 006,Marc Molinaro ,REP,257
Niagara,Governor,,Newfane 000 : 007,Marc Molinaro ,REP,246
Niagara,Governor,,Newfane 000 : 008,Marc Molinaro ,REP,198
Niagara,Governor,,Niagara Falls 003 : 001,Marc Molinaro ,REP,119
Niagara,Governor,,Niagara Falls 003 : 002,Marc Molinaro ,REP,181
Niagara,Governor,,Niagara Falls 003 : 003,Marc Molinaro ,REP,202
Niagara,Governor,,Niagara Falls 003 : 004,Marc Molinaro ,REP,208
Niagara,Governor,,Niagara Falls 003 : 005,Marc Molinaro ,REP,243
Niagara,Governor,,Niagara Falls 003 : 006,Marc Molinaro ,REP,185
Niagara,Governor,,Niagara Falls 003 : 007,Marc Molinaro ,REP,258
Niagara,Governor,,Niagara Falls 003 : 008,Marc Molinaro ,REP,206
Niagara,Governor,,Niagara Falls 003 : 009,Marc Molinaro ,REP,99
Niagara,Governor,,Niagara Falls 003 : 010,Marc Molinaro ,REP,146
Niagara,Governor,,Niagara Falls 003 : 011,Marc Molinaro ,REP,139
Niagara,Governor,,Niagara Falls 003 : 012,Marc Molinaro ,REP,69
Niagara,Governor,,Niagara Falls 003 : 013,Marc Molinaro ,REP,6
Niagara,Governor,,Niagara Falls 004 : 001,Marc Molinaro ,REP,11
Niagara,Governor,,Niagara Falls 004 : 002,Marc Molinaro ,REP,71
Niagara,Governor,,Niagara Falls 004 : 003,Marc Molinaro ,REP,21
Niagara,Governor,,Niagara Falls 004 : 004,Marc Molinaro ,REP,65
Niagara,Governor,,Niagara Falls 004 : 005,Marc Molinaro ,REP,29
Niagara,Governor,,Niagara Falls 004 : 006,Marc Molinaro ,REP,51
Niagara,Governor,,Niagara Falls 004 : 007,Marc Molinaro ,REP,86
Niagara,Governor,,Niagara Falls 004 : 008,Marc Molinaro ,REP,66
Niagara,Governor,,Niagara Falls 005 : 001,Marc Molinaro ,REP,226
Niagara,Governor,,Niagara Falls 005 : 002,Marc Molinaro ,REP,143
Niagara,Governor,,Niagara Falls 005 : 003,Marc Molinaro ,REP,125
Niagara,Governor,,Niagara Falls 005 : 004,Marc Molinaro ,REP,76
Niagara,Governor,,Niagara Falls 005 : 005,Marc Molinaro ,REP,112
Niagara,Governor,,Niagara Falls 005 : 006,Marc Molinaro ,REP,131
Niagara,Governor,,Niagara Falls 006 : 001,Marc Molinaro ,REP,149
Niagara,Governor,,Niagara Falls 006 : 002,Marc Molinaro ,REP,164
Niagara,Governor,,Niagara Falls 006 : 003,Marc Molinaro ,REP,85
Niagara,Governor,,Niagara Falls 006 : 004,Marc Molinaro ,REP,106
Niagara,Governor,,Niagara Falls 006 : 005,Marc Molinaro ,REP,88
Niagara,Governor,,Niagara Falls 006 : 006,Marc Molinaro ,REP,66
Niagara,Governor,,Niagara Falls 006 : 007,Marc Molinaro ,REP,69
Niagara,Governor,,Niagara Falls 006 : 008,Marc Molinaro ,REP,128
Niagara,Governor,,Niagara Falls 006 : 009,Marc Molinaro ,REP,119
Niagara,Governor,,Niagara Falls 006 : 010,Marc Molinaro ,REP,196
Niagara,Governor,,Pendleton 000 : 001,Marc Molinaro ,REP,259
Niagara,Governor,,Pendleton 000 : 002,Marc Molinaro ,REP,231
Niagara,Governor,,Pendleton 000 : 003,Marc Molinaro ,REP,268
Niagara,Governor,,Pendleton 000 : 004,Marc Molinaro ,REP,309
Niagara,Governor,,Pendleton 000 : 005,Marc Molinaro ,REP,232
Niagara,Governor,,Pendleton 000 : 006,Marc Molinaro ,REP,289
Niagara,Governor,,Porter 000 : 001,Marc Molinaro ,REP,242
Niagara,Governor,,Porter 000 : 002,Marc Molinaro ,REP,265
Niagara,Governor,,Porter 000 : 003,Marc Molinaro ,REP,229
Niagara,Governor,,Porter 000 : 004,Marc Molinaro ,REP,172
Niagara,Governor,,Porter 000 : 005,Marc Molinaro ,REP,278
Niagara,Governor,,Porter 000 : 006,Marc Molinaro ,REP,296
Niagara,Governor,,Royalton 000 : 001,Marc Molinaro ,REP,285
Niagara,Governor,,Royalton 000 : 002,Marc Molinaro ,REP,296
Niagara,Governor,,Royalton 000 : 003,Marc Molinaro ,REP,347
Niagara,Governor,,Royalton 000 : 004,Marc Molinaro ,REP,227
Niagara,Governor,,Royalton 000 : 005,Marc Molinaro ,REP,193
Niagara,Governor,,Royalton 000 : 006,Marc Molinaro ,REP,251
Niagara,Governor,,Somerset 000 : 001,Marc Molinaro ,REP,285
Niagara,Governor,,Somerset 000 : 002,Marc Molinaro ,REP,307
Niagara,Governor,,Town of Lockport 000 : 001,Marc Molinaro ,REP,211
Niagara,Governor,,Town of Lockport 000 : 002,Marc Molinaro ,REP,215
Niagara,Governor,,Town of Lockport 000 : 003,Marc Molinaro ,REP,112
Niagara,Governor,,Town of Lockport 000 : 004,Marc Molinaro ,REP,230
Niagara,Governor,,Town of Lockport 000 : 005,Marc Molinaro ,REP,185
Niagara,Governor,,Town of Lockport 000 : 006,Marc Molinaro ,REP,202
Niagara,Governor,,Town of Lockport 000 : 007,Marc Molinaro ,REP,169
Niagara,Governor,,Town of Lockport 000 : 008,Marc Molinaro ,REP,149
Niagara,Governor,,Town of Lockport 000 : 009,Marc Molinaro ,REP,291
Niagara,Governor,,Town of Lockport 000 : 010,Marc Molinaro ,REP,123
Niagara,Governor,,Town of Lockport 000 : 011,Marc Molinaro ,REP,230
Niagara,Governor,,Town of Lockport 000 : 012,Marc Molinaro ,REP,227
Niagara,Governor,,Town of Lockport 000 : 013,Marc Molinaro ,REP,239
Niagara,Governor,,Town of Lockport 000 : 014,Marc Molinaro ,REP,310
Niagara,Governor,,Town of Lockport 000 : 015,Marc Molinaro ,REP,264
Niagara,Governor,,Town of Lockport 000 : 016,Marc Molinaro ,REP,268
Niagara,Governor,,Town of Niagara 000 : 001,Marc Molinaro ,REP,108
Niagara,Governor,,Town of Niagara 000 : 002,Marc Molinaro ,REP,81
Niagara,Governor,,Town of Niagara 000 : 003,Marc Molinaro ,REP,179
Niagara,Governor,,Town of Niagara 000 : 004,Marc Molinaro ,REP,105
Niagara,Governor,,Town of Niagara 000 : 005,Marc Molinaro ,REP,246
Niagara,Governor,,Town of Niagara 000 : 006,Marc Molinaro ,REP,115
Niagara,Governor,,Town of Niagara 000 : 007,Marc Molinaro ,REP,286
Niagara,Governor,,Wheatfield 000 : 001,Marc Molinaro ,REP,222
Niagara,Governor,,Wheatfield 000 : 002,Marc Molinaro ,REP,220
Niagara,Governor,,Wheatfield 000 : 003,Marc Molinaro ,REP,163
Niagara,Governor,,Wheatfield 000 : 004,Marc Molinaro ,REP,214
Niagara,Governor,,Wheatfield 000 : 005,Marc Molinaro ,REP,300
Niagara,Governor,,Wheatfield 000 : 006,Marc Molinaro ,REP,243
Niagara,Governor,,Wheatfield 000 : 007,Marc Molinaro ,REP,316
