candidate,office,county,district,party,precinct,votes,winner
Hillary Clinton,President,Genesee,,Democratic,,1393,
Hillary Clinton,President,Greene,,Democratic,,1195,
Hillary Clinton,President,Hamilton,,Democratic,,141,
Hillary Clinton,President,Herkimer,,Democratic,,1507,
Hillary Clinton,President,Jefferson,,Democratic,,2579,
Hillary Clinton,President,Lewis,,Democratic,,492,
Hillary Clinton,President,Livingston,,Democratic,,1685,
Hillary Clinton,President,Madison,,Democratic,,2039,
Hillary Clinton,President,Monroe,,Democratic,,39310,
Hillary Clinton,President,Montgomery,,Democratic,,1298,
Hillary Clinton,President,Nassau,,Democratic,,74870,
Hillary Clinton,President,Niagara,,Democratic,,8202,
Hillary Clinton,President,Oneida,,Democratic,,6586,
Hillary Clinton,President,Onondaga,,Democratic,,21786,
Hillary Clinton,President,Ontario,,Democratic,,4040,
Hillary Clinton,President,Orange,,Democratic,,12855,
Hillary Clinton,President,Orleans,,Democratic,,725,
Hillary Clinton,President,Oswego,,Democratic,,2631,
Hillary Clinton,President,Otsego,,Democratic,,1995,
Hillary Clinton,President,Putnam,,Democratic,,3718,
Hillary Clinton,President,Rensselaer,,Democratic,,5068,
Hillary Clinton,President,Rockland,,Democratic,,17868,
Hillary Clinton,President,St. Lawrence,,Democratic,,3142,
Hillary Clinton,President,Saratoga,,Democratic,,7672,
Hillary Clinton,President,Schenectady,,Democratic,,6526,
Hillary Clinton,President,Schoharie,,Democratic,,706,
Hillary Clinton,President,Schuyler,,Democratic,,548,
Hillary Clinton,President,Seneca,,Democratic,,1125,
Hillary Clinton,President,Steuben,,Democratic,,2149,
Hillary Clinton,President,Suffolk,,Democratic,,53420,
Hillary Clinton,President,Sullivan,,Democratic,,2369,
Hillary Clinton,President,Tioga,,Democratic,,1318,
Hillary Clinton,President,Tompkins,,Democratic,,6138,
Hillary Clinton,President,Ulster,,Democratic,,7642,
Hillary Clinton,President,Warren,,Democratic,,1868,
Hillary Clinton,President,Washington,,Democratic,,1292,
Hillary Clinton,President,Wayne,,Democratic,,1988,
Hillary Clinton,President,Westchester,,Democratic,,74900,
Hillary Clinton,President,Wyoming,,Democratic,,639,
Hillary Clinton,President,Yates,,Democratic,,637,
Hillary Clinton,President,Bronx,,Democratic,,105719,
Hillary Clinton,President,Kings,,Democratic,,183662,
Hillary Clinton,President,New York,,Democratic,,190806,
Hillary Clinton,President,Queens,,Democratic,,133210,
Hillary Clinton,President,Richmond,,Democratic,,17612,
Hillary Clinton,President,,,Democratic,,1133980,1
