county,precinct,office,district,party,candidate,total,machine_votes,absentee,absentee_hc,affidavit
St. Lawrence,Piercefield 1,,,,Ballots Cast,137,123,14,,0
St. Lawrence,Pierrepont 1,,,,Ballots Cast,665,621,40,,4
St. Lawrence,Pierrepont 2,,,,Ballots Cast,566,510,44,,12
St. Lawrence,Pitcairn 1,,,,Ballots Cast,314,290,23,,1
St. Lawrence,Potsdam 1,,,,Ballots Cast,613,554,57,,2
St. Lawrence,Potsdam 2,,,,Ballots Cast,538,482,49,,7
St. Lawrence,Potsdam 3,,,,Ballots Cast,460,423,32,,5
St. Lawrence,Potsdam 4,,,,Ballots Cast,620,562,45,,13
St. Lawrence,Potsdam 5,,,,Ballots Cast,616,535,74,,7
St. Lawrence,Potsdam 6,,,,Ballots Cast,587,532,39,,16
St. Lawrence,Potsdam 7,,,,Ballots Cast,562,502,53,,7
St. Lawrence,Potsdam 8,,,,Ballots Cast,659,614,36,,9
St. Lawrence,Rossie 1,,,,Ballots Cast,241,225,13,,3
St. Lawrence,Russell 1,,,,Ballots Cast,711,678,26,,7
St. Lawrence,Stockholm 1,,,,Ballots Cast,637,599,33,,5
St. Lawrence,Stockholm 2,,,,Ballots Cast,523,497,25,,1
St. Lawrence,Stockholm 3,,,,Ballots Cast,288,266,19,,3
St. Lawrence,Waddington 1,,,,Ballots Cast,523,442,69,,12
St. Lawrence,Waddington 2,,,,Ballots Cast,604,554,43,,7
St. Lawrence,Ogdensburg 1,,,,Ballots Cast,514,466,39,,9
St. Lawrence,Ogdensburg 2,,,,Ballots Cast,514,485,20,,9
St. Lawrence,Ogdensburg 3,,,,Ballots Cast,704,629,64,,11
St. Lawrence,Ogdensburg 4,,,,Ballots Cast,589,536,50,,3
St. Lawrence,Ogdensburg 5,,,,Ballots Cast,532,480,43,,9
St. Lawrence,Ogdensburg 6,,,,Ballots Cast,605,505,94,,6
St. Lawrence,TOTAL,,,,Ballots Cast,39632,35927,3193,,512
St. Lawrence,Brasher 1,,,,Registered Voters,607,,,,
St. Lawrence,Brasher 2,,,,Registered Voters,759,,,,
St. Lawrence,Canton 1,,,,Registered Voters,828,,,,
St. Lawrence,Canton 2,,,,Registered Voters,913,,,,
St. Lawrence,Canton 3,,,,Registered Voters,661,,,,
St. Lawrence,Canton 4,,,,Registered Voters,168,,,,
St. Lawrence,Canton 5,,,,Registered Voters,453,,,,
St. Lawrence,Canton 6,,,,Registered Voters,721,,,,
St. Lawrence,Canton 7,,,,Registered Voters,318,,,,
St. Lawrence,Canton 8,,,,Registered Voters,962,,,,
St. Lawrence,Clare 1,,,,Registered Voters,73,,,,
St. Lawrence,Clifton 1,,,,Registered Voters,228,,,,
St. Lawrence,Clifton 2,,,,Registered Voters,195,,,,
St. Lawrence,Colton 1,,,,Registered Voters,1110,,,,
St. Lawrence,DeKalb 1,,,,Registered Voters,668,,,,
St. Lawrence,DeKalb 2,,,,Registered Voters,496,,,,
St. Lawrence,DePeyster 1,,,,Registered Voters,355,,,,
St. Lawrence,Edwards 1,,,,Registered Voters,647,,,,
St. Lawrence,Fine 1,,,,Registered Voters,875,,,,
St. Lawrence,Fowler 1,,,,Registered Voters,575,,,,
St. Lawrence,Fowler 2,,,,Registered Voters,790,,,,
St. Lawrence,Gouverneur 1,,,,Registered Voters,819,,,,
St. Lawrence,Gouverneur 2,,,,Registered Voters,950,,,,
St. Lawrence,Gouverneur 3,,,,Registered Voters,523,,,,
St. Lawrence,Gouverneur 4,,,,Registered Voters,647,,,,
St. Lawrence,Hammond 1,,,,Registered Voters,827,,,,
St. Lawrence,Hermon 1,,,,Registered Voters,659,,,,
St. Lawrence,Hopkinton 1,,,,Registered Voters,653,,,,
St. Lawrence,Lawrence 1,,,,Registered Voters,948,,,,
St. Lawrence,Lisbon 1,,,,Registered Voters,838,,,,
St. Lawrence,Lisbon 2,,,,Registered Voters,733,,,,
St. Lawrence,Lisbon 3,,,,Registered Voters,782,,,,
St. Lawrence,Louisville 1,,,,Registered Voters,644,,,,
St. Lawrence,Louisville 2,,,,Registered Voters,668,,,,
St. Lawrence,Louisville 3,,,,Registered Voters,485,,,,
St. Lawrence,Louisville 4,,,,Registered Voters,321,,,,
St. Lawrence,Macomb 1,,,,Registered Voters,537,,,,
St. Lawrence,Madrid 1,,,,Registered Voters,999,,,,
St. Lawrence,Massena 1,,,,Registered Voters,1155,,,,
St. Lawrence,Massena 2,,,,Registered Voters,980,,,,
St. Lawrence,Massena 3,,,,Registered Voters,881,,,,
St. Lawrence,Massena 4,,,,Registered Voters,478,,,,
St. Lawrence,Massena 5,,,,Registered Voters,975,,,,
St. Lawrence,Massena 6,,,,Registered Voters,855,,,,
St. Lawrence,Massena 7,,,,Registered Voters,746,,,,
St. Lawrence,Massena 8,,,,Registered Voters,615,,,,
St. Lawrence,Morristown 1,,,,Registered Voters,488,,,,
St. Lawrence,Morristown 2,,,,Registered Voters,720,,,,
St. Lawrence,Norfolk 1,,,,Registered Voters,792,,,,
St. Lawrence,Norfolk 2,,,,Registered Voters,960,,,,
St. Lawrence,Norfolk 3,,,,Registered Voters,810,,,,
St. Lawrence,Oswegatchie 1,,,,Registered Voters,1124,,,,
St. Lawrence,Oswegatchie 2,,,,Registered Voters,964,,,,
St. Lawrence,Oswegatchie 3,,,,Registered Voters,448,,,,
St. Lawrence,Parishville 1,,,,Registered Voters,525,,,,
St. Lawrence,Parishville 2,,,,Registered Voters,792,,,,
St. Lawrence,Piercefield 1,,,,Registered Voters,197,,,,
St. Lawrence,Pierrepont 1,,,,Registered Voters,989,,,,
St. Lawrence,Pierrepont 2,,,,Registered Voters,750,,,,
St. Lawrence,Pitcairn 1,,,,Registered Voters,468,,,,
St. Lawrence,Potsdam 1,,,,Registered Voters,821,,,,
St. Lawrence,Potsdam 2,,,,Registered Voters,749,,,,
St. Lawrence,Potsdam 3,,,,Registered Voters,654,,,,
St. Lawrence,Potsdam 4,,,,Registered Voters,969,,,,
St. Lawrence,Potsdam 5,,,,Registered Voters,867,,,,
St. Lawrence,Potsdam 6,,,,Registered Voters,995,,,,
St. Lawrence,Potsdam 7,,,,Registered Voters,766,,,,
St. Lawrence,Potsdam 8,,,,Registered Voters,955,,,,
St. Lawrence,Rossie 1,,,,Registered Voters,387,,,,
St. Lawrence,Russell 1,,,,Registered Voters,1118,,,,
St. Lawrence,Stockholm 1,,,,Registered Voters,890,,,,
St. Lawrence,Stockholm 2,,,,Registered Voters,784,,,,
St. Lawrence,Stockholm 3,,,,Registered Voters,465,,,,
St. Lawrence,Waddington 1,,,,Registered Voters,685,,,,
St. Lawrence,Waddington 2,,,,Registered Voters,875,,,,
St. Lawrence,Ogdensburg 1,,,,Registered Voters,835,,,,
St. Lawrence,Ogdensburg 2,,,,Registered Voters,947,,,,
St. Lawrence,Ogdensburg 3,,,,Registered Voters,1035,,,,
St. Lawrence,Ogdensburg 4,,,,Registered Voters,934,,,,
St. Lawrence,Ogdensburg 5,,,,Registered Voters,902,,,,
St. Lawrence,Ogdensburg 6,,,,Registered Voters,839,,,,
St. Lawrence,TOTAL,,,,Registered Voters,58619,,,,
St. Lawrence,Brasher 1,President,,DEM,Hillary Clinton,114,106,8,0,0
St. Lawrence,Brasher 2,President,,DEM,Hillary Clinton,180,161,17,0,2
St. Lawrence,Canton 1,President,,DEM,Hillary Clinton,445,394,40,9,2
St. Lawrence,Canton 2,President,,DEM,Hillary Clinton,284,236,41,6,1
St. Lawrence,Canton 3,President,,DEM,Hillary Clinton,311,256,48,3,4
St. Lawrence,Canton 4,President,,DEM,Hillary Clinton,42,38,3,1,0
St. Lawrence,Canton 5,President,,DEM,Hillary Clinton,119,108,10,1,0
St. Lawrence,Canton 6,President,,DEM,Hillary Clinton,287,260,16,3,8
St. Lawrence,Canton 7,President,,DEM,Hillary Clinton,95,81,13,1,0
St. Lawrence,Canton 8,President,,DEM,Hillary Clinton,306,252,42,6,6
St. Lawrence,Clare 1,President,,DEM,Hillary Clinton,17,17,0,0,0
St. Lawrence,Clifton 1,President,,DEM,Hillary Clinton,61,56,5,0,0
St. Lawrence,Clifton 2,President,,DEM,Hillary Clinton,53,49,4,0,0
St. Lawrence,Colton 1,President,,DEM,Hillary Clinton,343,289,50,2,2
St. Lawrence,DeKalb 1,President,,DEM,Hillary Clinton,175,154,18,1,2
St. Lawrence,DeKalb 2,President,,DEM,Hillary Clinton,109,105,4,0,0
St. Lawrence,DePeyster 1,President,,DEM,Hillary Clinton,52,46,5,1,0
St. Lawrence,Edwards 1,President,,DEM,Hillary Clinton,133,128,5,0,0
St. Lawrence,Fine 1,President,,DEM,Hillary Clinton,222,206,14,2,0
St. Lawrence,Fowler 1,President,,DEM,Hillary Clinton,104,97,6,1,0
St. Lawrence,Fowler 2,President,,DEM,Hillary Clinton,153,128,23,1,1
St. Lawrence,Gouverneur 1,President,,DEM,Hillary Clinton,228,204,16,5,3
St. Lawrence,Gouverneur 2,President,,DEM,Hillary Clinton,195,182,5,4,4
St. Lawrence,Gouverneur 3,President,,DEM,Hillary Clinton,106,97,8,0,1
St. Lawrence,Gouverneur 4,President,,DEM,Hillary Clinton,104,97,6,0,1
St. Lawrence,Hammond 1,President,,DEM,Hillary Clinton,202,169,31,1,1
St. Lawrence,Hermon 1,President,,DEM,Hillary Clinton,139,115,20,4,0
St. Lawrence,Hopkinton 1,President,,DEM,Hillary Clinton,133,129,1,2,1
St. Lawrence,Lawrence 1,President,,DEM,Hillary Clinton,212,200,10,0,2
St. Lawrence,Lisbon 1,President,,DEM,Hillary Clinton,175,158,13,3,1
St. Lawrence,Lisbon 2,President,,DEM,Hillary Clinton,129,119,7,2,1
St. Lawrence,Lisbon 3,President,,DEM,Hillary Clinton,148,131,14,0,3
St. Lawrence,Louisville 1,President,,DEM,Hillary Clinton,186,155,26,1,4
St. Lawrence,Louisville 2,President,,DEM,Hillary Clinton,199,177,19,2,1
St. Lawrence,Louisville 3,President,,DEM,Hillary Clinton,142,120,21,1,0
St. Lawrence,Louisville 4,President,,DEM,Hillary Clinton,118,104,13,1,0
St. Lawrence,Macomb 1,President,,DEM,Hillary Clinton,113,99,13,1,0
St. Lawrence,Madrid 1,President,,DEM,Hillary Clinton,256,232,20,3,1
St. Lawrence,Massena 1,President,,DEM,Hillary Clinton,400,357,36,5,2
St. Lawrence,Massena 2,President,,DEM,Hillary Clinton,283,252,28,1,2
St. Lawrence,Massena 3,President,,DEM,Hillary Clinton,265,240,18,3,4
St. Lawrence,Massena 4,President,,DEM,Hillary Clinton,121,113,7,0,1
St. Lawrence,Massena 5,President,,DEM,Hillary Clinton,250,228,19,0,3
St. Lawrence,Massena 6,President,,DEM,Hillary Clinton,264,233,22,5,4
St. Lawrence,Massena 7,President,,DEM,Hillary Clinton,209,188,16,1,4
St. Lawrence,Massena 8,President,,DEM,Hillary Clinton,162,143,17,1,1
St. Lawrence,Morristown 1,President,,DEM,Hillary Clinton,89,76,12,1,0
St. Lawrence,Morristown 2,President,,DEM,Hillary Clinton,169,151,16,2,0
St. Lawrence,Norfolk 1,President,,DEM,Hillary Clinton,198,184,11,1,2
St. Lawrence,Norfolk 2,President,,DEM,Hillary Clinton,231,207,19,2,3
St. Lawrence,Norfolk 3,President,,DEM,Hillary Clinton,187,167,16,2,2
St. Lawrence,Oswegatchie 1,President,,DEM,Hillary Clinton,213,189,18,0,6
St. Lawrence,Oswegatchie 2,President,,DEM,Hillary Clinton,216,182,26,4,4
St. Lawrence,Oswegatchie 3,President,,DEM,Hillary Clinton,104,92,8,2,2
St. Lawrence,Parishville 1,President,,DEM,Hillary Clinton,96,87,5,2,2
St. Lawrence,Parishville 2,President,,DEM,Hillary Clinton,171,154,15,1,1
St. Lawrence,Piercefield 1,President,,DEM,Hillary Clinton,72,65,7,0,0
St. Lawrence,Pierrepont 1,President,,DEM,Hillary Clinton,254,235,17,1,1
St. Lawrence,Pierrepont 2,President,,DEM,Hillary Clinton,253,225,19,2,7
St. Lawrence,Pitcairn 1,President,,DEM,Hillary Clinton,93,84,8,1,0
St. Lawrence,Potsdam 1,President,,DEM,Hillary Clinton,305,269,31,3,2
St. Lawrence,Potsdam 2,President,,DEM,Hillary Clinton,213,190,20,2,1
St. Lawrence,Potsdam 3,President,,DEM,Hillary Clinton,190,166,18,2,4
St. Lawrence,Potsdam 4,President,,DEM,Hillary Clinton,339,302,25,5,7
St. Lawrence,Potsdam 5,President,,DEM,Hillary Clinton,389,332,45,7,5
St. Lawrence,Potsdam 6,President,,DEM,Hillary Clinton,390,349,26,5,10
St. Lawrence,Potsdam 7,President,,DEM,Hillary Clinton,371,328,31,9,3
St. Lawrence,Potsdam 8,President,,DEM,Hillary Clinton,309,282,21,2,4
St. Lawrence,Rossie 1,President,,DEM,Hillary Clinton,89,82,6,0,1
St. Lawrence,Russell 1,President,,DEM,Hillary Clinton,218,206,11,1,0
St. Lawrence,Stockholm 1,President,,DEM,Hillary Clinton,251,234,14,2,1
St. Lawrence,Stockholm 2,President,,DEM,Hillary Clinton,174,162,11,1,0
St. Lawrence,Stockholm 3,President,,DEM,Hillary Clinton,69,60,9,0,0
St. Lawrence,Waddington 1,President,,DEM,Hillary Clinton,225,183,35,3,4
St. Lawrence,Waddington 2,President,,DEM,Hillary Clinton,189,168,18,0,3
St. Lawrence,Ogdensburg 1,President,,DEM,Hillary Clinton,208,181,18,5,4
St. Lawrence,Ogdensburg 2,President,,DEM,Hillary Clinton,170,157,9,1,3
St. Lawrence,Ogdensburg 3,President,,DEM,Hillary Clinton,277,238,29,7,3
St. Lawrence,Ogdensburg 4,President,,DEM,Hillary Clinton,226,206,20,0,0
St. Lawrence,Ogdensburg 5,President,,DEM,Hillary Clinton,215,187,23,3,2
St. Lawrence,Ogdensburg 6,President,,DEM,Hillary Clinton,242,192,47,0,3
St. Lawrence,TOTAL,President,,DEM,Hillary Clinton,15749,13981,1442,163,163
St. Lawrence,Brasher 1,President,,REP,Donald J. Trump,213,204,6,0,3
St. Lawrence,Brasher 2,President,,REP,Donald J. Trump,266,248,9,1,8
St. Lawrence,Canton 1,President,,REP,Donald J. Trump,112,99,11,1,1
St. Lawrence,Canton 2,President,,REP,Donald J. Trump,251,225,24,1,1
St. Lawrence,Canton 3,President,,REP,Donald J. Trump,116,97,15,1,3
St. Lawrence,Canton 4,President,,REP,Donald J. Trump,42,39,2,0,1
St. Lawrence,Canton 5,President,,REP,Donald J. Trump,135,123,11,0,1
St. Lawrence,Canton 6,President,,REP,Donald J. Trump,137,125,9,0,3
St. Lawrence,Canton 7,President,,REP,Donald J. Trump,82,75,5,0,2
St. Lawrence,Canton 8,President,,REP,Donald J. Trump,245,225,18,0,2
St. Lawrence,Clare 1,President,,REP,Donald J. Trump,27,27,0,0,0
St. Lawrence,Clifton 1,President,,REP,Donald J. Trump,62,55,1,0,6
St. Lawrence,Clifton 2,President,,REP,Donald J. Trump,77,63,14,0,0
St. Lawrence,Colton 1,President,,REP,Donald J. Trump,383,330,44,0,9
St. Lawrence,DeKalb 1,President,,REP,Donald J. Trump,223,213,6,1,3
St. Lawrence,DeKalb 2,President,,REP,Donald J. Trump,169,162,4,0,3
St. Lawrence,DePeyster 1,President,,REP,Donald J. Trump,156,149,4,2,1
St. Lawrence,Edwards 1,President,,REP,Donald J. Trump,214,204,8,1,1
St. Lawrence,Fine 1,President,,REP,Donald J. Trump,282,264,16,0,2
St. Lawrence,Fowler 1,President,,REP,Donald J. Trump,228,215,8,0,5
St. Lawrence,Fowler 2,President,,REP,Donald J. Trump,298,273,22,0,3
St. Lawrence,Gouverneur 1,President,,REP,Donald J. Trump,236,218,14,1,3
St. Lawrence,Gouverneur 2,President,,REP,Donald J. Trump,251,238,9,1,3
St. Lawrence,Gouverneur 3,President,,REP,Donald J. Trump,172,168,4,0,0
St. Lawrence,Gouverneur 4,President,,REP,Donald J. Trump,264,254,7,1,2
St. Lawrence,Hammond 1,President,,REP,Donald J. Trump,324,297,25,1,1
St. Lawrence,Hermon 1,President,,REP,Donald J. Trump,239,226,10,1,2
St. Lawrence,Hopkinton 1,President,,REP,Donald J. Trump,254,243,7,0,4
St. Lawrence,Lawrence 1,President,,REP,Donald J. Trump,326,308,13,0,5
St. Lawrence,Lisbon 1,President,,REP,Donald J. Trump,335,308,22,0,5
St. Lawrence,Lisbon 2,President,,REP,Donald J. Trump,278,261,14,1,2
St. Lawrence,Lisbon 3,President,,REP,Donald J. Trump,293,270,19,1,3
St. Lawrence,Louisville 1,President,,REP,Donald J. Trump,213,197,13,0,3
St. Lawrence,Louisville 2,President,,REP,Donald J. Trump,199,183,11,2,3
St. Lawrence,Louisville 3,President,,REP,Donald J. Trump,175,153,18,0,4
St. Lawrence,Louisville 4,President,,REP,Donald J. Trump,105,96,8,0,1
St. Lawrence,Macomb 1,President,,REP,Donald J. Trump,223,206,14,1,2
St. Lawrence,Madrid 1,President,,REP,Donald J. Trump,332,315,12,0,5
St. Lawrence,Massena 1,President,,REP,Donald J. Trump,313,285,25,0,3
St. Lawrence,Massena 2,President,,REP,Donald J. Trump,259,244,13,0,2
St. Lawrence,Massena 3,President,,REP,Donald J. Trump,246,217,19,1,9
St. Lawrence,Massena 4,President,,REP,Donald J. Trump,112,103,7,0,2
St. Lawrence,Massena 5,President,,REP,Donald J. Trump,290,265,16,0,9
St. Lawrence,Massena 6,President,,REP,Donald J. Trump,219,204,9,1,5
St. Lawrence,Massena 7,President,,REP,Donald J. Trump,207,196,11,0,0
St. Lawrence,Massena 8,President,,REP,Donald J. Trump,200,183,12,1,4
St. Lawrence,Morristown 1,President,,REP,Donald J. Trump,184,160,22,0,2
St. Lawrence,Morristown 2,President,,REP,Donald J. Trump,302,276,24,0,2
St. Lawrence,Norfolk 1,President,,REP,Donald J. Trump,259,239,14,0,6
St. Lawrence,Norfolk 2,President,,REP,Donald J. Trump,298,268,20,0,10
St. Lawrence,Norfolk 3,President,,REP,Donald J. Trump,264,245,13,0,6
St. Lawrence,Oswegatchie 1,President,,REP,Donald J. Trump,425,387,35,0,3
St. Lawrence,Oswegatchie 2,President,,REP,Donald J. Trump,354,324,23,1,6
St. Lawrence,Oswegatchie 3,President,,REP,Donald J. Trump,183,166,13,1,3
St. Lawrence,Parishville 1,President,,REP,Donald J. Trump,228,213,10,0,5
St. Lawrence,Parishville 2,President,,REP,Donald J. Trump,277,259,11,0,7
St. Lawrence,Piercefield 1,President,,REP,Donald J. Trump,43,40,3,0,0
St. Lawrence,Pierrepont 1,President,,REP,Donald J. Trump,304,291,10,1,2
St. Lawrence,Pierrepont 2,President,,REP,Donald J. Trump,236,219,13,0,4
St. Lawrence,Pitcairn 1,President,,REP,Donald J. Trump,192,177,14,0,1
St. Lawrence,Potsdam 1,President,,REP,Donald J. Trump,222,204,17,1,0
St. Lawrence,Potsdam 2,President,,REP,Donald J. Trump,237,214,17,1,5
St. Lawrence,Potsdam 3,President,,REP,Donald J. Trump,212,202,8,1,1
St. Lawrence,Potsdam 4,President,,REP,Donald J. Trump,193,182,9,1,1
St. Lawrence,Potsdam 5,President,,REP,Donald J. Trump,123,108,11,2,2
St. Lawrence,Potsdam 6,President,,REP,Donald J. Trump,95,87,4,0,4
St. Lawrence,Potsdam 7,President,,REP,Donald J. Trump,89,82,4,1,2
St. Lawrence,Potsdam 8,President,,REP,Donald J. Trump,263,249,8,1,5
St. Lawrence,Rossie 1,President,,REP,Donald J. Trump,119,114,4,0,1
St. Lawrence,Russell 1,President,,REP,Donald J. Trump,400,387,7,1,5
St. Lawrence,Stockholm 1,President,,REP,Donald J. Trump,285,272,8,3,2
St. Lawrence,Stockholm 2,President,,REP,Donald J. Trump,281,269,11,0,1
St. Lawrence,Stockholm 3,President,,REP,Donald J. Trump,169,160,6,0,3
St. Lawrence,Waddington 1,President,,REP,Donald J. Trump,232,201,25,0,6
St. Lawrence,Waddington 2,President,,REP,Donald J. Trump,339,318,18,0,3
St. Lawrence,Ogdensburg 1,President,,REP,Donald J. Trump,245,230,10,1,4
St. Lawrence,Ogdensburg 2,President,,REP,Donald J. Trump,270,257,8,0,5
St. Lawrence,Ogdensburg 3,President,,REP,Donald J. Trump,322,298,16,2,6
St. Lawrence,Ogdensburg 4,President,,REP,Donald J. Trump,284,258,22,1,3
St. Lawrence,Ogdensburg 5,President,,REP,Donald J. Trump,242,223,11,3,5
St. Lawrence,Ogdensburg 6,President,,REP,Donald J. Trump,282,254,24,2,2
St. Lawrence,TOTAL,President,,REP,Donald J. Trump,18236,16886,1042,45,263
St. Lawrence,Brasher 1,President,,CON,Donald J. Trump,13,11,1,0,1
St. Lawrence,Brasher 2,President,,CON,Donald J. Trump,24,23,0,0,1
St. Lawrence,Canton 1,President,,CON,Donald J. Trump,10,9,1,0,0
St. Lawrence,Canton 2,President,,CON,Donald J. Trump,28,25,2,1,0
St. Lawrence,Canton 3,President,,CON,Donald J. Trump,16,16,0,0,0
St. Lawrence,Canton 4,President,,CON,Donald J. Trump,8,8,0,0,0
St. Lawrence,Canton 5,President,,CON,Donald J. Trump,14,13,1,0,0
St. Lawrence,Canton 6,President,,CON,Donald J. Trump,21,21,0,0,0
St. Lawrence,Canton 7,President,,CON,Donald J. Trump,12,11,1,0,0
St. Lawrence,Canton 8,President,,CON,Donald J. Trump,25,22,3,0,0
St. Lawrence,Clare 1,President,,CON,Donald J. Trump,3,3,0,0,0
St. Lawrence,Clifton 1,President,,CON,Donald J. Trump,2,2,0,0,0
St. Lawrence,Clifton 2,President,,CON,Donald J. Trump,4,3,1,0,0
St. Lawrence,Colton 1,President,,CON,Donald J. Trump,40,35,4,1,0
St. Lawrence,DeKalb 1,President,,CON,Donald J. Trump,36,35,1,0,0
St. Lawrence,DeKalb 2,President,,CON,Donald J. Trump,32,29,3,0,0
St. Lawrence,DePeyster 1,President,,CON,Donald J. Trump,9,8,1,0,0
St. Lawrence,Edwards 1,President,,CON,Donald J. Trump,27,26,1,0,0
St. Lawrence,Fine 1,President,,CON,Donald J. Trump,25,23,1,0,1
St. Lawrence,Fowler 1,President,,CON,Donald J. Trump,35,32,3,0,0
St. Lawrence,Fowler 2,President,,CON,Donald J. Trump,24,23,0,0,1
St. Lawrence,Gouverneur 1,President,,CON,Donald J. Trump,17,16,1,0,0
St. Lawrence,Gouverneur 2,President,,CON,Donald J. Trump,27,24,2,0,1
St. Lawrence,Gouverneur 3,President,,CON,Donald J. Trump,19,19,0,0,0
St. Lawrence,Gouverneur 4,President,,CON,Donald J. Trump,26,21,4,0,1
St. Lawrence,Hammond 1,President,,CON,Donald J. Trump,20,15,4,0,1
St. Lawrence,Hermon 1,President,,CON,Donald J. Trump,24,23,1,0,0
St. Lawrence,Hopkinton 1,President,,CON,Donald J. Trump,31,29,1,1,0
St. Lawrence,Lawrence 1,President,,CON,Donald J. Trump,43,41,2,0,0
St. Lawrence,Lisbon 1,President,,CON,Donald J. Trump,31,27,4,0,0
St. Lawrence,Lisbon 2,President,,CON,Donald J. Trump,24,20,3,1,0
St. Lawrence,Lisbon 3,President,,CON,Donald J. Trump,33,31,2,0,0
St. Lawrence,Louisville 1,President,,CON,Donald J. Trump,18,16,2,0,0
St. Lawrence,Louisville 2,President,,CON,Donald J. Trump,18,18,0,0,0
St. Lawrence,Louisville 3,President,,CON,Donald J. Trump,12,9,3,0,0
St. Lawrence,Louisville 4,President,,CON,Donald J. Trump,7,4,3,0,0
St. Lawrence,Macomb 1,President,,CON,Donald J. Trump,13,11,2,0,0
St. Lawrence,Madrid 1,President,,CON,Donald J. Trump,27,25,2,0,0
St. Lawrence,Massena 1,President,,CON,Donald J. Trump,26,22,4,0,0
St. Lawrence,Massena 2,President,,CON,Donald J. Trump,23,19,2,0,2
St. Lawrence,Massena 3,President,,CON,Donald J. Trump,21,20,0,0,1
