county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes
New York,061/65,U.S. House,7,Democratic,Nydia M. Velazquez,20,69,0,0,0,0,1
New York,079/69,U.S. House,10,Democratic,Jerrold L. Nadler,106,126,0,1,6,0,13
New York,079/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,14,126,0,1,6,0,13
New York,090/69,U.S. House,10,Democratic,Jerrold L. Nadler,112,113,0,7,4,3,9
New York,090/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,113,0,7,4,3,9
New York,059/69,U.S. House,10,Democratic,Jerrold L. Nadler,48,52,0,2,1,0,1
New York,059/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,52,0,2,1,0,1
New York,066/75,U.S. House,10,Democratic,Jerrold L. Nadler,19,17,0,0,2,0
New York,066/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,0,17,0,0,2,0
New York,020/69,U.S. House,10,Democratic,Jerrold L. Nadler,95,92,0,4,1,0
New York,020/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,92,0,4,1,0
New York,040/75,U.S. House,10,Democratic,Jerrold L. Nadler,57,54,0,6,0,1
New York,040/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,4,54,0,6,0,1
New York,023/69,U.S. House,10,Democratic,Jerrold L. Nadler,75,80,0,0,0,0
New York,023/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,5,80,0,0,0,0
New York,029/67,U.S. House,10,Democratic,Jerrold L. Nadler,23,25,0,1,0,0,1
New York,029/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,25,0,1,0,0,1
New York,103/69,U.S. House,10,Democratic,Jerrold L. Nadler,0,0,0,0,0,0
New York,103/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,0,0,0,0,0,0
New York,018/66,U.S. House,10,Democratic,Jerrold L. Nadler,91,87,0,1,5,1,1
New York,018/66,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,87,0,1,5,1,1
New York,001/65,U.S. House,10,Democratic,Jerrold L. Nadler,8,9,0,1,0,0
New York,001/65,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,9,0,1,0,0
New York,001/66,U.S. House,10,Democratic,Jerrold L. Nadler,32,31,0,2,0,0
New York,001/66,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,1,31,0,2,0,0
New York,001/67,U.S. House,10,Democratic,Jerrold L. Nadler,37,36,0,1,3,0
New York,001/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,36,0,1,3,0
New York,001/69,U.S. House,10,Democratic,Jerrold L. Nadler,64,64,0,2,1,0
New York,001/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,64,0,2,1,0
New York,095/67,U.S. House,10,Democratic,Jerrold L. Nadler,108,113,0,5,2,0,1
New York,095/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,11,113,0,5,2,0,1
New York,095/66,U.S. House,10,Democratic,Jerrold L. Nadler,0,0,0,0,0,0
New York,095/66,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,0,0,0,0,0,0
New York,068/67,U.S. House,10,Democratic,Jerrold L. Nadler,84,89,0,0,1,0
New York,068/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,89,0,0,1,0
New York,068/66,U.S. House,10,Democratic,Jerrold L. Nadler,71,66,0,2,6,0
New York,068/66,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,66,0,2,6,0
New York,094/75,U.S. House,10,Democratic,Jerrold L. Nadler,55,56,0,3,1,0
New York,094/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,5,56,0,3,1,0
New York,005/65,U.S. House,10,Democratic,Jerrold L. Nadler,34,49,0,2,1,0,8
New York,005/65,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,9,49,0,2,1,0,8
New York,005/66,U.S. House,10,Democratic,Jerrold L. Nadler,55,55,0,1,0,0
New York,005/66,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,1,55,0,1,0,0
New York,005/67,U.S. House,10,Democratic,Jerrold L. Nadler,36,37,0,8,1,0
New York,005/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,10,37,0,8,1,0
New York,083/75,U.S. House,10,Democratic,Jerrold L. Nadler,45,49,0,1,0,0
New York,083/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,5,49,0,1,0,0
New York,015/75,U.S. House,10,Democratic,Jerrold L. Nadler,62,63,0,2,1,0,1
New York,015/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,63,0,2,1,0,1
New York,004/67,U.S. House,10,Democratic,Jerrold L. Nadler,36,42,0,1,0,0
New York,004/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,7,42,0,1,0,0
New York,073/67,U.S. House,10,Democratic,Jerrold L. Nadler,78,75,0,5,1,0
New York,073/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,75,0,5,1,0
New York,026/67,U.S. House,10,Democratic,Jerrold L. Nadler,36,36,0,4,0,0
New York,026/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,3,36,0,4,0,0
New York,067/67,U.S. House,10,Democratic,Jerrold L. Nadler,119,114,0,1,9,0
New York,067/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,5,114,0,1,9,0
New York,091/67,U.S. House,10,Democratic,Jerrold L. Nadler,146,146,0,1,7,1
New York,091/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,9,146,0,1,7,1
New York,037/69,U.S. House,10,Democratic,Jerrold L. Nadler,90,87,0,7,0,0,1
New York,037/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,87,0,7,0,0,1
New York,057/67,U.S. House,10,Democratic,Jerrold L. Nadler,115,116,0,1,3,0
New York,057/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,4,116,0,1,3,0
New York,050/69,U.S. House,10,Democratic,Jerrold L. Nadler,116,114,0,5,1,0
New York,050/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,4,114,0,5,1,0
New York,026/69,U.S. House,10,Democratic,Jerrold L. Nadler,129,131,0,0,4,0
New York,026/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,131,0,0,4,0
New York,056/67,U.S. House,10,Democratic,Jerrold L. Nadler,92,95,0,0,3,0
New York,056/67,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,95,0,0,3,0
New York,073/69,U.S. House,10,Democratic,Jerrold L. Nadler,130,136,0,0,0,1,1
New York,073/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,6,136,0,0,0,1,1
New York,028/69,U.S. House,10,Democratic,Jerrold L. Nadler,22,25,0,1,0,0
New York,028/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,4,25,0,1,0,0
New York,031/69,U.S. House,10,Democratic,Jerrold L. Nadler,98,98,0,4,1,0,1
New York,031/69,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,4,98,0,4,1,0,1
New York,024/75,U.S. House,10,Democratic,Jerrold L. Nadler,21,21,0,1,1,0
New York,024/75,U.S. House,10,Democratic,Mikhail Oliver Rosenberg,2,21,0,1,1,0
New York,028/67,U.S. House,10,Democratic,Jerrold L. Nadler,67,66,0,4,0,0
