county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
New York,064/74,President,,Green,Jill Stein / Ajamu Baraka,8,829,,58,25,11,14,0,0
New York,008/70,President,,Libertarian,Gary Johnson / Bill Weld,1,551,,27,3,33,2,0,0
New York,008/70,President,,Independence,Gary Johnson / Bill Weld,4,551,,27,3,33,2,0,0
New York,008/70,President,,Working Families,Hillary Clinton / Tim Kaine,16,551,,27,3,33,2,0,0
New York,008/70,President,,Women's Equality,Hillary Clinton / Tim Kaine,3,551,,27,3,33,2,0,0
New York,008/70,President,,Democratic,Hillary Clinton / Tim Kaine,559,551,,27,3,33,2,0,0
New York,008/70,President,,Republican,Donald J. Trump / Michael R. Pence,14,551,,27,3,33,2,0,0
New York,008/70,President,,Conservative,Donald J. Trump / Michael R. Pence,3,551,,27,3,33,2,0,0
New York,008/70,President,,Green,Jill Stein / Ajamu Baraka,9,551,,27,3,33,2,0,0
New York,008/71,President,,Libertarian,Gary Johnson / Bill Weld,2,418,,24,3,27,,0,0
New York,008/71,President,,Independence,Gary Johnson / Bill Weld,2,418,,24,3,27,,0,0
New York,008/71,President,,Working Families,Hillary Clinton / Tim Kaine,19,418,,24,3,27,,0,0
New York,008/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,418,,24,3,27,,0,0
New York,008/71,President,,Democratic,Hillary Clinton / Tim Kaine,426,418,,24,3,27,,0,0
New York,008/71,President,,Republican,Donald J. Trump / Michael R. Pence,11,418,,24,3,27,,0,0
New York,008/71,President,,Conservative,Donald J. Trump / Michael R. Pence,2,418,,24,3,27,,0,0
New York,008/71,President,,Green,Jill Stein / Ajamu Baraka,6,418,,24,3,27,,0,0
New York,008/72,President,,Libertarian,Gary Johnson / Bill Weld,2,378,,11,1,31,3,0,0
New York,008/72,President,,Independence,Gary Johnson / Bill Weld,2,378,,11,1,31,3,0,0
New York,008/72,President,,Working Families,Hillary Clinton / Tim Kaine,6,378,,11,1,31,3,0,0
New York,008/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,378,,11,1,31,3,0,0
New York,008/72,President,,Democratic,Hillary Clinton / Tim Kaine,375,378,,11,1,31,3,0,0
New York,008/72,President,,Republican,Donald J. Trump / Michael R. Pence,20,378,,11,1,31,3,0,0
New York,008/72,President,,Conservative,Donald J. Trump / Michael R. Pence,2,378,,11,1,31,3,0,0
New York,008/72,President,,Green,Jill Stein / Ajamu Baraka,5,378,,11,1,31,3,0,0
New York,008/73,President,,Libertarian,Gary Johnson / Bill Weld,1,29,,6,6,2,,0,0
New York,008/73,President,,Independence,Gary Johnson / Bill Weld,1,29,,6,6,2,,0,0
New York,008/73,President,,Working Families,Hillary Clinton / Tim Kaine,0,29,,6,6,2,,0,0
New York,008/73,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,29,,6,6,2,,0,0
New York,008/73,President,,Democratic,Hillary Clinton / Tim Kaine,30,29,,6,6,2,,0,0
New York,008/73,President,,Republican,Donald J. Trump / Michael R. Pence,8,29,,6,6,2,,0,0
New York,008/73,President,,Conservative,Donald J. Trump / Michael R. Pence,1,29,,6,6,2,,0,0
New York,008/73,President,,Green,Jill Stein / Ajamu Baraka,1,29,,6,6,2,,0,0
New York,008/74,President,,Libertarian,Gary Johnson / Bill Weld,7,501,,27,8,26,6,0,0
New York,008/74,President,,Independence,Gary Johnson / Bill Weld,4,501,,27,8,26,6,0,0
New York,008/74,President,,Working Families,Hillary Clinton / Tim Kaine,23,501,,27,8,26,6,0,0
New York,008/74,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,501,,27,8,26,6,0,0
New York,008/74,President,,Democratic,Hillary Clinton / Tim Kaine,475,501,,27,8,26,6,0,0
New York,008/74,President,,Republican,Donald J. Trump / Michael R. Pence,33,501,,27,8,26,6,0,0
New York,008/74,President,,Conservative,Donald J. Trump / Michael R. Pence,1,501,,27,8,26,6,0,0
New York,008/74,President,,Green,Jill Stein / Ajamu Baraka,10,501,,27,8,26,6,0,0
New York,008/75,President,,Libertarian,Gary Johnson / Bill Weld,3,399,,46,19,8,4,0,0
New York,008/75,President,,Independence,Gary Johnson / Bill Weld,4,399,,46,19,8,4,0,0
New York,008/75,President,,Working Families,Hillary Clinton / Tim Kaine,24,399,,46,19,8,4,0,0
New York,008/75,President,,Women's Equality,Hillary Clinton / Tim Kaine,3,399,,46,19,8,4,0,0
New York,008/75,President,,Democratic,Hillary Clinton / Tim Kaine,398,399,,46,19,8,4,0,0
New York,008/75,President,,Republican,Donald J. Trump / Michael R. Pence,29,399,,46,19,8,4,0,0
New York,008/75,President,,Conservative,Donald J. Trump / Michael R. Pence,5,399,,46,19,8,4,0,0
New York,008/75,President,,Green,Jill Stein / Ajamu Baraka,2,399,,46,19,8,4,0,0
New York,008/76,President,,Libertarian,Gary Johnson / Bill Weld,4,529,,26,10,12,6,0,0
New York,008/76,President,,Independence,Gary Johnson / Bill Weld,6,529,,26,10,12,6,0,0
New York,008/76,President,,Working Families,Hillary Clinton / Tim Kaine,3,529,,26,10,12,6,0,0
New York,008/76,President,,Women's Equality,Hillary Clinton / Tim Kaine,1,529,,26,10,12,6,0,0
New York,008/76,President,,Democratic,Hillary Clinton / Tim Kaine,448,529,,26,10,12,6,0,0
New York,008/76,President,,Republican,Donald J. Trump / Michael R. Pence,100,529,,26,10,12,6,0,0
New York,008/76,President,,Conservative,Donald J. Trump / Michael R. Pence,3,529,,26,10,12,6,0,0
New York,008/76,President,,Green,Jill Stein / Ajamu Baraka,3,529,,26,10,12,6,0,0
New York,064/72,President,,Libertarian,Gary Johnson / Bill Weld,4,800,,39,7,22,4,0,0
New York,064/72,President,,Independence,Gary Johnson / Bill Weld,8,800,,39,7,22,4,0,0
New York,064/72,President,,Working Families,Hillary Clinton / Tim Kaine,52,800,,39,7,22,4,0,0
New York,064/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,4,800,,39,7,22,4,0,0
New York,064/72,President,,Democratic,Hillary Clinton / Tim Kaine,703,800,,39,7,22,4,0,0
New York,064/72,President,,Republican,Donald J. Trump / Michael R. Pence,61,800,,39,7,22,4,0,0
New York,064/72,President,,Conservative,Donald J. Trump / Michael R. Pence,5,800,,39,7,22,4,0,0
New York,064/72,President,,Green,Jill Stein / Ajamu Baraka,22,800,,39,7,22,4,0,0
New York,082/75,President,,Libertarian,Gary Johnson / Bill Weld,6,699,,40,12,20,7,0,0
New York,082/75,President,,Independence,Gary Johnson / Bill Weld,6,699,,40,12,20,7,0,0
New York,082/75,President,,Working Families,Hillary Clinton / Tim Kaine,26,699,,40,12,20,7,0,0
New York,082/75,President,,Women's Equality,Hillary Clinton / Tim Kaine,9,699,,40,12,20,7,0,0
