candidate,office,county,district,party,precinct,votes,winner
Ted Cruz,President,Niagara,,Republican,,2406,
Ted Cruz,President,Oneida,,Republican,,3335,
Ted Cruz,President,Onondaga,,Republican,,6075,
Ted Cruz,President,Ontario,,Republican,,2061,
Ted Cruz,President,Orange,,Republican,,3120,
Ted Cruz,President,Orleans,,Republican,,702,
Ted Cruz,President,Oswego,,Republican,,2026,
Ted Cruz,President,Otsego,,Republican,,1035,
Ted Cruz,President,Putnam,,Republican,,986,
Ted Cruz,President,Rensselaer,,Republican,,1576,
Ted Cruz,President,Rockland,,Republican,,2367,
Ted Cruz,President,St. Lawrence,,Republican,,1074,
Ted Cruz,President,Saratoga,,Republican,,4404,
Ted Cruz,President,Schenectady,,Republican,,2010,
Ted Cruz,President,Schoharie,,Republican,,640,
Ted Cruz,President,Schuyler,,Republican,,405,
Ted Cruz,President,Seneca,,Republican,,521,
Ted Cruz,President,Steuben,,Republican,,2401,
Ted Cruz,President,Suffolk,,Republican,,9099,
Ted Cruz,President,Sullivan,,Republican,,534,
Ted Cruz,President,Tioga,,Republican,,1429,
Ted Cruz,President,Tompkins,,Republican,,1342,
Ted Cruz,President,Ulster,,Republican,,1332,
Ted Cruz,President,Warren,,Republican,,1206,
Ted Cruz,President,Washington,,Republican,,1048,
Ted Cruz,President,Wayne,,Republican,,1627,
Ted Cruz,President,Westchester,,Republican,,5245,
Ted Cruz,President,Wyoming,,Republican,,749,
Ted Cruz,President,Yates,,Republican,,425,
Ted Cruz,President,Bronx,,Republican,,1164,
Ted Cruz,President,Kings,,Republican,,4872,
Ted Cruz,President,New York,,Republican,,3586,
Ted Cruz,President,Queens,,Republican,,4495,
Ted Cruz,President,Richmond,,Republican,,2096,
Ted Cruz,President,,,Republican,,136083,
