assembly_district,precinct,county,party,office,district,candidate,votes
77,17,Bronx,Democratic,President,,Bernie Sanders,11
77,17,Bronx,Democratic,President,,Hillary Clinton,60
77,18,Bronx,Democratic,President,,Emergency,0
77,18,Bronx,Democratic,President,,Absentee/Military,3
77,18,Bronx,Democratic,President,,Federal,0
77,18,Bronx,Democratic,President,,Affidavit,9
77,18,Bronx,Democratic,President,,Bernie Sanders,46
77,18,Bronx,Democratic,President,,Hillary Clinton,115
77,19,Bronx,Democratic,President,,Emergency,0
77,19,Bronx,Democratic,President,,Absentee/Military,0
77,19,Bronx,Democratic,President,,Federal,0
77,19,Bronx,Democratic,President,,Affidavit,5
77,19,Bronx,Democratic,President,,Bernie Sanders,54
77,19,Bronx,Democratic,President,,Hillary Clinton,136
77,20,Bronx,Democratic,President,,Emergency,0
77,20,Bronx,Democratic,President,,Absentee/Military,1
77,20,Bronx,Democratic,President,,Federal,0
77,20,Bronx,Democratic,President,,Affidavit,15
77,20,Bronx,Democratic,President,,Bernie Sanders,39
77,20,Bronx,Democratic,President,,Hillary Clinton,158
77,21,Bronx,Democratic,President,,Emergency,0
77,21,Bronx,Democratic,President,,Absentee/Military,0
77,21,Bronx,Democratic,President,,Federal,0
77,21,Bronx,Democratic,President,,Affidavit,7
77,21,Bronx,Democratic,President,,Bernie Sanders,58
77,21,Bronx,Democratic,President,,Hillary Clinton,126
77,22,Bronx,Democratic,President,,Emergency,0
77,22,Bronx,Democratic,President,,Absentee/Military,4
77,22,Bronx,Democratic,President,,Federal,0
77,22,Bronx,Democratic,President,,Affidavit,6
77,22,Bronx,Democratic,President,,Bernie Sanders,49
77,22,Bronx,Democratic,President,,Hillary Clinton,198
77,23,Bronx,Democratic,President,,Emergency,0
77,23,Bronx,Democratic,President,,Absentee/Military,2
77,23,Bronx,Democratic,President,,Federal,1
77,23,Bronx,Democratic,President,,Affidavit,16
77,23,Bronx,Democratic,President,,Bernie Sanders,88
77,23,Bronx,Democratic,President,,Hillary Clinton,259
77,24,Bronx,Democratic,President,,Emergency,0
77,24,Bronx,Democratic,President,,Absentee/Military,1
77,24,Bronx,Democratic,President,,Federal,0
77,24,Bronx,Democratic,President,,Affidavit,14
77,24,Bronx,Democratic,President,,Bernie Sanders,62
77,24,Bronx,Democratic,President,,Hillary Clinton,204
77,25,Bronx,Democratic,President,,Emergency,0
77,25,Bronx,Democratic,President,,Absentee/Military,0
77,25,Bronx,Democratic,President,,Federal,0
77,25,Bronx,Democratic,President,,Affidavit,22
77,25,Bronx,Democratic,President,,Bernie Sanders,74
77,25,Bronx,Democratic,President,,Hillary Clinton,231
77,26,Bronx,Democratic,President,,Emergency,0
77,26,Bronx,Democratic,President,,Absentee/Military,2
77,26,Bronx,Democratic,President,,Federal,0
77,26,Bronx,Democratic,President,,Affidavit,9
77,26,Bronx,Democratic,President,,Bernie Sanders,21
77,26,Bronx,Democratic,President,,Hillary Clinton,83
77,27,Bronx,Democratic,President,,Emergency,0
77,27,Bronx,Democratic,President,,Absentee/Military,7
77,27,Bronx,Democratic,President,,Federal,0
77,27,Bronx,Democratic,President,,Affidavit,14
77,27,Bronx,Democratic,President,,Bernie Sanders,64
77,27,Bronx,Democratic,President,,Hillary Clinton,173
77,28,Bronx,Democratic,President,,Emergency,0
77,28,Bronx,Democratic,President,,Absentee/Military,6
77,28,Bronx,Democratic,President,,Federal,0
77,28,Bronx,Democratic,President,,Affidavit,20
77,28,Bronx,Democratic,President,,Bernie Sanders,76
77,28,Bronx,Democratic,President,,Hillary Clinton,173
77,29,Bronx,Democratic,President,,Emergency,0
77,29,Bronx,Democratic,President,,Absentee/Military,0
77,29,Bronx,Democratic,President,,Federal,0
77,29,Bronx,Democratic,President,,Affidavit,3
77,29,Bronx,Democratic,President,,Bernie Sanders,13
77,29,Bronx,Democratic,President,,Hillary Clinton,49
77,30,Bronx,Democratic,President,,Emergency,0
77,30,Bronx,Democratic,President,,Absentee/Military,3
77,30,Bronx,Democratic,President,,Federal,2
77,30,Bronx,Democratic,President,,Affidavit,1
77,30,Bronx,Democratic,President,,Bernie Sanders,31
77,30,Bronx,Democratic,President,,Hillary Clinton,114
77,31,Bronx,Democratic,President,,Emergency,0
77,31,Bronx,Democratic,President,,Absentee/Military,0
77,31,Bronx,Democratic,President,,Federal,0
77,31,Bronx,Democratic,President,,Affidavit,0
77,31,Bronx,Democratic,President,,Bernie Sanders,6
77,31,Bronx,Democratic,President,,Hillary Clinton,20
77,32,Bronx,Democratic,President,,Emergency,0
77,32,Bronx,Democratic,President,,Absentee/Military,0
77,32,Bronx,Democratic,President,,Federal,0
77,32,Bronx,Democratic,President,,Affidavit,0
77,33,Bronx,Democratic,President,,Emergency,0
77,33,Bronx,Democratic,President,,Absentee/Military,1
77,33,Bronx,Democratic,President,,Federal,0
77,33,Bronx,Democratic,President,,Affidavit,6
77,33,Bronx,Democratic,President,,Bernie Sanders,23
77,33,Bronx,Democratic,President,,Hillary Clinton,60
77,34,Bronx,Democratic,President,,Emergency,0
77,34,Bronx,Democratic,President,,Absentee/Military,3
77,34,Bronx,Democratic,President,,Federal,0
77,34,Bronx,Democratic,President,,Affidavit,17
77,34,Bronx,Democratic,President,,Bernie Sanders,57
77,34,Bronx,Democratic,President,,Hillary Clinton,163
77,35,Bronx,Democratic,President,,Emergency,0
77,35,Bronx,Democratic,President,,Absentee/Military,2
77,35,Bronx,Democratic,President,,Federal,0
77,35,Bronx,Democratic,President,,Affidavit,19
77,35,Bronx,Democratic,President,,Bernie Sanders,68
77,35,Bronx,Democratic,President,,Hillary Clinton,151
77,36,Bronx,Democratic,President,,Emergency,0
77,36,Bronx,Democratic,President,,Absentee/Military,2
77,36,Bronx,Democratic,President,,Federal,0
77,36,Bronx,Democratic,President,,Affidavit,7
77,36,Bronx,Democratic,President,,Bernie Sanders,38
77,36,Bronx,Democratic,President,,Hillary Clinton,82
77,37,Bronx,Democratic,President,,Emergency,0
77,37,Bronx,Democratic,President,,Absentee/Military,3
77,37,Bronx,Democratic,President,,Federal,0
77,37,Bronx,Democratic,President,,Affidavit,15
77,37,Bronx,Democratic,President,,Bernie Sanders,47
77,37,Bronx,Democratic,President,,Hillary Clinton,118
77,38,Bronx,Democratic,President,,Emergency,0
77,38,Bronx,Democratic,President,,Absentee/Military,3
77,38,Bronx,Democratic,President,,Federal,0
77,38,Bronx,Democratic,President,,Affidavit,3
77,38,Bronx,Democratic,President,,Bernie Sanders,33
77,38,Bronx,Democratic,President,,Hillary Clinton,77
77,39,Bronx,Democratic,President,,Emergency,0
77,39,Bronx,Democratic,President,,Absentee/Military,1
77,39,Bronx,Democratic,President,,Federal,0
77,39,Bronx,Democratic,President,,Affidavit,10
77,39,Bronx,Democratic,President,,Bernie Sanders,59
77,39,Bronx,Democratic,President,,Hillary Clinton,156
77,40,Bronx,Democratic,President,,Emergency,0
77,40,Bronx,Democratic,President,,Absentee/Military,2
77,40,Bronx,Democratic,President,,Federal,0
77,40,Bronx,Democratic,President,,Affidavit,12
77,40,Bronx,Democratic,President,,Bernie Sanders,48
77,40,Bronx,Democratic,President,,Hillary Clinton,95
77,41,Bronx,Democratic,President,,Emergency,0
77,41,Bronx,Democratic,President,,Absentee/Military,3
77,41,Bronx,Democratic,President,,Federal,0
77,41,Bronx,Democratic,President,,Affidavit,12
77,41,Bronx,Democratic,President,,Bernie Sanders,42
77,41,Bronx,Democratic,President,,Hillary Clinton,136
77,42,Bronx,Democratic,President,,Emergency,0
77,42,Bronx,Democratic,President,,Absentee/Military,4
77,42,Bronx,Democratic,President,,Federal,1
77,42,Bronx,Democratic,President,,Affidavit,17
77,42,Bronx,Democratic,President,,Bernie Sanders,65
77,42,Bronx,Democratic,President,,Hillary Clinton,146
77,43,Bronx,Democratic,President,,Emergency,0
77,43,Bronx,Democratic,President,,Absentee/Military,1
77,43,Bronx,Democratic,President,,Federal,0
77,43,Bronx,Democratic,President,,Affidavit,2
77,43,Bronx,Democratic,President,,Bernie Sanders,33
77,43,Bronx,Democratic,President,,Hillary Clinton,147
77,44,Bronx,Democratic,President,,Emergency,0
77,44,Bronx,Democratic,President,,Absentee/Military,8
77,44,Bronx,Democratic,President,,Federal,0
77,44,Bronx,Democratic,President,,Affidavit,12
77,44,Bronx,Democratic,President,,Bernie Sanders,48
77,44,Bronx,Democratic,President,,Hillary Clinton,167
77,45,Bronx,Democratic,President,,Emergency,0
77,45,Bronx,Democratic,President,,Absentee/Military,2
77,45,Bronx,Democratic,President,,Federal,0
77,45,Bronx,Democratic,President,,Affidavit,5
77,45,Bronx,Democratic,President,,Bernie Sanders,40
77,45,Bronx,Democratic,President,,Hillary Clinton,98
77,46,Bronx,Democratic,President,,Emergency,0
77,46,Bronx,Democratic,President,,Absentee/Military,1
77,46,Bronx,Democratic,President,,Federal,0
77,46,Bronx,Democratic,President,,Affidavit,14
77,46,Bronx,Democratic,President,,Bernie Sanders,66
77,46,Bronx,Democratic,President,,Hillary Clinton,153
77,47,Bronx,Democratic,President,,Emergency,0
77,47,Bronx,Democratic,President,,Absentee/Military,0
77,47,Bronx,Democratic,President,,Federal,0
77,47,Bronx,Democratic,President,,Affidavit,9
77,47,Bronx,Democratic,President,,Bernie Sanders,56
77,47,Bronx,Democratic,President,,Hillary Clinton,142
77,48,Bronx,Democratic,President,,Emergency,0
77,48,Bronx,Democratic,President,,Absentee/Military,2
77,48,Bronx,Democratic,President,,Federal,2
77,48,Bronx,Democratic,President,,Affidavit,10
77,48,Bronx,Democratic,President,,Bernie Sanders,79
77,48,Bronx,Democratic,President,,Hillary Clinton,177
77,49,Bronx,Democratic,President,,Emergency,0
77,49,Bronx,Democratic,President,,Absentee/Military,1
77,49,Bronx,Democratic,President,,Federal,0
77,49,Bronx,Democratic,President,,Affidavit,9
77,49,Bronx,Democratic,President,,Bernie Sanders,30
77,49,Bronx,Democratic,President,,Hillary Clinton,67
77,50,Bronx,Democratic,President,,Emergency,0
77,50,Bronx,Democratic,President,,Absentee/Military,2
77,50,Bronx,Democratic,President,,Federal,0
77,50,Bronx,Democratic,President,,Affidavit,12
77,50,Bronx,Democratic,President,,Bernie Sanders,42
77,50,Bronx,Democratic,President,,Hillary Clinton,159
77,51,Bronx,Democratic,President,,Emergency,0
77,51,Bronx,Democratic,President,,Absentee/Military,3
77,51,Bronx,Democratic,President,,Federal,0
77,51,Bronx,Democratic,President,,Affidavit,12
77,51,Bronx,Democratic,President,,Bernie Sanders,52
77,51,Bronx,Democratic,President,,Hillary Clinton,155
77,52,Bronx,Democratic,President,,Emergency,0
77,52,Bronx,Democratic,President,,Absentee/Military,0
77,52,Bronx,Democratic,President,,Federal,0
77,52,Bronx,Democratic,President,,Affidavit,8
77,52,Bronx,Democratic,President,,Bernie Sanders,6
77,52,Bronx,Democratic,President,,Hillary Clinton,26
77,53,Bronx,Democratic,President,,Emergency,0
77,53,Bronx,Democratic,President,,Absentee/Military,8
77,53,Bronx,Democratic,President,,Federal,0
77,53,Bronx,Democratic,President,,Affidavit,8
77,53,Bronx,Democratic,President,,Bernie Sanders,31
77,53,Bronx,Democratic,President,,Hillary Clinton,185
77,54,Bronx,Democratic,President,,Emergency,0
77,54,Bronx,Democratic,President,,Absentee/Military,2
77,54,Bronx,Democratic,President,,Federal,0
77,54,Bronx,Democratic,President,,Affidavit,13
77,54,Bronx,Democratic,President,,Bernie Sanders,43
77,54,Bronx,Democratic,President,,Hillary Clinton,137
77,55,Bronx,Democratic,President,,Emergency,0
77,55,Bronx,Democratic,President,,Absentee/Military,2
77,55,Bronx,Democratic,President,,Federal,0
77,55,Bronx,Democratic,President,,Affidavit,7
77,55,Bronx,Democratic,President,,Bernie Sanders,57
77,55,Bronx,Democratic,President,,Hillary Clinton,138
77,56,Bronx,Democratic,President,,Emergency,0
77,56,Bronx,Democratic,President,,Absentee/Military,15
77,56,Bronx,Democratic,President,,Federal,0
77,56,Bronx,Democratic,President,,Affidavit,9
77,56,Bronx,Democratic,President,,Bernie Sanders,51
77,56,Bronx,Democratic,President,,Hillary Clinton,166
77,57,Bronx,Democratic,President,,Emergency,0
77,57,Bronx,Democratic,President,,Absentee/Military,2
77,57,Bronx,Democratic,President,,Federal,1
77,57,Bronx,Democratic,President,,Affidavit,3
77,57,Bronx,Democratic,President,,Bernie Sanders,47
77,57,Bronx,Democratic,President,,Hillary Clinton,134
77,58,Bronx,Democratic,President,,Emergency,0
77,58,Bronx,Democratic,President,,Absentee/Military,6
77,58,Bronx,Democratic,President,,Federal,0
77,58,Bronx,Democratic,President,,Affidavit,9
77,58,Bronx,Democratic,President,,Bernie Sanders,99
77,58,Bronx,Democratic,President,,Hillary Clinton,230
77,59,Bronx,Democratic,President,,Emergency,0
77,59,Bronx,Democratic,President,,Absentee/Military,2
77,59,Bronx,Democratic,President,,Federal,0
77,59,Bronx,Democratic,President,,Affidavit,1
77,59,Bronx,Democratic,President,,Bernie Sanders,41
77,59,Bronx,Democratic,President,,Hillary Clinton,106
77,60,Bronx,Democratic,President,,Emergency,0
77,60,Bronx,Democratic,President,,Absentee/Military,6
77,60,Bronx,Democratic,President,,Federal,0
77,60,Bronx,Democratic,President,,Affidavit,10
77,60,Bronx,Democratic,President,,Bernie Sanders,52
77,60,Bronx,Democratic,President,,Hillary Clinton,146
77,61,Bronx,Democratic,President,,Emergency,0
77,61,Bronx,Democratic,President,,Absentee/Military,0
77,61,Bronx,Democratic,President,,Federal,1
77,61,Bronx,Democratic,President,,Affidavit,5
77,61,Bronx,Democratic,President,,Bernie Sanders,22
77,61,Bronx,Democratic,President,,Hillary Clinton,63
77,62,Bronx,Democratic,President,,Emergency,0
77,62,Bronx,Democratic,President,,Absentee/Military,4
77,62,Bronx,Democratic,President,,Federal,0
77,62,Bronx,Democratic,President,,Affidavit,17
77,62,Bronx,Democratic,President,,Bernie Sanders,56
77,62,Bronx,Democratic,President,,Hillary Clinton,115
77,63,Bronx,Democratic,President,,Emergency,0
77,63,Bronx,Democratic,President,,Absentee/Military,2
77,63,Bronx,Democratic,President,,Federal,0
77,63,Bronx,Democratic,President,,Affidavit,17
77,63,Bronx,Democratic,President,,Bernie Sanders,49
77,63,Bronx,Democratic,President,,Hillary Clinton,157
77,64,Bronx,Democratic,President,,Emergency,0
77,64,Bronx,Democratic,President,,Absentee/Military,3
77,64,Bronx,Democratic,President,,Federal,0
77,64,Bronx,Democratic,President,,Affidavit,5
77,64,Bronx,Democratic,President,,Bernie Sanders,27
77,64,Bronx,Democratic,President,,Hillary Clinton,34
77,65,Bronx,Democratic,President,,Emergency,0
77,65,Bronx,Democratic,President,,Absentee/Military,6
77,65,Bronx,Democratic,President,,Federal,0
77,65,Bronx,Democratic,President,,Affidavit,9
77,65,Bronx,Democratic,President,,Bernie Sanders,85
77,65,Bronx,Democratic,President,,Hillary Clinton,172
77,66,Bronx,Democratic,President,,Emergency,0
77,66,Bronx,Democratic,President,,Absentee/Military,0
77,66,Bronx,Democratic,President,,Federal,0
77,66,Bronx,Democratic,President,,Affidavit,0
77,67,Bronx,Democratic,President,,Emergency,0
77,67,Bronx,Democratic,President,,Absentee/Military,1
77,67,Bronx,Democratic,President,,Federal,0
77,67,Bronx,Democratic,President,,Affidavit,5
77,67,Bronx,Democratic,President,,Bernie Sanders,29
77,67,Bronx,Democratic,President,,Hillary Clinton,110
77,68,Bronx,Democratic,President,,Emergency,0
77,68,Bronx,Democratic,President,,Absentee/Military,3
77,68,Bronx,Democratic,President,,Federal,1
77,68,Bronx,Democratic,President,,Affidavit,8
77,68,Bronx,Democratic,President,,Bernie Sanders,40
77,68,Bronx,Democratic,President,,Hillary Clinton,92
77,69,Bronx,Democratic,President,,Emergency,0
77,69,Bronx,Democratic,President,,Absentee/Military,0
77,69,Bronx,Democratic,President,,Federal,0
77,69,Bronx,Democratic,President,,Affidavit,0
77,70,Bronx,Democratic,President,,Emergency,0
77,70,Bronx,Democratic,President,,Absentee/Military,0
77,70,Bronx,Democratic,President,,Federal,0
77,70,Bronx,Democratic,President,,Affidavit,0
77,71,Bronx,Democratic,President,,Emergency,0
77,71,Bronx,Democratic,President,,Absentee/Military,2
77,71,Bronx,Democratic,President,,Federal,0
77,71,Bronx,Democratic,President,,Affidavit,2
77,71,Bronx,Democratic,President,,Bernie Sanders,40
77,71,Bronx,Democratic,President,,Hillary Clinton,111
77,72,Bronx,Democratic,President,,Emergency,0
77,72,Bronx,Democratic,President,,Absentee/Military,6
77,72,Bronx,Democratic,President,,Federal,0
77,72,Bronx,Democratic,President,,Affidavit,2
77,72,Bronx,Democratic,President,,Bernie Sanders,61
77,72,Bronx,Democratic,President,,Hillary Clinton,125
77,73,Bronx,Democratic,President,,Emergency,0
77,73,Bronx,Democratic,President,,Absentee/Military,0
77,73,Bronx,Democratic,President,,Federal,0
77,73,Bronx,Democratic,President,,Affidavit,0
77,74,Bronx,Democratic,President,,Emergency,0
77,74,Bronx,Democratic,President,,Absentee/Military,1
77,74,Bronx,Democratic,President,,Federal,0
77,74,Bronx,Democratic,President,,Affidavit,8
77,74,Bronx,Democratic,President,,Bernie Sanders,56
77,74,Bronx,Democratic,President,,Hillary Clinton,151
77,75,Bronx,Democratic,President,,Emergency,0
77,75,Bronx,Democratic,President,,Absentee/Military,0
77,75,Bronx,Democratic,President,,Federal,0
77,75,Bronx,Democratic,President,,Affidavit,5
77,75,Bronx,Democratic,President,,Bernie Sanders,32
77,75,Bronx,Democratic,President,,Hillary Clinton,62
77,76,Bronx,Democratic,President,,Emergency,0
77,76,Bronx,Democratic,President,,Absentee/Military,2
77,76,Bronx,Democratic,President,,Federal,0
77,76,Bronx,Democratic,President,,Affidavit,13
77,76,Bronx,Democratic,President,,Bernie Sanders,36
77,76,Bronx,Democratic,President,,Hillary Clinton,71
77,77,Bronx,Democratic,President,,Emergency,0
77,77,Bronx,Democratic,President,,Absentee/Military,1
77,77,Bronx,Democratic,President,,Federal,1
77,77,Bronx,Democratic,President,,Affidavit,5
77,77,Bronx,Democratic,President,,Bernie Sanders,20
77,77,Bronx,Democratic,President,,Hillary Clinton,84
78,1,Bronx,Democratic,President,,Emergency,0
78,1,Bronx,Democratic,President,,Absentee/Military,3
78,1,Bronx,Democratic,President,,Federal,0
78,1,Bronx,Democratic,President,,Affidavit,14
78,1,Bronx,Democratic,President,,Bernie Sanders,63
78,1,Bronx,Democratic,President,,Hillary Clinton,168
78,2,Bronx,Democratic,President,,Emergency,0
78,2,Bronx,Democratic,President,,Absentee/Military,2
78,2,Bronx,Democratic,President,,Federal,0
78,2,Bronx,Democratic,President,,Affidavit,13
78,2,Bronx,Democratic,President,,Bernie Sanders,80
78,2,Bronx,Democratic,President,,Hillary Clinton,209
78,3,Bronx,Democratic,President,,Emergency,0
78,3,Bronx,Democratic,President,,Absentee/Military,2
78,3,Bronx,Democratic,President,,Federal,0
78,3,Bronx,Democratic,President,,Affidavit,6
78,3,Bronx,Democratic,President,,Bernie Sanders,35
78,3,Bronx,Democratic,President,,Hillary Clinton,71
78,4,Bronx,Democratic,President,,Emergency,0
78,4,Bronx,Democratic,President,,Absentee/Military,10
78,4,Bronx,Democratic,President,,Federal,0
78,4,Bronx,Democratic,President,,Affidavit,18
78,4,Bronx,Democratic,President,,Bernie Sanders,46
78,4,Bronx,Democratic,President,,Hillary Clinton,186
78,5,Bronx,Democratic,President,,Emergency,0
78,5,Bronx,Democratic,President,,Absentee/Military,0
78,5,Bronx,Democratic,President,,Federal,0
78,5,Bronx,Democratic,President,,Affidavit,19
78,5,Bronx,Democratic,President,,Bernie Sanders,68
78,5,Bronx,Democratic,President,,Hillary Clinton,165
78,6,Bronx,Democratic,President,,Emergency,0
78,6,Bronx,Democratic,President,,Absentee/Military,2
78,6,Bronx,Democratic,President,,Federal,0
78,6,Bronx,Democratic,President,,Affidavit,26
78,6,Bronx,Democratic,President,,Bernie Sanders,62
78,6,Bronx,Democratic,President,,Hillary Clinton,177
78,7,Bronx,Democratic,President,,Emergency,0
78,7,Bronx,Democratic,President,,Absentee/Military,1
78,7,Bronx,Democratic,President,,Federal,0
78,7,Bronx,Democratic,President,,Affidavit,5
78,7,Bronx,Democratic,President,,Bernie Sanders,28
78,7,Bronx,Democratic,President,,Hillary Clinton,31
78,8,Bronx,Democratic,President,,Emergency,0
78,8,Bronx,Democratic,President,,Absentee/Military,2
78,8,Bronx,Democratic,President,,Federal,0
78,8,Bronx,Democratic,President,,Affidavit,15
78,8,Bronx,Democratic,President,,Bernie Sanders,72
78,8,Bronx,Democratic,President,,Hillary Clinton,71
78,9,Bronx,Democratic,President,,Emergency,0
78,9,Bronx,Democratic,President,,Absentee/Military,2
78,9,Bronx,Democratic,President,,Federal,1
78,9,Bronx,Democratic,President,,Affidavit,20
78,9,Bronx,Democratic,President,,Bernie Sanders,68
78,9,Bronx,Democratic,President,,Hillary Clinton,86
78,10,Bronx,Democratic,President,,Emergency,0
78,10,Bronx,Democratic,President,,Absentee/Military,0
78,10,Bronx,Democratic,President,,Federal,0
78,10,Bronx,Democratic,President,,Affidavit,13
78,10,Bronx,Democratic,President,,Bernie Sanders,36
78,10,Bronx,Democratic,President,,Hillary Clinton,115
78,11,Bronx,Democratic,President,,Emergency,0
78,11,Bronx,Democratic,President,,Absentee/Military,5
78,11,Bronx,Democratic,President,,Federal,0
78,11,Bronx,Democratic,President,,Affidavit,11
78,11,Bronx,Democratic,President,,Bernie Sanders,39
78,11,Bronx,Democratic,President,,Hillary Clinton,102
78,12,Bronx,Democratic,President,,Emergency,0
78,12,Bronx,Democratic,President,,Absentee/Military,2
78,12,Bronx,Democratic,President,,Federal,1
78,12,Bronx,Democratic,President,,Affidavit,14
78,12,Bronx,Democratic,President,,Bernie Sanders,37
78,12,Bronx,Democratic,President,,Hillary Clinton,128
78,13,Bronx,Democratic,President,,Emergency,0
78,13,Bronx,Democratic,President,,Absentee/Military,3
78,13,Bronx,Democratic,President,,Federal,0
78,13,Bronx,Democratic,President,,Affidavit,17
78,13,Bronx,Democratic,President,,Bernie Sanders,59
78,13,Bronx,Democratic,President,,Hillary Clinton,162
78,14,Bronx,Democratic,President,,Emergency,0
78,14,Bronx,Democratic,President,,Absentee/Military,1
78,14,Bronx,Democratic,President,,Federal,0
78,14,Bronx,Democratic,President,,Affidavit,14
78,14,Bronx,Democratic,President,,Bernie Sanders,72
78,14,Bronx,Democratic,President,,Hillary Clinton,150
78,15,Bronx,Democratic,President,,Emergency,0
78,15,Bronx,Democratic,President,,Absentee/Military,6
78,15,Bronx,Democratic,President,,Federal,0
78,15,Bronx,Democratic,President,,Affidavit,6
