candidate,office,county,district,party,precinct,votes,winner
Peter Lindner,U.S. House,Kings,12,DEM,,167,
Peter Lindner,U.S. House,New York,12,DEM,,1325,
Peter Lindner,U.S. House,Queens,12,DEM,,162,
Peter Lindner,U.S. House,,12,DEM,,1654,
Donald M. Sachs,U.S. House,Kings,12,REF,,0,
Donald M. Sachs,U.S. House,New York,12,REF,,1,
Donald M. Sachs,U.S. House,Queens,12,REF,,0,
Donald M. Sachs,U.S. House,,12,REF,,1,
Ivanka Trump,U.S. House,Kings,12,REF,,0,
Ivanka Trump,U.S. House,New York,12,REF,,2,
Ivanka Trump,U.S. House,Queens,12,REF,,0,
Ivanka Trump,U.S. House,,12,REF,,2,
Robert Ardini,U.S. House,Kings,12,REF,,0,
Robert Ardini,U.S. House,New York,12,REF,,1,
Robert Ardini,U.S. House,Queens,12,REF,,0,
Robert Ardini,U.S. House,,12,REF,,1,
Ronald Pichler,U.S. House,Kings,12,REF,,0,
Ronald Pichler,U.S. House,New York,12,REF,,1,
Ronald Pichler,U.S. House,Queens,12,REF,,0,
Ronald Pichler,U.S. House,,12,REF,,1,
Clyde E. Williams,U.S. House,Bronx,13,DEM,,289,
Clyde E. Williams,U.S. House,New York,13,DEM,,4714,
Clyde E. Williams,U.S. House,,13,DEM,,5003,
Suzan D. Johnson-Cook,U.S. House,Bronx,13,DEM,,319,
Suzan D. Johnson-Cook,U.S. House,New York,13,DEM,,2022,
Suzan D. Johnson-Cook,U.S. House,,13,DEM,,2341,
Adriano Espaillat,U.S. House,Bronx,13,DEM,,2484,
Adriano Espaillat,U.S. House,New York,13,DEM,,13893,
Adriano Espaillat,U.S. House,,13,DEM,,16377,
Keith L. T. Wright,U.S. House,Bronx,13,DEM,,1476,
Keith L. T. Wright,U.S. House,New York,13,DEM,,14052,
Keith L. T. Wright,U.S. House,,13,DEM,,15528,
Guillermo Linares,U.S. House,Bronx,13,DEM,,379,
Guillermo Linares,U.S. House,New York,13,DEM,,2125,
Guillermo Linares,U.S. House,,13,DEM,,2504,
Sam Sloan,U.S. House,Bronx,13,DEM,,71,
Sam Sloan,U.S. House,New York,13,DEM,,156,
Sam Sloan,U.S. House,,13,DEM,,227,
Michael Gallagher,U.S. House,Bronx,13,DEM,,95,
Michael Gallagher,U.S. House,New York,13,DEM,,340,
Michael Gallagher,U.S. House,,13,DEM,,435,
Yohanny M. Caceres,U.S. House,Bronx,13,DEM,,25,
Yohanny M. Caceres,U.S. House,New York,13,DEM,,91,
Yohanny M. Caceres,U.S. House,,13,DEM,,116,
Adam Clayton Powell,U.S. House,Bronx,13,DEM,,507,
Adam Clayton Powell,U.S. House,New York,13,DEM,,2479,
Adam Clayton Powell,U.S. House,,13,DEM,,2986,
Adriano Espallat,U.S. House,Bronx,13,REF,,0,
Adriano Espallat,U.S. House,New York,13,REF,,1,
Adriano Espallat,U.S. House,,13,REF,,1,
Clyde Williams,U.S. House,Bronx,13,REF,,0,
Clyde Williams,U.S. House,New York,13,REF,,1,
Clyde Williams,U.S. House,,13,REF,,1,
Jose E. Serrano,U.S. House,Bronx,15,DEM,,9334,
Leonel Baez,U.S. House,Bronx,15,DEM,,1127,
Phil Oliva,U.S. House,Orange,18,REP,,1511,
Phil Oliva,U.S. House,Putnam,18,REP,,675,
Phil Oliva,U.S. House,Dutchess,18,REP,,851,
Phil Oliva,U.S. House,Westchester,18,REP,,537,
Phil Oliva,U.S. House,,18,REP,,3574,
Kenneth Del Vecchio,U.S. House,Orange,18,REP,,1382,
Kenneth Del Vecchio,U.S. House,Putnam,18,REP,,510,
Kenneth Del Vecchio,U.S. House,Dutchess,18,REP,,527,
Kenneth Del Vecchio,U.S. House,Westchester,18,REP,,277,
Kenneth Del Vecchio,U.S. House,,18,REP,,2696,
Will Yandik,U.S. House,Columbia,19,DEM,,1903,
Will Yandik,U.S. House,Delaware,19,DEM,,303,
Will Yandik,U.S. House,Greene,19,DEM,,383,
Will Yandik,U.S. House,Otsego,19,DEM,,515,
Will Yandik,U.S. House,Schoharie,19,DEM,,124,
Will Yandik,U.S. House,Sullivan,19,DEM,,263,
Will Yandik,U.S. House,Ulster,19,DEM,,1259,
Will Yandik,U.S. House,Broome,19,DEM,,6,
Will Yandik,U.S. House,Dutchess,19,DEM,,533,
Will Yandik,U.S. House,Montgomery,19,DEM,,47,
Will Yandik,U.S. House,Rensselaer,19,DEM,,225,
Will Yandik,U.S. House,,19,DEM,,5561,
Zephyr Teachout,U.S. House,Columbia,19,DEM,,1387,
Zephyr Teachout,U.S. House,Delaware,19,DEM,,622,
Zephyr Teachout,U.S. House,Greene,19,DEM,,419,
Zephyr Teachout,U.S. House,Otsego,19,DEM,,1149,
Zephyr Teachout,U.S. House,Schoharie,19,DEM,,421,
Zephyr Teachout,U.S. House,Sullivan,19,DEM,,1119,
Zephyr Teachout,U.S. House,Ulster,19,DEM,,5558,
Zephyr Teachout,U.S. House,Broome,19,DEM,,18,
Zephyr Teachout,U.S. House,Dutchess,19,DEM,,2304,
Zephyr Teachout,U.S. House,Montgomery,19,DEM,,74,
Zephyr Teachout,U.S. House,Rensselaer,19,DEM,,730,
Zephyr Teachout,U.S. House,,19,DEM,,13801,
Andrew Heaney,U.S. House,Columbia,19,REP,,353,
Andrew Heaney,U.S. House,Delaware,19,REP,,452,
Andrew Heaney,U.S. House,Greene,19,REP,,230,
Andrew Heaney,U.S. House,Otsego,19,REP,,486,
Andrew Heaney,U.S. House,Schoharie,19,REP,,138,
Andrew Heaney,U.S. House,Sullivan,19,REP,,299,
Andrew Heaney,U.S. House,Ulster,19,REP,,1363,
Andrew Heaney,U.S. House,Broome,19,REP,,17,
Andrew Heaney,U.S. House,Dutchess,19,REP,,1565,
Andrew Heaney,U.S. House,Montgomery,19,REP,,74,
Andrew Heaney,U.S. House,Rensselaer,19,REP,,276,
Andrew Heaney,U.S. House,,19,REP,,5253,
John J. Faso,U.S. House,Columbia,19,REP,,1712,
John J. Faso,U.S. House,Delaware,19,REP,,1098,
John J. Faso,U.S. House,Greene,19,REP,,1367,
John J. Faso,U.S. House,Otsego,19,REP,,1157,
John J. Faso,U.S. House,Schoharie,19,REP,,708,
John J. Faso,U.S. House,Sullivan,19,REP,,788,
John J. Faso,U.S. House,Ulster,19,REP,,1597,
John J. Faso,U.S. House,Broome,19,REP,,74,
John J. Faso,U.S. House,Dutchess,19,REP,,1118,
John J. Faso,U.S. House,Montgomery,19,REP,,223,
John J. Faso,U.S. House,Rensselaer,19,REP,,1080,
John J. Faso,U.S. House,,19,REP,,10922,
George K. Phillips,U.S. House,Chenango,22,REP,,282,
George K. Phillips,U.S. House,Cortland,22,REP,,431,
George K. Phillips,U.S. House,Madison,22,REP,,213,
George K. Phillips,U.S. House,Oneida,22,REP,,649,
George K. Phillips,U.S. House,Broome,22,REP,,3571,
George K. Phillips,U.S. House,Herkimer,22,REP,,194,
George K. Phillips,U.S. House,Oswego,22,REP,,156,
George K. Phillips,U.S. House,Tioga,22,REP,,220,
George K. Phillips,U.S. House,,22,REP,,5716,
Claudia Tenney,U.S. House,Chenango,22,REP,,694,
Claudia Tenney,U.S. House,Cortland,22,REP,,305,
Claudia Tenney,U.S. House,Madison,22,REP,,927,
Claudia Tenney,U.S. House,Oneida,22,REP,,4435,
Claudia Tenney,U.S. House,Broome,22,REP,,1434,
Claudia Tenney,U.S. House,Herkimer,22,REP,,1096,
Claudia Tenney,U.S. House,Oswego,22,REP,,535,
Claudia Tenney,U.S. House,Tioga,22,REP,,123,
Claudia Tenney,U.S. House,,22,REP,,9549,
Steven M. Wells,U.S. House,Chenango,22,REP,,886,
Steven M. Wells,U.S. House,Cortland,22,REP,,501,
Steven M. Wells,U.S. House,Madison,22,REP,,938,
Steven M. Wells,U.S. House,Oneida,22,REP,,2764,
Steven M. Wells,U.S. House,Broome,22,REP,,1621,
Steven M. Wells,U.S. House,Herkimer,22,REP,,759,
Steven M. Wells,U.S. House,Oswego,22,REP,,365,
Steven M. Wells,U.S. House,Tioga,22,REP,,151,
Steven M. Wells,U.S. House,,22,REP,,7985,
Claudia Tenney,U.S. House,Chenango,22,REF,,0,
Claudia Tenney,U.S. House,Cortland,22,REF,,0,
Claudia Tenney,U.S. House,Madison,22,REF,,0,
Claudia Tenney,U.S. House,Oneida,22,REF,,1,
Claudia Tenney,U.S. House,Broome,22,REF,,4,
Claudia Tenney,U.S. House,Herkimer,22,REF,,1,
Claudia Tenney,U.S. House,Oswego,22,REF,,0,
Claudia Tenney,U.S. House,Tioga,22,REF,,0,
Claudia Tenney,U.S. House,,22,REF,,6,
Martin Babinec,U.S. House,Chenango,22,REF,,0,
Martin Babinec,U.S. House,Cortland,22,REF,,0,
Martin Babinec,U.S. House,Madison,22,REF,,0,
Martin Babinec,U.S. House,Oneida,22,REF,,1,
Martin Babinec,U.S. House,Broome,22,REF,,0,
Martin Babinec,U.S. House,Herkimer,22,REF,,20,
Martin Babinec,U.S. House,Oswego,22,REF,,0,
Martin Babinec,U.S. House,Tioga,22,REF,,0,
Martin Babinec,U.S. House,,22,REF,,21,
George K. Phillips,U.S. House,Chenango,22,REF,,0,
George K. Phillips,U.S. House,Cortland,22,REF,,0,
George K. Phillips,U.S. House,Madison,22,REF,,0,
George K. Phillips,U.S. House,Oneida,22,REF,,0,
George K. Phillips,U.S. House,Broome,22,REF,,1,
George K. Phillips,U.S. House,Herkimer,22,REF,,0,
George K. Phillips,U.S. House,Oswego,22,REF,,0,
George K. Phillips,U.S. House,Tioga,22,REF,,0,
George K. Phillips,U.S. House,,22,REF,,1,
Colleen Deacon,U.S. House,Cayuga,24,DEM,,615,
Colleen Deacon,U.S. House,Onondaga,24,DEM,,5283,
Colleen Deacon,U.S. House,Wayne,24,DEM,,188,
Colleen Deacon,U.S. House,Oswego,24,DEM,,431,
Colleen Deacon,U.S. House,,24,DEM,,6517,
Eric Kingson,U.S. House,Cayuga,24,DEM,,361,
Eric Kingson,U.S. House,Onondaga,24,DEM,,3197,
Eric Kingson,U.S. House,Wayne,24,DEM,,197,
Eric Kingson,U.S. House,Oswego,24,DEM,,239,
Eric Kingson,U.S. House,,24,DEM,,3994,
Steve Williams,U.S. House,Cayuga,24,DEM,,148,
Steve Williams,U.S. House,Onondaga,24,DEM,,2037,
Steve Williams,U.S. House,Wayne,24,DEM,,201,
Steve Williams,U.S. House,Oswego,24,DEM,,171,
Steve Williams,U.S. House,,24,DEM,,2557,
