county,office,district,party,candidate,votes,,,,,,,,,
Richmond,President,,DEM,Hillary Clinton,71348,,,,,,,,,
Total,President,,DEM,Hillary Clinton,4379783,,,,,,,,,
Albany,President,,REP,Donald J. Trump,42554,,,,,,,,,
Allegany,President,,REP,Donald J. Trump,11421,,,,,,,,,
Broome,President,,REP,Donald J. Trump,37337,,,,,,,,,
Cattaraugus,President,,REP,Donald J. Trump,17485,,,,,,,,,
Cayuga,President,,REP,Donald J. Trump,15316,,,,,,,,,
Chautauqua,President,,REP,Donald J. Trump,27516,,,,,,,,,
Chemung,President,,REP,Donald J. Trump,18347,,,,,,,,,
Chenango,President,,REP,Donald J. Trump,10849,,,,,,,,,
Clinton,President,,REP,Donald J. Trump,13312,,,,,,,,,
Columbia,President,,REP,Donald J. Trump,11867,,,,,,,,,
Cortland,President,,REP,Donald J. Trump,8930,,,,,,,,,
Delaware,President,,REP,Donald J. Trump,10827,,,,,,,,,
Dutchess,President,,REP,Donald J. Trump,54366,,,,,,,,,
Erie,President,,REP,Donald J. Trump,159742,,,,,,,,,
Essex,President,,REP,Donald J. Trump,7347,,,,,,,,,
Franklin,President,,REP,Donald J. Trump,7670,,,,,,,,,
Fulton,President,,REP,Donald J. Trump,12331,,,,,,,,,
Genesee,President,,REP,Donald J. Trump,14646,,,,,,,,,
Greene,President,,REP,Donald J. Trump,11620,,,,,,,,,
Hamilton,President,,REP,Donald J. Trump,1897,,,,,,,,,
Herkimer,President,,REP,Donald J. Trump,15110,,,,,,,,,
Jefferson,President,,REP,Donald J. Trump,19894,,,,,,,,,
Lewis,President,,REP,Donald J. Trump,6698,,,,,,,,,
Livingston,President,,REP,Donald J. Trump,15168,,,,,,,,,
Madison,President,,REP,Donald J. Trump,14144,,,,,,,,,
Monroe,President,,REP,Donald J. Trump,116476,,,,,,,,,
Montgomery,President,,REP,Donald J. Trump,9894,,,,,,,,,
Nassau,President,,REP,Donald J. Trump,272873,,,,,,,,,
Niagara,President,,REP,Donald J. Trump,44289,,,,,,,,,
Oneida,President,,REP,Donald J. Trump,46282,,,,,,,,,
Onondaga,President,,REP,Donald J. Trump,73700,,,,,,,,,
Ontario,President,,REP,Donald J. Trump,22788,,,,,,,,,
Orange,President,,REP,Donald J. Trump,68509,,,,,,,,,
Orleans,President,,REP,Donald J. Trump,9700,,,,,,,,,
Oswego,President,,REP,Donald J. Trump,24794,,,,,,,,,
Otsego,President,,REP,Donald J. Trump,12156,,,,,,,,,
Putnam,President,,REP,Donald J. Trump,23905,,,,,,,,,
Rensselaer,President,,REP,Donald J. Trump,28591,,,,,,,,,
Rockland,President,,REP,Donald J. Trump,54873,,,,,,,,,
Saratoga,President,,REP,Donald J. Trump,48584,,,,,,,,,
Schenectady,President,,REP,Donald J. Trump,25203,,,,,,,,,
Schoharie,President,,REP,Donald J. Trump,7705,,,,,,,,,
Schuyler,President,,REP,Donald J. Trump,4517,,,,,,,,,
Seneca,President,,REP,Donald J. Trump,6488,,,,,,,,,
St. Lawrence,President,,REP,Donald J. Trump,18236,,,,,,,,,
Steuben,President,,REP,Donald J. Trump,24743,,,,,,,,,
Suffolk,President,,REP,Donald J. Trump,314639,,,,,,,,,
Sullivan,President,,REP,Donald J. Trump,13929,,,,,,,,,
Tioga,President,,REP,Donald J. Trump,12206,,,,,,,,,
Tompkins,President,,REP,Donald J. Trump,9370,,,,,,,,,
Ulster,President,,REP,Donald J. Trump,30288,,,,,,,,,
Warren,President,,REP,Donald J. Trump,14317,,,,,,,,,
Washington,President,,REP,Donald J. Trump,12170,,,,,,,,,
Wayne,President,,REP,Donald J. Trump,20221,,,,,,,,,
Westchester,President,,REP,Donald J. Trump,119658,,,,,,,,,
Wyoming,President,,REP,Donald J. Trump,10928,,,,,,,,,
Yates,President,,REP,Donald J. Trump,5089,,,,,,,,,
Bronx,President,,REP,Donald J. Trump,34089,,,,,,,,,
Kings,President,,REP,Donald J. Trump,129368,,,,,,,,,
New York,President,,REP,Donald J. Trump,60638,,,,,,,,,
Queens,President,,REP,Donald J. Trump,137148,,,,,,,,,
Richmond,President,,REP,Donald J. Trump,92383,,,,,,,,,
Total,President,,REP,Donald J. Trump,2527141,,,,,,,,,
Albany,President,,CON,Donald J. Trump,5254,,,,,,,,,
Allegany,President,,CON,Donald J. Trump,1104,,,,,,,,,
Broome,President,,CON,Donald J. Trump,3606,,,,,,,,,
Cattaraugus,President,,CON,Donald J. Trump,2207,,,,,,,,,
Cayuga,President,,CON,Donald J. Trump,2068,,,,,,,,,
Chautauqua,President,,CON,Donald J. Trump,4078,,,,,,,,,
Chemung,President,,CON,Donald J. Trump,1750,,,,,,,,,
Chenango,President,,CON,Donald J. Trump,1072,,,,,,,,,
Clinton,President,,CON,Donald J. Trump,1137,,,,,,,,,
Columbia,President,,CON,Donald J. Trump,1889,,,,,,,,,
Cortland,President,,CON,Donald J. Trump,970,,,,,,,,,
Delaware,President,,CON,Donald J. Trump,1115,,,,,,,,,
Dutchess,President,,CON,Donald J. Trump,7431,,,,,,,,,
Erie,President,,CON,Donald J. Trump,28561,,,,,,,,,
Essex,President,,CON,Donald J. Trump,611,,,,,,,,,
Franklin,President,,CON,Donald J. Trump,551,,,,,,,,,
Fulton,President,,CON,Donald J. Trump,1131,,,,,,,,,
Genesee,President,,CON,Donald J. Trump,2269,,,,,,,,,
Greene,President,,CON,Donald J. Trump,1453,,,,,,,,,
Hamilton,President,,CON,Donald J. Trump,167,,,,,,,,,
Herkimer,President,,CON,Donald J. Trump,1589,,,,,,,,,
Jefferson,President,,CON,Donald J. Trump,1869,,,,,,,,,
Lewis,President,,CON,Donald J. Trump,702,,,,,,,,,
Livingston,President,,CON,Donald J. Trump,2122,,,,,,,,,
Madison,President,,CON,Donald J. Trump,1792,,,,,,,,,
Monroe,President,,CON,Donald J. Trump,20106,,,,,,,,,
Montgomery,President,,CON,Donald J. Trump,1407,,,,,,,,,
Nassau,President,,CON,Donald J. Trump,19152,,,,,,,,,
Niagara,President,,CON,Donald J. Trump,7672,,,,,,,,,
Oneida,President,,CON,Donald J. Trump,5155,,,,,,,,,
Onondaga,President,,CON,Donald J. Trump,9949,,,,,,,,,
Ontario,President,,CON,Donald J. Trump,3241,,,,,,,,,
Orange,President,,CON,Donald J. Trump,8136,,,,,,,,,
Orleans,President,,CON,Donald J. Trump,1236,,,,,,,,,
Oswego,President,,CON,Donald J. Trump,2894,,,,,,,,,
Otsego,President,,CON,Donald J. Trump,1152,,,,,,,,,
Putnam,President,,CON,Donald J. Trump,3119,,,,,,,,,
Rensselaer,President,,CON,Donald J. Trump,5135,,,,,,,,,
Rockland,President,,CON,Donald J. Trump,6038,,,,,,,,,
Saratoga,President,,CON,Donald J. Trump,5991,,,,,,,,,
Schenectady,President,,CON,Donald J. Trump,3750,,,,,,,,,
Schoharie,President,,CON,Donald J. Trump,1126,,,,,,,,,
Schuyler,President,,CON,Donald J. Trump,533,,,,,,,,,
Seneca,President,,CON,Donald J. Trump,748,,,,,,,,,
St. Lawrence,President,,CON,Donald J. Trump,1706,,,,,,,,,
Steuben,President,,CON,Donald J. Trump,2088,,,,,,,,,
Suffolk,President,,CON,Donald J. Trump,35931,,,,,,,,,
Sullivan,President,,CON,Donald J. Trump,2002,,,,,,,,,
Tioga,President,,CON,Donald J. Trump,1054,,,,,,,,,
Tompkins,President,,CON,Donald J. Trump,1001,,,,,,,,,
Ulster,President,,CON,Donald J. Trump,4951,,,,,,,,,
Warren,President,,CON,Donald J. Trump,1434,,,,,,,,,
Washington,President,,CON,Donald J. Trump,1440,,,,,,,,,
Wayne,President,,CON,Donald J. Trump,3159,,,,,,,,,
Westchester,President,,CON,Donald J. Trump,11580,,,,,,,,,
Wyoming,President,,CON,Donald J. Trump,1514,,,,,,,,,
Yates,President,,CON,Donald J. Trump,571,,,,,,,,,
Bronx,President,,CON,Donald J. Trump,3708,,,,,,,,,
Kings,President,,CON,Donald J. Trump,11676,,,,,,,,,
New York,President,,CON,Donald J. Trump,4292,,,,,,,,,
Queens,President,,CON,Donald J. Trump,12193,,,,,,,,,
Richmond,President,,CON,Donald J. Trump,9054,,,,,,,,,
Total,President,,CON,Donald J. Trump,292392,,,,,,,,,
Albany,President,,GRN,Jill Stein,2475,,,,,,,,,
Allegany,President,,GRN,Jill Stein,275,,,,,,,,,
Broome,President,,GRN,Jill Stein,1546,,,,,,,,,
Cattaraugus,President,,GRN,Jill Stein,440,,,,,,,,,
Cayuga,President,,GRN,Jill Stein,501,,,,,,,,,
Chautauqua,President,,GRN,Jill Stein,757,,,,,,,,,
Chemung,President,,GRN,Jill Stein,463,,,,,,,,,
Chenango,President,,GRN,Jill Stein,358,,,,,,,,,
Clinton,President,,GRN,Jill Stein,613,,,,,,,,,
Columbia,President,,GRN,Jill Stein,598,,,,,,,,,
Cortland,President,,GRN,Jill Stein,374,,,,,,,,,
Delaware,President,,GRN,Jill Stein,377,,,,,,,,,
Dutchess,President,,GRN,Jill Stein,1986,,,,,,,,,
Erie,President,,GRN,Jill Stein,6367,,,,,,,,,
Essex,President,,GRN,Jill Stein,420,,,,,,,,,
Franklin,President,,GRN,Jill Stein,359,,,,,,,,,
Fulton,President,,GRN,Jill Stein,311,,,,,,,,,
Genesee,President,,GRN,Jill Stein,324,,,,,,,,,
Greene,President,,GRN,Jill Stein,442,,,,,,,,,
Hamilton,President,,GRN,Jill Stein,44,,,,,,,,,
Herkimer,President,,GRN,Jill Stein,403,,,,,,,,,
Jefferson,President,,GRN,Jill Stein,617,,,,,,,,,
Lewis,President,,GRN,Jill Stein,132,,,,,,,,,
Livingston,President,,GRN,Jill Stein,449,,,,,,,,,
Madison,President,,GRN,Jill Stein,516,,,,,,,,,
Monroe,President,,GRN,Jill Stein,5289,,,,,,,,,
Montgomery,President,,GRN,Jill Stein,268,,,,,,,,,
Nassau,President,,GRN,Jill Stein,6734,,,,,,,,,
Niagara,President,,GRN,Jill Stein,1287,,,,,,,,,
Oneida,President,,GRN,Jill Stein,1235,,,,,,,,,
Onondaga,President,,GRN,Jill Stein,3185,,,,,,,,,
Ontario,President,,GRN,Jill Stein,852,,,,,,,,,
Orange,President,,GRN,Jill Stein,2154,,,,,,,,,
Orleans,President,,GRN,Jill Stein,184,,,,,,,,,
Oswego,President,,GRN,Jill Stein,705,,,,,,,,,
Otsego,President,,GRN,Jill Stein,520,,,,,,,,,
Putnam,President,,GRN,Jill Stein,590,,,,,,,,,
Rensselaer,President,,GRN,Jill Stein,1355,,,,,,,,,
Rockland,President,,GRN,Jill Stein,1348,,,,,,,,,
Saratoga,President,,GRN,Jill Stein,1825,,,,,,,,,
Schenectady,President,,GRN,Jill Stein,1127,,,,,,,,,
Schoharie,President,,GRN,Jill Stein,274,,,,,,,,,
Schuyler,President,,GRN,Jill Stein,216,,,,,,,,,
Seneca,President,,GRN,Jill Stein,259,,,,,,,,,
St. Lawrence,President,,GRN,Jill Stein,807,,,,,,,,,
Steuben,President,,GRN,Jill Stein,585,,,,,,,,,
Suffolk,President,,GRN,Jill Stein,8099,,,,,,,,,
Sullivan,President,,GRN,Jill Stein,504,,,,,,,,,
Tioga,President,,GRN,Jill Stein,337,,,,,,,,,
Tompkins,President,,GRN,Jill Stein,1380,,,,,,,,,
Ulster,President,,GRN,Jill Stein,2147,,,,,,,,,
Warren,President,,GRN,Jill Stein,863,,,,,,,,,
Washington,President,,GRN,Jill Stein,578,,,,,,,,,
Wayne,President,,GRN,Jill Stein,567,,,,,,,,,
Westchester,President,,GRN,Jill Stein,4358,,,,,,,,,
Wyoming,President,,GRN,Jill Stein,180,,,,,,,,,
Yates,President,,GRN,Jill Stein,146,,,,,,,,,
Bronx,President,,GRN,Jill Stein,4341,,,,,,,,,
Kings,President,,GRN,Jill Stein,11932,,,,,,,,,
New York,President,,GRN,Jill Stein,9441,,,,,,,,,
Queens,President,,GRN,Jill Stein,9230,,,,,,,,,
Richmond,President,,GRN,Jill Stein,1886,,,,,,,,,
Total,President,,GRN,Jill Stein,107935,,,,,,,,,
Albany,President,,WOR,Hillary Clinton,3419,,,,,,,,,
Allegany,President,,WOR,Hillary Clinton,173,,,,,,,,,
Broome,President,,WOR,Hillary Clinton,1631,,,,,,,,,
Cattaraugus,President,,WOR,Hillary Clinton,274,,,,,,,,,
Cayuga,President,,WOR,Hillary Clinton,541,,,,,,,,,
Chautauqua,President,,WOR,Hillary Clinton,704,,,,,,,,,
Chemung,President,,WOR,Hillary Clinton,326,,,,,,,,,
Chenango,President,,WOR,Hillary Clinton,258,,,,,,,,,
Clinton,President,,WOR,Hillary Clinton,634,,,,,,,,,
Columbia,President,,WOR,Hillary Clinton,865,,,,,,,,,
Cortland,President,,WOR,Hillary Clinton,309,,,,,,,,,
Delaware,President,,WOR,Hillary Clinton,333,,,,,,,,,
Dutchess,President,,WOR,Hillary Clinton,2602,,,,,,,,,
Erie,President,,WOR,Hillary Clinton,7302,,,,,,,,,
Essex,President,,WOR,Hillary Clinton,282,,,,,,,,,
Franklin,President,,WOR,Hillary Clinton,225,,,,,,,,,
Fulton,President,,WOR,Hillary Clinton,177,,,,,,,,,
Genesee,President,,WOR,Hillary Clinton,258,,,,,,,,,
Greene,President,,WOR,Hillary Clinton,365,,,,,,,,,
Hamilton,President,,WOR,Hillary Clinton,24,,,,,,,,,
Herkimer,President,,WOR,Hillary Clinton,262,,,,,,,,,
Jefferson,President,,WOR,Hillary Clinton,466,,,,,,,,,
Lewis,President,,WOR,Hillary Clinton,96,,,,,,,,,
Livingston,President,,WOR,Hillary Clinton,370,,,,,,,,,
Madison,President,,WOR,Hillary Clinton,482,,,,,,,,,
Monroe,President,,WOR,Hillary Clinton,6588,,,,,,,,,
Montgomery,President,,WOR,Hillary Clinton,230,,,,,,,,,
Nassau,President,,WOR,Hillary Clinton,5671,,,,,,,,,
Niagara,President,,WOR,Hillary Clinton,1228,,,,,,,,,
Oneida,President,,WOR,Hillary Clinton,1070,,,,,,,,,
Onondaga,President,,WOR,Hillary Clinton,3781,,,,,,,,,
Ontario,President,,WOR,Hillary Clinton,799,,,,,,,,,
Orange,President,,WOR,Hillary Clinton,1997,,,,,,,,,
Orleans,President,,WOR,Hillary Clinton,150,,,,,,,,,
Oswego,President,,WOR,Hillary Clinton,663,,,,,,,,,
Otsego,President,,WOR,Hillary Clinton,476,,,,,,,,,
Putnam,President,,WOR,Hillary Clinton,806,,,,,,,,,
Rensselaer,President,,WOR,Hillary Clinton,1576,,,,,,,,,
Rockland,President,,WOR,Hillary Clinton,1640,,,,,,,,,
Saratoga,President,,WOR,Hillary Clinton,1653,,,,,,,,,
Schenectady,President,,WOR,Hillary Clinton,1165,,,,,,,,,
Schoharie,President,,WOR,Hillary Clinton,191,,,,,,,,,
Schuyler,President,,WOR,Hillary Clinton,205,,,,,,,,,
Seneca,President,,WOR,Hillary Clinton,235,,,,,,,,,
St. Lawrence,President,,WOR,Hillary Clinton,534,,,,,,,,,
Steuben,President,,WOR,Hillary Clinton,389,,,,,,,,,
Suffolk,President,,WOR,Hillary Clinton,8001,,,,,,,,,
Sullivan,President,,WOR,Hillary Clinton,498,,,,,,,,,
Tioga,President,,WOR,Hillary Clinton,299,,,,,,,,,
Tompkins,President,,WOR,Hillary Clinton,2358,,,,,,,,,
Ulster,President,,WOR,Hillary Clinton,3192,,,,,,,,,
Warren,President,,WOR,Hillary Clinton,420,,,,,,,,,
Washington,President,,WOR,Hillary Clinton,373,,,,,,,,,
Wayne,President,,WOR,Hillary Clinton,531,,,,,,,,,
Westchester,President,,WOR,Hillary Clinton,5658,,,,,,,,,
Wyoming,President,,WOR,Hillary Clinton,134,,,,,,,,,
Yates,President,,WOR,Hillary Clinton,126,,,,,,,,,
Bronx,President,,WOR,Hillary Clinton,5016,,,,,,,,,
Kings,President,,WOR,Hillary Clinton,26578,,,,,,,,,
New York,President,,WOR,Hillary Clinton,18396,,,,,,,,,
Queens,President,,WOR,Hillary Clinton,12666,,,,,,,,,
Richmond,President,,WOR,Hillary Clinton,2372,,,,,,,,,
Total,President,,WOR,Hillary Clinton,140043,,,,,,,,,
Albany,President,,IND,Gary Johnson,3099,,,,,,,,,
Allegany,President,,IND,Gary Johnson,527,,,,,,,,,
Broome,President,,IND,Gary Johnson,2187,,,,,,,,,
Cattaraugus,President,,IND,Gary Johnson,932,,,,,,,,,
Cayuga,President,,IND,Gary Johnson,1008,,,,,,,,,
Chautauqua,President,,IND,Gary Johnson,1601,,,,,,,,,
Chemung,President,,IND,Gary Johnson,1012,,,,,,,,,
Chenango,President,,IND,Gary Johnson,634,,,,,,,,,
Clinton,President,,IND,Gary Johnson,964,,,,,,,,,
Columbia,President,,IND,Gary Johnson,626,,,,,,,,,
Cortland,President,,IND,Gary Johnson,682,,,,,,,,,
Delaware,President,,IND,Gary Johnson,476,,,,,,,,,
Dutchess,President,,IND,Gary Johnson,2366,,,,,,,,,
Erie,President,,IND,Gary Johnson,8463,,,,,,,,,
Essex,President,,IND,Gary Johnson,533,,,,,,,,,
Franklin,President,,IND,Gary Johnson,505,,,,,,,,,
Fulton,President,,IND,Gary Johnson,532,,,,,,,,,
Genesee,President,,IND,Gary Johnson,902,,,,,,,,,
Greene,President,,IND,Gary Johnson,458,,,,,,,,,
Hamilton,President,,IND,Gary Johnson,79,,,,,,,,,
Herkimer,President,,IND,Gary Johnson,740,,,,,,,,,
Jefferson,President,,IND,Gary Johnson,1238,,,,,,,,,
Lewis,President,,IND,Gary Johnson,396,,,,,,,,,
Livingston,President,,IND,Gary Johnson,862,,,,,,,,,
Madison,President,,IND,Gary Johnson,1097,,,,,,,,,
Monroe,President,,IND,Gary Johnson,8640,,,,,,,,,
Montgomery,President,,IND,Gary Johnson,460,,,,,,,,,
Nassau,President,,IND,Gary Johnson,7195,,,,,,,,,
Niagara,President,,IND,Gary Johnson,2059,,,,,,,,,
Oneida,President,,IND,Gary Johnson,2682,,,,,,,,,
Onondaga,President,,IND,Gary Johnson,5853,,,,,,,,,
Ontario,President,,IND,Gary Johnson,1721,,,,,,,,,
Orange,President,,IND,Gary Johnson,2687,,,,,,,,,
Orleans,President,,IND,Gary Johnson,470,,,,,,,,,
Oswego,President,,IND,Gary Johnson,1554,,,,,,,,,
Otsego,President,,IND,Gary Johnson,723,,,,,,,,,
Putnam,President,,IND,Gary Johnson,751,,,,,,,,,
Rensselaer,President,,IND,Gary Johnson,1959,,,,,,,,,
Rockland,President,,IND,Gary Johnson,1529,,,,,,,,,
Saratoga,President,,IND,Gary Johnson,3354,,,,,,,,,
Schenectady,President,,IND,Gary Johnson,1770,,,,,,,,,
Schoharie,President,,IND,Gary Johnson,382,,,,,,,,,
Schuyler,President,,IND,Gary Johnson,206,,,,,,,,,
Seneca,President,,IND,Gary Johnson,464,,,,,,,,,
St. Lawrence,President,,IND,Gary Johnson,1034,,,,,,,,,
Steuben,President,,IND,Gary Johnson,1167,,,,,,,,,
Suffolk,President,,IND,Gary Johnson,9169,,,,,,,,,
Sullivan,President,,IND,Gary Johnson,538,,,,,,,,,
Tioga,President,,IND,Gary Johnson,623,,,,,,,,,
Tompkins,President,,IND,Gary Johnson,855,,,,,,,,,
Ulster,President,,IND,Gary Johnson,1570,,,,,,,,,
Warren,President,,IND,Gary Johnson,854,,,,,,,,,
Washington,President,,IND,Gary Johnson,644,,,,,,,,,
Wayne,President,,IND,Gary Johnson,1391,,,,,,,,,
Westchester,President,,IND,Gary Johnson,4898,,,,,,,,,
Wyoming,President,,IND,Gary Johnson,474,,,,,,,,,
Yates,President,,IND,Gary Johnson,345,,,,,,,,,
Bronx,President,,IND,Gary Johnson,1832,,,,,,,,,
Kings,President,,IND,Gary Johnson,4786,,,,,,,,,
New York,President,,IND,Gary Johnson,5588,,,,,,,,,
Queens,President,,IND,Gary Johnson,5270,,,,,,,,,
Richmond,President,,IND,Gary Johnson,1744,,,,,,,,,
Total,President,,IND,Gary Johnson,119160,,,,,,,,,
Albany,President,,WEP,Hillary Clinton,1148,,,,,,,,,
Allegany,President,,WEP,Hillary Clinton,63,,,,,,,,,
Broome,President,,WEP,Hillary Clinton,475,,,,,,,,,
Cattaraugus,President,,WEP,Hillary Clinton,146,,,,,,,,,
Cayuga,President,,WEP,Hillary Clinton,202,,,,,,,,,
Chautauqua,President,,WEP,Hillary Clinton,275,,,,,,,,,
Chemung,President,,WEP,Hillary Clinton,154,,,,,,,,,
Chenango,President,,WEP,Hillary Clinton,100,,,,,,,,,
Clinton,President,,WEP,Hillary Clinton,208,,,,,,,,,
Columbia,President,,WEP,Hillary Clinton,273,,,,,,,,,
Cortland,President,,WEP,Hillary Clinton,155,,,,,,,,,
Delaware,President,,WEP,Hillary Clinton,100,,,,,,,,,
Dutchess,President,,WEP,Hillary Clinton,749,,,,,,,,,
Erie,President,,WEP,Hillary Clinton,2381,,,,,,,,,
Essex,President,,WEP,Hillary Clinton,139,,,,,,,,,
Franklin,President,,WEP,Hillary Clinton,78,,,,,,,,,
Fulton,President,,WEP,Hillary Clinton,104,,,,,,,,,
Genesee,President,,WEP,Hillary Clinton,116,,,,,,,,,
Greene,President,,WEP,Hillary Clinton,126,,,,,,,,,
Hamilton,President,,WEP,Hillary Clinton,19,,,,,,,,,
Herkimer,President,,WEP,Hillary Clinton,113,,,,,,,,,
Jefferson,President,,WEP,Hillary Clinton,193,,,,,,,,,
Lewis,President,,WEP,Hillary Clinton,41,,,,,,,,,
Livingston,President,,WEP,Hillary Clinton,187,,,,,,,,,
Madison,President,,WEP,Hillary Clinton,197,,,,,,,,,
Monroe,President,,WEP,Hillary Clinton,2862,,,,,,,,,
Montgomery,President,,WEP,Hillary Clinton,101,,,,,,,,,
Nassau,President,,WEP,Hillary Clinton,2271,,,,,,,,,
Niagara,President,,WEP,Hillary Clinton,404,,,,,,,,,
Oneida,President,,WEP,Hillary Clinton,456,,,,,,,,,
Onondaga,President,,WEP,Hillary Clinton,1507,,,,,,,,,
Ontario,President,,WEP,Hillary Clinton,372,,,,,,,,,
Orange,President,,WEP,Hillary Clinton,749,,,,,,,,,
Orleans,President,,WEP,Hillary Clinton,81,,,,,,,,,
Oswego,President,,WEP,Hillary Clinton,246,,,,,,,,,
Otsego,President,,WEP,Hillary Clinton,166,,,,,,,,,
Putnam,President,,WEP,Hillary Clinton,236,,,,,,,,,
Rensselaer,President,,WEP,Hillary Clinton,635,,,,,,,,,
Rockland,President,,WEP,Hillary Clinton,604,,,,,,,,,
Saratoga,President,,WEP,Hillary Clinton,757,,,,,,,,,
Schenectady,President,,WEP,Hillary Clinton,510,,,,,,,,,
Schoharie,President,,WEP,Hillary Clinton,83,,,,,,,,,
Schuyler,President,,WEP,Hillary Clinton,69,,,,,,,,,
Seneca,President,,WEP,Hillary Clinton,112,,,,,,,,,
St. Lawrence,President,,WEP,Hillary Clinton,205,,,,,,,,,
Steuben,President,,WEP,Hillary Clinton,155,,,,,,,,,
Suffolk,President,,WEP,Hillary Clinton,3230,,,,,,,,,
Sullivan,President,,WEP,Hillary Clinton,157,,,,,,,,,
Tioga,President,,WEP,Hillary Clinton,104,,,,,,,,,
Tompkins,President,,WEP,Hillary Clinton,439,,,,,,,,,
Ulster,President,,WEP,Hillary Clinton,731,,,,,,,,,
Warren,President,,WEP,Hillary Clinton,210,,,,,,,,,
Washington,President,,WEP,Hillary Clinton,161,,,,,,,,,
Wayne,President,,WEP,Hillary Clinton,214,,,,,,,,,
Westchester,President,,WEP,Hillary Clinton,2012,,,,,,,,,
Wyoming,President,,WEP,Hillary Clinton,54,,,,,,,,,
Yates,President,,WEP,Hillary Clinton,60,,,,,,,,,
Bronx,President,,WEP,Hillary Clinton,737,,,,,,,,,
Kings,President,,WEP,Hillary Clinton,2536,,,,,,,,,
New York,President,,WEP,Hillary Clinton,2758,,,,,,,,,
Queens,President,,WEP,Hillary Clinton,2143,,,,,,,,,
