county,precinct,office,district,party,candidate,votes,ElectionDayVotes,AbsenteeAffidavit
Columbia,Chatham-2,State House,107,Republican,STEVEN F MCLAUGHLIN,256,240,16
Columbia,Chatham-2,State House,107,Conservative,STEVEN F MCLAUGHLIN,37,34,3
Columbia,Chatham-2,State House,107,Independence,STEVEN F MCLAUGHLIN,66,58,8
Columbia,Chatham-2,State House,107,Reform Party,STEVEN F MCLAUGHLIN,6,5,1
Columbia,Chatham-3,State House,107,Republican,STEVEN F MCLAUGHLIN,447,405,42
Columbia,Chatham-3,State House,107,Conservative,STEVEN F MCLAUGHLIN,68,65,3
Columbia,Chatham-3,State House,107,Independence,STEVEN F MCLAUGHLIN,81,77,4
Columbia,Chatham-3,State House,107,Reform Party,STEVEN F MCLAUGHLIN,8,8,0
Columbia,Kinderhook-1,State House,107,Republican,STEVEN F MCLAUGHLIN,248,223,25
Columbia,Kinderhook-1,State House,107,Conservative,STEVEN F MCLAUGHLIN,42,40,2
Columbia,Kinderhook-1,State House,107,Independence,STEVEN F MCLAUGHLIN,54,50,4
Columbia,Kinderhook-1,State House,107,Reform Party,STEVEN F MCLAUGHLIN,4,3,1
Columbia,Kinderhook-2,State House,107,Republican,STEVEN F MCLAUGHLIN,203,177,26
Columbia,Kinderhook-2,State House,107,Conservative,STEVEN F MCLAUGHLIN,42,31,11
Columbia,Kinderhook-2,State House,107,Independence,STEVEN F MCLAUGHLIN,57,54,3
Columbia,Kinderhook-2,State House,107,Reform Party,STEVEN F MCLAUGHLIN,6,4,2
Columbia,Kinderhook-3,State House,107,Republican,STEVEN F MCLAUGHLIN,341,299,42
Columbia,Kinderhook-3,State House,107,Conservative,STEVEN F MCLAUGHLIN,54,51,3
Columbia,Kinderhook-3,State House,107,Independence,STEVEN F MCLAUGHLIN,76,65,11
Columbia,Kinderhook-3,State House,107,Reform Party,STEVEN F MCLAUGHLIN,8,7,1
