county,precinct,office,district,party,candidate,polling_place,absentee_affidavit,votes
Herkimer,Town of Herkimer 1 LD 2,President,,WOR,Hillary Clinton,4,1,5
Herkimer,Town of Herkimer 2 LD 2,President,,WOR,Hillary Clinton,4,1,5
Herkimer,Town of Herkimer 3 LD 2,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Herkimer 4 LD 2,President,,WOR,Hillary Clinton,2,1,3
Herkimer,Town of Herkimer 5 LD 1,President,,WOR,Hillary Clinton,5,0,5
Herkimer,Town of Herkimer 6 LD 3,President,,WOR,Hillary Clinton,10,2,12
Herkimer,Town of Herkimer 7 LD 3,President,,WOR,Hillary Clinton,4,0,4
Herkimer,Town of Herkimer 8 LD 1,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Herkimer 9 LD 3,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Litchfield 1 LD 13,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Little Falls 1 LD 14,President,,WOR,Hillary Clinton,9,0,9
Herkimer,Town of Manheim 1 LD 10,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of Manheim 2 LD 10,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Manheim 3 LD 10,President,,WOR,Hillary Clinton,4,0,4
Herkimer,Town of Newport 1 LD 17,President,,WOR,Hillary Clinton,7,0,7
Herkimer,Town of Norway 1 LD 16,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Ohio 1 LD 15,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Russia 1 LD 17,President,,WOR,Hillary Clinton,6,0,6
Herkimer,Town of Russia 2 LD 15,President,,WOR,Hillary Clinton,4,0,4
Herkimer,Town of Russia 3 LD 17,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of Salisbury 1 LD 16,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Schuyler 1 LD 11,President,,WOR,Hillary Clinton,6,1,7
Herkimer,Town of Schuyler 2 LD 11,President,,WOR,Hillary Clinton,5,0,5
Herkimer,Town of Schuyler 3 LD 11,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of Stark 1 LD 14,President,,WOR,Hillary Clinton,2,0,2
Herkimer,Town of Warren 1 LD 7,President,,WOR,Hillary Clinton,6,0,6
Herkimer,Town of Webb 1 LD 15,President,,WOR,Hillary Clinton,16,0,16
Herkimer,Town of Webb 2 LD 15,President,,WOR,Hillary Clinton,1,0,1
Herkimer,Town of Winfield 1 LD 13,President,,WOR,Hillary Clinton,3,0,3
Herkimer,Town of Winfield 2 LD 13,President,,WOR,Hillary Clinton,0,17,17
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,WEP,Hillary Clinton,2,0,2
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,WEP,Hillary Clinton,6,0,6
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,WEP,Hillary Clinton,0,1,1
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,WEP,Hillary Clinton,3,1,4
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Columbia 1 LD 7,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Columbia 2 LD 13,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Danube 1 LD 14,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Fairfield 1 LD 16,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Frankfort 1 LD 8,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Frankfort 2 LD 9,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Frankfort 3 LD 9,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Frankfort 4 LD 8,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Frankfort 5 LD 8,President,,WEP,Hillary Clinton,6,0,6
Herkimer,Town of Frankfort 6 LD 9,President,,WEP,Hillary Clinton,4,0,4
Herkimer,Town of German Flatts 1 LD 7,President,,WEP,Hillary Clinton,3,0,3
Herkimer,Town of German Flatts 2 LD 1,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of German Flatts 3 LD 4,President,,WEP,Hillary Clinton,3,0,3
Herkimer,Town of German Flatts 4 LD 5,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 5 LD 6,President,,WEP,Hillary Clinton,0,1,1
Herkimer,Town of German Flatts 6 LD 6,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 7 LD 4,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of German Flatts 8 LD 5,President,,WEP,Hillary Clinton,1,1,2
Herkimer,Town of German Flatts 9 LD 4,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 10 LD 5,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of German Flatts 11 LD 6,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of German Flatts 12 LD 6,President,,WEP,Hillary Clinton,3,0,3
Herkimer,Town of German Flatts 13 LD 5,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of German Flatts 14 LD 5,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Herkimer 1 LD 2,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Herkimer 2 LD 2,President,,WEP,Hillary Clinton,2,2,4
Herkimer,Town of Herkimer 3 LD 2,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Herkimer 4 LD 2,President,,WEP,Hillary Clinton,4,0,4
Herkimer,Town of Herkimer 5 LD 1,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Herkimer 6 LD 3,President,,WEP,Hillary Clinton,3,1,4
Herkimer,Town of Herkimer 7 LD 3,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Herkimer 8 LD 1,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Herkimer 9 LD 3,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Litchfield 1 LD 13,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Little Falls 1 LD 14,President,,WEP,Hillary Clinton,2,1,3
Herkimer,Town of Manheim 1 LD 10,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Manheim 2 LD 10,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Manheim 3 LD 10,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Newport 1 LD 17,President,,WEP,Hillary Clinton,3,0,3
Herkimer,Town of Norway 1 LD 16,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Ohio 1 LD 15,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Russia 1 LD 17,President,,WEP,Hillary Clinton,0,0,0
Herkimer,Town of Russia 2 LD 15,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Russia 3 LD 17,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Salisbury 1 LD 16,President,,WEP,Hillary Clinton,5,0,5
Herkimer,Town of Schuyler 1 LD 11,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Schuyler 2 LD 11,President,,WEP,Hillary Clinton,3,0,3
Herkimer,Town of Schuyler 3 LD 11,President,,WEP,Hillary Clinton,2,0,2
Herkimer,Town of Stark 1 LD 14,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Warren 1 LD 7,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Webb 1 LD 15,President,,WEP,Hillary Clinton,9,0,9
Herkimer,Town of Webb 2 LD 15,President,,WEP,Hillary Clinton,1,1,2
Herkimer,Town of Winfield 1 LD 13,President,,WEP,Hillary Clinton,1,0,1
Herkimer,Town of Winfield 2 LD 13,President,,WEP,Hillary Clinton,1,1,2
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,REP,Donald J. Trump,206,11,217
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,REP,Donald J. Trump,236,24,260
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,REP,Donald J. Trump,48,1,49
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,REP,Donald J. Trump,98,7,105
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,REP,Donald J. Trump,150,8,158
Herkimer,Town of Columbia 1 LD 7,President,,REP,Donald J. Trump,366,22,388
Herkimer,Town of Columbia 2 LD 13,President,,REP,Donald J. Trump,123,1,124
Herkimer,Town of Danube 1 LD 14,President,,REP,Donald J. Trump,274,15,289
Herkimer,Town of Fairfield 1 LD 16,President,,REP,Donald J. Trump,467,38,505
Herkimer,Town of Frankfort 1 LD 8,President,,REP,Donald J. Trump,226,10,236
Herkimer,Town of Frankfort 2 LD 9,President,,REP,Donald J. Trump,276,13,289
Herkimer,Town of Frankfort 3 LD 9,President,,REP,Donald J. Trump,252,18,270
Herkimer,Town of Frankfort 4 LD 8,President,,REP,Donald J. Trump,273,35,308
Herkimer,Town of Frankfort 5 LD 8,President,,REP,Donald J. Trump,420,28,448
Herkimer,Town of Frankfort 6 LD 9,President,,REP,Donald J. Trump,410,26,436
Herkimer,Town of German Flatts 1 LD 7,President,,REP,Donald J. Trump,338,21,359
Herkimer,Town of German Flatts 2 LD 1,President,,REP,Donald J. Trump,214,16,230
Herkimer,Town of German Flatts 3 LD 4,President,,REP,Donald J. Trump,359,19,378
Herkimer,Town of German Flatts 4 LD 5,President,,REP,Donald J. Trump,87,6,93
Herkimer,Town of German Flatts 5 LD 6,President,,REP,Donald J. Trump,50,6,56
Herkimer,Town of German Flatts 6 LD 6,President,,REP,Donald J. Trump,136,7,143
Herkimer,Town of German Flatts 7 LD 4,President,,REP,Donald J. Trump,126,7,133
Herkimer,Town of German Flatts 8 LD 5,President,,REP,Donald J. Trump,179,5,184
Herkimer,Town of German Flatts 9 LD 4,President,,REP,Donald J. Trump,153,5,158
Herkimer,Town of German Flatts 10 LD 5,President,,REP,Donald J. Trump,91,4,95
Herkimer,Town of German Flatts 11 LD 6,President,,REP,Donald J. Trump,260,7,267
Herkimer,Town of German Flatts 12 LD 6,President,,REP,Donald J. Trump,195,3,198
Herkimer,Town of German Flatts 13 LD 5,President,,REP,Donald J. Trump,249,14,263
Herkimer,Town of German Flatts 14 LD 5,President,,REP,Donald J. Trump,201,14,215
Herkimer,Town of Herkimer 1 LD 2,President,,REP,Donald J. Trump,421,38,459
Herkimer,Town of Herkimer 2 LD 2,President,,REP,Donald J. Trump,107,20,127
Herkimer,Town of Herkimer 3 LD 2,President,,REP,Donald J. Trump,116,12,128
Herkimer,Town of Herkimer 4 LD 2,President,,REP,Donald J. Trump,102,13,115
Herkimer,Town of Herkimer 5 LD 1,President,,REP,Donald J. Trump,225,10,235
Herkimer,Town of Herkimer 6 LD 3,President,,REP,Donald J. Trump,374,23,397
Herkimer,Town of Herkimer 7 LD 3,President,,REP,Donald J. Trump,186,6,192
Herkimer,Town of Herkimer 8 LD 1,President,,REP,Donald J. Trump,139,15,154
Herkimer,Town of Herkimer 9 LD 3,President,,REP,Donald J. Trump,203,19,222
Herkimer,Town of Litchfield 1 LD 13,President,,REP,Donald J. Trump,392,27,419
Herkimer,Town of Little Falls 1 LD 14,President,,REP,Donald J. Trump,413,8,421
Herkimer,Town of Manheim 1 LD 10,President,,REP,Donald J. Trump,89,6,95
Herkimer,Town of Manheim 2 LD 10,President,,REP,Donald J. Trump,419,24,443
Herkimer,Town of Manheim 3 LD 10,President,,REP,Donald J. Trump,144,9,153
Herkimer,Town of Newport 1 LD 17,President,,REP,Donald J. Trump,572,34,606
Herkimer,Town of Norway 1 LD 16,President,,REP,Donald J. Trump,233,12,245
Herkimer,Town of Ohio 1 LD 15,President,,REP,Donald J. Trump,346,15,361
Herkimer,Town of Russia 1 LD 17,President,,REP,Donald J. Trump,358,26,384
Herkimer,Town of Russia 2 LD 15,President,,REP,Donald J. Trump,207,13,220
Herkimer,Town of Russia 3 LD 17,President,,REP,Donald J. Trump,86,4,90
Herkimer,Town of Salisbury 1 LD 16,President,,REP,Donald J. Trump,459,33,492
Herkimer,Town of Schuyler 1 LD 11,President,,REP,Donald J. Trump,173,12,185
Herkimer,Town of Schuyler 2 LD 11,President,,REP,Donald J. Trump,323,20,343
Herkimer,Town of Schuyler 3 LD 11,President,,REP,Donald J. Trump,258,16,274
Herkimer,Town of Stark 1 LD 14,President,,REP,Donald J. Trump,173,9,182
Herkimer,Town of Warren 1 LD 7,President,,REP,Donald J. Trump,259,13,272
Herkimer,Town of Webb 1 LD 15,President,,REP,Donald J. Trump,438,73,511
Herkimer,Town of Webb 2 LD 15,President,,REP,Donald J. Trump,10,19,29
Herkimer,Town of Winfield 1 LD 13,President,,REP,Donald J. Trump,273,6,279
Herkimer,Town of Winfield 2 LD 13,President,,REP,Donald J. Trump,223,0,223
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,CON,Donald J. Trump,25,0,25
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,CON,Donald J. Trump,27,0,27
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,CON,Donald J. Trump,9,0,9
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,CON,Donald J. Trump,10,1,11
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,CON,Donald J. Trump,20,1,21
Herkimer,Town of Columbia 1 LD 7,President,,CON,Donald J. Trump,37,2,39
Herkimer,Town of Columbia 2 LD 13,President,,CON,Donald J. Trump,11,1,12
Herkimer,Town of Danube 1 LD 14,President,,CON,Donald J. Trump,29,3,32
Herkimer,Town of Fairfield 1 LD 16,President,,CON,Donald J. Trump,29,2,31
Herkimer,Town of Frankfort 1 LD 8,President,,CON,Donald J. Trump,18,1,19
Herkimer,Town of Frankfort 2 LD 9,President,,CON,Donald J. Trump,21,1,22
Herkimer,Town of Frankfort 3 LD 9,President,,CON,Donald J. Trump,28,4,32
Herkimer,Town of Frankfort 4 LD 8,President,,CON,Donald J. Trump,39,6,45
Herkimer,Town of Frankfort 5 LD 8,President,,CON,Donald J. Trump,58,4,62
Herkimer,Town of Frankfort 6 LD 9,President,,CON,Donald J. Trump,33,3,36
Herkimer,Town of German Flatts 1 LD 7,President,,CON,Donald J. Trump,21,3,24
Herkimer,Town of German Flatts 2 LD 1,President,,CON,Donald J. Trump,24,2,26
Herkimer,Town of German Flatts 3 LD 4,President,,CON,Donald J. Trump,43,1,44
Herkimer,Town of German Flatts 4 LD 5,President,,CON,Donald J. Trump,8,0,8
Herkimer,Town of German Flatts 5 LD 6,President,,CON,Donald J. Trump,5,0,5
Herkimer,Town of German Flatts 6 LD 6,President,,CON,Donald J. Trump,20,4,24
Herkimer,Town of German Flatts 7 LD 4,President,,CON,Donald J. Trump,12,1,13
Herkimer,Town of German Flatts 8 LD 5,President,,CON,Donald J. Trump,15,2,17
Herkimer,Town of German Flatts 9 LD 4,President,,CON,Donald J. Trump,7,0,7
Herkimer,Town of German Flatts 10 LD 5,President,,CON,Donald J. Trump,9,1,10
Herkimer,Town of German Flatts 11 LD 6,President,,CON,Donald J. Trump,21,2,23
Herkimer,Town of German Flatts 12 LD 6,President,,CON,Donald J. Trump,22,3,25
Herkimer,Town of German Flatts 13 LD 5,President,,CON,Donald J. Trump,25,0,25
Herkimer,Town of German Flatts 14 LD 5,President,,CON,Donald J. Trump,18,0,18
Herkimer,Town of Herkimer 1 LD 2,President,,CON,Donald J. Trump,32,3,35
Herkimer,Town of Herkimer 2 LD 2,President,,CON,Donald J. Trump,6,3,9
Herkimer,Town of Herkimer 3 LD 2,President,,CON,Donald J. Trump,6,3,9
Herkimer,Town of Herkimer 4 LD 2,President,,CON,Donald J. Trump,12,1,13
Herkimer,Town of Herkimer 5 LD 1,President,,CON,Donald J. Trump,9,1,10
Herkimer,Town of Herkimer 6 LD 3,President,,CON,Donald J. Trump,36,2,38
Herkimer,Town of Herkimer 7 LD 3,President,,CON,Donald J. Trump,11,0,11
Herkimer,Town of Herkimer 8 LD 1,President,,CON,Donald J. Trump,22,0,22
Herkimer,Town of Herkimer 9 LD 3,President,,CON,Donald J. Trump,21,4,25
Herkimer,Town of Litchfield 1 LD 13,President,,CON,Donald J. Trump,45,2,47
Herkimer,Town of Little Falls 1 LD 14,President,,CON,Donald J. Trump,51,4,55
Herkimer,Town of Manheim 1 LD 10,President,,CON,Donald J. Trump,4,0,4
Herkimer,Town of Manheim 2 LD 10,President,,CON,Donald J. Trump,45,9,54
Herkimer,Town of Manheim 3 LD 10,President,,CON,Donald J. Trump,16,3,19
Herkimer,Town of Newport 1 LD 17,President,,CON,Donald J. Trump,49,1,50
Herkimer,Town of Norway 1 LD 16,President,,CON,Donald J. Trump,21,1,22
Herkimer,Town of Ohio 1 LD 15,President,,CON,Donald J. Trump,19,1,20
Herkimer,Town of Russia 1 LD 17,President,,CON,Donald J. Trump,30,4,34
Herkimer,Town of Russia 2 LD 15,President,,CON,Donald J. Trump,17,0,17
Herkimer,Town of Russia 3 LD 17,President,,CON,Donald J. Trump,8,1,9
Herkimer,Town of Salisbury 1 LD 16,President,,CON,Donald J. Trump,43,0,43
Herkimer,Town of Schuyler 1 LD 11,President,,CON,Donald J. Trump,16,1,17
Herkimer,Town of Schuyler 2 LD 11,President,,CON,Donald J. Trump,35,2,37
Herkimer,Town of Schuyler 3 LD 11,President,,CON,Donald J. Trump,32,0,32
Herkimer,Town of Stark 1 LD 14,President,,CON,Donald J. Trump,21,0,21
Herkimer,Town of Warren 1 LD 7,President,,CON,Donald J. Trump,34,2,36
Herkimer,Town of Webb 1 LD 15,President,,CON,Donald J. Trump,33,3,36
Herkimer,Town of Webb 2 LD 15,President,,CON,Donald J. Trump,93,4,97
Herkimer,Town of Winfield 1 LD 13,President,,CON,Donald J. Trump,36,1,37
Herkimer,Town of Winfield 2 LD 13,President,,CON,Donald J. Trump,38,0,38
Herkimer,City of Little Falls Ward 1 1 LD 12,President,,GRE,Jill Stein,11,1,12
Herkimer,City of Little Falls Ward 2 1 LD 12,President,,GRE,Jill Stein,12,0,12
Herkimer,City of Little Falls Ward 3 1 LD 12,President,,GRE,Jill Stein,1,1,2
Herkimer,City of Little Falls Ward 3 2 LD 10,President,,GRE,Jill Stein,9,0,9
Herkimer,City of Little Falls Ward 4 1 LD 12,President,,GRE,Jill Stein,12,0,12
Herkimer,Town of Columbia 1 LD 7,President,,GRE,Jill Stein,3,0,3
Herkimer,Town of Columbia 2 LD 13,President,,GRE,Jill Stein,5,1,6
Herkimer,Town of Danube 1 LD 14,President,,GRE,Jill Stein,10,0,10
Herkimer,Town of Fairfield 1 LD 16,President,,GRE,Jill Stein,4,1,5
Herkimer,Town of Frankfort 1 LD 8,President,,GRE,Jill Stein,13,0,13
Herkimer,Town of Frankfort 2 LD 9,President,,GRE,Jill Stein,6,0,6
Herkimer,Town of Frankfort 3 LD 9,President,,GRE,Jill Stein,7,0,7
Herkimer,Town of Frankfort 4 LD 8,President,,GRE,Jill Stein,3,1,4
Herkimer,Town of Frankfort 5 LD 8,President,,GRE,Jill Stein,14,2,16
Herkimer,Town of Frankfort 6 LD 9,President,,GRE,Jill Stein,5,0,5
Herkimer,Town of German Flatts 1 LD 7,President,,GRE,Jill Stein,4,0,4
Herkimer,Town of German Flatts 2 LD 1,President,,GRE,Jill Stein,10,1,11
Herkimer,Town of German Flatts 3 LD 4,President,,GRE,Jill Stein,15,0,15
Herkimer,Town of German Flatts 4 LD 5,President,,GRE,Jill Stein,7,0,7
Herkimer,Town of German Flatts 5 LD 6,President,,GRE,Jill Stein,6,0,6
Herkimer,Town of German Flatts 6 LD 6,President,,GRE,Jill Stein,5,1,6
Herkimer,Town of German Flatts 7 LD 4,President,,GRE,Jill Stein,4,0,4
Herkimer,Town of German Flatts 8 LD 5,President,,GRE,Jill Stein,3,0,3
Herkimer,Town of German Flatts 9 LD 4,President,,GRE,Jill Stein,2,0,2
Herkimer,Town of German Flatts 10 LD 5,President,,GRE,Jill Stein,3,0,3
Herkimer,Town of German Flatts 11 LD 6,President,,GRE,Jill Stein,6,0,6
