county,precinct,office,district,party,candidate,votes,,
Otsego,Oneonta City Ward 6,President,,Dem,Tulsi Gabbard,1,,
Otsego,Oneonta City Ward 7,President,,Dem,Tulsi Gabbard,2,,
Otsego,Oneonta City Ward 8,President,,Dem,Tulsi Gabbard,2,,
Otsego,Burlington  1,President,,Dem,Bernie Sanders,5,,
Otsego,Butternuts 1,President,,Dem,Bernie Sanders,7,,
Otsego,Butternuts 2,President,,Dem,Bernie Sanders,22,,
Otsego,Cherry Valley 1,President,,Dem,Bernie Sanders,23,,
Otsego,Decatur 1,President,,Dem,Bernie Sanders,2,,
Otsego,Edmeston 1,President,,Dem,Bernie Sanders,15,,
Otsego,Exeter 1,President,,Dem,Bernie Sanders,7,,
Otsego,Hartwick 1,President,,Dem,Bernie Sanders,17,,
Otsego,Hartwick 2,President,,Dem,Bernie Sanders,9,,
Otsego,Laurens 1,President,,Dem,Bernie Sanders,6,,
Otsego,Laurens 2,President,,Dem,Bernie Sanders,19,,
Otsego,Maryland 1,President,,Dem,Bernie Sanders,4,,
Otsego,Maryland 2,President,,Dem,Bernie Sanders,6,,
Otsego,Middlefield 1,President,,Dem,Bernie Sanders,14,,
Otsego,Middlefield 2,President,,Dem,Bernie Sanders,12,,
Otsego,Milford 1,President,,Dem,Bernie Sanders,2,,
Otsego,Milford 2,President,,Dem,Bernie Sanders,23,,
Otsego,Morris 1,President,,Dem,Bernie Sanders,20,,
Otsego,New Lisbon 1,President,,Dem,Bernie Sanders,18,,
Otsego,Oneonta 1,President,,Dem,Bernie Sanders,28,,
Otsego,Oneonta 2,President,,Dem,Bernie Sanders,25,,
Otsego,Oneonta 3,President,,Dem,Bernie Sanders,16,,
Otsego,Oneonta 4,President,,Dem,Bernie Sanders,11,,
Otsego,Otego 1,President,,Dem,Bernie Sanders,7,,
Otsego,Otego 2,President,,Dem,Bernie Sanders,11,,
Otsego,Otsego 1,President,,Dem,Bernie Sanders,37,,
Otsego,Otsego 2,President,,Dem,Bernie Sanders,7,,
Otsego,Otsego 3,President,,Dem,Bernie Sanders,18,,
Otsego,Pittsfield 1,President,,Dem,Bernie Sanders,14,,
Otsego,Plainfield 1,President,,Dem,Bernie Sanders,4,,
Otsego,Richfield 1,President,,Dem,Bernie Sanders,3,,
Otsego,Richfield 2,President,,Dem,Bernie Sanders,7,,
Otsego,Roseboom 1,President,,Dem,Bernie Sanders,10,,
Otsego,Springfield 1,President,,Dem,Bernie Sanders,4,,
Otsego,Unadilla 1,President,,Dem,Bernie Sanders,9,,
Otsego,Unadilla 2,President,,Dem,Bernie Sanders,16,,
Otsego,Unadilla 3,President,,Dem,Bernie Sanders,11,,
Otsego,Westford 1,President,,Dem,Bernie Sanders,10,,
Otsego,Worcester 1,President,,Dem,Bernie Sanders,6,,
Otsego,Worcester 2,President,,Dem,Bernie Sanders,5,,
Otsego,Worcester 3,President,,Dem,Bernie Sanders,11,,
Otsego,Oneonta City Ward 1,President,,Dem,Bernie Sanders,33,,
Otsego,Oneonta City Ward 2,President,,Dem,Bernie Sanders,33,,
Otsego,Oneonta City Ward 3,President,,Dem,Bernie Sanders,25,,
Otsego,Oneonta City Ward 4,President,,Dem,Bernie Sanders,35,,
Otsego,Oneonta City Ward 5,President,,Dem,Bernie Sanders,23,,
Otsego,Oneonta City Ward 6,President,,Dem,Bernie Sanders,30,,
Otsego,Oneonta City Ward 7,President,,Dem,Bernie Sanders,16,,
Otsego,Oneonta City Ward 8,President,,Dem,Bernie Sanders,26,,
Otsego,Burlington  1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Butternuts 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Butternuts 2,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Cherry Valley 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Decatur 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Edmeston 1,President,,Dem,Michael R. Bloomberg,2,,
Otsego,Exeter 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Hartwick 1,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Hartwick 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Laurens 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Laurens 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Maryland 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Maryland 2,President,,Dem,Michael R. Bloomberg,2,,
Otsego,Middlefield 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Middlefield 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Milford 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Milford 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Morris 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,New Lisbon 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta 3,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta 4,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Otego 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Otego 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Otsego 1,President,,Dem,Michael R. Bloomberg,3,,
Otsego,Otsego 2,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Otsego 3,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Pittsfield 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Plainfield 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Richfield 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Richfield 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Roseboom 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Springfield 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Unadilla 1,President,,Dem,Michael R. Bloomberg,2,,
Otsego,Unadilla 2,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Unadilla 3,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Westford 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Worcester 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Worcester 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Worcester 3,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 1,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 2,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 3,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Oneonta City Ward 4,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 5,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 6,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Oneonta City Ward 7,President,,Dem,Michael R. Bloomberg,0,,
Otsego,Oneonta City Ward 8,President,,Dem,Michael R. Bloomberg,1,,
Otsego,Burlington  1,President,,Dem,Tom Steyer,0,,
Otsego,Butternuts 1,President,,Dem,Tom Steyer,0,,
Otsego,Butternuts 2,President,,Dem,Tom Steyer,0,,
Otsego,Cherry Valley 1,President,,Dem,Tom Steyer,0,,
Otsego,Decatur 1,President,,Dem,Tom Steyer,0,,
Otsego,Edmeston 1,President,,Dem,Tom Steyer,0,,
Otsego,Exeter 1,President,,Dem,Tom Steyer,0,,
Otsego,Hartwick 1,President,,Dem,Tom Steyer,0,,
Otsego,Hartwick 2,President,,Dem,Tom Steyer,0,,
Otsego,Laurens 1,President,,Dem,Tom Steyer,1,,
Otsego,Laurens 2,President,,Dem,Tom Steyer,0,,
Otsego,Maryland 1,President,,Dem,Tom Steyer,1,,
Otsego,Maryland 2,President,,Dem,Tom Steyer,0,,
Otsego,Middlefield 1,President,,Dem,Tom Steyer,0,,
Otsego,Middlefield 2,President,,Dem,Tom Steyer,1,,
Otsego,Milford 1,President,,Dem,Tom Steyer,0,,
Otsego,Milford 2,President,,Dem,Tom Steyer,0,,
Otsego,Morris 1,President,,Dem,Tom Steyer,0,,
Otsego,New Lisbon 1,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta 1,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta 2,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta 3,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta 4,President,,Dem,Tom Steyer,0,,
Otsego,Otego 1,President,,Dem,Tom Steyer,0,,
Otsego,Otego 2,President,,Dem,Tom Steyer,0,,
Otsego,Otsego 1,President,,Dem,Tom Steyer,0,,
Otsego,Otsego 2,President,,Dem,Tom Steyer,0,,
Otsego,Otsego 3,President,,Dem,Tom Steyer,0,,
Otsego,Pittsfield 1,President,,Dem,Tom Steyer,0,,
Otsego,Plainfield 1,President,,Dem,Tom Steyer,0,,
Otsego,Richfield 1,President,,Dem,Tom Steyer,0,,
Otsego,Richfield 2,President,,Dem,Tom Steyer,2,,
Otsego,Roseboom 1,President,,Dem,Tom Steyer,0,,
Otsego,Springfield 1,President,,Dem,Tom Steyer,0,,
Otsego,Unadilla 1,President,,Dem,Tom Steyer,0,,
Otsego,Unadilla 2,President,,Dem,Tom Steyer,0,,
Otsego,Unadilla 3,President,,Dem,Tom Steyer,0,,
Otsego,Westford 1,President,,Dem,Tom Steyer,0,,
Otsego,Worcester 1,President,,Dem,Tom Steyer,0,,
Otsego,Worcester 2,President,,Dem,Tom Steyer,0,,
Otsego,Worcester 3,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 1,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 2,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 3,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 4,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 5,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 6,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 7,President,,Dem,Tom Steyer,0,,
Otsego,Oneonta City Ward 8,President,,Dem,Tom Steyer,1,,
Otsego,Burlington  1,President,,Dem,Michael Bennet,1,,
Otsego,Butternuts 1,President,,Dem,Michael Bennet,0,,
Otsego,Butternuts 2,President,,Dem,Michael Bennet,0,,
Otsego,Cherry Valley 1,President,,Dem,Michael Bennet,1,,
Otsego,Decatur 1,President,,Dem,Michael Bennet,0,,
Otsego,Edmeston 1,President,,Dem,Michael Bennet,1,,
Otsego,Exeter 1,President,,Dem,Michael Bennet,1,,
Otsego,Hartwick 1,President,,Dem,Michael Bennet,1,,
Otsego,Hartwick 2,President,,Dem,Michael Bennet,0,,
Otsego,Laurens 1,President,,Dem,Michael Bennet,0,,
Otsego,Laurens 2,President,,Dem,Michael Bennet,0,,
Otsego,Maryland 1,President,,Dem,Michael Bennet,0,,
Otsego,Maryland 2,President,,Dem,Michael Bennet,0,,
Otsego,Middlefield 1,President,,Dem,Michael Bennet,0,,
Otsego,Middlefield 2,President,,Dem,Michael Bennet,0,,
Otsego,Milford 1,President,,Dem,Michael Bennet,0,,
Otsego,Milford 2,President,,Dem,Michael Bennet,1,,
Otsego,Morris 1,President,,Dem,Michael Bennet,0,,
Otsego,New Lisbon 1,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta 1,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta 2,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta 3,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta 4,President,,Dem,Michael Bennet,0,,
Otsego,Otego 1,President,,Dem,Michael Bennet,0,,
Otsego,Otego 2,President,,Dem,Michael Bennet,1,,
Otsego,Otsego 1,President,,Dem,Michael Bennet,0,,
Otsego,Otsego 2,President,,Dem,Michael Bennet,0,,
Otsego,Otsego 3,President,,Dem,Michael Bennet,0,,
Otsego,Pittsfield 1,President,,Dem,Michael Bennet,0,,
Otsego,Plainfield 1,President,,Dem,Michael Bennet,0,,
Otsego,Richfield 1,President,,Dem,Michael Bennet,0,,
Otsego,Richfield 2,President,,Dem,Michael Bennet,0,,
Otsego,Roseboom 1,President,,Dem,Michael Bennet,0,,
Otsego,Springfield 1,President,,Dem,Michael Bennet,0,,
Otsego,Unadilla 1,President,,Dem,Michael Bennet,0,,
Otsego,Unadilla 2,President,,Dem,Michael Bennet,1,,
Otsego,Unadilla 3,President,,Dem,Michael Bennet,0,,
Otsego,Westford 1,President,,Dem,Michael Bennet,0,,
Otsego,Worcester 1,President,,Dem,Michael Bennet,0,,
Otsego,Worcester 2,President,,Dem,Michael Bennet,0,,
Otsego,Worcester 3,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 1,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 2,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 3,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 4,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 5,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 6,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 7,President,,Dem,Michael Bennet,0,,
Otsego,Oneonta City Ward 8,President,,Dem,Michael Bennet,1,,
Otsego,Burlington  1,President,,Dem,Elizabeth Warren,5,,
Otsego,Butternuts 1,President,,Dem,Elizabeth Warren,0,,
Otsego,Butternuts 2,President,,Dem,Elizabeth Warren,6,,
Otsego,Cherry Valley 1,President,,Dem,Elizabeth Warren,7,,
Otsego,Decatur 1,President,,Dem,Elizabeth Warren,0,,
Otsego,Edmeston 1,President,,Dem,Elizabeth Warren,0,,
Otsego,Exeter 1,President,,Dem,Elizabeth Warren,0,,
Otsego,Hartwick 1,President,,Dem,Elizabeth Warren,12,,
Otsego,Hartwick 2,President,,Dem,Elizabeth Warren,1,,
Otsego,Laurens 1,President,,Dem,Elizabeth Warren,3,,
Otsego,Laurens 2,President,,Dem,Elizabeth Warren,11,,
Otsego,Maryland 1,President,,Dem,Elizabeth Warren,2,,
Otsego,Maryland 2,President,,Dem,Elizabeth Warren,4,,
Otsego,Middlefield 1,President,,Dem,Elizabeth Warren,4,,
Otsego,Middlefield 2,President,,Dem,Elizabeth Warren,6,,
Otsego,Milford 1,President,,Dem,Elizabeth Warren,7,,
Otsego,Milford 2,President,,Dem,Elizabeth Warren,3,,
Otsego,Morris 1,President,,Dem,Elizabeth Warren,3,,
Otsego,New Lisbon 1,President,,Dem,Elizabeth Warren,8,,
