county,precinct,office,district,party,candidate,votes,absentee,affidavit,election_day
Jefferson,Wilna 5,President,,DEM,Pete Buttigieg,0,,,
Jefferson,Worth 1,President,,DEM,Pete Buttigieg,1,,,
Jefferson,12~1,President,,DEM,Amy Klobuchar,1,,,
Jefferson,12~2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,12~3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,13~1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,13~2,President,,DEM,Amy Klobuchar,2,,,
Jefferson,13~3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,14~1,President,,DEM,Amy Klobuchar,5,,,
Jefferson,14~2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,15~1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,15~2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,15~3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Adams 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Adams 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Adams 3,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Alexandria 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Alexandria 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Alexandria 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Antwerp 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Antwerp 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Brownville 1,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Brownville 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Brownville 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Brownville 4,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Brownville 5,President,,DEM,Amy Klobuchar,2,,,
Jefferson,Cape Vincent 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Cape Vincent 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Champion 1,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Champion 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Clayton 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Clayton 2,President,,DEM,Amy Klobuchar,2,,,
Jefferson,Clayton 3,President,,DEM,Amy Klobuchar,2,,,
Jefferson,Ellisburg 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Elllisburg 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Ellisburg 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Ellisburg 4,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Henderson 1,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Hounsfield 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Hounsfield 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 4,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 5,President,,DEM,Amy Klobuchar,2,,,
Jefferson,LeRay 6,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 7,President,,DEM,Amy Klobuchar,0,,,
Jefferson,LeRay 8,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Lorraine 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Lyme 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Lyme 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Lyme 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Orleans 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Orleans 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Pamelia 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Pamelia 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Philadelphia 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Philadelphia 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Rodman 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Rutland 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Rutland 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Rutland 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Theresa 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Watertown 1,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Watertown 2,President,,DEM,Amy Klobuchar,1,,,
Jefferson,Wilna 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Wilna 2,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Wilna 3,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Wilna 4,President,,DEM,Amy Klobuchar,0,,,
Jefferson,Wilna 5,President,,DEM,Amy Klobuchar,2,,,
Jefferson,Worth 1,President,,DEM,Amy Klobuchar,0,,,
Jefferson,12~1,President,,DEM,Joseph R. Biden,113,,,
Jefferson,12~2,President,,DEM,Joseph R. Biden,72,,,
Jefferson,12~3,President,,DEM,Joseph R. Biden,65,,,
Jefferson,13~1,President,,DEM,Joseph R. Biden,65,,,
Jefferson,13~2,President,,DEM,Joseph R. Biden,93,,,
Jefferson,13~3,President,,DEM,Joseph R. Biden,50,,,
Jefferson,14~1,President,,DEM,Joseph R. Biden,56,,,
Jefferson,14~2,President,,DEM,Joseph R. Biden,19,,,
Jefferson,15~1,President,,DEM,Joseph R. Biden,77,,,
Jefferson,15~2,President,,DEM,Joseph R. Biden,63,,,
Jefferson,15~3,President,,DEM,Joseph R. Biden,15,,,
Jefferson,Adams 1,President,,DEM,Joseph R. Biden,45,,,
Jefferson,Adams 2,President,,DEM,Joseph R. Biden,22,,,
Jefferson,Adams 3,President,,DEM,Joseph R. Biden,54,,,
Jefferson,Alexandria 1,President,,DEM,Joseph R. Biden,37,,,
