county,precinct,office,district,party,candidate,votes,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Scattering,8,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Scattering,0,,,,,
Livingston,Leicester 1,U.S. House,27,,Scattering,2,,,,,
Livingston,Lima 1&2,U.S. House,27,,Scattering,5,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Scattering,9,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Scattering,1,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Scattering,6,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Scattering,3,,,,,
Livingston,Ossian 1,U.S. House,27,,Scattering,1,,,,,
Livingston,Portage 1,U.S. House,27,,Scattering,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Scattering,1,,,,,
Livingston,Springwater 1,U.S. House,27,,Scattering,1,,,,,
Livingston,West Sparta 1,U.S. House,27,,Scattering,0,,,,,
Livingston,York 1&2,U.S. House,27,,Scattering,1,,,,,
Livingston,Avon 1-4,U.S. House,27,,Voids,5,,,,,
Livingston,Caledonia 1-3,U.S. House,27,,Voids,1,,,,,
Livingston,Conesus 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Voids,5,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Leicester 1,U.S. House,27,,Voids,0,,,,,
Livingston,Lima 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Voids,1,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Voids,1,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Voids,0,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Ossian 1,U.S. House,27,,Voids,0,,,,,
Livingston,Portage 1,U.S. House,27,,Voids,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Voids,0,,,,,
Livingston,Springwater 1,U.S. House,27,,Voids,1,,,,,
Livingston,West Sparta 1,U.S. House,27,,Voids,0,,,,,
Livingston,York 1&2,U.S. House,27,,Voids,1,,,,,
Livingston,Avon 1-4,U.S. House,27,,Blanks,9,,,,,
Livingston,Caledonia 1-3,U.S. House,27,,Blanks,4,,,,,
Livingston,Conesus 1&2,U.S. House,27,,Blanks,1,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Blanks,15,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Blanks,3,,,,,
Livingston,Leicester 1,U.S. House,27,,Blanks,7,,,,,
Livingston,Lima 1&2,U.S. House,27,,Blanks,7,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Blanks,12,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Blanks,7,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Blanks,3,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Blanks,3,,,,,
Livingston,Ossian 1,U.S. House,27,,Blanks,4,,,,,
Livingston,Portage 1,U.S. House,27,,Blanks,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Blanks,0,,,,,
Livingston,Springwater 1,U.S. House,27,,Blanks,4,,,,,
Livingston,West Sparta 1,U.S. House,27,,Blanks,0,,,,,
Livingston,York 1&2,U.S. House,27,,Blanks,6,,,,,
