county,precinct,office,district,candidate,party,absentee,affidavit,election_day,votes
Jefferson,Henderson 1,Ballots Cast,,,,183,2,707,892
Jefferson,Hounsfield 1,Ballots Cast,,,,169,11,590,770
Jefferson,Hounsfield 2,Ballots Cast,,,,201,7,827,1035
Jefferson,LeRay 1,Ballots Cast,,,,49,4,273,326
Jefferson,LeRay 2,Ballots Cast,,,,15,3,147,165
Jefferson,LeRay 3,Ballots Cast,,,,43,2,175,220
Jefferson,LeRay 4,Ballots Cast,,,,252,9,709,970
Jefferson,LeRay 5,Ballots Cast,,,,62,3,270,335
Jefferson,LeRay 6,Ballots Cast,,,,17,2,189,208
Jefferson,LeRay 7,Ballots Cast,,,,59,2,119,180
Jefferson,LeRay 8,Ballots Cast,,,,184,15,645,844
Jefferson,Lorraine 1,Ballots Cast,,,,47,3,436,486
Jefferson,Lyme 1,Ballots Cast,,,,91,3,414,508
Jefferson,Lyme 2,Ballots Cast,,,,116,13,487,616
Jefferson,Lyme 3,Ballots Cast,,,,49,1,274,324
Jefferson,Orleans 1,Ballots Cast,,,,114,4,731,849
Jefferson,Orleans 2,Ballots Cast,,,,134,2,423,559
Jefferson,Pamelia 1,Ballots Cast,,,,106,8,648,762
Jefferson,Pamelia 2,Ballots Cast,,,,112,1,677,790
Jefferson,Philadelphia 1,Ballots Cast,,,,54,4,321,379
Jefferson,Philadelphia 2,Ballots Cast,,,,39,2,333,374
Jefferson,Rodman 1,Ballots Cast,,,,47,1,605,653
Jefferson,Rutland 1,Ballots Cast,,,,55,3,528,586
Jefferson,Rutland 2,Ballots Cast,,,,64,7,465,536
Jefferson,Rutland 3,Ballots Cast,,,,56,3,128,187
Jefferson,Theresa 1,Ballots Cast,,,,167,11,1030,1208
Jefferson,Watertown 1,Ballots Cast,,,,284,18,966,1268
Jefferson,Watertown 2,Ballots Cast,,,,280,2,907,1189
Jefferson,Wilna 1,Ballots Cast,,,,176,13,815,1004
Jefferson,Wilna 2,Ballots Cast,,,,3,0,29,32
Jefferson,Wilna 3,Ballots Cast,,,,9,2,86,97
Jefferson,Wilna 4,Ballots Cast,,,,33,0,216,249
Jefferson,Wilna 5,Ballots Cast,,,,101,2,506,609
Jefferson,Worth 1,Ballots Cast,,,,15,1,130,146
Jefferson,Special Federal & Special Presidential,Ballots Cast,,,,76,0,0,76
Jefferson,12~1,President,,Joseph R. Biden,DEM,196,9,380,585
Jefferson,12~2,President,,Joseph R. Biden,DEM,118,7,309,434
Jefferson,12~3,President,,Joseph R. Biden,DEM,120,3,241,364
Jefferson,13~1,President,,Joseph R. Biden,DEM,121,5,294,420
Jefferson,13~2,President,,Joseph R. Biden,DEM,135,0,320,455
Jefferson,13~3,President,,Joseph R. Biden,DEM,81,4,187,272
Jefferson,14~1,President,,Joseph R. Biden,DEM,100,6,261,367
Jefferson,14~2,President,,Joseph R. Biden,DEM,67,3,120,190
Jefferson,15~1,President,,Joseph R. Biden,DEM,134,6,286,426
Jefferson,15~2,President,,Joseph R. Biden,DEM,128,10,331,469
Jefferson,15~3,President,,Joseph R. Biden,DEM,38,3,104,145
Jefferson,Adams 1,President,,Joseph R. Biden,DEM,75,1,250,326
Jefferson,Adams 2,President,,Joseph R. Biden,DEM,40,1,148,189
Jefferson,Adams 3 ,President,,Joseph R. Biden,DEM,92,3,324,419
Jefferson,Alexandria 1,President,,Joseph R. Biden,DEM,54,3,180,237
Jefferson,Alexandria 2,President,,Joseph R. Biden,DEM,76,0,161,237
Jefferson,Alexandria 3,President,,Joseph R. Biden,DEM,73,2,239,314
Jefferson,Antwerp 1,President,,Joseph R. Biden,DEM,26,0,69,95
Jefferson,Antwerp 2,President,,Joseph R. Biden,DEM,34,1,102,137
Jefferson,Brownville 1,President,,Joseph R. Biden,DEM,55,0,140,195
Jefferson,Brownville 2,President,,Joseph R. Biden,DEM,43,0,134,177
Jefferson,Brownville 3,President,,Joseph R. Biden,DEM,42,0,182,224
Jefferson,Brownville 4,President,,Joseph R. Biden,DEM,63,2,142,207
Jefferson,Brownville 5,President,,Joseph R. Biden,DEM,81,3,174,258
Jefferson,Cape Vincent 1,President,,Joseph R. Biden,DEM,57,2,148,207
Jefferson,Cape Vincent 2,President,,Joseph R. Biden,DEM,148,2,192,342
Jefferson,Champion 1,President,,Joseph R. Biden,DEM,127,1,246,374
Jefferson,Champion 2,President,,Joseph R. Biden,DEM,74,1,174,249
Jefferson,Clayton 1,President,,Joseph R. Biden,DEM,44,0,130,174
Jefferson,Clayton 2,President,,Joseph R. Biden,DEM,124,2,301,427
Jefferson,Clayton 3,President,,Joseph R. Biden,DEM,123,7,276,406
Jefferson,Ellisburg 1,President,,Joseph R. Biden,DEM,10,0,48,58
Jefferson,Ellisburg 2,President,,Joseph R. Biden,DEM,56,2,102,160
Jefferson,Ellisburg 3,President,,Joseph R. Biden,DEM,6,0,32,38
Jefferson,Ellisburg 4,President,,Joseph R. Biden,DEM,90,1,160,251
Jefferson,Henderson 1,President,,Joseph R. Biden,DEM,113,1,194,308
Jefferson,Hounsfield 1,President,,Joseph R. Biden,DEM,112,7,276,395
Jefferson,Hounsfield 2,President,,Joseph R. Biden,DEM,120,1,232,353
Jefferson,LeRay 1,President,,Joseph R. Biden,DEM,29,0,61,90
Jefferson,LeRay 2,President,,Joseph R. Biden,DEM,8,0,38,46
Jefferson,LeRay 3,President,,Joseph R. Biden,DEM,21,0,52,73
Jefferson,LeRay 4,President,,Joseph R. Biden,DEM,160,4,271,435
Jefferson,LeRay 5,President,,Joseph R. Biden,DEM,41,0,99,140
Jefferson,LeRay 6,President,,Joseph R. Biden,DEM,11,0,59,70
Jefferson,LeRay 7,President,,Joseph R. Biden,DEM,34,2,67,103
Jefferson,LeRay 8,President,,Joseph R. Biden,DEM,129,7,267,403
Jefferson,Lorraine 1,President,,Joseph R. Biden,DEM,18,0,98,116
Jefferson,Lyme 1,President,,Joseph R. Biden,DEM,52,0,114,166
Jefferson,Lyme 2,President,,Joseph R. Biden,DEM,78,5,166,249
Jefferson,Lyme 3,President,,Joseph R. Biden,DEM,33,0,83,116
Jefferson,Orleans 1,President,,Joseph R. Biden,DEM,65,1,193,259
Jefferson,Orleans 2,President,,Joseph R. Biden,DEM,83,1,155,239
Jefferson,Pamelia 1,President,,Joseph R. Biden,DEM,56,1,165,222
Jefferson,Pamelia 2,President,,Joseph R. Biden,DEM,63,0,202,265
Jefferson,Philadelphia 1,President,,Joseph R. Biden,DEM,40,1,102,143
Jefferson,Philadelphia 2,President,,Joseph R. Biden,DEM,25,0,70,95
Jefferson,Rodman 1,President,,Joseph R. Biden,DEM,30,0,134,164
Jefferson,Rutland 1,President,,Joseph R. Biden,DEM,21,1,130,152
Jefferson,Rutland 2,President,,Joseph R. Biden,DEM,34,1,105,140
Jefferson,Rutland 3,President,,Joseph R. Biden,DEM,34,2,39,75
Jefferson,Theresa 1,President,,Joseph R. Biden,DEM,87,4,285,376
Jefferson,Watertown 1,President,,Joseph R. Biden,DEM,194,4,347,545
Jefferson,Watertown 2,President,,Joseph R. Biden,DEM,158,0,214,372
Jefferson,Wilna 1,President,,Joseph R. Biden,DEM,105,5,281,391
Jefferson,Wilna 2,President,,Joseph R. Biden,DEM,2,0,7,9
Jefferson,Wilna 3,President,,Joseph R. Biden,DEM,4,0,20,24
Jefferson,Wilna 4,President,,Joseph R. Biden,DEM,16,0,47,63
Jefferson,Wilna 5,President,,Joseph R. Biden,DEM,51,0,107,158
Jefferson,Worth 1,President,,Joseph R. Biden,DEM,11,0,22,33
Jefferson,Special Federal & Special Presidential,President,,Joseph R. Biden,DEM,63,0,0,63
Jefferson,12~1,President,,Donald J. Trump,REP,82,7,382,471
Jefferson,12~2,President,,Donald J. Trump,REP,43,7,387,437
Jefferson,12~3,President,,Donald J. Trump,REP,53,5,295,353
Jefferson,13~1,President,,Donald J. Trump,REP,29,3,345,377
Jefferson,13~2,President,,Donald J. Trump,REP,39,6,304,349
Jefferson,13~3,President,,Donald J. Trump,REP,20,11,250,281
Jefferson,14~1,President,,Donald J. Trump,REP,44,6,326,376
Jefferson,14~2,President,,Donald J. Trump,REP,30,5,160,195
Jefferson,15~1,President,,Donald J. Trump,REP,36,9,358,403
Jefferson,15~2,President,,Donald J. Trump,REP,35,7,417,459
Jefferson,15~3,President,,Donald J. Trump,REP,12,7,112,131
Jefferson,Adams 1,President,,Donald J. Trump,REP,33,5,354,392
Jefferson,Adams 2,President,,Donald J. Trump,REP,23,2,274,299
Jefferson,Adams 3 ,President,,Donald J. Trump,REP,48,3,580,631
Jefferson,Alexandria 1,President,,Donald J. Trump,REP,28,6,236,270
Jefferson,Alexandria 2,President,,Donald J. Trump,REP,73,1,281,355
Jefferson,Alexandria 3,President,,Donald J. Trump,REP,42,7,527,576
Jefferson,Antwerp 1,President,,Donald J. Trump,REP,9,1,127,137
Jefferson,Antwerp 2,President,,Donald J. Trump,REP,20,4,320,344
Jefferson,Brownville 1,President,,Donald J. Trump,REP,20,3,358,381
Jefferson,Brownville 2,President,,Donald J. Trump,REP,17,0,233,250
Jefferson,Brownville 3,President,,Donald J. Trump,REP,30,5,409,444
Jefferson,Brownville 4,President,,Donald J. Trump,REP,18,1,214,233
Jefferson,Brownville 5,President,,Donald J. Trump,REP,33,5,437,475
Jefferson,Cape Vincent 1,President,,Donald J. Trump,REP,21,10,205,236
Jefferson,Cape Vincent 2,President,,Donald J. Trump,REP,110,12,444,566
Jefferson,Champion 1,President,,Donald J. Trump,REP,73,9,658,740
Jefferson,Champion 2,President,,Donald J. Trump,REP,29,3,312,344
Jefferson,Clayton 1,President,,Donald J. Trump,REP,31,9,362,402
Jefferson,Clayton 2,President,,Donald J. Trump,REP,58,1,392,451
Jefferson,Clayton 3,President,,Donald J. Trump,REP,73,3,496,572
Jefferson,Ellisburg 1,President,,Donald J. Trump,REP,5,2,102,109
Jefferson,Ellisburg 2,President,,Donald J. Trump,REP,25,2,373,400
Jefferson,Ellisburg 3,President,,Donald J. Trump,REP,0,0,66,66
Jefferson,Ellisburg 4,President,,Donald J. Trump,REP,32,5,421,458
Jefferson,Henderson 1,President,,Donald J. Trump,REP,52,1,472,525
Jefferson,Hounsfield 1,President,,Donald J. Trump,REP,41,4,267,312
Jefferson,Hounsfield 2,President,,Donald J. Trump,REP,60,3,536,599
Jefferson,LeRay 1,President,,Donald J. Trump,REP,17,4,196,217
Jefferson,LeRay 2,President,,Donald J. Trump,REP,5,3,94,102
Jefferson,LeRay 3,President,,Donald J. Trump,REP,19,2,110,131
Jefferson,LeRay 4,President,,Donald J. Trump,REP,76,4,382,462
Jefferson,LeRay 5,President,,Donald J. Trump,REP,17,0,147,164
Jefferson,LeRay 6,President,,Donald J. Trump,REP,5,2,110,117
Jefferson,LeRay 7,President,,Donald J. Trump,REP,19,0,45,64
Jefferson,LeRay 8,President,,Donald J. Trump,REP,42,6,321,369
Jefferson,Lorraine 1,President,,Donald J. Trump,REP,20,2,311,333
Jefferson,Lyme 1,President,,Donald J. Trump,REP,30,2,274,306
Jefferson,Lyme 2,President,,Donald J. Trump,REP,27,7,289,323
Jefferson,Lyme 3,President,,Donald J. Trump,REP,15,1,174,190
Jefferson,Orleans 1,President,,Donald J. Trump,REP,40,3,484,527
Jefferson,Orleans 2,President,,Donald J. Trump,REP,43,0,243,286
Jefferson,Pamelia 1,President,,Donald J. Trump,REP,38,7,428,473
Jefferson,Pamelia 2,President,,Donald J. Trump,REP,39,0,423,462
Jefferson,Philadelphia 1,President,,Donald J. Trump,REP,12,1,193,206
Jefferson,Philadelphia 2,President,,Donald J. Trump,REP,12,2,228,242
Jefferson,Rodman 1,President,,Donald J. Trump,REP,16,1,420,437
Jefferson,Rutland 1,President,,Donald J. Trump,REP,31,2,361,394
Jefferson,Rutland 2,President,,Donald J. Trump,REP,22,4,328,354
Jefferson,Rutland 3,President,,Donald J. Trump,REP,15,0,74,89
Jefferson,Theresa 1,President,,Donald J. Trump,REP,65,5,663,733
Jefferson,Watertown 1,President,,Donald J. Trump,REP,74,13,544,631
Jefferson,Watertown 2,President,,Donald J. Trump,REP,102,2,609,713
Jefferson,Wilna 1,President,,Donald J. Trump,REP,55,7,462,524
Jefferson,Wilna 2,President,,Donald J. Trump,REP,0,0,17,17
Jefferson,Wilna 3,President,,Donald J. Trump,REP,5,1,58,64
Jefferson,Wilna 4,President,,Donald J. Trump,REP,15,0,156,171
Jefferson,Wilna 5,President,,Donald J. Trump,REP,38,2,365,405
Jefferson,Worth 1,President,,Donald J. Trump,REP,4,1,97,102
Jefferson,Special Federal & Special Presidential,President,,Donald J. Trump,REP,12,0,0,12
Jefferson,12~1,President,,Donald J. Trump,CON,7,1,28,36
Jefferson,12~2,President,,Donald J. Trump,CON,9,1,21,31
Jefferson,12~3,President,,Donald J. Trump,CON,2,0,20,22
Jefferson,13~1,President,,Donald J. Trump,CON,4,2,30,36
Jefferson,13~2,President,,Donald J. Trump,CON,4,0,33,37
Jefferson,13~3,President,,Donald J. Trump,CON,2,0,14,16
Jefferson,14~1,President,,Donald J. Trump,CON,1,2,25,28
Jefferson,14~2,President,,Donald J. Trump,CON,4,0,8,12
Jefferson,15~1,President,,Donald J. Trump,CON,4,0,23,27
Jefferson,15~2,President,,Donald J. Trump,CON,2,0,19,21
Jefferson,15~3,President,,Donald J. Trump,CON,0,0,7,7
Jefferson,Adams 1,President,,Donald J. Trump,CON,6,1,32,39
Jefferson,Adams 2,President,,Donald J. Trump,CON,2,0,16,18
Jefferson,Adams 3 ,President,,Donald J. Trump,CON,4,0,48,52
Jefferson,Alexandria 1,President,,Donald J. Trump,CON,1,1,13,15
Jefferson,Alexandria 2,President,,Donald J. Trump,CON,8,0,23,31
Jefferson,Alexandria 3,President,,Donald J. Trump,CON,3,1,26,30
Jefferson,Antwerp 1,President,,Donald J. Trump,CON,0,0,8,8
Jefferson,Antwerp 2,President,,Donald J. Trump,CON,2,1,23,26
Jefferson,Brownville 1,President,,Donald J. Trump,CON,0,0,19,19
Jefferson,Brownville 2,President,,Donald J. Trump,CON,1,1,15,17
Jefferson,Brownville 3,President,,Donald J. Trump,CON,3,2,29,34
Jefferson,Brownville 4,President,,Donald J. Trump,CON,1,0,13,14
Jefferson,Brownville 5,President,,Donald J. Trump,CON,1,0,18,19
Jefferson,Cape Vincent 1,President,,Donald J. Trump,CON,5,1,12,18
Jefferson,Cape Vincent 2,President,,Donald J. Trump,CON,5,1,36,42
Jefferson,Champion 1,President,,Donald J. Trump,CON,8,1,38,47
Jefferson,Champion 2,President,,Donald J. Trump,CON,1,0,14,15
Jefferson,Clayton 1,President,,Donald J. Trump,CON,3,0,33,36
Jefferson,Clayton 2,President,,Donald J. Trump,CON,3,0,18,21
Jefferson,Clayton 3,President,,Donald J. Trump,CON,7,0,40,47
Jefferson,Ellisburg 1,President,,Donald J. Trump,CON,0,0,7,7
Jefferson,Ellisburg 2,President,,Donald J. Trump,CON,2,0,15,17
Jefferson,Ellisburg 3,President,,Donald J. Trump,CON,0,0,1,1
Jefferson,Ellisburg 4,President,,Donald J. Trump,CON,8,1,20,29
Jefferson,Henderson 1,President,,Donald J. Trump,CON,4,0,24,28
Jefferson,Hounsfield 1,President,,Donald J. Trump,CON,2,0,15,17
Jefferson,Hounsfield 2,President,,Donald J. Trump,CON,7,1,36,44
Jefferson,LeRay 1,President,,Donald J. Trump,CON,0,0,8,8
Jefferson,LeRay 2,President,,Donald J. Trump,CON,0,0,5,5
Jefferson,LeRay 3,President,,Donald J. Trump,CON,0,0,3,3
Jefferson,LeRay 4,President,,Donald J. Trump,CON,7,0,26,33
Jefferson,LeRay 5,President,,Donald J. Trump,CON,4,2,15,21
Jefferson,LeRay 6,President,,Donald J. Trump,CON,0,0,15,15
Jefferson,LeRay 7,President,,Donald J. Trump,CON,2,0,3,5
Jefferson,LeRay 8,President,,Donald J. Trump,CON,3,1,28,32
Jefferson,Lorraine 1,President,,Donald J. Trump,CON,4,0,14,18
Jefferson,Lyme 1,President,,Donald J. Trump,CON,4,1,17,22
Jefferson,Lyme 2,President,,Donald J. Trump,CON,9,1,24,34
Jefferson,Lyme 3,President,,Donald J. Trump,CON,0,0,8,8
Jefferson,Orleans 1,President,,Donald J. Trump,CON,1,0,28,29
Jefferson,Orleans 2,President,,Donald J. Trump,CON,4,0,15,19
Jefferson,Pamelia 1,President,,Donald J. Trump,CON,2,0,24,26
Jefferson,Pamelia 2,President,,Donald J. Trump,CON,5,0,29,34
Jefferson,Philadelphia 1,President,,Donald J. Trump,CON,2,0,7,9
Jefferson,Philadelphia 2,President,,Donald J. Trump,CON,1,0,19,20
Jefferson,Rodman 1,President,,Donald J. Trump,CON,1,0,28,29
Jefferson,Rutland 1,President,,Donald J. Trump,CON,1,0,19,20
Jefferson,Rutland 2,President,,Donald J. Trump,CON,3,2,23,28
Jefferson,Rutland 3,President,,Donald J. Trump,CON,3,0,4,7
Jefferson,Theresa 1,President,,Donald J. Trump,CON,4,0,46,50
