county,precinct,office,,candidate,party,absentee,early_voting,election_day,votes
Clinton,City of Plattsburgh W2 D2 LD 9,President,,Donald J. Trump and Michael R. Pence,CON,1,4,5,10
Clinton,City of Plattsburgh W3 D1 LD 9,President,,Donald J. Trump and Michael R. Pence,CON,3,4,6,13
Clinton,City of Plattsburgh W3 D2 LD 9,President,,Donald J. Trump and Michael R. Pence,CON,6,7,11,24
Clinton,City of Plattsburgh W4 D1 LD 10,President,,Donald J. Trump and Michael R. Pence,CON,6,8,15,29
Clinton,City of Plattsburgh W4 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,CON,2,5,11,18
Clinton,City of Plattsburgh W5 D1 LD 10,President,,Donald J. Trump and Michael R. Pence,CON,2,3,8,13
Clinton,City of Plattsburgh W5 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,CON,5,11,6,22
Clinton,City of Plattsburgh W6 D1 LD 9,President,,Donald J. Trump and Michael R. Pence,CON,3,2,10,15
Clinton,City of Plattsburgh W6 D2 LD 10,President,,Donald J. Trump and Michael R. Pence,CON,3,4,4,11
Clinton,Town of Altona D1 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,2,7,50,59
Clinton,Town of AuSable D1 LD 7,President,,Donald J. Trump and Michael R. Pence,CON,4,0,24,28
Clinton,Town of AuSable D2 LD 7,President,,Donald J. Trump and Michael R. Pence,CON,1,3,20,24
Clinton,Town of Beekmantown D1 LD 3,President,,Donald J. Trump and Michael R. Pence,CON,2,5,13,20
Clinton,Town of Beekmantown D2 LD 3,President,,Donald J. Trump and Michael R. Pence,CON,2,2,8,12
Clinton,Town of Beekmantown D3 LD 4,President,,Donald J. Trump and Michael R. Pence,CON,6,5,18,29
Clinton,Town of Beekmantown D4 LD 3,President,,Donald J. Trump and Michael R. Pence,CON,10,5,8,23
Clinton,Town of Black Brook D1 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,1,3,14,18
Clinton,Town of Black Brook D2 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,0,2,6,8
Clinton,Town of Champlain D1 LD 1,President,,Donald J. Trump and Michael R. Pence,CON,5,5,18,28
Clinton,Town of Champlain D2 LD 1,President,,Donald J. Trump and Michael R. Pence,CON,5,7,13,25
Clinton,Town of Champlain D3 LD 1,President,,Donald J. Trump and Michael R. Pence,CON,3,2,30,35
Clinton,Town of Chazy D1 LD 3,President,,Donald J. Trump and Michael R. Pence,CON,7,2,27,36
Clinton,Town of Chazy D2 LD 3,President,,Donald J. Trump and Michael R. Pence,CON,2,6,26,34
Clinton,Town of Clinton D1 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,3,0,8,11
Clinton,Town of Dannemora D1 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,0,0,10,10
Clinton,Town of Dannemora D2 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,1,1,6,8
Clinton,Town of Dannemora D3 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,0,1,8,9
Clinton,Town of Ellenburg D1 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,5,2,22,29
Clinton,Town of Mooers D1 LD 1,President,,Donald J. Trump and Michael R. Pence,CON,2,4,32,38
Clinton,Town of Mooers D2 LD 2,President,,Donald J. Trump and Michael R. Pence,CON,2,1,19,22
Clinton,Town of Peru D1 LD 7,President,,Donald J. Trump and Michael R. Pence,CON,2,2,25,29
Clinton,Town of Peru D2 LD 7,President,,Donald J. Trump and Michael R. Pence,CON,3,3,15,21
Clinton,Town of Peru D3 LD 7,President,,Donald J. Trump and Michael R. Pence,CON,3,4,36,43
Clinton,Town of Peru D4 LD 5,President,,Donald J. Trump and Michael R. Pence,CON,3,6,39,48
Clinton,Town of Plattsburgh D1 LD 4,President,,Donald J. Trump and Michael R. Pence,CON,2,5,12,19
Clinton,Town of Plattsburgh D2 LD 4,President,,Donald J. Trump and Michael R. Pence,CON,2,3,20,25
Clinton,Town of Plattsburgh D3 LD 8,President,,Donald J. Trump and Michael R. Pence,CON,2,5,14,21
Clinton,Town of Plattsburgh D4 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,8,7,14,29
Clinton,Town of Plattsburgh D5 LD 8,President,,Donald J. Trump and Michael R. Pence,CON,6,7,16,29
Clinton,Town of Plattsburgh D6 LD 4,President,,Donald J. Trump and Michael R. Pence,CON,9,1,21,31
Clinton,Town of Plattsburgh D7 LD 4,President,,Donald J. Trump and Michael R. Pence,CON,9,5,21,35
Clinton,Town of Saranac D1 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,11,3,25,39
Clinton,Town of Saranac D2 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,2,2,21,25
Clinton,Town of Saranac D3 LD 6,President,,Donald J. Trump and Michael R. Pence,CON,0,5,14,19
Clinton,Town of Schuyler Falls D1 LD 5,President,,Donald J. Trump and Michael R. Pence,CON,4,2,17,23
Clinton,Town of Schuyler Falls D2 LD 5,President,,Donald J. Trump and Michael R. Pence,CON,6,3,18,27
Clinton,Town of Schuyler Falls D3 LD 5,President,,Donald J. Trump and Michael R. Pence,CON,4,4,18,26
Clinton,City of Plattsburgh W1 D1 LD 8,President,,Joseph R. Biden and Kamala D. Harris,WOR,5,4,4,13
Clinton,City of Plattsburgh W1 D2 LD 8,President,,Joseph R. Biden and Kamala D. Harris,WOR,12,29,8,49
Clinton,City of Plattsburgh W1 D3 LD 9,President,,Joseph R. Biden and Kamala D. Harris,WOR,0,0,0,0
Clinton,City of Plattsburgh W2 D1 LD 8,President,,Joseph R. Biden and Kamala D. Harris,WOR,4,8,5,17
Clinton,City of Plattsburgh W2 D2 LD 9,President,,Joseph R. Biden and Kamala D. Harris,WOR,3,3,5,11
Clinton,City of Plattsburgh W3 D1 LD 9,President,,Joseph R. Biden and Kamala D. Harris,WOR,4,12,5,21
Clinton,City of Plattsburgh W3 D2 LD 9,President,,Joseph R. Biden and Kamala D. Harris,WOR,10,23,10,43
Clinton,City of Plattsburgh W4 D1 LD 10,President,,Joseph R. Biden and Kamala D. Harris,WOR,19,18,13,50
Clinton,City of Plattsburgh W4 D2 LD 10,President,,Joseph R. Biden and Kamala D. Harris,WOR,4,18,5,27
Clinton,City of Plattsburgh W5 D1 LD 10,President,,Joseph R. Biden and Kamala D. Harris,WOR,10,12,3,25
Clinton,City of Plattsburgh W5 D2 LD 10,President,,Joseph R. Biden and Kamala D. Harris,WOR,8,12,6,26
Clinton,City of Plattsburgh W6 D1 LD 9,President,,Joseph R. Biden and Kamala D. Harris,WOR,12,20,13,45
Clinton,City of Plattsburgh W6 D2 LD 10,President,,Joseph R. Biden and Kamala D. Harris,WOR,8,9,6,23
Clinton,Town of Altona D1 LD 2,President,,Joseph R. Biden and Kamala D. Harris,WOR,7,2,17,26
Clinton,Town of AuSable D1 LD 7,President,,Joseph R. Biden and Kamala D. Harris,WOR,3,2,7,12
Clinton,Town of AuSable D2 LD 7,President,,Joseph R. Biden and Kamala D. Harris,WOR,2,5,13,20
Clinton,Town of Beekmantown D1 LD 3,President,,Joseph R. Biden and Kamala D. Harris,WOR,2,8,7,17
Clinton,Town of Beekmantown D2 LD 3,President,,Joseph R. Biden and Kamala D. Harris,WOR,7,2,7,16
Clinton,Town of Beekmantown D3 LD 4,President,,Joseph R. Biden and Kamala D. Harris,WOR,4,11,9,24
Clinton,Town of Beekmantown D4 LD 3,President,,Joseph R. Biden and Kamala D. Harris,WOR,8,10,10,28
