county,precinct,office,district,party,candidate,election_day,absentee
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Tulsi Gabbard,1,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Under Votes,4,
Orange,"Blooming Grove - W1 - D1,2,3,4  W2- D1,2,3  W3 - D1,2  W5 - D1,2,3,4  W6 - D3,4",President,,DEM,Write-ins,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Amy Klobuchar,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Andrew Yang,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Bernie Sanders,23,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Deval Patrick,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Elizabeth Warren,3,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Joseph R. Biden,89,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Michael Bennet,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Michael R. Bloomberg,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Over Votes,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Pete Buttigieg,2,1
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Tom Steyer,0,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Tulsi Gabbard,3,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Under Votes,1,
Orange,"Blooming Grove - W3 - D3,4  W4 - D1,2,3  W5 - D5  W6 - D1,2 ",President,,DEM,Write-ins,0,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Amy Klobuchar,1,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Andrew Yang,3,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Bernie Sanders,45,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Deval Patrick,0,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Elizabeth Warren,2,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Joseph R. Biden,168,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Michael Bennet,0,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Michael R. Bloomberg,2,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Over Votes,0,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Pete Buttigieg,3,4
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Tom Steyer,0,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Tulsi Gabbard,1,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Under Votes,3,
Orange,"Chester - D1,2,3,5,7,8,9,12   Goshen - D13 ",President,,DEM,Write-ins,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Amy Klobuchar,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Andrew Yang,1,
Orange,"Chester - D4,6,10,11",President,,DEM,Bernie Sanders,22,
Orange,"Chester - D4,6,10,11",President,,DEM,Deval Patrick,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Elizabeth Warren,3,
Orange,"Chester - D4,6,10,11",President,,DEM,Joseph R. Biden,68,
Orange,"Chester - D4,6,10,11",President,,DEM,Michael Bennet,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Michael R. Bloomberg,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Over Votes,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Pete Buttigieg,1,
Orange,"Chester - D4,6,10,11",President,,DEM,Tom Steyer,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Tulsi Gabbard,0,
Orange,"Chester - D4,6,10,11",President,,DEM,Under Votes,1,
Orange,"Chester - D4,6,10,11",President,,DEM,Write-ins,0,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Amy Klobuchar,1,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Andrew Yang,0,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Bernie Sanders,96,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Deval Patrick,1,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Elizabeth Warren,7,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Joseph R. Biden,323,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Michael Bennet,2,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Michael R. Bloomberg,9,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Over Votes,5,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Pete Buttigieg,6,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Tom Steyer,1,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Tulsi Gabbard,3,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Under Votes,7,
Orange,"City of Newburgh - W1 - D1 Thru 4  W2 - D1,2  W3 - D3,4  W4 - D1,3,5",President,,DEM,Write-ins,0,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Amy Klobuchar,1,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Andrew Yang,1,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Bernie Sanders,40,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Deval Patrick,0,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Elizabeth Warren,6,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Joseph R. Biden,127,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Michael Bennet,0,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Michael R. Bloomberg,2,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Over Votes,0,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Pete Buttigieg,5,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Tom Steyer,0,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Tulsi Gabbard,2,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Under Votes,1,
Orange,"City of Newburgh - W3 - D1,2  W4 - D2,4 ",President,,DEM,Write-ins,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Amy Klobuchar,1,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Andrew Yang,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Bernie Sanders,33,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Deval Patrick,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Elizabeth Warren,9,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Joseph R. Biden,99,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Michael Bennet,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Michael R. Bloomberg,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Over Votes,1,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Pete Buttigieg,2,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Tom Steyer,2,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Tulsi Gabbard,1,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Under Votes,0,
Orange,"Cornwal - D1,2,4,7,8,10",President,,DEM,Write-ins,0,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Amy Klobuchar,2,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Andrew Yang,3,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Bernie Sanders,28,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Deval Patrick,0,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Elizabeth Warren,8,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Joseph R. Biden,133,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Michael Bennet,0,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Michael R. Bloomberg,1,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Over Votes,0,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Pete Buttigieg,4,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Tom Steyer,1,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Tulsi Gabbard,2,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Under Votes,0,
Orange,"Cornwall - D3,5,6,9,11,12,13,14",President,,DEM,Write-ins,0,
Orange,Crawford - D1 Thru 8,President,,DEM,Amy Klobuchar,0,
Orange,Crawford - D1 Thru 8,President,,DEM,Andrew Yang,2,
Orange,Crawford - D1 Thru 8,President,,DEM,Bernie Sanders,24,
Orange,Crawford - D1 Thru 8,President,,DEM,Deval Patrick,1,
Orange,Crawford - D1 Thru 8,President,,DEM,Elizabeth Warren,8,
Orange,Crawford - D1 Thru 8,President,,DEM,Joseph R. Biden,89,
Orange,Crawford - D1 Thru 8,President,,DEM,Michael Bennet,0,
Orange,Crawford - D1 Thru 8,President,,DEM,Michael R. Bloomberg,3,
Orange,Crawford - D1 Thru 8,President,,DEM,Over Votes,0,
Orange,Crawford - D1 Thru 8,President,,DEM,Pete Buttigieg,3,
Orange,Crawford - D1 Thru 8,President,,DEM,Tom Steyer,0,
Orange,Crawford - D1 Thru 8,President,,DEM,Tulsi Gabbard,1,
Orange,Crawford - D1 Thru 8,President,,DEM,Under Votes,1,
Orange,Crawford - D1 Thru 8,President,,DEM,Write-ins,0,
Orange,Deerpark - D1 Thru 7,President,,DEM,Amy Klobuchar,1,
Orange,Deerpark - D1 Thru 7,President,,DEM,Andrew Yang,0,
Orange,Deerpark - D1 Thru 7,President,,DEM,Bernie Sanders,25,
Orange,Deerpark - D1 Thru 7,President,,DEM,Deval Patrick,1,
Orange,Deerpark - D1 Thru 7,President,,DEM,Elizabeth Warren,3,
Orange,Deerpark - D1 Thru 7,President,,DEM,Joseph R. Biden,60,
Orange,Deerpark - D1 Thru 7,President,,DEM,Michael Bennet,0,
Orange,Deerpark - D1 Thru 7,President,,DEM,Michael R. Bloomberg,1,
Orange,Deerpark - D1 Thru 7,President,,DEM,Over Votes,0,
Orange,Deerpark - D1 Thru 7,President,,DEM,Pete Buttigieg,2,
Orange,Deerpark - D1 Thru 7,President,,DEM,Tom Steyer,1,
Orange,Deerpark - D1 Thru 7,President,,DEM,Tulsi Gabbard,1,
Orange,Deerpark - D1 Thru 7,President,,DEM,Under Votes,2,
Orange,Deerpark - D1 Thru 7,President,,DEM,Write-ins,0,
Orange,Goshen - D1 Thru 12,President,,DEM,Amy Klobuchar,2,
Orange,Goshen - D1 Thru 12,President,,DEM,Andrew Yang,2,
Orange,Goshen - D1 Thru 12,President,,DEM,Bernie Sanders,50,
Orange,Goshen - D1 Thru 12,President,,DEM,Deval Patrick,1,
Orange,Goshen - D1 Thru 12,President,,DEM,Elizabeth Warren,7,
Orange,Goshen - D1 Thru 12,President,,DEM,Joseph R. Biden,160,
Orange,Goshen - D1 Thru 12,President,,DEM,Michael Bennet,0,
Orange,Goshen - D1 Thru 12,President,,DEM,Michael R. Bloomberg,8,
Orange,Goshen - D1 Thru 12,President,,DEM,Over Votes,1,
Orange,Goshen - D1 Thru 12,President,,DEM,Pete Buttigieg,2,
Orange,Goshen - D1 Thru 12,President,,DEM,Tom Steyer,0,
Orange,Goshen - D1 Thru 12,President,,DEM,Tulsi Gabbard,1,
Orange,Goshen - D1 Thru 12,President,,DEM,Under Votes,2,
Orange,Goshen - D1 Thru 12,President,,DEM,Write-ins,0,
Orange,Goshen - D13,President,,DEM,Amy Klobuchar,0,
Orange,Goshen - D13,President,,DEM,Andrew Yang,0,
Orange,Goshen - D13,President,,DEM,Bernie Sanders,0,
Orange,Goshen - D13,President,,DEM,Deval Patrick,0,
Orange,Goshen - D13,President,,DEM,Elizabeth Warren,0,
Orange,Goshen - D13,President,,DEM,Joseph R. Biden,0,
Orange,Goshen - D13,President,,DEM,Michael Bennet,0,
Orange,Goshen - D13,President,,DEM,Michael R. Bloomberg,0,
Orange,Goshen - D13,President,,DEM,Over Votes,0,
Orange,Goshen - D13,President,,DEM,Pete Buttigieg,0,
Orange,Goshen - D13,President,,DEM,Tom Steyer,0,
Orange,Goshen - D13,President,,DEM,Tulsi Gabbard,0,
Orange,Goshen - D13,President,,DEM,Under Votes,0,
Orange,Goshen - D13,President,,DEM,Write-ins,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Amy Klobuchar,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Andrew Yang,1,
Orange,"Greenville - D1,2,3,4",President,,DEM,Bernie Sanders,7,
Orange,"Greenville - D1,2,3,4",President,,DEM,Deval Patrick,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Elizabeth Warren,3,
Orange,"Greenville - D1,2,3,4",President,,DEM,Joseph R. Biden,41,
Orange,"Greenville - D1,2,3,4",President,,DEM,Michael Bennet,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Michael R. Bloomberg,2,
Orange,"Greenville - D1,2,3,4",President,,DEM,Over Votes,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Pete Buttigieg,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Tom Steyer,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Tulsi Gabbard,1,
Orange,"Greenville - D1,2,3,4",President,,DEM,Under Votes,0,
Orange,"Greenville - D1,2,3,4",President,,DEM,Write-ins,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Amy Klobuchar,1,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Andrew Yang,2,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Bernie Sanders,9,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Deval Patrick,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Elizabeth Warren,4,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Joseph R. Biden,41,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Michael Bennet,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Michael R. Bloomberg,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Over Votes,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Pete Buttigieg,3,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Tom Steyer,0,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Tulsi Gabbard,3,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Under Votes,3,
Orange,"Hamptonburgh - D1,2,3,4,5",President,,DEM,Write-ins,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Amy Klobuchar,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Andrew Yang,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Bernie Sanders,17,
Orange,Highlands - D1 Thru 6,President,,DEM,Deval Patrick,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Elizabeth Warren,7,
Orange,Highlands - D1 Thru 6,President,,DEM,Joseph R. Biden,75,
Orange,Highlands - D1 Thru 6,President,,DEM,Michael Bennet,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Michael R. Bloomberg,2,
Orange,Highlands - D1 Thru 6,President,,DEM,Over Votes,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Pete Buttigieg,4,
Orange,Highlands - D1 Thru 6,President,,DEM,Tom Steyer,0,
Orange,Highlands - D1 Thru 6,President,,DEM,Tulsi Gabbard,1,
Orange,Highlands - D1 Thru 6,President,,DEM,Under Votes,2,
Orange,Highlands - D1 Thru 6,President,,DEM,Write-ins,0,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Amy Klobuchar,1,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Andrew Yang,0,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Bernie Sanders,30,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Deval Patrick,0,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Elizabeth Warren,2,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Joseph R. Biden,159,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Michael Bennet,1,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Michael R. Bloomberg,2,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Over Votes,1,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Pete Buttigieg,2,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Tom Steyer,0,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Tulsi Gabbard,0,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Under Votes,6,
Orange,"Middletown - W1 - D1,2  W4 - D1,2,3,4,5",President,,DEM,Write-ins,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Amy Klobuchar,3,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Andrew Yang,2,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Bernie Sanders,24,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Deval Patrick,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Elizabeth Warren,4,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Joseph R. Biden,109,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Michael Bennet,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Michael R. Bloomberg,2,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Over Votes,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Pete Buttigieg,2,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Tom Steyer,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Tulsi Gabbard,2,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Under Votes,0,
Orange,"Middletown - W1 - D3,4,5,6 W2 - D2,3,5,7",President,,DEM,Write-ins,0,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Amy Klobuchar,1,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Andrew Yang,2,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Bernie Sanders,23,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Deval Patrick,0,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Elizabeth Warren,3,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Joseph R. Biden,129,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Michael Bennet,1,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Michael R. Bloomberg,4,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Over Votes,0,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Pete Buttigieg,3,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Tom Steyer,0,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Tulsi Gabbard,0,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Under Votes,2,
Orange,"Middletown - W2 - D1,4,6  W3 - D1,2,4",President,,DEM,Write-ins,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Amy Klobuchar,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Andrew Yang,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Bernie Sanders,24,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Deval Patrick,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Elizabeth Warren,3,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Joseph R. Biden,125,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Michael Bennet,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Michael R. Bloomberg,2,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Over Votes,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Pete Buttigieg,2,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Tom Steyer,0,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Tulsi Gabbard,1,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Under Votes,6,
Orange,"Middletown - W3 - D3,5,6  W4 - D6,7,8",President,,DEM,Write-ins,0,
Orange,"Minisink - D1,2,3,4",President,,DEM,Amy Klobuchar,1,
Orange,"Minisink - D1,2,3,4",President,,DEM,Andrew Yang,3,
Orange,"Minisink - D1,2,3,4",President,,DEM,Bernie Sanders,10,
Orange,"Minisink - D1,2,3,4",President,,DEM,Deval Patrick,2,
Orange,"Minisink - D1,2,3,4",President,,DEM,Elizabeth Warren,5,
Orange,"Minisink - D1,2,3,4",President,,DEM,Joseph R. Biden,19,
Orange,"Minisink - D1,2,3,4",President,,DEM,Michael Bennet,0,
Orange,"Minisink - D1,2,3,4",President,,DEM,Michael R. Bloomberg,2,
Orange,"Minisink - D1,2,3,4",President,,DEM,Over Votes,0,
Orange,"Minisink - D1,2,3,4",President,,DEM,Pete Buttigieg,1,
Orange,"Minisink - D1,2,3,4",President,,DEM,Tom Steyer,0,
Orange,"Minisink - D1,2,3,4",President,,DEM,Tulsi Gabbard,1,
Orange,"Minisink - D1,2,3,4",President,,DEM,Under Votes,0,
Orange,"Minisink - D1,2,3,4",President,,DEM,Write-ins,0,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Amy Klobuchar,0,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Andrew Yang,0,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Bernie Sanders,38,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Deval Patrick,0,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Elizabeth Warren,3,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Joseph R. Biden,115,
Orange,"Monroe - D1,3,4,5,8,9,18,19,20,21",President,,DEM,Michael Bennet,2,
