county,precinct,office,district,party,candidate,election_day,early_voting,absentee
Ontario,Town of Phelps 5,Governor,,DEM,Kathy C. Hochul,108,4,9
Ontario,Town of Phelps 6,Governor,,DEM,Kathy C. Hochul,102,9,12
Ontario,Town of Richmond 1,Governor,,DEM,Kathy C. Hochul,144,10,14
Ontario,Town of Richmond 2,Governor,,DEM,Kathy C. Hochul,147,13,25
Ontario,Town of Richmond 3,Governor,,DEM,Kathy C. Hochul,155,10,16
Ontario,Town of South Bristol 1,Governor,,DEM,Kathy C. Hochul,162,45,37
Ontario,Town of South Bristol 2,Governor,,DEM,Kathy C. Hochul,168,24,13
Ontario,Town of Seneca 1,Governor,,DEM,Kathy C. Hochul,65,4,3
Ontario,Town of Seneca 2,Governor,,DEM,Kathy C. Hochul,91,14,10
Ontario,Town of Seneca 3,Governor,,DEM,Kathy C. Hochul,105,21,13
Ontario,Town of Victor 1,Governor,,DEM,Kathy C. Hochul,159,108,21
Ontario,Town of Victor 2,Governor,,DEM,Kathy C. Hochul,164,94,36
Ontario,Town of Victor 3,Governor,,DEM,Kathy C. Hochul,157,105,26
Ontario,Town of Victor 4,Governor,,DEM,Kathy C. Hochul,147,84,11
Ontario,Town of Victor 5,Governor,,DEM,Kathy C. Hochul,255,130,24
Ontario,Town of Victor 6,Governor,,DEM,Kathy C. Hochul,163,88,7
Ontario,Town of Victor 7,Governor,,DEM,Kathy C. Hochul,167,146,45
Ontario,Town of Victor 8,Governor,,DEM,Kathy C. Hochul,167,97,21
Ontario,Town of Victor 9,Governor,,DEM,Kathy C. Hochul,216,60,22
Ontario,Town of Victor 10,Governor,,DEM,Kathy C. Hochul,152,115,27
Ontario,Town of Victor 11,Governor,,DEM,Kathy C. Hochul,135,24,27
Ontario,Town of Victor 12,Governor,,DEM,Kathy C. Hochul,133,91,20
Ontario,Town of West Bloomfield 1,Governor,,DEM,Kathy C. Hochul,160,20,23
Ontario,Town of West Bloomfield 2,Governor,,DEM,Kathy C. Hochul,139,25,14
Ontario,Cumulative,Governor,,DEM,Kathy C. Hochul,0,0,0
Ontario,City of Canandaigua Ward 1 1,Governor,,REP,Lee Zeldin,160,31,15
Ontario,City of Canandaigua Ward 1 2,Governor,,REP,Lee Zeldin,156,23,13
Ontario,City of Canandaigua Ward 2 1,Governor,,REP,Lee Zeldin,91,16,3
Ontario,City of Canandaigua Ward 2 2,Governor,,REP,Lee Zeldin,156,30,18
Ontario,City of Canandaigua Ward 3 1,Governor,,REP,Lee Zeldin,139,19,12
Ontario,City of Canandaigua Ward 3 2,Governor,,REP,Lee Zeldin,150,24,17
Ontario,City of Canandaigua Ward 4 1,Governor,,REP,Lee Zeldin,156,19,22
Ontario,City of Canandaigua Ward 4 2,Governor,,REP,Lee Zeldin,226,25,16
Ontario,City of Geneva Ward 1 1,Governor,,REP,Lee Zeldin,46,11,13
Ontario,City of Geneva Ward 1 2,Governor,,REP,Lee Zeldin,59,4,2
Ontario,City of Geneva Ward 2 1,Governor,,REP,Lee Zeldin,93,18,11
Ontario,City of Geneva Ward 2 2,Governor,,REP,Lee Zeldin,134,38,8
Ontario,City of Geneva Ward 3 1,Governor,,REP,Lee Zeldin,62,26,6
Ontario,City of Geneva Ward 3 2,Governor,,REP,Lee Zeldin,112,45,10
Ontario,City of Geneva Ward 4 1,Governor,,REP,Lee Zeldin,74,30,7
Ontario,City of Geneva Ward 4 2,Governor,,REP,Lee Zeldin,61,22,2
Ontario,City of Geneva Ward 5 1,Governor,,REP,Lee Zeldin,43,17,1
Ontario,City of Geneva Ward 5 2,Governor,,REP,Lee Zeldin,32,7,2
Ontario,City of Geneva Ward 6 1,Governor,,REP,Lee Zeldin,41,8,1
Ontario,City of Geneva Ward 6 2,Governor,,REP,Lee Zeldin,48,7,1
Ontario,Town of Bristol 1,Governor,,REP,Lee Zeldin,227,16,11
Ontario,Town of Bristol 2,Governor,,REP,Lee Zeldin,345,21,14
Ontario,Town of Canadice 1,Governor,,REP,Lee Zeldin,198,6,14
Ontario,Town of Canadice 2,Governor,,REP,Lee Zeldin,178,5,9
Ontario,Town of Canandaigua 1,Governor,,REP,Lee Zeldin,181,37,18
Ontario,Town of Canandaigua 2,Governor,,REP,Lee Zeldin,280,41,28
Ontario,Town of Canandaigua 3,Governor,,REP,Lee Zeldin,458,52,31
Ontario,Town of Canandaigua 4,Governor,,REP,Lee Zeldin,284,34,30
Ontario,Town of Canandaigua 5,Governor,,REP,Lee Zeldin,349,50,24
Ontario,Town of Canandaigua 6,Governor,,REP,Lee Zeldin,166,17,16
Ontario,Town of Canandaigua 7,Governor,,REP,Lee Zeldin,291,14,10
Ontario,Town of East Bloomfield 1,Governor,,REP,Lee Zeldin,276,23,10
Ontario,Town of East Bloomfield 2,Governor,,REP,Lee Zeldin,272,10,14
Ontario,Town of East Bloomfield 3,Governor,,REP,Lee Zeldin,225,16,11
Ontario,Town of Farmington 1,Governor,,REP,Lee Zeldin,370,25,11
Ontario,Town of Farmington 2,Governor,,REP,Lee Zeldin,288,26,11
Ontario,Town of Farmington 3,Governor,,REP,Lee Zeldin,223,16,13
Ontario,Town of Farmington 4,Governor,,REP,Lee Zeldin,267,18,9
Ontario,Town of Farmington 5,Governor,,REP,Lee Zeldin,121,17,5
Ontario,Town of Farmington 6,Governor,,REP,Lee Zeldin,462,75,24
Ontario,Town of Farmington 7,Governor,,REP,Lee Zeldin,323,38,18
Ontario,Town of Farmington 8,Governor,,REP,Lee Zeldin,163,25,11
Ontario,Town of Farmington 9,Governor,,REP,Lee Zeldin,169,7,6
Ontario,Town of Farmington 10,Governor,,REP,Lee Zeldin,135,5,9
Ontario,Town of Geneva 1,Governor,,REP,Lee Zeldin,174,29,10
Ontario,Town of Geneva 2,Governor,,REP,Lee Zeldin,196,33,7
Ontario,Town of Geneva 3,Governor,,REP,Lee Zeldin,204,28,15
Ontario,Town of Gorham 1,Governor,,REP,Lee Zeldin,252,7,10
Ontario,Town of Gorham 2,Governor,,REP,Lee Zeldin,280,10,17
Ontario,Town of Gorham 3,Governor,,REP,Lee Zeldin,193,10,19
Ontario,Town of Gorham 4,Governor,,REP,Lee Zeldin,169,10,7
Ontario,Town of Hopewell 1,Governor,,REP,Lee Zeldin,298,19,11
Ontario,Town of Hopewell 2,Governor,,REP,Lee Zeldin,107,11,5
Ontario,Town of Hopewell 3,Governor,,REP,Lee Zeldin,195,12,11
Ontario,Town of Manchester 1,Governor,,REP,Lee Zeldin,230,6,9
Ontario,Town of Manchester 2,Governor,,REP,Lee Zeldin,144,8,2
Ontario,Town of Manchester 3,Governor,,REP,Lee Zeldin,295,7,7
Ontario,Town of Manchester 4,Governor,,REP,Lee Zeldin,314,9,16
Ontario,Town of Manchester 5,Governor,,REP,Lee Zeldin,129,3,1
Ontario,Town of Manchester 6,Governor,,REP,Lee Zeldin,169,6,8
Ontario,Town of Manchester 7,Governor,,REP,Lee Zeldin,149,4,1
Ontario,Town of Manchester 8,Governor,,REP,Lee Zeldin,163,7,8
Ontario,Town of Naples 1,Governor,,REP,Lee Zeldin,345,7,11
Ontario,Town of Naples 2,Governor,,REP,Lee Zeldin,150,4,7
Ontario,Town of Phelps 1,Governor,,REP,Lee Zeldin,215,17,7
Ontario,Town of Phelps 2,Governor,,REP,Lee Zeldin,313,12,10
Ontario,Town of Phelps 3,Governor,,REP,Lee Zeldin,254,17,8
Ontario,Town of Phelps 4,Governor,,REP,Lee Zeldin,270,13,5
Ontario,Town of Phelps 5,Governor,,REP,Lee Zeldin,221,4,16
Ontario,Town of Phelps 6,Governor,,REP,Lee Zeldin,240,18,9
Ontario,Town of Richmond 1,Governor,,REP,Lee Zeldin,235,6,9
Ontario,Town of Richmond 2,Governor,,REP,Lee Zeldin,246,10,16
Ontario,Town of Richmond 3,Governor,,REP,Lee Zeldin,342,10,13
Ontario,Town of South Bristol 1,Governor,,REP,Lee Zeldin,129,19,15
Ontario,Town of South Bristol 2,Governor,,REP,Lee Zeldin,218,5,7
Ontario,Town of Seneca 1,Governor,,REP,Lee Zeldin,161,5,6
Ontario,Town of Seneca 2,Governor,,REP,Lee Zeldin,206,10,11
Ontario,Town of Seneca 3,Governor,,REP,Lee Zeldin,242,14,7
Ontario,Town of Victor 1,Governor,,REP,Lee Zeldin,223,73,13
Ontario,Town of Victor 2,Governor,,REP,Lee Zeldin,332,66,16
Ontario,Town of Victor 3,Governor,,REP,Lee Zeldin,197,33,13
Ontario,Town of Victor 4,Governor,,REP,Lee Zeldin,143,43,7
Ontario,Town of Victor 5,Governor,,REP,Lee Zeldin,323,80,35
Ontario,Town of Victor 6,Governor,,REP,Lee Zeldin,267,91,11
Ontario,Town of Victor 7,Governor,,REP,Lee Zeldin,173,68,21
Ontario,Town of Victor 8,Governor,,REP,Lee Zeldin,194,54,8
Ontario,Town of Victor 9,Governor,,REP,Lee Zeldin,257,55,14
Ontario,Town of Victor 10,Governor,,REP,Lee Zeldin,187,81,22
Ontario,Town of Victor 11,Governor,,REP,Lee Zeldin,177,21,11
Ontario,Town of Victor 12,Governor,,REP,Lee Zeldin,163,64,10
Ontario,Town of West Bloomfield 1,Governor,,REP,Lee Zeldin,295,16,12
Ontario,Town of West Bloomfield 2,Governor,,REP,Lee Zeldin,254,21,10
Ontario,Cumulative,Governor,,REP,Lee Zeldin,0,0,0
Ontario,City of Canandaigua Ward 1 1,Governor,,CON,Lee Zeldin,24,6,3
Ontario,City of Canandaigua Ward 1 2,Governor,,CON,Lee Zeldin,32,4,4
Ontario,City of Canandaigua Ward 2 1,Governor,,CON,Lee Zeldin,16,6,2
Ontario,City of Canandaigua Ward 2 2,Governor,,CON,Lee Zeldin,21,7,5
Ontario,City of Canandaigua Ward 3 1,Governor,,CON,Lee Zeldin,34,3,1
Ontario,City of Canandaigua Ward 3 2,Governor,,CON,Lee Zeldin,27,4,5
Ontario,City of Canandaigua Ward 4 1,Governor,,CON,Lee Zeldin,25,3,4
Ontario,City of Canandaigua Ward 4 2,Governor,,CON,Lee Zeldin,37,3,3
Ontario,City of Geneva Ward 1 1,Governor,,CON,Lee Zeldin,3,1,5
Ontario,City of Geneva Ward 1 2,Governor,,CON,Lee Zeldin,8,1,0
Ontario,City of Geneva Ward 2 1,Governor,,CON,Lee Zeldin,13,3,0
Ontario,City of Geneva Ward 2 2,Governor,,CON,Lee Zeldin,21,1,1
Ontario,City of Geneva Ward 3 1,Governor,,CON,Lee Zeldin,7,6,2
Ontario,City of Geneva Ward 3 2,Governor,,CON,Lee Zeldin,17,6,3
Ontario,City of Geneva Ward 4 1,Governor,,CON,Lee Zeldin,7,1,0
Ontario,City of Geneva Ward 4 2,Governor,,CON,Lee Zeldin,14,3,2
Ontario,City of Geneva Ward 5 1,Governor,,CON,Lee Zeldin,5,2,1
Ontario,City of Geneva Ward 5 2,Governor,,CON,Lee Zeldin,5,1,0
Ontario,City of Geneva Ward 6 1,Governor,,CON,Lee Zeldin,8,0,0
Ontario,City of Geneva Ward 6 2,Governor,,CON,Lee Zeldin,6,0,0
Ontario,Town of Bristol 1,Governor,,CON,Lee Zeldin,46,8,4
Ontario,Town of Bristol 2,Governor,,CON,Lee Zeldin,75,2,3
Ontario,Town of Canadice 1,Governor,,CON,Lee Zeldin,40,3,2
Ontario,Town of Canadice 2,Governor,,CON,Lee Zeldin,49,2,2
Ontario,Town of Canandaigua 1,Governor,,CON,Lee Zeldin,36,6,1
Ontario,Town of Canandaigua 2,Governor,,CON,Lee Zeldin,60,2,4
Ontario,Town of Canandaigua 3,Governor,,CON,Lee Zeldin,90,9,8
Ontario,Town of Canandaigua 4,Governor,,CON,Lee Zeldin,48,4,10
Ontario,Town of Canandaigua 5,Governor,,CON,Lee Zeldin,50,9,4
Ontario,Town of Canandaigua 6,Governor,,CON,Lee Zeldin,27,1,3
Ontario,Town of Canandaigua 7,Governor,,CON,Lee Zeldin,63,2,1
Ontario,Town of East Bloomfield 1,Governor,,CON,Lee Zeldin,62,2,1
Ontario,Town of East Bloomfield 2,Governor,,CON,Lee Zeldin,45,5,1
Ontario,Town of East Bloomfield 3,Governor,,CON,Lee Zeldin,44,1,6
Ontario,Town of Farmington 1,Governor,,CON,Lee Zeldin,53,1,1
Ontario,Town of Farmington 2,Governor,,CON,Lee Zeldin,53,3,4
Ontario,Town of Farmington 3,Governor,,CON,Lee Zeldin,35,4,2
Ontario,Town of Farmington 4,Governor,,CON,Lee Zeldin,48,4,0
Ontario,Town of Farmington 5,Governor,,CON,Lee Zeldin,24,2,0
Ontario,Town of Farmington 6,Governor,,CON,Lee Zeldin,59,6,2
Ontario,Town of Farmington 7,Governor,,CON,Lee Zeldin,44,8,1
Ontario,Town of Farmington 8,Governor,,CON,Lee Zeldin,20,0,2
Ontario,Town of Farmington 9,Governor,,CON,Lee Zeldin,26,2,0
Ontario,Town of Farmington 10,Governor,,CON,Lee Zeldin,25,2,2
Ontario,Town of Geneva 1,Governor,,CON,Lee Zeldin,18,2,1
Ontario,Town of Geneva 2,Governor,,CON,Lee Zeldin,28,5,5
Ontario,Town of Geneva 3,Governor,,CON,Lee Zeldin,23,5,5
Ontario,Town of Gorham 1,Governor,,CON,Lee Zeldin,44,2,5
Ontario,Town of Gorham 2,Governor,,CON,Lee Zeldin,40,1,2
Ontario,Town of Gorham 3,Governor,,CON,Lee Zeldin,36,2,0
Ontario,Town of Gorham 4,Governor,,CON,Lee Zeldin,32,1,6
Ontario,Town of Hopewell 1,Governor,,CON,Lee Zeldin,47,4,1
Ontario,Town of Hopewell 2,Governor,,CON,Lee Zeldin,27,3,1
Ontario,Town of Hopewell 3,Governor,,CON,Lee Zeldin,36,0,5
Ontario,Town of Manchester 1,Governor,,CON,Lee Zeldin,33,0,4
Ontario,Town of Manchester 2,Governor,,CON,Lee Zeldin,30,0,1
Ontario,Town of Manchester 3,Governor,,CON,Lee Zeldin,51,4,2
Ontario,Town of Manchester 4,Governor,,CON,Lee Zeldin,68,1,1
Ontario,Town of Manchester 5,Governor,,CON,Lee Zeldin,11,0,3
Ontario,Town of Manchester 6,Governor,,CON,Lee Zeldin,27,1,0
Ontario,Town of Manchester 7,Governor,,CON,Lee Zeldin,21,0,6
Ontario,Town of Manchester 8,Governor,,CON,Lee Zeldin,38,1,1
Ontario,Town of Naples 1,Governor,,CON,Lee Zeldin,45,0,10
Ontario,Town of Naples 2,Governor,,CON,Lee Zeldin,17,2,4
Ontario,Town of Phelps 1,Governor,,CON,Lee Zeldin,20,3,0
Ontario,Town of Phelps 2,Governor,,CON,Lee Zeldin,43,2,1
Ontario,Town of Phelps 3,Governor,,CON,Lee Zeldin,30,0,1
Ontario,Town of Phelps 4,Governor,,CON,Lee Zeldin,37,1,1
Ontario,Town of Phelps 5,Governor,,CON,Lee Zeldin,29,1,3
Ontario,Town of Phelps 6,Governor,,CON,Lee Zeldin,33,1,0
Ontario,Town of Richmond 1,Governor,,CON,Lee Zeldin,39,1,2
Ontario,Town of Richmond 2,Governor,,CON,Lee Zeldin,55,9,3
Ontario,Town of Richmond 3,Governor,,CON,Lee Zeldin,82,4,4
Ontario,Town of South Bristol 1,Governor,,CON,Lee Zeldin,19,2,3
Ontario,Town of South Bristol 2,Governor,,CON,Lee Zeldin,62,1,0
Ontario,Town of Seneca 1,Governor,,CON,Lee Zeldin,24,2,1
Ontario,Town of Seneca 2,Governor,,CON,Lee Zeldin,33,0,2
Ontario,Town of Seneca 3,Governor,,CON,Lee Zeldin,33,2,7
Ontario,Town of Victor 1,Governor,,CON,Lee Zeldin,35,14,3
Ontario,Town of Victor 2,Governor,,CON,Lee Zeldin,36,21,5
Ontario,Town of Victor 3,Governor,,CON,Lee Zeldin,46,7,1
Ontario,Town of Victor 4,Governor,,CON,Lee Zeldin,35,11,1
Ontario,Town of Victor 5,Governor,,CON,Lee Zeldin,48,20,5
Ontario,Town of Victor 6,Governor,,CON,Lee Zeldin,42,14,1
Ontario,Town of Victor 7,Governor,,CON,Lee Zeldin,30,15,7
Ontario,Town of Victor 8,Governor,,CON,Lee Zeldin,34,12,2
Ontario,Town of Victor 9,Governor,,CON,Lee Zeldin,32,7,3
Ontario,Town of Victor 10,Governor,,CON,Lee Zeldin,29,16,6
Ontario,Town of Victor 11,Governor,,CON,Lee Zeldin,30,5,0
Ontario,Town of Victor 12,Governor,,CON,Lee Zeldin,33,11,1
Ontario,Town of West Bloomfield 1,Governor,,CON,Lee Zeldin,74,1,2
Ontario,Town of West Bloomfield 2,Governor,,CON,Lee Zeldin,51,5,3
Ontario,Cumulative,Governor,,CON,Lee Zeldin,0,0,0
Ontario,City of Canandaigua Ward 1 1,Governor,,WOR,Kathy C. Hochul,11,6,1
Ontario,City of Canandaigua Ward 1 2,Governor,,WOR,Kathy C. Hochul,10,10,2
Ontario,City of Canandaigua Ward 2 1,Governor,,WOR,Kathy C. Hochul,9,4,4
Ontario,City of Canandaigua Ward 2 2,Governor,,WOR,Kathy C. Hochul,11,3,3
Ontario,City of Canandaigua Ward 3 1,Governor,,WOR,Kathy C. Hochul,20,2,1
Ontario,City of Canandaigua Ward 3 2,Governor,,WOR,Kathy C. Hochul,13,2,5
Ontario,City of Canandaigua Ward 4 1,Governor,,WOR,Kathy C. Hochul,11,1,1
Ontario,City of Canandaigua Ward 4 2,Governor,,WOR,Kathy C. Hochul,12,6,1
Ontario,City of Geneva Ward 1 1,Governor,,WOR,Kathy C. Hochul,7,5,1
Ontario,City of Geneva Ward 1 2,Governor,,WOR,Kathy C. Hochul,8,3,0
Ontario,City of Geneva Ward 2 1,Governor,,WOR,Kathy C. Hochul,13,9,2
Ontario,City of Geneva Ward 2 2,Governor,,WOR,Kathy C. Hochul,12,6,0
Ontario,City of Geneva Ward 3 1,Governor,,WOR,Kathy C. Hochul,11,4,3
Ontario,City of Geneva Ward 3 2,Governor,,WOR,Kathy C. Hochul,10,9,2
Ontario,City of Geneva Ward 4 1,Governor,,WOR,Kathy C. Hochul,3,3,2
Ontario,City of Geneva Ward 4 2,Governor,,WOR,Kathy C. Hochul,7,5,2
Ontario,City of Geneva Ward 5 1,Governor,,WOR,Kathy C. Hochul,5,0,0
Ontario,City of Geneva Ward 5 2,Governor,,WOR,Kathy C. Hochul,7,0,2
Ontario,City of Geneva Ward 6 1,Governor,,WOR,Kathy C. Hochul,3,0,1
Ontario,City of Geneva Ward 6 2,Governor,,WOR,Kathy C. Hochul,4,1,0
Ontario,Town of Bristol 1,Governor,,WOR,Kathy C. Hochul,3,2,4
Ontario,Town of Bristol 2,Governor,,WOR,Kathy C. Hochul,18,5,0
Ontario,Town of Canadice 1,Governor,,WOR,Kathy C. Hochul,14,1,1
Ontario,Town of Canadice 2,Governor,,WOR,Kathy C. Hochul,13,0,2
Ontario,Town of Canandaigua 1,Governor,,WOR,Kathy C. Hochul,9,4,1
Ontario,Town of Canandaigua 2,Governor,,WOR,Kathy C. Hochul,13,3,5
Ontario,Town of Canandaigua 3,Governor,,WOR,Kathy C. Hochul,21,2,3
Ontario,Town of Canandaigua 4,Governor,,WOR,Kathy C. Hochul,10,1,1
Ontario,Town of Canandaigua 5,Governor,,WOR,Kathy C. Hochul,17,1,1
Ontario,Town of Canandaigua 6,Governor,,WOR,Kathy C. Hochul,6,1,1
Ontario,Town of Canandaigua 7,Governor,,WOR,Kathy C. Hochul,6,3,0
Ontario,Town of East Bloomfield 1,Governor,,WOR,Kathy C. Hochul,7,2,0
Ontario,Town of East Bloomfield 2,Governor,,WOR,Kathy C. Hochul,14,0,1
Ontario,Town of East Bloomfield 3,Governor,,WOR,Kathy C. Hochul,14,3,0
Ontario,Town of Farmington 1,Governor,,WOR,Kathy C. Hochul,8,0,0
Ontario,Town of Farmington 2,Governor,,WOR,Kathy C. Hochul,13,3,2
Ontario,Town of Farmington 3,Governor,,WOR,Kathy C. Hochul,14,2,3
Ontario,Town of Farmington 4,Governor,,WOR,Kathy C. Hochul,15,2,1
Ontario,Town of Farmington 5,Governor,,WOR,Kathy C. Hochul,13,1,0
Ontario,Town of Farmington 6,Governor,,WOR,Kathy C. Hochul,14,3,1
Ontario,Town of Farmington 7,Governor,,WOR,Kathy C. Hochul,13,3,1
Ontario,Town of Farmington 8,Governor,,WOR,Kathy C. Hochul,14,2,1
Ontario,Town of Farmington 9,Governor,,WOR,Kathy C. Hochul,10,2,1
Ontario,Town of Farmington 10,Governor,,WOR,Kathy C. Hochul,2,1,0
Ontario,Town of Geneva 1,Governor,,WOR,Kathy C. Hochul,13,2,0
Ontario,Town of Geneva 2,Governor,,WOR,Kathy C. Hochul,10,1,1
Ontario,Town of Geneva 3,Governor,,WOR,Kathy C. Hochul,13,4,2
Ontario,Town of Gorham 1,Governor,,WOR,Kathy C. Hochul,4,1,0
Ontario,Town of Gorham 2,Governor,,WOR,Kathy C. Hochul,8,0,1
Ontario,Town of Gorham 3,Governor,,WOR,Kathy C. Hochul,6,0,1
Ontario,Town of Gorham 4,Governor,,WOR,Kathy C. Hochul,7,0,2
Ontario,Town of Hopewell 1,Governor,,WOR,Kathy C. Hochul,6,1,0
Ontario,Town of Hopewell 2,Governor,,WOR,Kathy C. Hochul,4,0,0
Ontario,Town of Hopewell 3,Governor,,WOR,Kathy C. Hochul,12,1,2
Ontario,Town of Manchester 1,Governor,,WOR,Kathy C. Hochul,20,0,2
Ontario,Town of Manchester 2,Governor,,WOR,Kathy C. Hochul,7,1,2
Ontario,Town of Manchester 3,Governor,,WOR,Kathy C. Hochul,11,0,1
Ontario,Town of Manchester 4,Governor,,WOR,Kathy C. Hochul,8,2,3
Ontario,Town of Manchester 5,Governor,,WOR,Kathy C. Hochul,4,0,0
Ontario,Town of Manchester 6,Governor,,WOR,Kathy C. Hochul,11,0,0
Ontario,Town of Manchester 7,Governor,,WOR,Kathy C. Hochul,5,0,0
Ontario,Town of Manchester 8,Governor,,WOR,Kathy C. Hochul,4,2,0
Ontario,Town of Naples 1,Governor,,WOR,Kathy C. Hochul,24,0,0
