county,precinct,office,district,party,candidate,early_voting,election_day,absentee
Otsego,Maryland 1,Governor,,CON,Lee Zeldin,2,14,0
Otsego,Maryland  2,Governor,,CON,Lee Zeldin,0,25,3
Otsego,Middlefield 1,Governor,,CON,Lee Zeldin,0,16,1
Otsego,Middlefield 2,Governor,,CON,Lee Zeldin,9,18,1
Otsego,Milford 1,Governor,,CON,Lee Zeldin,1,15,0
Otsego,Milford 2,Governor,,CON,Lee Zeldin,1,36,2
Otsego,Morris 1,Governor,,CON,Lee Zeldin,3,31,2
Otsego,New Lisbon 1,Governor,,CON,Lee Zeldin,3,34,3
Otsego,Oneonta 1,Governor,,CON,Lee Zeldin,6,26,10
Otsego,Oneonta 2,Governor,,CON,Lee Zeldin,4,20,2
Otsego,Oneonta  3,Governor,,CON,Lee Zeldin,5,21,2
Otsego,Oneonta  4,Governor,,CON,Lee Zeldin,2,16,2
Otsego,Otego 1,Governor,,CON,Lee Zeldin,3,28,1
Otsego,Otego 2,Governor,,CON,Lee Zeldin,2,36,0
Otsego,Otsego 1,Governor,,CON,Lee Zeldin,4,14,3
Otsego,Otsego 2,Governor,,CON,Lee Zeldin,4,19,8
Otsego,Otsego  3,Governor,,CON,Lee Zeldin,9,27,3
Otsego,Pittsfield 1,Governor,,CON,Lee Zeldin,0,19,0
Otsego,Pittsfield 2,Governor,,CON,Lee Zeldin,0,5,0
Otsego,Plainfield 1,Governor,,CON,Lee Zeldin,0,26,4
Otsego,Richfield 1,Governor,,CON,Lee Zeldin,2,25,3
Otsego,Richfield 2,Governor,,CON,Lee Zeldin,2,26,4
Otsego,Roseboom 1,Governor,,CON,Lee Zeldin,0,16,4
Otsego,Springfield 1,Governor,,CON,Lee Zeldin,1,41,2
Otsego,Unadilla 1,Governor,,CON,Lee Zeldin,0,16,2
Otsego,Unadilla  2,Governor,,CON,Lee Zeldin,0,20,0
Otsego,Unadilla 3,Governor,,CON,Lee Zeldin,0,12,2
Otsego,Westford 1,Governor,,CON,Lee Zeldin,0,33,1
Otsego,Worcester 1,Governor,,CON,Lee Zeldin,0,20,4
Otsego,Worcester 2,Governor,,CON,Lee Zeldin,0,20,0
Otsego,Worcester 3,Governor,,CON,Lee Zeldin,0,14,1
Otsego,Ward 1 1,Governor,,WOR,Kathy C. Hochul,15,14,2
Otsego,Ward 2 1,Governor,,WOR,Kathy C. Hochul,10,13,1
Otsego,Ward 3 1,Governor,,WOR,Kathy C. Hochul,6,16,3
Otsego,Ward 4 1,Governor,,WOR,Kathy C. Hochul,11,10,2
Otsego,Ward 5 1,Governor,,WOR,Kathy C. Hochul,7,12,0
Otsego,Ward 6 1,Governor,,WOR,Kathy C. Hochul,8,8,0
Otsego,Ward 7 1,Governor,,WOR,Kathy C. Hochul,6,13,8
Otsego,Ward 8 1,Governor,,WOR,Kathy C. Hochul,8,18,1
Otsego,Burlington 1,Governor,,WOR,Kathy C. Hochul,0,5,1
Otsego,Butternuts 1,Governor,,WOR,Kathy C. Hochul,0,6,0
Otsego,Butternuts  2,Governor,,WOR,Kathy C. Hochul,2,10,3
Otsego,Cherry Valley 1,Governor,,WOR,Kathy C. Hochul,0,20,0
Otsego,Decatur 1,Governor,,WOR,Kathy C. Hochul,0,8,0
Otsego,Edmeston 1,Governor,,WOR,Kathy C. Hochul,2,16,3
Otsego,Exeter 1,Governor,,WOR,Kathy C. Hochul,1,2,0
Otsego,Hartwick 1,Governor,,WOR,Kathy C. Hochul,1,14,0
Otsego,Hartwick 2,Governor,,WOR,Kathy C. Hochul,1,3,1
Otsego,Laurens  1,Governor,,WOR,Kathy C. Hochul,0,11,0
Otsego,Laurens  2,Governor,,WOR,Kathy C. Hochul,6,12,2
Otsego,Maryland 1,Governor,,WOR,Kathy C. Hochul,2,4,1
Otsego,Maryland  2,Governor,,WOR,Kathy C. Hochul,0,5,1
Otsego,Middlefield 1,Governor,,WOR,Kathy C. Hochul,4,8,6
Otsego,Middlefield 2,Governor,,WOR,Kathy C. Hochul,4,13,2
Otsego,Milford 1,Governor,,WOR,Kathy C. Hochul,5,2,2
Otsego,Milford 2,Governor,,WOR,Kathy C. Hochul,5,13,2
Otsego,Morris 1,Governor,,WOR,Kathy C. Hochul,8,19,2
Otsego,New Lisbon 1,Governor,,WOR,Kathy C. Hochul,3,11,0
Otsego,Oneonta 1,Governor,,WOR,Kathy C. Hochul,15,7,2
Otsego,Oneonta 2,Governor,,WOR,Kathy C. Hochul,9,8,3
Otsego,Oneonta  3,Governor,,WOR,Kathy C. Hochul,0,8,1
Otsego,Oneonta  4,Governor,,WOR,Kathy C. Hochul,3,5,0
Otsego,Otego 1,Governor,,WOR,Kathy C. Hochul,0,2,3
Otsego,Otego 2,Governor,,WOR,Kathy C. Hochul,4,17,1
Otsego,Otsego 1,Governor,,WOR,Kathy C. Hochul,7,13,4
Otsego,Otsego 2,Governor,,WOR,Kathy C. Hochul,6,11,3
Otsego,Otsego  3,Governor,,WOR,Kathy C. Hochul,2,8,2
Otsego,Pittsfield 1,Governor,,WOR,Kathy C. Hochul,0,6,1
Otsego,Pittsfield 2,Governor,,WOR,Kathy C. Hochul,0,1,0
Otsego,Plainfield 1,Governor,,WOR,Kathy C. Hochul,0,3,0
Otsego,Richfield 1,Governor,,WOR,Kathy C. Hochul,1,5,0
Otsego,Richfield 2,Governor,,WOR,Kathy C. Hochul,3,5,1
Otsego,Roseboom 1,Governor,,WOR,Kathy C. Hochul,3,9,2
Otsego,Springfield 1,Governor,,WOR,Kathy C. Hochul,0,7,1
Otsego,Unadilla 1,Governor,,WOR,Kathy C. Hochul,1,4,1
Otsego,Unadilla  2,Governor,,WOR,Kathy C. Hochul,1,9,1
Otsego,Unadilla 3,Governor,,WOR,Kathy C. Hochul,1,4,0
Otsego,Westford 1,Governor,,WOR,Kathy C. Hochul,5,8,0
Otsego,Worcester 1,Governor,,WOR,Kathy C. Hochul,3,3,0
Otsego,Worcester 2,Governor,,WOR,Kathy C. Hochul,1,7,1
Otsego,Worcester 3,Governor,,WOR,Kathy C. Hochul,1,4,0
Otsego,Ward 1 1,Governor,,,Undervotes,0,5,0
Otsego,Ward 2 1,Governor,,,Undervotes,1,1,0
Otsego,Ward 3 1,Governor,,,Undervotes,1,0,1
Otsego,Ward 4 1,Governor,,,Undervotes,2,0,1
Otsego,Ward 5 1,Governor,,,Undervotes,0,0,0
Otsego,Ward 6 1,Governor,,,Undervotes,2,0,0
Otsego,Ward 7 1,Governor,,,Undervotes,0,2,1
Otsego,Ward 8 1,Governor,,,Undervotes,0,0,1
Otsego,Burlington 1,Governor,,,Undervotes,0,1,0
Otsego,Butternuts 1,Governor,,,Undervotes,0,0,0
Otsego,Butternuts  2,Governor,,,Undervotes,0,3,3
Otsego,Cherry Valley 1,Governor,,,Undervotes,0,1,1
Otsego,Decatur 1,Governor,,,Undervotes,0,1,0
Otsego,Edmeston 1,Governor,,,Undervotes,0,2,0
Otsego,Exeter 1,Governor,,,Undervotes,0,1,0
Otsego,Hartwick 1,Governor,,,Undervotes,0,6,0
Otsego,Hartwick 2,Governor,,,Undervotes,0,1,0
Otsego,Laurens  1,Governor,,,Undervotes,0,1,0
Otsego,Laurens  2,Governor,,,Undervotes,2,1,0
Otsego,Maryland 1,Governor,,,Undervotes,0,0,0
Otsego,Maryland  2,Governor,,,Undervotes,0,3,0
Otsego,Middlefield 1,Governor,,,Undervotes,0,1,0
Otsego,Middlefield 2,Governor,,,Undervotes,1,3,0
Otsego,Milford 1,Governor,,,Undervotes,1,1,0
Otsego,Milford 2,Governor,,,Undervotes,1,5,2
Otsego,Morris 1,Governor,,,Undervotes,0,2,3
Otsego,New Lisbon 1,Governor,,,Undervotes,0,1,0
Otsego,Oneonta 1,Governor,,,Undervotes,0,2,1
Otsego,Oneonta 2,Governor,,,Undervotes,1,5,1
Otsego,Oneonta  3,Governor,,,Undervotes,1,1,0
Otsego,Oneonta  4,Governor,,,Undervotes,0,3,0
Otsego,Otego 1,Governor,,,Undervotes,0,0,0
Otsego,Otego 2,Governor,,,Undervotes,1,4,0
Otsego,Otsego 1,Governor,,,Undervotes,0,3,0
Otsego,Otsego 2,Governor,,,Undervotes,1,1,1
Otsego,Otsego  3,Governor,,,Undervotes,0,5,0
Otsego,Pittsfield 1,Governor,,,Undervotes,0,0,0
Otsego,Pittsfield 2,Governor,,,Undervotes,0,1,0
Otsego,Plainfield 1,Governor,,,Undervotes,0,1,0
Otsego,Richfield 1,Governor,,,Undervotes,1,2,0
Otsego,Richfield 2,Governor,,,Undervotes,0,3,1
Otsego,Roseboom 1,Governor,,,Undervotes,0,3,0
Otsego,Springfield 1,Governor,,,Undervotes,0,2,0
Otsego,Unadilla 1,Governor,,,Undervotes,1,2,0
Otsego,Unadilla  2,Governor,,,Undervotes,0,1,1
Otsego,Unadilla 3,Governor,,,Undervotes,0,2,1
Otsego,Westford 1,Governor,,,Undervotes,0,2,0
Otsego,Worcester 1,Governor,,,Undervotes,0,1,1
Otsego,Worcester 2,Governor,,,Undervotes,0,1,0
Otsego,Worcester 3,Governor,,,Undervotes,0,0,0
Otsego,Ward 1 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 2 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 3 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 4 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 5 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 6 1,Governor,,,Overvotes,0,1,0
Otsego,Ward 7 1,Governor,,,Overvotes,0,0,0
Otsego,Ward 8 1,Governor,,,Overvotes,0,0,0
Otsego,Burlington 1,Governor,,,Overvotes,0,0,0
Otsego,Butternuts 1,Governor,,,Overvotes,0,0,0
Otsego,Butternuts  2,Governor,,,Overvotes,0,0,0
Otsego,Cherry Valley 1,Governor,,,Overvotes,0,0,0
Otsego,Decatur 1,Governor,,,Overvotes,0,0,0
Otsego,Edmeston 1,Governor,,,Overvotes,0,0,0
Otsego,Exeter 1,Governor,,,Overvotes,0,0,0
Otsego,Hartwick 1,Governor,,,Overvotes,0,0,0
Otsego,Hartwick 2,Governor,,,Overvotes,0,0,0
Otsego,Laurens  1,Governor,,,Overvotes,0,0,0
Otsego,Laurens  2,Governor,,,Overvotes,0,0,0
Otsego,Maryland 1,Governor,,,Overvotes,0,0,0
Otsego,Maryland  2,Governor,,,Overvotes,0,0,0
Otsego,Middlefield 1,Governor,,,Overvotes,0,0,0
Otsego,Middlefield 2,Governor,,,Overvotes,0,0,0
Otsego,Milford 1,Governor,,,Overvotes,0,0,0
Otsego,Milford 2,Governor,,,Overvotes,0,0,0
Otsego,Morris 1,Governor,,,Overvotes,0,0,0
Otsego,New Lisbon 1,Governor,,,Overvotes,0,0,0
Otsego,Oneonta 1,Governor,,,Overvotes,0,1,0
Otsego,Oneonta 2,Governor,,,Overvotes,0,0,0
Otsego,Oneonta  3,Governor,,,Overvotes,0,0,0
Otsego,Oneonta  4,Governor,,,Overvotes,0,0,0
Otsego,Otego 1,Governor,,,Overvotes,0,0,0
Otsego,Otego 2,Governor,,,Overvotes,0,1,1
Otsego,Otsego 1,Governor,,,Overvotes,0,0,0
Otsego,Otsego 2,Governor,,,Overvotes,0,0,0
Otsego,Otsego  3,Governor,,,Overvotes,0,0,0
Otsego,Pittsfield 1,Governor,,,Overvotes,0,0,0
Otsego,Pittsfield 2,Governor,,,Overvotes,0,0,0
Otsego,Plainfield 1,Governor,,,Overvotes,0,0,0
Otsego,Richfield 1,Governor,,,Overvotes,0,0,0
Otsego,Richfield 2,Governor,,,Overvotes,0,0,0
Otsego,Roseboom 1,Governor,,,Overvotes,0,0,0
Otsego,Springfield 1,Governor,,,Overvotes,0,0,1
Otsego,Unadilla 1,Governor,,,Overvotes,0,0,0
Otsego,Unadilla  2,Governor,,,Overvotes,0,0,0
Otsego,Unadilla 3,Governor,,,Overvotes,0,0,0
Otsego,Westford 1,Governor,,,Overvotes,0,0,0
Otsego,Worcester 1,Governor,,,Overvotes,0,1,0
Otsego,Worcester 2,Governor,,,Overvotes,0,0,0
Otsego,Worcester 3,Governor,,,Overvotes,0,0,0
Otsego,Ward 1 1,Governor,,,Write-In,0,1,1
Otsego,Ward 2 1,Governor,,,Write-In,1,0,0
Otsego,Ward 3 1,Governor,,,Write-In,0,2,0
Otsego,Ward 4 1,Governor,,,Write-In,0,0,0
Otsego,Ward 5 1,Governor,,,Write-In,0,0,0
Otsego,Ward 6 1,Governor,,,Write-In,0,2,0
Otsego,Ward 7 1,Governor,,,Write-In,0,0,0
Otsego,Ward 8 1,Governor,,,Write-In,0,0,0
Otsego,Burlington 1,Governor,,,Write-In,0,1,0
Otsego,Butternuts 1,Governor,,,Write-In,0,0,0
Otsego,Butternuts  2,Governor,,,Write-In,0,0,0
Otsego,Cherry Valley 1,Governor,,,Write-In,0,2,0
Otsego,Decatur 1,Governor,,,Write-In,0,0,0
Otsego,Edmeston 1,Governor,,,Write-In,0,2,0
Otsego,Exeter 1,Governor,,,Write-In,0,2,0
Otsego,Hartwick 1,Governor,,,Write-In,0,0,0
Otsego,Hartwick 2,Governor,,,Write-In,0,1,0
Otsego,Laurens  1,Governor,,,Write-In,0,0,0
Otsego,Laurens  2,Governor,,,Write-In,1,0,0
Otsego,Maryland 1,Governor,,,Write-In,0,0,0
Otsego,Maryland  2,Governor,,,Write-In,0,0,1
Otsego,Middlefield 1,Governor,,,Write-In,0,0,0
Otsego,Middlefield 2,Governor,,,Write-In,2,3,0
Otsego,Milford 1,Governor,,,Write-In,0,2,0
Otsego,Milford 2,Governor,,,Write-In,0,0,0
Otsego,Morris 1,Governor,,,Write-In,0,0,0
Otsego,New Lisbon 1,Governor,,,Write-In,0,0,0
Otsego,Oneonta 1,Governor,,,Write-In,0,2,0
Otsego,Oneonta 2,Governor,,,Write-In,0,0,0
Otsego,Oneonta  3,Governor,,,Write-In,0,0,0
Otsego,Oneonta  4,Governor,,,Write-In,0,2,0
Otsego,Otego 1,Governor,,,Write-In,0,0,0
Otsego,Otego 2,Governor,,,Write-In,0,0,0
Otsego,Otsego 1,Governor,,,Write-In,0,1,0
Otsego,Otsego 2,Governor,,,Write-In,0,2,0
Otsego,Otsego  3,Governor,,,Write-In,0,1,1
Otsego,Pittsfield 1,Governor,,,Write-In,0,1,0
Otsego,Pittsfield 2,Governor,,,Write-In,0,0,0
Otsego,Plainfield 1,Governor,,,Write-In,0,1,0
Otsego,Richfield 1,Governor,,,Write-In,0,1,0
Otsego,Richfield 2,Governor,,,Write-In,0,1,0
Otsego,Roseboom 1,Governor,,,Write-In,0,1,0
Otsego,Springfield 1,Governor,,,Write-In,1,5,3
Otsego,Unadilla 1,Governor,,,Write-In,0,1,0
Otsego,Unadilla  2,Governor,,,Write-In,0,1,0
Otsego,Unadilla 3,Governor,,,Write-In,0,0,0
Otsego,Westford 1,Governor,,,Write-In,0,0,1
Otsego,Worcester 1,Governor,,,Write-In,0,1,0
Otsego,Worcester 2,Governor,,,Write-In,0,0,1
Otsego,Worcester 3,Governor,,,Write-In,0,0,0
Otsego,Ward 1 1,Comptroller,,DEM,Thomas P. DiNapoli,132,191,24
Otsego,Ward 2 1,Comptroller,,DEM,Thomas P. DiNapoli,110,162,24
Otsego,Ward 3 1,Comptroller,,DEM,Thomas P. DiNapoli,73,63,25
Otsego,Ward 4 1,Comptroller,,DEM,Thomas P. DiNapoli,61,88,23
Otsego,Ward 5 1,Comptroller,,DEM,Thomas P. DiNapoli,64,104,20
Otsego,Ward 6 1,Comptroller,,DEM,Thomas P. DiNapoli,87,121,39
Otsego,Ward 7 1,Comptroller,,DEM,Thomas P. DiNapoli,60,97,8
Otsego,Ward 8 1,Comptroller,,DEM,Thomas P. DiNapoli,52,89,19
Otsego,Burlington 1,Comptroller,,DEM,Thomas P. DiNapoli,5,93,17
Otsego,Butternuts 1,Comptroller,,DEM,Thomas P. DiNapoli,8,65,18
Otsego,Butternuts  2,Comptroller,,DEM,Thomas P. DiNapoli,23,124,44
Otsego,Cherry Valley 1,Comptroller,,DEM,Thomas P. DiNapoli,23,195,30
Otsego,Decatur 1,Comptroller,,DEM,Thomas P. DiNapoli,3,35,5
Otsego,Edmeston 1,Comptroller,,DEM,Thomas P. DiNapoli,14,140,17
Otsego,Exeter 1,Comptroller,,DEM,Thomas P. DiNapoli,13,78,8
Otsego,Hartwick 1,Comptroller,,DEM,Thomas P. DiNapoli,35,175,17
Otsego,Hartwick 2,Comptroller,,DEM,Thomas P. DiNapoli,28,85,7
Otsego,Laurens  1,Comptroller,,DEM,Thomas P. DiNapoli,26,102,22
Otsego,Laurens  2,Comptroller,,DEM,Thomas P. DiNapoli,45,140,24
Otsego,Maryland 1,Comptroller,,DEM,Thomas P. DiNapoli,14,63,10
Otsego,Maryland  2,Comptroller,,DEM,Thomas P. DiNapoli,15,84,12
Otsego,Middlefield 1,Comptroller,,DEM,Thomas P. DiNapoli,99,127,32
Otsego,Middlefield 2,Comptroller,,DEM,Thomas P. DiNapoli,81,136,16
Otsego,Milford 1,Comptroller,,DEM,Thomas P. DiNapoli,43,120,17
Otsego,Milford 2,Comptroller,,DEM,Thomas P. DiNapoli,63,195,30
Otsego,Morris 1,Comptroller,,DEM,Thomas P. DiNapoli,27,179,29
Otsego,New Lisbon 1,Comptroller,,DEM,Thomas P. DiNapoli,19,128,15
Otsego,Oneonta 1,Comptroller,,DEM,Thomas P. DiNapoli,70,201,48
Otsego,Oneonta 2,Comptroller,,DEM,Thomas P. DiNapoli,99,190,32
Otsego,Oneonta  3,Comptroller,,DEM,Thomas P. DiNapoli,82,134,22
Otsego,Oneonta  4,Comptroller,,DEM,Thomas P. DiNapoli,43,99,21
Otsego,Otego 1,Comptroller,,DEM,Thomas P. DiNapoli,11,112,12
Otsego,Otego 2,Comptroller,,DEM,Thomas P. DiNapoli,29,169,23
Otsego,Otsego 1,Comptroller,,DEM,Thomas P. DiNapoli,114,253,40
Otsego,Otsego 2,Comptroller,,DEM,Thomas P. DiNapoli,85,194,36
Otsego,Otsego  3,Comptroller,,DEM,Thomas P. DiNapoli,80,206,21
Otsego,Pittsfield 1,Comptroller,,DEM,Thomas P. DiNapoli,2,99,6
Otsego,Pittsfield 2,Comptroller,,DEM,Thomas P. DiNapoli,1,5,3
Otsego,Plainfield 1,Comptroller,,DEM,Thomas P. DiNapoli,3,59,13
Otsego,Richfield 1,Comptroller,,DEM,Thomas P. DiNapoli,17,93,14
Otsego,Richfield 2,Comptroller,,DEM,Thomas P. DiNapoli,7,82,9
Otsego,Roseboom 1,Comptroller,,DEM,Thomas P. DiNapoli,16,94,10
Otsego,Springfield 1,Comptroller,,DEM,Thomas P. DiNapoli,21,150,24
Otsego,Unadilla 1,Comptroller,,DEM,Thomas P. DiNapoli,14,92,18
Otsego,Unadilla  2,Comptroller,,DEM,Thomas P. DiNapoli,17,158,28
Otsego,Unadilla 3,Comptroller,,DEM,Thomas P. DiNapoli,29,144,18
Otsego,Westford 1,Comptroller,,DEM,Thomas P. DiNapoli,14,85,7
