Orleans,precinct,office,district,party,candidate,votes
Orleans,Town of Ridgeway 1 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 2 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 3 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 4 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 5 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 6 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Ridgeway 7 LD 2,Governor,,,Write-Ins,1
Orleans,Town of Shelby 1 LD 1,Governor,,,Write-Ins,1
Orleans,Town of Shelby 2 LD 1,Governor,,,Write-Ins,0
Orleans,Town of Shelby 3 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Shelby 4 LD 1,Governor,,,Write-Ins,2
Orleans,Town of Yates 1 LD 2,Governor,,,Write-Ins,3
Orleans,Town of Yates 2 LD 2,Governor,,,Write-Ins,0
Orleans,Town of Albion 1 LD 3,Governor,,,Undervotes,3
Orleans,Town of Albion 2 LD 3,Governor,,,Undervotes,1
Orleans,Town of Albion 3 LD 3,Governor,,,Undervotes,1
Orleans,Town of Albion 4 LD 3,Governor,,,Undervotes,2
Orleans,Town of Albion 5 LD 3,Governor,,,Undervotes,3
Orleans,Town of Albion 6 LD 3,Governor,,,Undervotes,2
Orleans,Town of Barre 1 LD 1,Governor,,,Undervotes,2
Orleans,Town of Barre 2 LD 1,Governor,,,Undervotes,0
Orleans,Town of Carlton 1 LD 4,Governor,,,Undervotes,2
Orleans,Town of Carlton 2 LD 4,Governor,,,Undervotes,0
Orleans,Town of Carlton 3 LD 4,Governor,,,Undervotes,2
Orleans,Town of Clarendon 1 LD 1,Governor,,,Undervotes,8
Orleans,Town of Clarendon 2 LD 1,Governor,,,Undervotes,1
Orleans,Town of Clarendon 3 LD 1,Governor,,,Undervotes,2
Orleans,Town of Gaines 1 LD 3,Governor,,,Undervotes,7
Orleans,Town of Gaines 2 LD 3,Governor,,,Undervotes,2
Orleans,Town of Gaines 3 LD 3,Governor,,,Undervotes,1
Orleans,Town of Gaines 4 LD 3,Governor,,,Undervotes,2
Orleans,Town of Kendall 1 LD 4,Governor,,,Undervotes,1
Orleans,Town of Kendall 2 LD 4,Governor,,,Undervotes,3
Orleans,Town of Kendall 3 LD 4,Governor,,,Undervotes,0
Orleans,Town of Murray 1 LD 4,Governor,,,Undervotes,1
Orleans,Town of Murray 2 LD 4,Governor,,,Undervotes,0
Orleans,Town of Murray 3 LD 4,Governor,,,Undervotes,1
Orleans,Town of Murray 4 LD 4,Governor,,,Undervotes,2
Orleans,Town of Murray 5 LD 4,Governor,,,Undervotes,1
Orleans,Town of Murray 6 LD 4,Governor,,,Undervotes,3
Orleans,Town of Ridgeway 1 LD 2,Governor,,,Undervotes,4
Orleans,Town of Ridgeway 2 LD 2,Governor,,,Undervotes,4
Orleans,Town of Ridgeway 3 LD 2,Governor,,,Undervotes,1
Orleans,Town of Ridgeway 4 LD 2,Governor,,,Undervotes,2
Orleans,Town of Ridgeway 5 LD 2,Governor,,,Undervotes,3
Orleans,Town of Ridgeway 6 LD 2,Governor,,,Undervotes,5
Orleans,Town of Ridgeway 7 LD 2,Governor,,,Undervotes,1
Orleans,Town of Shelby 1 LD 1,Governor,,,Undervotes,1
Orleans,Town of Shelby 2 LD 1,Governor,,,Undervotes,2
Orleans,Town of Shelby 3 LD 2,Governor,,,Undervotes,2
Orleans,Town of Shelby 4 LD 1,Governor,,,Undervotes,4
Orleans,Town of Yates 1 LD 2,Governor,,,Undervotes,0
Orleans,Town of Yates 2 LD 2,Governor,,,Undervotes,4
Orleans,Town of Albion 1 LD 3,Governor,,,Overvotes,0
Orleans,Town of Albion 2 LD 3,Governor,,,Overvotes,0
Orleans,Town of Albion 3 LD 3,Governor,,,Overvotes,1
Orleans,Town of Albion 4 LD 3,Governor,,,Overvotes,2
Orleans,Town of Albion 5 LD 3,Governor,,,Overvotes,0
Orleans,Town of Albion 6 LD 3,Governor,,,Overvotes,1
Orleans,Town of Barre 1 LD 1,Governor,,,Overvotes,0
Orleans,Town of Barre 2 LD 1,Governor,,,Overvotes,0
Orleans,Town of Carlton 1 LD 4,Governor,,,Overvotes,0
Orleans,Town of Carlton 2 LD 4,Governor,,,Overvotes,0
Orleans,Town of Carlton 3 LD 4,Governor,,,Overvotes,0
Orleans,Town of Clarendon 1 LD 1,Governor,,,Overvotes,0
Orleans,Town of Clarendon 2 LD 1,Governor,,,Overvotes,1
Orleans,Town of Clarendon 3 LD 1,Governor,,,Overvotes,0
Orleans,Town of Gaines 1 LD 3,Governor,,,Overvotes,0
Orleans,Town of Gaines 2 LD 3,Governor,,,Overvotes,2
Orleans,Town of Gaines 3 LD 3,Governor,,,Overvotes,0
Orleans,Town of Gaines 4 LD 3,Governor,,,Overvotes,0
Orleans,Town of Kendall 1 LD 4,Governor,,,Overvotes,0
Orleans,Town of Kendall 2 LD 4,Governor,,,Overvotes,0
Orleans,Town of Kendall 3 LD 4,Governor,,,Overvotes,0
Orleans,Town of Murray 1 LD 4,Governor,,,Overvotes,0
Orleans,Town of Murray 2 LD 4,Governor,,,Overvotes,0
Orleans,Town of Murray 3 LD 4,Governor,,,Overvotes,0
Orleans,Town of Murray 4 LD 4,Governor,,,Overvotes,1
Orleans,Town of Murray 5 LD 4,Governor,,,Overvotes,0
Orleans,Town of Murray 6 LD 4,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 1 LD 2,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 2 LD 2,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 3 LD 2,Governor,,,Overvotes,2
Orleans,Town of Ridgeway 4 LD 2,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 5 LD 2,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 6 LD 2,Governor,,,Overvotes,0
Orleans,Town of Ridgeway 7 LD 2,Governor,,,Overvotes,0
Orleans,Town of Shelby 1 LD 1,Governor,,,Overvotes,0
Orleans,Town of Shelby 2 LD 1,Governor,,,Overvotes,0
Orleans,Town of Shelby 3 LD 2,Governor,,,Overvotes,0
Orleans,Town of Shelby 4 LD 1,Governor,,,Overvotes,1
Orleans,Town of Yates 1 LD 2,Governor,,,Overvotes,0
Orleans,Town of Yates 2 LD 2,Governor,,,Overvotes,0
Orleans,Town of Albion 1 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,66
Orleans,Town of Albion 2 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,125
Orleans,Town of Albion 3 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,79
Orleans,Town of Albion 4 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,86
Orleans,Town of Albion 5 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,84
Orleans,Town of Albion 6 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,110
Orleans,Town of Barre 1 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,81
Orleans,Town of Barre 2 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,59
Orleans,Town of Carlton 1 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,111
Orleans,Town of Carlton 2 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,88
Orleans,Town of Carlton 3 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,103
Orleans,Town of Clarendon 1 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,135
Orleans,Town of Clarendon 2 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,95
Orleans,Town of Clarendon 3 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,83
Orleans,Town of Gaines 1 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,90
Orleans,Town of Gaines 2 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,75
Orleans,Town of Gaines 3 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,42
Orleans,Town of Gaines 4 LD 3,State Comptroller,,DEM,Thomas P. DiNapoli,111
Orleans,Town of Kendall 1 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,111
Orleans,Town of Kendall 2 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,84
Orleans,Town of Kendall 3 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,63
Orleans,Town of Murray 1 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,49
Orleans,Town of Murray 2 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,69
Orleans,Town of Murray 3 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,84
Orleans,Town of Murray 4 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,111
Orleans,Town of Murray 5 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,30
Orleans,Town of Murray 6 LD 4,State Comptroller,,DEM,Thomas P. DiNapoli,68
Orleans,Town of Ridgeway 1 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,66
Orleans,Town of Ridgeway 2 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,108
Orleans,Town of Ridgeway 3 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,63
Orleans,Town of Ridgeway 4 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,82
Orleans,Town of Ridgeway 5 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,122
Orleans,Town of Ridgeway 6 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,82
Orleans,Town of Ridgeway 7 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,64
Orleans,Town of Shelby 1 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,86
Orleans,Town of Shelby 2 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,112
Orleans,Town of Shelby 3 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,125
Orleans,Town of Shelby 4 LD 1,State Comptroller,,DEM,Thomas P. DiNapoli,133
Orleans,Town of Yates 1 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,111
Orleans,Town of Yates 2 LD 2,State Comptroller,,DEM,Thomas P. DiNapoli,79
Orleans,Town of Albion 1 LD 3,State Comptroller,,REP,Paul Rodriguez,139
Orleans,Town of Albion 2 LD 3,State Comptroller,,REP,Paul Rodriguez,156
Orleans,Town of Albion 3 LD 3,State Comptroller,,REP,Paul Rodriguez,135
Orleans,Town of Albion 4 LD 3,State Comptroller,,REP,Paul Rodriguez,83
Orleans,Town of Albion 5 LD 3,State Comptroller,,REP,Paul Rodriguez,163
Orleans,Town of Albion 6 LD 3,State Comptroller,,REP,Paul Rodriguez,267
Orleans,Town of Barre 1 LD 1,State Comptroller,,REP,Paul Rodriguez,236
Orleans,Town of Barre 2 LD 1,State Comptroller,,REP,Paul Rodriguez,249
Orleans,Town of Carlton 1 LD 4,State Comptroller,,REP,Paul Rodriguez,241
Orleans,Town of Carlton 2 LD 4,State Comptroller,,REP,Paul Rodriguez,215
Orleans,Town of Carlton 3 LD 4,State Comptroller,,REP,Paul Rodriguez,223
Orleans,Town of Clarendon 1 LD 1,State Comptroller,,REP,Paul Rodriguez,368
Orleans,Town of Clarendon 2 LD 1,State Comptroller,,REP,Paul Rodriguez,231
Orleans,Town of Clarendon 3 LD 1,State Comptroller,,REP,Paul Rodriguez,313
Orleans,Town of Gaines 1 LD 3,State Comptroller,,REP,Paul Rodriguez,136
Orleans,Town of Gaines 2 LD 3,State Comptroller,,REP,Paul Rodriguez,155
Orleans,Town of Gaines 3 LD 3,State Comptroller,,REP,Paul Rodriguez,148
Orleans,Town of Gaines 4 LD 3,State Comptroller,,REP,Paul Rodriguez,147
Orleans,Town of Kendall 1 LD 4,State Comptroller,,REP,Paul Rodriguez,279
Orleans,Town of Kendall 2 LD 4,State Comptroller,,REP,Paul Rodriguez,205
Orleans,Town of Kendall 3 LD 4,State Comptroller,,REP,Paul Rodriguez,223
Orleans,Town of Murray 1 LD 4,State Comptroller,,REP,Paul Rodriguez,158
Orleans,Town of Murray 2 LD 4,State Comptroller,,REP,Paul Rodriguez,142
Orleans,Town of Murray 3 LD 4,State Comptroller,,REP,Paul Rodriguez,171
Orleans,Town of Murray 4 LD 4,State Comptroller,,REP,Paul Rodriguez,235
Orleans,Town of Murray 5 LD 4,State Comptroller,,REP,Paul Rodriguez,141
Orleans,Town of Murray 6 LD 4,State Comptroller,,REP,Paul Rodriguez,165
Orleans,Town of Ridgeway 1 LD 2,State Comptroller,,REP,Paul Rodriguez,193
Orleans,Town of Ridgeway 2 LD 2,State Comptroller,,REP,Paul Rodriguez,185
Orleans,Town of Ridgeway 3 LD 2,State Comptroller,,REP,Paul Rodriguez,170
Orleans,Town of Ridgeway 4 LD 2,State Comptroller,,REP,Paul Rodriguez,109
Orleans,Town of Ridgeway 5 LD 2,State Comptroller,,REP,Paul Rodriguez,133
Orleans,Town of Ridgeway 6 LD 2,State Comptroller,,REP,Paul Rodriguez,260
Orleans,Town of Ridgeway 7 LD 2,State Comptroller,,REP,Paul Rodriguez,199
