party,office,county,assembly_district,election_district,district,candidate,votes
Conservative,Member of the Assembly,Richmond,62,88,,WRITE-IN,0.0
Conservative,Member of the Assembly,Richmond,62,9,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,1,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,1,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,1,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,10,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,10,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,10,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,11,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,11,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,11,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,12,,ANTHONY CATALANO,3
Conservative,Surrogate,Richmond,61,12,,RONALD CASTORINA JR.,2
Conservative,Surrogate,Richmond,61,12,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,13,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,13,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,13,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,14,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,14,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,61,14,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,15,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,15,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,15,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,16,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,16,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,16,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,17,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,17,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,17,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,18,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,18,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,18,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,19,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,19,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,19,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,2,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,2,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,2,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,20,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,20,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,20,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,21,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,21,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,21,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,22,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,22,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,22,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,23,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,23,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,23,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,24,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,24,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,24,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,25,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,25,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,25,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,26,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,26,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,26,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,27,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,27,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,27,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,28,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,28,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,28,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,29,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,29,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,29,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,3,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,3,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,3,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,30,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,30,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,30,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,31,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,31,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,31,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,32,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,32,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,32,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,33,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,33,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,61,33,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,34,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,34,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,34,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,35,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,35,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,35,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,36,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,36,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,36,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,37,,ANTHONY CATALANO,8
Conservative,Surrogate,Richmond,61,37,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,37,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,38,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,38,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,38,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,39,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,39,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,39,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,4,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,4,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,4,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,40,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,40,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,40,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,41,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,41,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,61,41,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,42,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,42,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,42,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,43,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,43,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,43,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,44,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,44,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,44,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,45,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,45,,RONALD CASTORINA JR.,2
Conservative,Surrogate,Richmond,61,45,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,46,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,61,46,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,46,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,47,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,47,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,47,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,48,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,48,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,48,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,49,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,49,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,49,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,5,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,5,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,5,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,50,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,50,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,50,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,51,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,51,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,51,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,52,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,52,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,52,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,53,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,53,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,53,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,54,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,54,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,54,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,55,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,55,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,55,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,56,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,56,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,56,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,57,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,57,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,57,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,58,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,58,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,58,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,59,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,59,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,59,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,6,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,6,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,6,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,60,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,60,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,60,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,61,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,61,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,61,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,62,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,62,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,62,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,63,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,63,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,63,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,64,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,64,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,64,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,65,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,65,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,65,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,66,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,66,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,66,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,67,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,67,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,67,,WRITE-IN,1.0
Conservative,Surrogate,Richmond,61,68,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,68,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,68,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,69,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,69,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,69,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,7,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,7,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,7,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,70,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,70,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,70,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,71,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,61,71,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,71,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,72,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,72,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,72,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,73,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,73,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,61,73,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,74,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,74,,RONALD CASTORINA JR.,2
Conservative,Surrogate,Richmond,61,74,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,75,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,75,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,75,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,76,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,76,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,76,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,77,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,77,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,77,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,78,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,78,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,78,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,79,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,79,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,79,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,8,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,8,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,8,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,61,9,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,61,9,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,61,9,,WRITE-IN,0.0
Conservative,Surrogate,Richmond,62,1,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,1,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,62,1,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,10,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,10,,RONALD CASTORINA JR.,2
Conservative,Surrogate,Richmond,62,10,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,11,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,11,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,11,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,12,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,12,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,12,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,13,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,13,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,13,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,14,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,14,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,14,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,15,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,15,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,62,15,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,16,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,16,,RONALD CASTORINA JR.,2
Conservative,Surrogate,Richmond,62,16,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,17,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,17,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,17,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,18,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,18,,RONALD CASTORINA JR.,3
Conservative,Surrogate,Richmond,62,18,,WRITE-IN,2
Conservative,Surrogate,Richmond,62,19,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,19,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,19,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,2,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,2,,RONALD CASTORINA JR.,5
Conservative,Surrogate,Richmond,62,2,,WRITE-IN,1
Conservative,Surrogate,Richmond,62,20,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,20,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,20,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,21,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,21,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,21,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,22,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,22,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,22,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,23,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,62,23,,RONALD CASTORINA JR.,8
Conservative,Surrogate,Richmond,62,23,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,24,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,24,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,24,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,25,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,25,,RONALD CASTORINA JR.,9
Conservative,Surrogate,Richmond,62,25,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,26,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,26,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,26,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,27,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,27,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,27,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,28,,ANTHONY CATALANO,1
Conservative,Surrogate,Richmond,62,28,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,28,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,29,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,29,,RONALD CASTORINA JR.,1
Conservative,Surrogate,Richmond,62,29,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,3,,ANTHONY CATALANO,2
Conservative,Surrogate,Richmond,62,3,,RONALD CASTORINA JR.,4
Conservative,Surrogate,Richmond,62,3,,WRITE-IN,0
Conservative,Surrogate,Richmond,62,30,,ANTHONY CATALANO,0
Conservative,Surrogate,Richmond,62,30,,RONALD CASTORINA JR.,0
Conservative,Surrogate,Richmond,62,30,,WRITE-IN,0
