county,precinct,office,district,candidate,party,votes,,
,Horicon Ward: 000 002,Governor,,Ballots Cast,,363,,
Warren,Johnsburg Ward: 000 001,Governor,,Ballots Cast,,287,,27
Warren,Johnsburg Ward: 000 002,Governor,,Ballots Cast,,269,,28
Warren,Johnsburg Ward: 000 003,Governor,,Ballots Cast,,173,,29
Warren,Lake George Ward: 000 001,Governor,,Ballots Cast,,489,,30
Warren,Lake George Ward: 000 002,Governor,,Ballots Cast,,249,,31
Warren,Lake George Ward: 000 003,Governor,,Ballots Cast,,420,,32
Warren,LakeLuzerne Ward: 000 001,Governor,,Ballots Cast,,350,,33
Warren,LakeLuzerne Ward: 000 002,Governor,,Ballots Cast,,345,,34
Warren,LakeLuzerne Ward: 000 003,Governor,,Ballots Cast,,321,,35
Warren,Queensbury Ward: 001 001,Governor,,Ballots Cast,,395,,36
Warren,Queensbury Ward: 001 002,Governor,,Ballots Cast,,440,,37
Warren,Queensbury Ward: 001 003,Governor,,Ballots Cast,,313,,38
Warren,Queensbury Ward: 001 004,Governor,,Ballots Cast,,291,,39
Warren,Queensbury Ward: 001 005,Governor,,Ballots Cast,,279,,40
Warren,Queensbury Ward: 001 006,Governor,,Ballots Cast,,214,,41
Warren,Queensbury Ward: 002 001,Governor,,Ballots Cast,,117,,42
Warren,Queensbury Ward: 002 002,Governor,,Ballots Cast,,474,,43
Warren,Queensbury Ward: 002 003,Governor,,Ballots Cast,,377,,44
Warren,Queensbury Ward: 002 004,Governor,,Ballots Cast,,328,,45
Warren,Queensbury Ward: 002 005,Governor,,Ballots Cast,,227,,46
Warren,Queensbury Ward: 002 006,Governor,,Ballots Cast,,306,,47
Warren,Queensbury Ward: 003 001,Governor,,Ballots Cast,,309,,48
Warren,Queensbury Ward: 003 002,Governor,,Ballots Cast,,435,,49
Warren,Queensbury Ward: 003 003,Governor,,Ballots Cast,,227,,50
Warren,Queensbury Ward: 003 004,Governor,,Ballots Cast,,202,,51
Warren,Queensbury Ward: 003 005,Governor,,Ballots Cast,,267,,52
Warren,Queensbury Ward: 003 006,Governor,,Ballots Cast,,459,,53
Warren,Queensbury Ward: 004 001,Governor,,Ballots Cast,,299,,54
Warren,Queensbury Ward: 004 002,Governor,,Ballots Cast,,249,,55
Warren,Queensbury Ward: 004 003,Governor,,Ballots Cast,,193,,56
Warren,Queensbury Ward: 004 004,Governor,,Ballots Cast,,245,,57
Warren,Queensbury Ward: 004 005,Governor,,Ballots Cast,,305,,58
Warren,Queensbury Ward: 004 006,Governor,,Ballots Cast,,358,,59
Warren,Queensbury Ward: 004 007,Governor,,Ballots Cast,,277,,60
Warren,Queensbury Ward: 004 008,Governor,,Ballots Cast,,362,,61
Warren,Queensbury Ward: 004 009,Governor,,Ballots Cast,,323,,62
Warren,Queensbury Ward: 004 010,Governor,,Ballots Cast,,295,,63
Warren,Stony Creek Ward: 000 001,Governor,,Ballots Cast,,311,,64
Warren,Thurman Ward: 000 001,Governor,,Ballots Cast,,390,,65
Warren,Warrensburg Ward: 000 001,Governor,,Ballots Cast,,209,,66
Warren,Warrensburg Ward: 000 002,Governor,,Ballots Cast,,251,,67
Warren,Warrensburg Ward: 000 003,Governor,,Ballots Cast,,320,,68
Warren,Warrensburg Ward: 000 004,Governor,,Ballots Cast,,200,,69
Warren,Total,Governor,,Ballots Cast,,19664,,70
Warren,Bolton Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,107,,1
Warren,Bolton Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,145,,2
Warren,Chester Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,100,,3
Warren,Chester Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,95,,4
Warren,Chester Ward: 000 003,Governor,,Andrew W. Cuomo,DEM,74,,5
Warren,Glens Falls Ward: 001 001,Governor,,Andrew W. Cuomo,DEM,60,,6
Warren,Glens Falls Ward: 001 002,Governor,,Andrew W. Cuomo,DEM,23,,7
Warren,Glens Falls Ward: 001 003,Governor,,Andrew W. Cuomo,DEM,47,,8
Warren,Glens Falls Ward: 001 004,Governor,,Andrew W. Cuomo,DEM,35,,9
Warren,Glens Falls Ward: 002 001,Governor,,Andrew W. Cuomo,DEM,106,,10
Warren,Glens Falls Ward: 002 002,Governor,,Andrew W. Cuomo,DEM,91,,11
Warren,Glens Falls Ward: 002 003,Governor,,Andrew W. Cuomo,DEM,86,,12
Warren,Glens Falls Ward: 002 004,Governor,,Andrew W. Cuomo,DEM,99,,13
Warren,Glens Falls Ward: 003 001,Governor,,Andrew W. Cuomo,DEM,49,,14
Warren,Glens Falls Ward: 003 002,Governor,,Andrew W. Cuomo,DEM,59,,15
Warren,Glens Falls Ward: 003 003,Governor,,Andrew W. Cuomo,DEM,60,,16
Warren,Glens Falls Ward: 003 004,Governor,,Andrew W. Cuomo,DEM,148,,17
Warren,Glens Falls Ward: 003 005,Governor,,Andrew W. Cuomo,DEM,87,,18
Warren,Glens Falls Ward: 004 001,Governor,,Andrew W. Cuomo,DEM,18,,19
Warren,Glens Falls Ward: 004 002,Governor,,Andrew W. Cuomo,DEM,31,,20
Warren,Glens Falls Ward: 004 003,Governor,,Andrew W. Cuomo,DEM,82,,21
Warren,Glens Falls Ward: 005 001,Governor,,Andrew W. Cuomo,DEM,40,,22
Warren,Glens Falls Ward: 005 002,Governor,,Andrew W. Cuomo,DEM,41,,23
Warren,Glens Falls Ward: 005 003,Governor,,Andrew W. Cuomo,DEM,159,,24
Warren,Hague Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,139,,25
Warren,Horicon Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,71,,26
Warren,Horicon Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,94,,
Warren,Johnsburg Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,60,,27
Warren,Johnsburg Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,96,,28
Warren,Johnsburg Ward: 000 003,Governor,,Andrew W. Cuomo,DEM,41,,29
Warren,Lake George Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,148,,30
Warren,Lake George Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,86,,31
Warren,Lake George Ward: 000 003,Governor,,Andrew W. Cuomo,DEM,120,,32
Warren,LakeLuzerne Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,58,,33
Warren,LakeLuzerne Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,83,,34
Warren,LakeLuzerne Ward: 000 003,Governor,,Andrew W. Cuomo,DEM,63,,35
Warren,Queensbury Ward: 001 001,Governor,,Andrew W. Cuomo,DEM,106,,36
Warren,Queensbury Ward: 001 002,Governor,,Andrew W. Cuomo,DEM,107,,37
Warren,Queensbury Ward: 001 003,Governor,,Andrew W. Cuomo,DEM,102,,38
Warren,Queensbury Ward: 001 004,Governor,,Andrew W. Cuomo,DEM,78,,39
Warren,Queensbury Ward: 001 005,Governor,,Andrew W. Cuomo,DEM,84,,40
Warren,Queensbury Ward: 001 006,Governor,,Andrew W. Cuomo,DEM,63,,41
Warren,Queensbury Ward: 002 001,Governor,,Andrew W. Cuomo,DEM,32,,42
Warren,Queensbury Ward: 002 002,Governor,,Andrew W. Cuomo,DEM,198,,43
Warren,Queensbury Ward: 002 003,Governor,,Andrew W. Cuomo,DEM,125,,44
Warren,Queensbury Ward: 002 004,Governor,,Andrew W. Cuomo,DEM,96,,45
Warren,Queensbury Ward: 002 005,Governor,,Andrew W. Cuomo,DEM,79,,46
Warren,Queensbury Ward: 002 006,Governor,,Andrew W. Cuomo,DEM,109,,47
Warren,Queensbury Ward: 003 001,Governor,,Andrew W. Cuomo,DEM,98,,48
Warren,Queensbury Ward: 003 002,Governor,,Andrew W. Cuomo,DEM,113,,49
Warren,Queensbury Ward: 003 003,Governor,,Andrew W. Cuomo,DEM,92,,50
Warren,Queensbury Ward: 003 004,Governor,,Andrew W. Cuomo,DEM,62,,51
Warren,Queensbury Ward: 003 005,Governor,,Andrew W. Cuomo,DEM,80,,52
Warren,Queensbury Ward: 003 006,Governor,,Andrew W. Cuomo,DEM,132,,53
Warren,Queensbury Ward: 004 001,Governor,,Andrew W. Cuomo,DEM,84,,54
Warren,Queensbury Ward: 004 002,Governor,,Andrew W. Cuomo,DEM,75,,55
Warren,Queensbury Ward: 004 003,Governor,,Andrew W. Cuomo,DEM,50,,56
Warren,Queensbury Ward: 004 004,Governor,,Andrew W. Cuomo,DEM,81,,57
Warren,Queensbury Ward: 004 005,Governor,,Andrew W. Cuomo,DEM,95,,58
Warren,Queensbury Ward: 004 006,Governor,,Andrew W. Cuomo,DEM,105,,59
Warren,Queensbury Ward: 004 007,Governor,,Andrew W. Cuomo,DEM,80,,60
Warren,Queensbury Ward: 004 008,Governor,,Andrew W. Cuomo,DEM,127,,61
Warren,Queensbury Ward: 004 009,Governor,,Andrew W. Cuomo,DEM,100,,62
Warren,Queensbury Ward: 004 010,Governor,,Andrew W. Cuomo,DEM,74,,63
Warren,Stony Creek Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,49,,64
Warren,Thurman Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,76,,65
Warren,Warrensburg Ward: 000 001,Governor,,Andrew W. Cuomo,DEM,46,,66
Warren,Warrensburg Ward: 000 002,Governor,,Andrew W. Cuomo,DEM,49,,67
Warren,Warrensburg Ward: 000 003,Governor,,Andrew W. Cuomo,DEM,92,,68
Warren,Warrensburg Ward: 000 004,Governor,,Andrew W. Cuomo,DEM,64,,69
Warren,Total,Governor,,Andrew W. Cuomo,DEM,5904,,70
Warren,Bolton Ward: 000 001,Governor,,Rob Astorino,REP,198,,1
Warren,Bolton Ward: 000 002,Governor,,Rob Astorino,REP,247,,2
Warren,Chester Ward: 000 001,Governor,,Rob Astorino,REP,170,,3
Warren,Chester Ward: 000 002,Governor,,Rob Astorino,REP,212,,4
Warren,Chester Ward: 000 003,Governor,,Rob Astorino,REP,162,,5
Warren,Glens Falls Ward: 001 001,Governor,,Rob Astorino,REP,37,,6
Warren,Glens Falls Ward: 001 002,Governor,,Rob Astorino,REP,24,,7
Warren,Glens Falls Ward: 001 003,Governor,,Rob Astorino,REP,35,,8
Warren,Glens Falls Ward: 001 004,Governor,,Rob Astorino,REP,41,,9
Warren,Glens Falls Ward: 002 001,Governor,,Rob Astorino,REP,58,,10
Warren,Glens Falls Ward: 002 002,Governor,,Rob Astorino,REP,71,,11
Warren,Glens Falls Ward: 002 003,Governor,,Rob Astorino,REP,98,,12
Warren,Glens Falls Ward: 002 004,Governor,,Rob Astorino,REP,117,,13
Warren,Glens Falls Ward: 003 001,Governor,,Rob Astorino,REP,48,,14
Warren,Glens Falls Ward: 003 002,Governor,,Rob Astorino,REP,41,,15
Warren,Glens Falls Ward: 003 003,Governor,,Rob Astorino,REP,65,,16
Warren,Glens Falls Ward: 003 004,Governor,,Rob Astorino,REP,135,,17
Warren,Glens Falls Ward: 003 005,Governor,,Rob Astorino,REP,90,,18
Warren,Glens Falls Ward: 004 001,Governor,,Rob Astorino,REP,18,,19
Warren,Glens Falls Ward: 004 002,Governor,,Rob Astorino,REP,16,,20
Warren,Glens Falls Ward: 004 003,Governor,,Rob Astorino,REP,65,,21
Warren,Glens Falls Ward: 005 001,Governor,,Rob Astorino,REP,64,,22
Warren,Glens Falls Ward: 005 002,Governor,,Rob Astorino,REP,45,,23
Warren,Glens Falls Ward: 005 003,Governor,,Rob Astorino,REP,154,,24
Warren,Hague Ward: 000 001,Governor,,Rob Astorino,REP,123,,25
Warren,Horicon Ward: 000 001,Governor,,Rob Astorino,REP,127,,26
Warren,Horicon Ward: 000 002,Governor,,Rob Astorino,REP,182,,
Warren,Johnsburg Ward: 000 001,Governor,,Rob Astorino,REP,150,,27
Warren,Johnsburg Ward: 000 002,Governor,,Rob Astorino,REP,106,,28
Warren,Johnsburg Ward: 000 003,Governor,,Rob Astorino,REP,95,,29
Warren,Lake George Ward: 000 001,Governor,,Rob Astorino,REP,230,,30
Warren,Lake George Ward: 000 002,Governor,,Rob Astorino,REP,100,,31
Warren,Lake George Ward: 000 003,Governor,,Rob Astorino,REP,196,,32
Warren,LakeLuzerne Ward: 000 001,Governor,,Rob Astorino,REP,205,,33
Warren,LakeLuzerne Ward: 000 002,Governor,,Rob Astorino,REP,167,,34
Warren,LakeLuzerne Ward: 000 003,Governor,,Rob Astorino,REP,169,,35
Warren,Queensbury Ward: 001 001,Governor,,Rob Astorino,REP,193,,36
Warren,Queensbury Ward: 001 002,Governor,,Rob Astorino,REP,237,,37
Warren,Queensbury Ward: 001 003,Governor,,Rob Astorino,REP,152,,38
Warren,Queensbury Ward: 001 004,Governor,,Rob Astorino,REP,144,,39
Warren,Queensbury Ward: 001 005,Governor,,Rob Astorino,REP,119,,40
Warren,Queensbury Ward: 001 006,Governor,,Rob Astorino,REP,100,,41
Warren,Queensbury Ward: 002 001,Governor,,Rob Astorino,REP,60,,42
Warren,Queensbury Ward: 002 002,Governor,,Rob Astorino,REP,186,,43
Warren,Queensbury Ward: 002 003,Governor,,Rob Astorino,REP,158,,44
Warren,Queensbury Ward: 002 004,Governor,,Rob Astorino,REP,155,,45
Warren,Queensbury Ward: 002 005,Governor,,Rob Astorino,REP,84,,46
Warren,Queensbury Ward: 002 006,Governor,,Rob Astorino,REP,148,,47
Warren,Queensbury Ward: 003 001,Governor,,Rob Astorino,REP,126,,48
Warren,Queensbury Ward: 003 002,Governor,,Rob Astorino,REP,215,,49
Warren,Queensbury Ward: 003 003,Governor,,Rob Astorino,REP,83,,50
Warren,Queensbury Ward: 003 004,Governor,,Rob Astorino,REP,83,,51
Warren,Queensbury Ward: 003 005,Governor,,Rob Astorino,REP,132,,52
Warren,Queensbury Ward: 003 006,Governor,,Rob Astorino,REP,207,,53
Warren,Queensbury Ward: 004 001,Governor,,Rob Astorino,REP,140,,54
Warren,Queensbury Ward: 004 002,Governor,,Rob Astorino,REP,111,,55
Warren,Queensbury Ward: 004 003,Governor,,Rob Astorino,REP,92,,56
Warren,Queensbury Ward: 004 004,Governor,,Rob Astorino,REP,115,,57
Warren,Queensbury Ward: 004 005,Governor,,Rob Astorino,REP,116,,58
Warren,Queensbury Ward: 004 006,Governor,,Rob Astorino,REP,156,,59
Warren,Queensbury Ward: 004 007,Governor,,Rob Astorino,REP,135,,60
Warren,Queensbury Ward: 004 008,Governor,,Rob Astorino,REP,145,,61
Warren,Queensbury Ward: 004 009,Governor,,Rob Astorino,REP,141,,62
Warren,Queensbury Ward: 004 010,Governor,,Rob Astorino,REP,154,,63
Warren,Stony Creek Ward: 000 001,Governor,,Rob Astorino,REP,192,,64
Warren,Thurman Ward: 000 001,Governor,,Rob Astorino,REP,205,,65
Warren,Warrensburg Ward: 000 001,Governor,,Rob Astorino,REP,119,,66
Warren,Warrensburg Ward: 000 002,Governor,,Rob Astorino,REP,147,,67
Warren,Warrensburg Ward: 000 003,Governor,,Rob Astorino,REP,169,,68
Warren,Warrensburg Ward: 000 004,Governor,,Rob Astorino,REP,105,,69
Warren,Total,Governor,,Rob Astorino,REP,8885,,70
Warren,Bolton Ward: 000 001,Governor,,Rob Astorino,CON,32,,1
Warren,Bolton Ward: 000 002,Governor,,Rob Astorino,CON,37,,2
Warren,Chester Ward: 000 001,Governor,,Rob Astorino,CON,23,,3
Warren,Chester Ward: 000 002,Governor,,Rob Astorino,CON,41,,4
Warren,Chester Ward: 000 003,Governor,,Rob Astorino,CON,20,,5
Warren,Glens Falls Ward: 001 001,Governor,,Rob Astorino,CON,8,,6
Warren,Glens Falls Ward: 001 002,Governor,,Rob Astorino,CON,4,,7
Warren,Glens Falls Ward: 001 003,Governor,,Rob Astorino,CON,10,,8
Warren,Glens Falls Ward: 001 004,Governor,,Rob Astorino,CON,8,,9
Warren,Glens Falls Ward: 002 001,Governor,,Rob Astorino,CON,10,,10
Warren,Glens Falls Ward: 002 002,Governor,,Rob Astorino,CON,5,,11
Warren,Glens Falls Ward: 002 003,Governor,,Rob Astorino,CON,15,,12
Warren,Glens Falls Ward: 002 004,Governor,,Rob Astorino,CON,14,,13
Warren,Glens Falls Ward: 003 001,Governor,,Rob Astorino,CON,4,,14
Warren,Glens Falls Ward: 003 002,Governor,,Rob Astorino,CON,5,,15
Warren,Glens Falls Ward: 003 003,Governor,,Rob Astorino,CON,13,,16
Warren,Glens Falls Ward: 003 004,Governor,,Rob Astorino,CON,27,,17
Warren,Glens Falls Ward: 003 005,Governor,,Rob Astorino,CON,22,,18
Warren,Glens Falls Ward: 004 001,Governor,,Rob Astorino,CON,1,,19
Warren,Glens Falls Ward: 004 002,Governor,,Rob Astorino,CON,0,,20
Warren,Glens Falls Ward: 004 003,Governor,,Rob Astorino,CON,15,,21
Warren,Glens Falls Ward: 005 001,Governor,,Rob Astorino,CON,6,,22
Warren,Glens Falls Ward: 005 002,Governor,,Rob Astorino,CON,8,,23
Warren,Glens Falls Ward: 005 003,Governor,,Rob Astorino,CON,30,,24
Warren,Hague Ward: 000 001,Governor,,Rob Astorino,CON,17,,25
Warren,Horicon Ward: 000 001,Governor,,Rob Astorino,CON,25,,26
Warren,Horicon Ward: 000 002,Governor,,Rob Astorino,CON,24,,
Warren,Johnsburg Ward: 000 001,Governor,,Rob Astorino,CON,23,,27
Warren,Johnsburg Ward: 000 002,Governor,,Rob Astorino,CON,12,,28
Warren,Johnsburg Ward: 000 003,Governor,,Rob Astorino,CON,10,,29
Warren,Lake George Ward: 000 001,Governor,,Rob Astorino,CON,51,,30
Warren,Lake George Ward: 000 002,Governor,,Rob Astorino,CON,19,,31
Warren,Lake George Ward: 000 003,Governor,,Rob Astorino,CON,28,,32
Warren,LakeLuzerne Ward: 000 001,Governor,,Rob Astorino,CON,38,,33
Warren,LakeLuzerne Ward: 000 002,Governor,,Rob Astorino,CON,34,,34
Warren,LakeLuzerne Ward: 000 003,Governor,,Rob Astorino,CON,31,,35
Warren,Queensbury Ward: 001 001,Governor,,Rob Astorino,CON,37,,36
Warren,Queensbury Ward: 001 002,Governor,,Rob Astorino,CON,36,,37
Warren,Queensbury Ward: 001 003,Governor,,Rob Astorino,CON,16,,38
Warren,Queensbury Ward: 001 004,Governor,,Rob Astorino,CON,20,,39
Warren,Queensbury Ward: 001 005,Governor,,Rob Astorino,CON,24,,40
Warren,Queensbury Ward: 001 006,Governor,,Rob Astorino,CON,14,,41
Warren,Queensbury Ward: 002 001,Governor,,Rob Astorino,CON,6,,42
Warren,Queensbury Ward: 002 002,Governor,,Rob Astorino,CON,22,,43
Warren,Queensbury Ward: 002 003,Governor,,Rob Astorino,CON,25,,44
Warren,Queensbury Ward: 002 004,Governor,,Rob Astorino,CON,20,,45
Warren,Queensbury Ward: 002 005,Governor,,Rob Astorino,CON,13,,46
Warren,Queensbury Ward: 002 006,Governor,,Rob Astorino,CON,11,,47
Warren,Queensbury Ward: 003 001,Governor,,Rob Astorino,CON,26,,48
Warren,Queensbury Ward: 003 002,Governor,,Rob Astorino,CON,28,,49
Warren,Queensbury Ward: 003 003,Governor,,Rob Astorino,CON,11,,50
Warren,Queensbury Ward: 003 004,Governor,,Rob Astorino,CON,14,,51
Warren,Queensbury Ward: 003 005,Governor,,Rob Astorino,CON,21,,52
Warren,Queensbury Ward: 003 006,Governor,,Rob Astorino,CON,38,,53
Warren,Queensbury Ward: 004 001,Governor,,Rob Astorino,CON,28,,54
Warren,Queensbury Ward: 004 002,Governor,,Rob Astorino,CON,22,,55
Warren,Queensbury Ward: 004 003,Governor,,Rob Astorino,CON,19,,56
Warren,Queensbury Ward: 004 004,Governor,,Rob Astorino,CON,14,,57
Warren,Queensbury Ward: 004 005,Governor,,Rob Astorino,CON,19,,58
Warren,Queensbury Ward: 004 006,Governor,,Rob Astorino,CON,22,,59
Warren,Queensbury Ward: 004 007,Governor,,Rob Astorino,CON,23,,60
Warren,Queensbury Ward: 004 008,Governor,,Rob Astorino,CON,29,,61
Warren,Queensbury Ward: 004 009,Governor,,Rob Astorino,CON,32,,62
Warren,Queensbury Ward: 004 010,Governor,,Rob Astorino,CON,11,,63
Warren,Stony Creek Ward: 000 001,Governor,,Rob Astorino,CON,23,,64
Warren,Thurman Ward: 000 001,Governor,,Rob Astorino,CON,38,,65
Warren,Warrensburg Ward: 000 001,Governor,,Rob Astorino,CON,11,,66
Warren,Warrensburg Ward: 000 002,Governor,,Rob Astorino,CON,19,,67
Warren,Warrensburg Ward: 000 003,Governor,,Rob Astorino,CON,16,,68
Warren,Warrensburg Ward: 000 004,Governor,,Rob Astorino,CON,7,,69
Warren,Total,Governor,,Rob Astorino,CON,1385,,70
Warren,Bolton Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,9,,1
Warren,Bolton Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,3,,2
Warren,Chester Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,5,,3
Warren,Chester Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,4,,4
Warren,Chester Ward: 000 003,Governor,,Andrew W. Cuomo,WOR,1,,5
Warren,Glens Falls Ward: 001 001,Governor,,Andrew W. Cuomo,WOR,0,,6
Warren,Glens Falls Ward: 001 002,Governor,,Andrew W. Cuomo,WOR,1,,7
Warren,Glens Falls Ward: 001 003,Governor,,Andrew W. Cuomo,WOR,2,,8
Warren,Glens Falls Ward: 001 004,Governor,,Andrew W. Cuomo,WOR,3,,9
Warren,Glens Falls Ward: 002 001,Governor,,Andrew W. Cuomo,WOR,5,,10
Warren,Glens Falls Ward: 002 002,Governor,,Andrew W. Cuomo,WOR,6,,11
Warren,Glens Falls Ward: 002 003,Governor,,Andrew W. Cuomo,WOR,6,,12
Warren,Glens Falls Ward: 002 004,Governor,,Andrew W. Cuomo,WOR,5,,13
Warren,Glens Falls Ward: 003 001,Governor,,Andrew W. Cuomo,WOR,2,,14
Warren,Glens Falls Ward: 003 002,Governor,,Andrew W. Cuomo,WOR,1,,15
Warren,Glens Falls Ward: 003 003,Governor,,Andrew W. Cuomo,WOR,7,,16
Warren,Glens Falls Ward: 003 004,Governor,,Andrew W. Cuomo,WOR,7,,17
Warren,Glens Falls Ward: 003 005,Governor,,Andrew W. Cuomo,WOR,8,,18
Warren,Glens Falls Ward: 004 001,Governor,,Andrew W. Cuomo,WOR,4,,19
Warren,Glens Falls Ward: 004 002,Governor,,Andrew W. Cuomo,WOR,2,,20
Warren,Glens Falls Ward: 004 003,Governor,,Andrew W. Cuomo,WOR,5,,21
Warren,Glens Falls Ward: 005 001,Governor,,Andrew W. Cuomo,WOR,4,,22
Warren,Glens Falls Ward: 005 002,Governor,,Andrew W. Cuomo,WOR,1,,23
Warren,Glens Falls Ward: 005 003,Governor,,Andrew W. Cuomo,WOR,3,,24
Warren,Hague Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,5,,25
Warren,Horicon Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,2,,26
Warren,Horicon Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,2,,
Warren,Johnsburg Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,5,,27
Warren,Johnsburg Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,2,,28
Warren,Johnsburg Ward: 000 003,Governor,,Andrew W. Cuomo,WOR,3,,29
Warren,Lake George Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,7,,30
Warren,Lake George Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,3,,31
Warren,Lake George Ward: 000 003,Governor,,Andrew W. Cuomo,WOR,10,,32
Warren,LakeLuzerne Ward: 000 001,Governor,,Andrew W. Cuomo,WOR,1,,33
Warren,LakeLuzerne Ward: 000 002,Governor,,Andrew W. Cuomo,WOR,1,,34
Warren,LakeLuzerne Ward: 000 003,Governor,,Andrew W. Cuomo,WOR,5,,35
Warren,Queensbury Ward: 001 001,Governor,,Andrew W. Cuomo,WOR,3,,36
Warren,Queensbury Ward: 001 002,Governor,,Andrew W. Cuomo,WOR,7,,37
Warren,Queensbury Ward: 001 003,Governor,,Andrew W. Cuomo,WOR,5,,38
Warren,Queensbury Ward: 001 004,Governor,,Andrew W. Cuomo,WOR,2,,39
Warren,Queensbury Ward: 001 005,Governor,,Andrew W. Cuomo,WOR,3,,40
Warren,Queensbury Ward: 001 006,Governor,,Andrew W. Cuomo,WOR,3,,41
Warren,Queensbury Ward: 002 001,Governor,,Andrew W. Cuomo,WOR,0,,42
Warren,Queensbury Ward: 002 002,Governor,,Andrew W. Cuomo,WOR,3,,43
Warren,Queensbury Ward: 002 003,Governor,,Andrew W. Cuomo,WOR,3,,44
Warren,Queensbury Ward: 002 004,Governor,,Andrew W. Cuomo,WOR,5,,45
Warren,Queensbury Ward: 002 005,Governor,,Andrew W. Cuomo,WOR,9,,46
Warren,Queensbury Ward: 002 006,Governor,,Andrew W. Cuomo,WOR,4,,47
Warren,Queensbury Ward: 003 001,Governor,,Andrew W. Cuomo,WOR,7,,48
Warren,Queensbury Ward: 003 002,Governor,,Andrew W. Cuomo,WOR,7,,49
Warren,Queensbury Ward: 003 003,Governor,,Andrew W. Cuomo,WOR,5,,50
Warren,Queensbury Ward: 003 004,Governor,,Andrew W. Cuomo,WOR,0,,51
Warren,Queensbury Ward: 003 005,Governor,,Andrew W. Cuomo,WOR,3,,52
Warren,Queensbury Ward: 003 006,Governor,,Andrew W. Cuomo,WOR,6,,53
Warren,Queensbury Ward: 004 001,Governor,,Andrew W. Cuomo,WOR,2,,54
Warren,Queensbury Ward: 004 002,Governor,,Andrew W. Cuomo,WOR,1,,55
Warren,Queensbury Ward: 004 003,Governor,,Andrew W. Cuomo,WOR,4,,56
Warren,Queensbury Ward: 004 004,Governor,,Andrew W. Cuomo,WOR,2,,57
Warren,Queensbury Ward: 004 005,Governor,,Andrew W. Cuomo,WOR,5,,58
