precinct,office,district,candidate,party,votes
Clarkstown 1,State House,96,Under Votes,,163
Clarkstown 2,Ballots Cast,,,,677
Clarkstown 2,President,,Barack Obama,DEM,308
Clarkstown 2,President,,Mitt Romney,REP,315
Clarkstown 2,President,,Mitt Romney,CON,34
Clarkstown 2,President,,Barack Obama,WOR,13
Clarkstown 2,President,,Jill Stein,GRE,3
Clarkstown 2,President,,Peta Lindsay,PSL,0
Clarkstown 2,President,,Gary Johnson,LBT,2
Clarkstown 2,President,,Virgil Goode,CST,0
Clarkstown 2,President,,Write-ins,,0
Clarkstown 2,President,,Total,,675
Clarkstown 2,President,,Over Votes,,2
Clarkstown 2,President,,Under Votes,,0
Clarkstown 2,U.S. Senate,,Kirsten E. Gillibrand,DEM,343
Clarkstown 2,U.S. Senate,,Wendy Long,REP,213
Clarkstown 2,U.S. Senate,,Wendy Long,CON,28
Clarkstown 2,U.S. Senate,,Kirsten E. Gillibrand,WOR,31
Clarkstown 2,U.S. Senate,,Kirsten E. Gillibrand,IND,12
Clarkstown 2,U.S. Senate,,Colia Clark,GRE,6
Clarkstown 2,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 2,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 2,U.S. Senate,,Write-ins,,2
Clarkstown 2,U.S. Senate,,Total,,637
Clarkstown 2,U.S. Senate,,Over Votes,,2
Clarkstown 2,U.S. Senate,,Under Votes,,38
Clarkstown 2,U.S. House,17,Nita M. Lowey,DEM,315
Clarkstown 2,U.S. House,17,Joe Carvin,REP,273
Clarkstown 2,U.S. House,17,Nita M. Lowey,WOR,28
Clarkstown 2,U.S. House,17,Francis E. Morganthaler,WTP,5
Clarkstown 2,U.S. House,17,Write-ins,,0
Clarkstown 2,U.S. House,17,Total,,621
Clarkstown 2,U.S. House,17,Over Votes,,2
Clarkstown 2,U.S. House,17,Under Votes,,54
Clarkstown 2,State Senate,38,David Carlucci,DEM,388
Clarkstown 2,State Senate,38,Janis A. Castaldi,REP,198
Clarkstown 2,State Senate,38,David Carlucci,WOR,28
Clarkstown 2,State Senate,38,David Carlucci,IND,23
Clarkstown 2,State Senate,38,Write-ins,,0
Clarkstown 2,State Senate,38,Total,,637
Clarkstown 2,State Senate,38,Over Votes,,4
Clarkstown 2,State Senate,38,Under Votes,,36
Clarkstown 2,State House,96,Kenneth P. Zebrowski,DEM,366
Clarkstown 2,State House,96,Kenneth P. Zebrowski,WOR,42
Clarkstown 2,State House,96,Kenneth P. Zebrowski,IND,29
Clarkstown 2,State House,96,Write-ins,,3
Clarkstown 2,State House,96,Total,,440
Clarkstown 2,State House,96,Over Votes,,1
Clarkstown 2,State House,96,Under Votes,,236
Clarkstown 3,Ballots Cast,,,,350
Clarkstown 3,President,,Barack Obama,DEM,147
Clarkstown 3,President,,Mitt Romney,REP,166
Clarkstown 3,President,,Mitt Romney,CON,24
Clarkstown 3,President,,Barack Obama,WOR,6
Clarkstown 3,President,,Jill Stein,GRE,2
Clarkstown 3,President,,Peta Lindsay,PSL,0
Clarkstown 3,President,,Gary Johnson,LBT,4
Clarkstown 3,President,,Virgil Goode,CST,0
Clarkstown 3,President,,Write-ins,,0
Clarkstown 3,President,,Total,,349
Clarkstown 3,President,,Over Votes,,0
Clarkstown 3,President,,Under Votes,,1
Clarkstown 3,U.S. Senate,,Kirsten E. Gillibrand,DEM,168
Clarkstown 3,U.S. Senate,,Wendy Long,REP,108
Clarkstown 3,U.S. Senate,,Wendy Long,CON,25
Clarkstown 3,U.S. Senate,,Kirsten E. Gillibrand,WOR,15
Clarkstown 3,U.S. Senate,,Kirsten E. Gillibrand,IND,9
Clarkstown 3,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 3,U.S. Senate,,Chris Edes,LBT,4
Clarkstown 3,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 3,U.S. Senate,,Write-ins,,0
Clarkstown 3,U.S. Senate,,Total,,332
Clarkstown 3,U.S. Senate,,Over Votes,,0
Clarkstown 3,U.S. Senate,,Under Votes,,18
Clarkstown 3,U.S. House,17,Nita M. Lowey,DEM,139
Clarkstown 3,U.S. House,17,Joe Carvin,REP,156
Clarkstown 3,U.S. House,17,Nita M. Lowey,WOR,14
Clarkstown 3,U.S. House,17,Francis E. Morganthaler,WTP,6
Clarkstown 3,U.S. House,17,Write-ins,,0
Clarkstown 3,U.S. House,17,Total,,315
Clarkstown 3,U.S. House,17,Over Votes,,0
Clarkstown 3,U.S. House,17,Under Votes,,35
Clarkstown 3,State Senate,38,David Carlucci,DEM,199
Clarkstown 3,State Senate,38,Janis A. Castaldi,REP,100
Clarkstown 3,State Senate,38,David Carlucci,WOR,20
Clarkstown 3,State Senate,38,David Carlucci,IND,7
Clarkstown 3,State Senate,38,Write-ins,,0
Clarkstown 3,State Senate,38,Total,,326
Clarkstown 3,State Senate,38,Over Votes,,0
Clarkstown 3,State Senate,38,Under Votes,,24
Clarkstown 3,State House,96,Kenneth P. Zebrowski,DEM,196
Clarkstown 3,State House,96,Kenneth P. Zebrowski,WOR,27
Clarkstown 3,State House,96,Kenneth P. Zebrowski,IND,16
Clarkstown 3,State House,96,Write-ins,,2
Clarkstown 3,State House,96,Total,,241
Clarkstown 3,State House,96,Over Votes,,0
Clarkstown 3,State House,96,Under Votes,,109
Clarkstown 4,Ballots Cast,,,,330
Clarkstown 4,President,,Barack Obama,DEM,236
Clarkstown 4,President,,Mitt Romney,REP,76
Clarkstown 4,President,,Mitt Romney,CON,4
Clarkstown 4,President,,Barack Obama,WOR,8
Clarkstown 4,President,,Jill Stein,GRE,2
Clarkstown 4,President,,Peta Lindsay,PSL,0
Clarkstown 4,President,,Gary Johnson,LBT,0
Clarkstown 4,President,,Virgil Goode,CST,0
Clarkstown 4,President,,Write-ins,,4
Clarkstown 4,President,,Total,,330
Clarkstown 4,President,,Over Votes,,0
Clarkstown 4,President,,Under Votes,,0
Clarkstown 4,U.S. Senate,,Kirsten E. Gillibrand,DEM,243
Clarkstown 4,U.S. Senate,,Wendy Long,REP,50
Clarkstown 4,U.S. Senate,,Wendy Long,CON,5
Clarkstown 4,U.S. Senate,,Kirsten E. Gillibrand,WOR,9
Clarkstown 4,U.S. Senate,,Kirsten E. Gillibrand,IND,4
Clarkstown 4,U.S. Senate,,Colia Clark,GRE,6
Clarkstown 4,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 4,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 4,U.S. Senate,,Write-ins,,0
Clarkstown 4,U.S. Senate,,Total,,319
Clarkstown 4,U.S. Senate,,Over Votes,,0
Clarkstown 4,U.S. Senate,,Under Votes,,11
Clarkstown 4,U.S. House,17,Nita M. Lowey,DEM,218
Clarkstown 4,U.S. House,17,Joe Carvin,REP,65
Clarkstown 4,U.S. House,17,Nita M. Lowey,WOR,14
Clarkstown 4,U.S. House,17,Francis E. Morganthaler,WTP,4
Clarkstown 4,U.S. House,17,Write-ins,,0
Clarkstown 4,U.S. House,17,Total,,301
Clarkstown 4,U.S. House,17,Over Votes,,0
Clarkstown 4,U.S. House,17,Under Votes,,29
Clarkstown 4,State Senate,38,David Carlucci,DEM,234
Clarkstown 4,State Senate,38,Janis A. Castaldi,REP,50
Clarkstown 4,State Senate,38,David Carlucci,WOR,12
Clarkstown 4,State Senate,38,David Carlucci,IND,4
Clarkstown 4,State Senate,38,Write-ins,,0
Clarkstown 4,State Senate,38,Total,,300
Clarkstown 4,State Senate,38,Over Votes,,0
Clarkstown 4,State Senate,38,Under Votes,,30
Clarkstown 4,State House,96,Kenneth P. Zebrowski,DEM,209
Clarkstown 4,State House,96,Kenneth P. Zebrowski,WOR,15
Clarkstown 4,State House,96,Kenneth P. Zebrowski,IND,13
Clarkstown 4,State House,96,Write-ins,,2
Clarkstown 4,State House,96,Total,,239
Clarkstown 4,State House,96,Over Votes,,0
Clarkstown 4,State House,96,Under Votes,,91
Clarkstown 5,Ballots Cast,,,,326
Clarkstown 5,President,,Barack Obama,DEM,130
Clarkstown 5,President,,Mitt Romney,REP,164
Clarkstown 5,President,,Mitt Romney,CON,22
Clarkstown 5,President,,Barack Obama,WOR,4
Clarkstown 5,President,,Jill Stein,GRE,1
Clarkstown 5,President,,Peta Lindsay,PSL,0
Clarkstown 5,President,,Gary Johnson,LBT,1
Clarkstown 5,President,,Virgil Goode,CST,1
Clarkstown 5,President,,Write-ins,,2
Clarkstown 5,President,,Total,,325
Clarkstown 5,President,,Over Votes,,0
Clarkstown 5,President,,Under Votes,,1
Clarkstown 5,U.S. Senate,,Kirsten E. Gillibrand,DEM,146
Clarkstown 5,U.S. Senate,,Wendy Long,REP,110
Clarkstown 5,U.S. Senate,,Wendy Long,CON,17
Clarkstown 5,U.S. Senate,,Kirsten E. Gillibrand,WOR,19
Clarkstown 5,U.S. Senate,,Kirsten E. Gillibrand,IND,12
Clarkstown 5,U.S. Senate,,Colia Clark,GRE,0
Clarkstown 5,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 5,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 5,U.S. Senate,,Write-ins,,0
Clarkstown 5,U.S. Senate,,Total,,306
Clarkstown 5,U.S. Senate,,Over Votes,,1
Clarkstown 5,U.S. Senate,,Under Votes,,19
Clarkstown 5,U.S. House,17,Nita M. Lowey,DEM,115
Clarkstown 5,U.S. House,17,Joe Carvin,REP,153
Clarkstown 5,U.S. House,17,Nita M. Lowey,WOR,12
Clarkstown 5,U.S. House,17,Francis E. Morganthaler,WTP,4
Clarkstown 5,U.S. House,17,Write-ins,,0
Clarkstown 5,U.S. House,17,Total,,284
Clarkstown 5,U.S. House,17,Over Votes,,1
Clarkstown 5,U.S. House,17,Under Votes,,41
Clarkstown 5,State Senate,38,David Carlucci,DEM,159
Clarkstown 5,State Senate,38,Janis A. Castaldi,REP,113
Clarkstown 5,State Senate,38,David Carlucci,WOR,17
Clarkstown 5,State Senate,38,David Carlucci,IND,7
Clarkstown 5,State Senate,38,Write-ins,,0
Clarkstown 5,State Senate,38,Total,,296
Clarkstown 5,State Senate,38,Over Votes,,0
Clarkstown 5,State Senate,38,Under Votes,,30
Clarkstown 5,State House,96,Kenneth P. Zebrowski,DEM,154
Clarkstown 5,State House,96,Kenneth P. Zebrowski,WOR,25
Clarkstown 5,State House,96,Kenneth P. Zebrowski,IND,23
Clarkstown 5,State House,96,Write-ins,,3
Clarkstown 5,State House,96,Total,,205
Clarkstown 5,State House,96,Over Votes,,0
Clarkstown 5,State House,96,Under Votes,,121
Clarkstown 6,Ballots Cast,,,,259
Clarkstown 6,President,,Barack Obama,DEM,177
Clarkstown 6,President,,Mitt Romney,REP,72
Clarkstown 6,President,,Mitt Romney,CON,6
Clarkstown 6,President,,Barack Obama,WOR,1
Clarkstown 6,President,,Jill Stein,GRE,0
Clarkstown 6,President,,Peta Lindsay,PSL,0
Clarkstown 6,President,,Gary Johnson,LBT,1
Clarkstown 6,President,,Virgil Goode,CST,0
Clarkstown 6,President,,Write-ins,,1
Clarkstown 6,President,,Total,,258
Clarkstown 6,President,,Over Votes,,0
Clarkstown 6,President,,Under Votes,,1
Clarkstown 6,U.S. Senate,,Kirsten E. Gillibrand,DEM,182
Clarkstown 6,U.S. Senate,,Wendy Long,REP,53
Clarkstown 6,U.S. Senate,,Wendy Long,CON,8
Clarkstown 6,U.S. Senate,,Kirsten E. Gillibrand,WOR,7
Clarkstown 6,U.S. Senate,,Kirsten E. Gillibrand,IND,4
Clarkstown 6,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 6,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 6,U.S. Senate,,John Mangelli,CSP,0
Clarkstown 6,U.S. Senate,,Write-ins,,0
Clarkstown 6,U.S. Senate,,Total,,257
Clarkstown 6,U.S. Senate,,Over Votes,,0
Clarkstown 6,U.S. Senate,,Under Votes,,2
Clarkstown 6,U.S. House,17,Nita M. Lowey,DEM,165
Clarkstown 6,U.S. House,17,Joe Carvin,REP,74
Clarkstown 6,U.S. House,17,Nita M. Lowey,WOR,8
Clarkstown 6,U.S. House,17,Francis E. Morganthaler,WTP,2
Clarkstown 6,U.S. House,17,Write-ins,,0
Clarkstown 6,U.S. House,17,Total,,249
Clarkstown 6,U.S. House,17,Over Votes,,0
Clarkstown 6,U.S. House,17,Under Votes,,10
Clarkstown 6,State Senate,38,David Carlucci,DEM,178
Clarkstown 6,State Senate,38,Janis A. Castaldi,REP,54
Clarkstown 6,State Senate,38,David Carlucci,WOR,13
Clarkstown 6,State Senate,38,David Carlucci,IND,4
Clarkstown 6,State Senate,38,Write-ins,,0
Clarkstown 6,State Senate,38,Total,,249
Clarkstown 6,State Senate,38,Over Votes,,0
Clarkstown 6,State Senate,38,Under Votes,,10
Clarkstown 6,State House,96,Kenneth P. Zebrowski,DEM,183
Clarkstown 6,State House,96,Kenneth P. Zebrowski,WOR,17
Clarkstown 6,State House,96,Kenneth P. Zebrowski,IND,10
Clarkstown 6,State House,96,Write-ins,,3
Clarkstown 6,State House,96,Total,,213
Clarkstown 6,State House,96,Over Votes,,0
Clarkstown 6,State House,96,Under Votes,,46
Clarkstown 8,Ballots Cast,,,,541
Clarkstown 8,President,,Barack Obama,DEM,220
Clarkstown 8,President,,Mitt Romney,REP,280
Clarkstown 8,President,,Mitt Romney,CON,25
Clarkstown 8,President,,Barack Obama,WOR,7
Clarkstown 8,President,,Jill Stein,GRE,2
Clarkstown 8,President,,Peta Lindsay,PSL,0
Clarkstown 8,President,,Gary Johnson,LBT,4
Clarkstown 8,President,,Virgil Goode,CST,0
Clarkstown 8,President,,Write-ins,,0
Clarkstown 8,President,,Total,,538
Clarkstown 8,President,,Over Votes,,0
Clarkstown 8,President,,Under Votes,,3
Clarkstown 8,U.S. Senate,,Kirsten E. Gillibrand,DEM,242
Clarkstown 8,U.S. Senate,,Wendy Long,REP,199
Clarkstown 8,U.S. Senate,,Wendy Long,CON,36
Clarkstown 8,U.S. Senate,,Kirsten E. Gillibrand,WOR,23
Clarkstown 8,U.S. Senate,,Kirsten E. Gillibrand,IND,10
Clarkstown 8,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 8,U.S. Senate,,Chris Edes,LBT,2
Clarkstown 8,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 8,U.S. Senate,,Write-ins,,0
Clarkstown 8,U.S. Senate,,Total,,515
Clarkstown 8,U.S. Senate,,Over Votes,,0
Clarkstown 8,U.S. Senate,,Under Votes,,26
Clarkstown 8,U.S. House,17,Nita M. Lowey,DEM,207
Clarkstown 8,U.S. House,17,Joe Carvin,REP,261
Clarkstown 8,U.S. House,17,Nita M. Lowey,WOR,18
Clarkstown 8,U.S. House,17,Francis E. Morganthaler,WTP,2
Clarkstown 8,U.S. House,17,Write-ins,,0
Clarkstown 8,U.S. House,17,Total,,488
Clarkstown 8,U.S. House,17,Over Votes,,0
Clarkstown 8,U.S. House,17,Under Votes,,53
Clarkstown 8,State Senate,38,David Carlucci,DEM,266
Clarkstown 8,State Senate,38,Janis A. Castaldi,REP,202
Clarkstown 8,State Senate,38,David Carlucci,WOR,23
Clarkstown 8,State Senate,38,David Carlucci,IND,10
Clarkstown 8,State Senate,38,Write-ins,,0
Clarkstown 8,State Senate,38,Total,,501
Clarkstown 8,State Senate,38,Over Votes,,0
Clarkstown 8,State Senate,38,Under Votes,,40
Clarkstown 8,State House,96,Kenneth P. Zebrowski,DEM,258
Clarkstown 8,State House,96,Kenneth P. Zebrowski,WOR,38
Clarkstown 8,State House,96,Kenneth P. Zebrowski,IND,33
Clarkstown 8,State House,96,Write-ins,,6
Clarkstown 8,State House,96,Total,,335
Clarkstown 8,State House,96,Over Votes,,0
Clarkstown 8,State House,96,Under Votes,,206
Clarkstown 9,Ballots Cast,,,,742
Clarkstown 9,President,,Barack Obama,DEM,353
Clarkstown 9,President,,Mitt Romney,REP,339
Clarkstown 9,President,,Mitt Romney,CON,30
Clarkstown 9,President,,Barack Obama,WOR,5
Clarkstown 9,President,,Jill Stein,GRE,5
Clarkstown 9,President,,Peta Lindsay,PSL,0
Clarkstown 9,President,,Gary Johnson,LBT,6
Clarkstown 9,President,,Virgil Goode,CST,0
Clarkstown 9,President,,Write-ins,,1
Clarkstown 9,President,,Total,,739
Clarkstown 9,President,,Over Votes,,0
Clarkstown 9,President,,Under Votes,,3
Clarkstown 9,U.S. Senate,,Kirsten E. Gillibrand,DEM,441
Clarkstown 9,U.S. Senate,,Wendy Long,REP,198
Clarkstown 9,U.S. Senate,,Wendy Long,CON,26
Clarkstown 9,U.S. Senate,,Kirsten E. Gillibrand,WOR,18
Clarkstown 9,U.S. Senate,,Kirsten E. Gillibrand,IND,23
Clarkstown 9,U.S. Senate,,Colia Clark,GRE,1
Clarkstown 9,U.S. Senate,,Chris Edes,LBT,4
Clarkstown 9,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 9,U.S. Senate,,Write-ins,,0
Clarkstown 9,U.S. Senate,,Total,,712
Clarkstown 9,U.S. Senate,,Over Votes,,0
Clarkstown 9,U.S. Senate,,Under Votes,,30
Clarkstown 9,U.S. House,17,Nita M. Lowey,DEM,415
Clarkstown 9,U.S. House,17,Joe Carvin,REP,247
Clarkstown 9,U.S. House,17,Nita M. Lowey,WOR,20
Clarkstown 9,U.S. House,17,Francis E. Morganthaler,WTP,5
Clarkstown 9,U.S. House,17,Write-ins,,0
Clarkstown 9,U.S. House,17,Total,,687
Clarkstown 9,U.S. House,17,Over Votes,,0
Clarkstown 9,U.S. House,17,Under Votes,,55
Clarkstown 9,State Senate,38,David Carlucci,DEM,485
Clarkstown 9,State Senate,38,Janis A. Castaldi,REP,169
Clarkstown 9,State Senate,38,David Carlucci,WOR,21
Clarkstown 9,State Senate,38,David Carlucci,IND,24
Clarkstown 9,State Senate,38,Write-ins,,1
Clarkstown 9,State Senate,38,Total,,700
Clarkstown 9,State Senate,38,Over Votes,,1
Clarkstown 9,State Senate,38,Under Votes,,41
Clarkstown 9,State House,96,Kenneth P. Zebrowski,DEM,483
Clarkstown 9,State House,96,Kenneth P. Zebrowski,WOR,32
Clarkstown 9,State House,96,Kenneth P. Zebrowski,IND,46
Clarkstown 9,State House,96,Write-ins,,1
Clarkstown 9,State House,96,Total,,562
Clarkstown 9,State House,96,Over Votes,,0
Clarkstown 9,State House,96,Under Votes,,180
Clarkstown 10,Ballots Cast,,,,617
Clarkstown 10,President,,Barack Obama,DEM,567
Clarkstown 10,President,,Mitt Romney,REP,38
Clarkstown 10,President,,Mitt Romney,CON,3
Clarkstown 10,President,,Barack Obama,WOR,5
Clarkstown 10,President,,Jill Stein,GRE,0
Clarkstown 10,President,,Peta Lindsay,PSL,0
Clarkstown 10,President,,Gary Johnson,LBT,0
Clarkstown 10,President,,Virgil Goode,CST,0
Clarkstown 10,President,,Write-ins,,1
Clarkstown 10,President,,Total,,614
Clarkstown 10,President,,Over Votes,,0
Clarkstown 10,President,,Under Votes,,3
Clarkstown 10,U.S. Senate,,Kirsten E. Gillibrand,DEM,509
Clarkstown 10,U.S. Senate,,Wendy Long,REP,25
Clarkstown 10,U.S. Senate,,Wendy Long,CON,5
Clarkstown 10,U.S. Senate,,Kirsten E. Gillibrand,WOR,11
Clarkstown 10,U.S. Senate,,Kirsten E. Gillibrand,IND,10
Clarkstown 10,U.S. Senate,,Colia Clark,GRE,1
Clarkstown 10,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 10,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 10,U.S. Senate,,Write-ins,,1
Clarkstown 10,U.S. Senate,,Total,,564
Clarkstown 10,U.S. Senate,,Over Votes,,0
Clarkstown 10,U.S. Senate,,Under Votes,,53
Clarkstown 10,U.S. House,17,Nita M. Lowey,DEM,496
Clarkstown 10,U.S. House,17,Joe Carvin,REP,29
Clarkstown 10,U.S. House,17,Nita M. Lowey,WOR,14
Clarkstown 10,U.S. House,17,Francis E. Morganthaler,WTP,0
Clarkstown 10,U.S. House,17,Write-ins,,1
Clarkstown 10,U.S. House,17,Total,,540
Clarkstown 10,U.S. House,17,Over Votes,,0
Clarkstown 10,U.S. House,17,Under Votes,,77
Clarkstown 10,State Senate,38,David Carlucci,DEM,519
Clarkstown 10,State Senate,38,Janis A. Castaldi,REP,19
Clarkstown 10,State Senate,38,David Carlucci,WOR,13
Clarkstown 10,State Senate,38,David Carlucci,IND,7
Clarkstown 10,State Senate,38,Write-ins,,1
Clarkstown 10,State Senate,38,Total,,559
Clarkstown 10,State Senate,38,Over Votes,,1
Clarkstown 10,State Senate,38,Under Votes,,57
Clarkstown 10,State House,96,Kenneth P. Zebrowski,DEM,495
Clarkstown 10,State House,96,Kenneth P. Zebrowski,WOR,14
Clarkstown 10,State House,96,Kenneth P. Zebrowski,IND,7
Clarkstown 10,State House,96,Write-ins,,1
Clarkstown 10,State House,96,Total,,517
Clarkstown 10,State House,96,Over Votes,,0
Clarkstown 10,State House,96,Under Votes,,100
Clarkstown 11,Ballots Cast,,,,679
Clarkstown 11,President,,Barack Obama,DEM,303
Clarkstown 11,President,,Mitt Romney,REP,320
Clarkstown 11,President,,Mitt Romney,CON,35
Clarkstown 11,President,,Barack Obama,WOR,11
Clarkstown 11,President,,Jill Stein,GRE,2
Clarkstown 11,President,,Peta Lindsay,PSL,0
Clarkstown 11,President,,Gary Johnson,LBT,4
Clarkstown 11,President,,Virgil Goode,CST,0
Clarkstown 11,President,,Write-ins,,2
Clarkstown 11,President,,Total,,677
Clarkstown 11,President,,Over Votes,,0
Clarkstown 11,President,,Under Votes,,2
Clarkstown 11,U.S. Senate,,Kirsten E. Gillibrand,DEM,350
Clarkstown 11,U.S. Senate,,Wendy Long,REP,211
Clarkstown 11,U.S. Senate,,Wendy Long,CON,27
Clarkstown 11,U.S. Senate,,Kirsten E. Gillibrand,WOR,21
Clarkstown 11,U.S. Senate,,Kirsten E. Gillibrand,IND,21
Clarkstown 11,U.S. Senate,,Colia Clark,GRE,4
Clarkstown 11,U.S. Senate,,Chris Edes,LBT,2
Clarkstown 11,U.S. Senate,,John Mangelli,CSP,7
Clarkstown 11,U.S. Senate,,Write-ins,,0
Clarkstown 11,U.S. Senate,,Total,,643
Clarkstown 11,U.S. Senate,,Over Votes,,2
Clarkstown 11,U.S. Senate,,Under Votes,,34
Clarkstown 11,U.S. House,17,Nita M. Lowey,DEM,303
Clarkstown 11,U.S. House,17,Joe Carvin,REP,280
Clarkstown 11,U.S. House,17,Nita M. Lowey,WOR,22
Clarkstown 11,U.S. House,17,Francis E. Morganthaler,WTP,7
Clarkstown 11,U.S. House,17,Write-ins,,0
Clarkstown 11,U.S. House,17,Total,,612
Clarkstown 11,U.S. House,17,Over Votes,,0
Clarkstown 11,U.S. House,17,Under Votes,,67
Clarkstown 11,State Senate,38,David Carlucci,DEM,357
Clarkstown 11,State Senate,38,Janis A. Castaldi,REP,202
Clarkstown 11,State Senate,38,David Carlucci,WOR,28
Clarkstown 11,State Senate,38,David Carlucci,IND,39
Clarkstown 11,State Senate,38,Write-ins,,0
Clarkstown 11,State Senate,38,Total,,626
Clarkstown 11,State Senate,38,Over Votes,,0
Clarkstown 11,State Senate,38,Under Votes,,53
Clarkstown 11,State House,96,Kenneth P. Zebrowski,DEM,373
Clarkstown 11,State House,96,Kenneth P. Zebrowski,WOR,40
Clarkstown 11,State House,96,Kenneth P. Zebrowski,IND,53
Clarkstown 11,State House,96,Write-ins,,1
Clarkstown 11,State House,96,Total,,467
Clarkstown 11,State House,96,Over Votes,,0
Clarkstown 11,State House,96,Under Votes,,212
Clarkstown 12,Ballots Cast,,,,450
Clarkstown 12,President,,Barack Obama,DEM,203
Clarkstown 12,President,,Mitt Romney,REP,201
Clarkstown 12,President,,Mitt Romney,CON,27
Clarkstown 12,President,,Barack Obama,WOR,8
Clarkstown 12,President,,Jill Stein,GRE,5
Clarkstown 12,President,,Peta Lindsay,PSL,0
Clarkstown 12,President,,Gary Johnson,LBT,3
Clarkstown 12,President,,Virgil Goode,CST,0
Clarkstown 12,President,,Write-ins,,1
Clarkstown 12,President,,Total,,448
Clarkstown 12,President,,Over Votes,,1
Clarkstown 12,President,,Under Votes,,1
Clarkstown 12,U.S. Senate,,Kirsten E. Gillibrand,DEM,238
Clarkstown 12,U.S. Senate,,Wendy Long,REP,136
Clarkstown 12,U.S. Senate,,Wendy Long,CON,21
Clarkstown 12,U.S. Senate,,Kirsten E. Gillibrand,WOR,18
Clarkstown 12,U.S. Senate,,Kirsten E. Gillibrand,IND,11
Clarkstown 12,U.S. Senate,,Colia Clark,GRE,3
Clarkstown 12,U.S. Senate,,Chris Edes,LBT,4
Clarkstown 12,U.S. Senate,,John Mangelli,CSP,0
Clarkstown 12,U.S. Senate,,Write-ins,,0
Clarkstown 12,U.S. Senate,,Total,,431
Clarkstown 12,U.S. Senate,,Over Votes,,1
Clarkstown 12,U.S. Senate,,Under Votes,,18
Clarkstown 12,U.S. House,17,Nita M. Lowey,DEM,207
Clarkstown 12,U.S. House,17,Joe Carvin,REP,184
Clarkstown 12,U.S. House,17,Nita M. Lowey,WOR,17
Clarkstown 12,U.S. House,17,Francis E. Morganthaler,WTP,4
