county,precinct,office,district,candidate,party,votes,,,,
Yates,Total,President,,Jill Stein,GRN,67,,,,
Yates,Barrington,President,,Peta Lindsay,PSL,0,,,,
Yates,Benton 1,President,,Peta Lindsay,PSL,0,,,,
Yates,Benton 2,President,,Peta Lindsay,PSL,0,,,,
Yates,Italy,President,,Peta Lindsay,PSL,0,,,,
Yates,Jerusalem 1,President,,Peta Lindsay,PSL,1,,,,
Yates,Jerusalem 2,President,,Peta Lindsay,PSL,0,,,,
Yates,Jerusalem 3,President,,Peta Lindsay,PSL,0,,,,
Yates,Jerusalem 4,President,,Peta Lindsay,PSL,0,,,,
Yates,Middlesex,President,,Peta Lindsay,PSL,0,,,,
Yates,Milo 2,President,,Peta Lindsay,PSL,0,,,,
Yates,Milo 3,President,,Peta Lindsay,PSL,2,,,,
Yates,Milo 4,President,,Peta Lindsay,PSL,0,,,,
Yates,Milo 5,President,,Peta Lindsay,PSL,0,,,,
Yates,Milo 6,President,,Peta Lindsay,PSL,0,,,,
Yates,Potter,President,,Peta Lindsay,PSL,0,,,,
Yates,Starkey 1,President,,Peta Lindsay,PSL,0,,,,
Yates,Starkey 2,President,,Peta Lindsay,PSL,0,,,,
Yates,Torrey,President,,Peta Lindsay,PSL,0,,,,
Yates,Total,President,,Peta Lindsay,PSL,3,,,,
Yates,Barrington,President,,Gary Johnson,LBT,9,,,,
Yates,Benton 1,President,,Gary Johnson,LBT,4,,,,
Yates,Benton 2,President,,Gary Johnson,LBT,3,,,,
Yates,Italy,President,,Gary Johnson,LBT,2,,,,
Yates,Jerusalem 1,President,,Gary Johnson,LBT,4,,,,
Yates,Jerusalem 2,President,,Gary Johnson,LBT,3,,,,
Yates,Jerusalem 3,President,,Gary Johnson,LBT,2,,,,
Yates,Jerusalem 4,President,,Gary Johnson,LBT,3,,,,
Yates,Middlesex,President,,Gary Johnson,LBT,10,,,,
Yates,Milo 2,President,,Gary Johnson,LBT,1,,,,
Yates,Milo 3,President,,Gary Johnson,LBT,1,,,,
Yates,Milo 4,President,,Gary Johnson,LBT,5,,,,
Yates,Milo 5,President,,Gary Johnson,LBT,6,,,,
Yates,Milo 6,President,,Gary Johnson,LBT,0,,,,
Yates,Potter,President,,Gary Johnson,LBT,7,,,,
Yates,Starkey 1,President,,Gary Johnson,LBT,5,,,,
Yates,Starkey 2,President,,Gary Johnson,LBT,4,,,,
Yates,Torrey,President,,Gary Johnson,LBT,0,,,,
Yates,Total,President,,Gary Johnson,LBT,69,,,,
Yates,Barrington,President,,Virgil Goode,CST,2,,,,
Yates,Benton 1,President,,Virgil Goode,CST,0,,,,
Yates,Benton 2,President,,Virgil Goode,CST,2,,,,
Yates,Italy,President,,Virgil Goode,CST,1,,,,
Yates,Jerusalem 1,President,,Virgil Goode,CST,0,,,,
Yates,Jerusalem 2,President,,Virgil Goode,CST,0,,,,
Yates,Jerusalem 3,President,,Virgil Goode,CST,3,,,,
Yates,Jerusalem 4,President,,Virgil Goode,CST,1,,,,
Yates,Middlesex,President,,Virgil Goode,CST,1,,,,
Yates,Milo 2,President,,Virgil Goode,CST,0,,,,
Yates,Milo 3,President,,Virgil Goode,CST,1,,,,
Yates,Milo 4,President,,Virgil Goode,CST,0,,,,
Yates,Milo 5,President,,Virgil Goode,CST,1,,,,
Yates,Milo 6,President,,Virgil Goode,CST,1,,,,
Yates,Potter,President,,Virgil Goode,CST,2,,,,
Yates,Starkey 1,President,,Virgil Goode,CST,0,,,,
Yates,Starkey 2,President,,Virgil Goode,CST,1,,,,
Yates,Torrey,President,,Virgil Goode,CST,1,,,,
Yates,Total,President,,Virgil Goode,CST,17,,,,
Yates,Barrington,President,,Write-in,,0,,,,
Yates,Benton 1,President,,Write-in,,0,,,,
Yates,Benton 2,President,,Write-in,,0,,,,
Yates,Italy,President,,Write-in,,0,,,,
Yates,Jerusalem 1,President,,Write-in,,0,,,,
Yates,Jerusalem 2,President,,Write-in,,0,,,,
Yates,Jerusalem 3,President,,Write-in,,0,,,,
Yates,Jerusalem 4,President,,Write-in,,0,,,,
Yates,Middlesex,President,,Write-in,,0,,,,
Yates,Milo 2,President,,Write-in,,0,,,,
Yates,Milo 3,President,,Write-in,,0,,,,
Yates,Milo 4,President,,Write-in,,0,,,,
Yates,Milo 5,President,,Write-in,,0,,,,
Yates,Milo 6,President,,Write-in,,0,,,,
Yates,Potter,President,,Write-in,,0,,,,
Yates,Starkey 1,President,,Write-in,,0,,,,
Yates,Starkey 2,President,,Write-in,,0,,,,
Yates,Torrey,President,,Write-in,,0,,,,
Yates,Total,President,,Write-in,,0,,,,
Yates,Barrington,U.S. Senate,,Kirsten E Gillibrand,DEM,220,,,,
Yates,Benton 1,U.S. Senate,,Kirsten E Gillibrand,DEM,173,,,,
Yates,Benton 2,U.S. Senate,,Kirsten E Gillibrand,DEM,296,,,,
Yates,Italy,U.S. Senate,,Kirsten E Gillibrand,DEM,184,,,,
Yates,Jerusalem 1,U.S. Senate,,Kirsten E Gillibrand,DEM,265,,,,
Yates,Jerusalem 2,U.S. Senate,,Kirsten E Gillibrand,DEM,179,,,,
Yates,Jerusalem 3,U.S. Senate,,Kirsten E Gillibrand,DEM,203,,,,
Yates,Jerusalem 4,U.S. Senate,,Kirsten E Gillibrand,DEM,250,,,,
Yates,Middlesex,U.S. Senate,,Kirsten E Gillibrand,DEM,288,,,,
Yates,Milo 2,U.S. Senate,,Kirsten E Gillibrand,DEM,308,,,,
Yates,Milo 3,U.S. Senate,,Kirsten E Gillibrand,DEM,245,,,,
Yates,Milo 4,U.S. Senate,,Kirsten E Gillibrand,DEM,150,,,,
Yates,Milo 5,U.S. Senate,,Kirsten E Gillibrand,DEM,265,,,,
Yates,Milo 6,U.S. Senate,,Kirsten E Gillibrand,DEM,270,,,,
Yates,Potter,U.S. Senate,,Kirsten E Gillibrand,DEM,189,,,,
Yates,Starkey 1,U.S. Senate,,Kirsten E Gillibrand,DEM,227,,,,
Yates,Starkey 2,U.S. Senate,,Kirsten E Gillibrand,DEM,255,,,,
Yates,Torrey,U.S. Senate,,Kirsten E Gillibrand,DEM,265,,,,
Yates,Total,U.S. Senate,,Kirsten E Gillibrand,DEM,4232,,,,
Yates,Barrington,U.S. Senate,,Wendy Long,REP,207,,,,
Yates,Benton 1,U.S. Senate,,Wendy Long,REP,173,,,,
Yates,Benton 2,U.S. Senate,,Wendy Long,REP,181,,,,
Yates,Italy,U.S. Senate,,Wendy Long,REP,186,,,,
Yates,Jerusalem 1,U.S. Senate,,Wendy Long,REP,197,,,,
Yates,Jerusalem 2,U.S. Senate,,Wendy Long,REP,177,,,,
Yates,Jerusalem 3,U.S. Senate,,Wendy Long,REP,166,,,,
Yates,Jerusalem 4,U.S. Senate,,Wendy Long,REP,169,,,,
Yates,Middlesex,U.S. Senate,,Wendy Long,REP,300,,,,
Yates,Milo 2,U.S. Senate,,Wendy Long,REP,186,,,,
Yates,Milo 3,U.S. Senate,,Wendy Long,REP,167,,,,
Yates,Milo 4,U.S. Senate,,Wendy Long,REP,143,,,,
Yates,Milo 5,U.S. Senate,,Wendy Long,REP,169,,,,
Yates,Milo 6,U.S. Senate,,Wendy Long,REP,228,,,,
Yates,Potter,U.S. Senate,,Wendy Long,REP,290,,,,
Yates,Starkey 1,U.S. Senate,,Wendy Long,REP,229,,,,
Yates,Starkey 2,U.S. Senate,,Wendy Long,REP,211,,,,
Yates,Torrey,U.S. Senate,,Wendy Long,REP,184,,,,
Yates,Total,U.S. Senate,,Wendy Long,REP,3563,,,,
Yates,Barrington,U.S. Senate,,Wendy Long,CON,16,,,,
Yates,Benton 1,U.S. Senate,,Wendy Long,CON,17,,,,
Yates,Benton 2,U.S. Senate,,Wendy Long,CON,22,,,,
Yates,Italy,U.S. Senate,,Wendy Long,CON,32,,,,
Yates,Jerusalem 1,U.S. Senate,,Wendy Long,CON,31,,,,
Yates,Jerusalem 2,U.S. Senate,,Wendy Long,CON,26,,,,
Yates,Jerusalem 3,U.S. Senate,,Wendy Long,CON,41,,,,
Yates,Jerusalem 4,U.S. Senate,,Wendy Long,CON,20,,,,
Yates,Middlesex,U.S. Senate,,Wendy Long,CON,50,,,,
Yates,Milo 2,U.S. Senate,,Wendy Long,CON,31,,,,
Yates,Milo 3,U.S. Senate,,Wendy Long,CON,27,,,,
Yates,Milo 4,U.S. Senate,,Wendy Long,CON,20,,,,
Yates,Milo 5,U.S. Senate,,Wendy Long,CON,25,,,,
Yates,Milo 6,U.S. Senate,,Wendy Long,CON,35,,,,
Yates,Potter,U.S. Senate,,Wendy Long,CON,49,,,,
Yates,Starkey 1,U.S. Senate,,Wendy Long,CON,22,,,,
Yates,Starkey 2,U.S. Senate,,Wendy Long,CON,23,,,,
Yates,Torrey,U.S. Senate,,Wendy Long,CON,30,,,,
Yates,Total,U.S. Senate,,Wendy Long,CON,517,,,,
Yates,Barrington,U.S. Senate,,Kirsten E Gillibrand,WF,12,,,,
Yates,Benton 1,U.S. Senate,,Kirsten E Gillibrand,WF,16,,,,
Yates,Benton 2,U.S. Senate,,Kirsten E Gillibrand,WF,24,,,,
Yates,Italy,U.S. Senate,,Kirsten E Gillibrand,WF,32,,,,
Yates,Jerusalem 1,U.S. Senate,,Kirsten E Gillibrand,WF,9,,,,
Yates,Jerusalem 2,U.S. Senate,,Kirsten E Gillibrand,WF,10,,,,
Yates,Jerusalem 3,U.S. Senate,,Kirsten E Gillibrand,WF,14,,,,
Yates,Jerusalem 4,U.S. Senate,,Kirsten E Gillibrand,WF,14,,,,
Yates,Middlesex,U.S. Senate,,Kirsten E Gillibrand,WF,36,,,,
Yates,Milo 2,U.S. Senate,,Kirsten E Gillibrand,WF,27,,,,
Yates,Milo 3,U.S. Senate,,Kirsten E Gillibrand,WF,21,,,,
Yates,Milo 4,U.S. Senate,,Kirsten E Gillibrand,WF,9,,,,
Yates,Milo 5,U.S. Senate,,Kirsten E Gillibrand,WF,20,,,,
Yates,Milo 6,U.S. Senate,,Kirsten E Gillibrand,WF,14,,,,
Yates,Potter,U.S. Senate,,Kirsten E Gillibrand,WF,21,,,,
Yates,Starkey 1,U.S. Senate,,Kirsten E Gillibrand,WF,15,,,,
Yates,Starkey 2,U.S. Senate,,Kirsten E Gillibrand,WF,22,,,,
Yates,Torrey,U.S. Senate,,Kirsten E Gillibrand,WF,22,,,,
Yates,Total,U.S. Senate,,Kirsten E Gillibrand,WF,338,,,,
Yates,Barrington,U.S. Senate,,Kirsten E Gillibrand,IND,10,,,,
Yates,Benton 1,U.S. Senate,,Kirsten E Gillibrand,IND,10,,,,
Yates,Benton 2,U.S. Senate,,Kirsten E Gillibrand,IND,9,,,,
Yates,Italy,U.S. Senate,,Kirsten E Gillibrand,IND,14,,,,
Yates,Jerusalem 1,U.S. Senate,,Kirsten E Gillibrand,IND,16,,,,
Yates,Jerusalem 2,U.S. Senate,,Kirsten E Gillibrand,IND,6,,,,
Yates,Jerusalem 3,U.S. Senate,,Kirsten E Gillibrand,IND,6,,,,
Yates,Jerusalem 4,U.S. Senate,,Kirsten E Gillibrand,IND,15,,,,
Yates,Middlesex,U.S. Senate,,Kirsten E Gillibrand,IND,16,,,,
Yates,Milo 2,U.S. Senate,,Kirsten E Gillibrand,IND,9,,,,
Yates,Milo 3,U.S. Senate,,Kirsten E Gillibrand,IND,9,,,,
Yates,Milo 4,U.S. Senate,,Kirsten E Gillibrand,IND,6,,,,
Yates,Milo 5,U.S. Senate,,Kirsten E Gillibrand,IND,15,,,,
Yates,Milo 6,U.S. Senate,,Kirsten E Gillibrand,IND,4,,,,
Yates,Potter,U.S. Senate,,Kirsten E Gillibrand,IND,9,,,,
Yates,Starkey 1,U.S. Senate,,Kirsten E Gillibrand,IND,17,,,,
Yates,Starkey 2,U.S. Senate,,Kirsten E Gillibrand,IND,17,,,,
Yates,Torrey,U.S. Senate,,Kirsten E Gillibrand,IND,14,,,,
Yates,Total,U.S. Senate,,Kirsten E Gillibrand,IND,202,,,,
Yates,Barrington,U.S. Senate,,Colia Clark,GRN,5,,,,
Yates,Benton 1,U.S. Senate,,Colia Clark,GRN,2,,,,
Yates,Benton 2,U.S. Senate,,Colia Clark,GRN,3,,,,
Yates,Italy,U.S. Senate,,Colia Clark,GRN,4,,,,
Yates,Jerusalem 1,U.S. Senate,,Colia Clark,GRN,4,,,,
Yates,Jerusalem 2,U.S. Senate,,Colia Clark,GRN,1,,,,
Yates,Jerusalem 3,U.S. Senate,,Colia Clark,GRN,4,,,,
Yates,Jerusalem 4,U.S. Senate,,Colia Clark,GRN,3,,,,
Yates,Middlesex,U.S. Senate,,Colia Clark,GRN,8,,,,
Yates,Milo 2,U.S. Senate,,Colia Clark,GRN,1,,,,
Yates,Milo 3,U.S. Senate,,Colia Clark,GRN,8,,,,
Yates,Milo 4,U.S. Senate,,Colia Clark,GRN,4,,,,
Yates,Milo 5,U.S. Senate,,Colia Clark,GRN,8,,,,
Yates,Milo 6,U.S. Senate,,Colia Clark,GRN,3,,,,
Yates,Potter,U.S. Senate,,Colia Clark,GRN,7,,,,
Yates,Starkey 1,U.S. Senate,,Colia Clark,GRN,2,,,,
Yates,Starkey 2,U.S. Senate,,Colia Clark,GRN,7,,,,
Yates,Torrey,U.S. Senate,,Colia Clark,GRN,4,,,,
Yates,Total,U.S. Senate,,Colia Clark,GRN,78,,,,
Yates,Barrington,U.S. Senate,,Chris Edes,LBT,4,,,,
Yates,Benton 1,U.S. Senate,,Chris Edes,LBT,5,,,,
Yates,Benton 2,U.S. Senate,,Chris Edes,LBT,1,,,,
Yates,Italy,U.S. Senate,,Chris Edes,LBT,3,,,,
Yates,Jerusalem 1,U.S. Senate,,Chris Edes,LBT,5,,,,
Yates,Jerusalem 2,U.S. Senate,,Chris Edes,LBT,0,,,,
Yates,Jerusalem 3,U.S. Senate,,Chris Edes,LBT,2,,,,
Yates,Jerusalem 4,U.S. Senate,,Chris Edes,LBT,1,,,,
Yates,Middlesex,U.S. Senate,,Chris Edes,LBT,5,,,,
Yates,Milo 2,U.S. Senate,,Chris Edes,LBT,1,,,,
Yates,Milo 3,U.S. Senate,,Chris Edes,LBT,0,,,,
Yates,Milo 4,U.S. Senate,,Chris Edes,LBT,2,,,,
Yates,Milo 5,U.S. Senate,,Chris Edes,LBT,1,,,,
Yates,Milo 6,U.S. Senate,,Chris Edes,LBT,0,,,,
Yates,Potter,U.S. Senate,,Chris Edes,LBT,9,,,,
Yates,Starkey 1,U.S. Senate,,Chris Edes,LBT,1,,,,
Yates,Starkey 2,U.S. Senate,,Chris Edes,LBT,5,,,,
Yates,Torrey,U.S. Senate,,Chris Edes,LBT,0,,,,
Yates,Total,U.S. Senate,,Chris Edes,LBT,45,,,,
Yates,Barrington,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Benton 1,U.S. Senate,,John Mangelli,CSP,0,,,,
Yates,Benton 2,U.S. Senate,,John Mangelli,CSP,1,,,,
Yates,Italy,U.S. Senate,,John Mangelli,CSP,3,,,,
Yates,Jerusalem 1,U.S. Senate,,John Mangelli,CSP,0,,,,
Yates,Jerusalem 2,U.S. Senate,,John Mangelli,CSP,4,,,,
Yates,Jerusalem 3,U.S. Senate,,John Mangelli,CSP,6,,,,
Yates,Jerusalem 4,U.S. Senate,,John Mangelli,CSP,1,,,,
Yates,Middlesex,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Milo 2,U.S. Senate,,John Mangelli,CSP,4,,,,
Yates,Milo 3,U.S. Senate,,John Mangelli,CSP,5,,,,
Yates,Milo 4,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Milo 5,U.S. Senate,,John Mangelli,CSP,8,,,,
Yates,Milo 6,U.S. Senate,,John Mangelli,CSP,0,,,,
Yates,Potter,U.S. Senate,,John Mangelli,CSP,3,,,,
Yates,Starkey 1,U.S. Senate,,John Mangelli,CSP,5,,,,
Yates,Starkey 2,U.S. Senate,,John Mangelli,CSP,7,,,,
Yates,Torrey,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Total,U.S. Senate,,John Mangelli,CSP,55,,,,
Yates,Barrington,U.S. Senate,,Write -In,,1,,,,
Yates,Benton 1,U.S. Senate,,Write -In,,0,,,,
Yates,Benton 2,U.S. Senate,,Write -In,,0,,,,
Yates,Italy,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 1,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 2,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 3,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 4,U.S. Senate,,Write -In,,0,,,,
Yates,Middlesex,U.S. Senate,,Write -In,,1,,,,
Yates,Milo 2,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 3,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 4,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 5,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 6,U.S. Senate,,Write -In,,0,,,,
Yates,Potter,U.S. Senate,,Write -In,,1,,,,
Yates,Starkey 1,U.S. Senate,,Write -In,,0,,,,
Yates,Starkey 2,U.S. Senate,,Write -In,,0,,,,
Yates,Torrey,U.S. Senate,,Write -In,,0,,,,
Yates,Total,U.S. Senate,,Write -In,,3,,,,
Yates,Barrington,U.S. House,23,Nate Shinagawa,DEM,206,,,,
Yates,Benton 1,U.S. House,23,Nate Shinagawa,DEM,145,,,,
Yates,Benton 2,U.S. House,23,Nate Shinagawa,DEM,246,,,,
Yates,Italy,U.S. House,23,Nate Shinagawa,DEM,157,,,,
Yates,Jerusalem 1,U.S. House,23,Nate Shinagawa,DEM,247,,,,
Yates,Jerusalem 2,U.S. House,23,Nate Shinagawa,DEM,159,,,,
Yates,Jerusalem 3,U.S. House,23,Nate Shinagawa,DEM,184,,,,
Yates,Jerusalem 4,U.S. House,23,Nate Shinagawa,DEM,229,,,,
Yates,Middlesex,U.S. House,23,Nate Shinagawa,DEM,237,,,,
Yates,Milo 2,U.S. House,23,Nate Shinagawa,DEM,286,,,,
Yates,Milo 3,U.S. House,23,Nate Shinagawa,DEM,228,,,,
Yates,Milo 4,U.S. House,23,Nate Shinagawa,DEM,116,,,,
Yates,Milo 5,U.S. House,23,Nate Shinagawa,DEM,236,,,,
Yates,Milo 6,U.S. House,23,Nate Shinagawa,DEM,245,,,,
Yates,Potter,U.S. House,23,Nate Shinagawa,DEM,151,,,,
Yates,Starkey 1,U.S. House,23,Nate Shinagawa,DEM,186,,,,
Yates,Starkey 2,U.S. House,23,Nate Shinagawa,DEM,220,,,,
Yates,Torrey,U.S. House,23,Nate Shinagawa,DEM,249,,,,
Yates,Total,U.S. House,23,Nate Shinagawa,DEM,3727,,,,
Yates,Barrington,U.S. House,23,"Thomas W Reed, II",REP,221,,,,
Yates,Benton 1,U.S. House,23,"Thomas W Reed, II",REP,196,,,,
Yates,Benton 2,U.S. House,23,"Thomas W Reed, II",REP,229,,,,
Yates,Italy,U.S. House,23,"Thomas W Reed, II",REP,216,,,,
Yates,Jerusalem 1,U.S. House,23,"Thomas W Reed, II",REP,230,,,,
Yates,Jerusalem 2,U.S. House,23,"Thomas W Reed, II",REP,199,,,,
Yates,Jerusalem 3,U.S. House,23,"Thomas W Reed, II",REP,180,,,,
Yates,Jerusalem 4,U.S. House,23,"Thomas W Reed, II",REP,199,,,,
Yates,Middlesex,U.S. House,23,"Thomas W Reed, II",REP,354,,,,
Yates,Milo 2,U.S. House,23,"Thomas W Reed, II",REP,222,,,,
Yates,Milo 3,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Milo 4,U.S. House,23,"Thomas W Reed, II",REP,190,,,,
Yates,Milo 5,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Milo 6,U.S. House,23,"Thomas W Reed, II",REP,266,,,,
Yates,Potter,U.S. House,23,"Thomas W Reed, II",REP,330,,,,
Yates,Starkey 1,U.S. House,23,"Thomas W Reed, II",REP,271,,,,
Yates,Starkey 2,U.S. House,23,"Thomas W Reed, II",REP,265,,,,
Yates,Torrey,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Total,U.S. House,23,"Thomas W Reed, II",REP,4186,,,,
Yates,Barrington,U.S. House,23,"Thomas W Reed, II",CON,22,,,,
Yates,Benton 1,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Benton 2,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Italy,U.S. House,23,"Thomas W Reed, II",CON,36,,,,
Yates,Jerusalem 1,U.S. House,23,"Thomas W Reed, II",CON,34,,,,
Yates,Jerusalem 2,U.S. House,23,"Thomas W Reed, II",CON,24,,,,
