county,precinct,office,candidate,party,votes
Onondaga,Syracuse - Ward 04 01,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 04 01,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 04 04,GOVERNOR,Ballots,DEM,98
Onondaga,Syracuse - Ward 04 04,GOVERNOR,Cynthia E Nixon,DEM,51
Onondaga,Syracuse - Ward 04 04,GOVERNOR,Andrew M Cuomo,DEM,47
Onondaga,Syracuse - Ward 04 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 04 04,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 04 05,GOVERNOR,Ballots,DEM,83
Onondaga,Syracuse - Ward 04 05,GOVERNOR,Cynthia E Nixon,DEM,37
Onondaga,Syracuse - Ward 04 05,GOVERNOR,Andrew M Cuomo,DEM,43
Onondaga,Syracuse - Ward 04 05,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 04 05,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 04 07,GOVERNOR,Ballots,DEM,116
Onondaga,Syracuse - Ward 04 07,GOVERNOR,Cynthia E Nixon,DEM,60
Onondaga,Syracuse - Ward 04 07,GOVERNOR,Andrew M Cuomo,DEM,51
Onondaga,Syracuse - Ward 04 07,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 04 07,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 04 08,GOVERNOR,Ballots,DEM,290
Onondaga,Syracuse - Ward 04 08,GOVERNOR,Cynthia E Nixon,DEM,120
Onondaga,Syracuse - Ward 04 08,GOVERNOR,Andrew M Cuomo,DEM,166
Onondaga,Syracuse - Ward 04 08,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 04 08,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 04 09,GOVERNOR,Ballots,DEM,319
Onondaga,Syracuse - Ward 04 09,GOVERNOR,Cynthia E Nixon,DEM,123
Onondaga,Syracuse - Ward 04 09,GOVERNOR,Andrew M Cuomo,DEM,194
Onondaga,Syracuse - Ward 04 09,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 04 09,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 05 01,GOVERNOR,Ballots,DEM,138
Onondaga,Syracuse - Ward 05 01,GOVERNOR,Cynthia E Nixon,DEM,53
Onondaga,Syracuse - Ward 05 01,GOVERNOR,Andrew M Cuomo,DEM,82
Onondaga,Syracuse - Ward 05 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 05 01,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 05 02,GOVERNOR,Ballots,DEM,135
Onondaga,Syracuse - Ward 05 02,GOVERNOR,Cynthia E Nixon,DEM,48
Onondaga,Syracuse - Ward 05 02,GOVERNOR,Andrew M Cuomo,DEM,84
Onondaga,Syracuse - Ward 05 02,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 05 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 05 03,GOVERNOR,Ballots,DEM,145
Onondaga,Syracuse - Ward 05 03,GOVERNOR,Cynthia E Nixon,DEM,47
Onondaga,Syracuse - Ward 05 03,GOVERNOR,Andrew M Cuomo,DEM,94
Onondaga,Syracuse - Ward 05 03,GOVERNOR,Write-ins,DEM,2
Onondaga,Syracuse - Ward 05 03,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 06 01,GOVERNOR,Ballots,DEM,156
Onondaga,Syracuse - Ward 06 01,GOVERNOR,Cynthia E Nixon,DEM,58
Onondaga,Syracuse - Ward 06 01,GOVERNOR,Andrew M Cuomo,DEM,94
Onondaga,Syracuse - Ward 06 01,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 06 01,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 06 02,GOVERNOR,Ballots,DEM,74
Onondaga,Syracuse - Ward 06 02,GOVERNOR,Cynthia E Nixon,DEM,34
Onondaga,Syracuse - Ward 06 02,GOVERNOR,Andrew M Cuomo,DEM,39
Onondaga,Syracuse - Ward 06 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 06 02,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 06 03,GOVERNOR,Ballots,DEM,119
Onondaga,Syracuse - Ward 06 03,GOVERNOR,Cynthia E Nixon,DEM,36
Onondaga,Syracuse - Ward 06 03,GOVERNOR,Andrew M Cuomo,DEM,81
Onondaga,Syracuse - Ward 06 03,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 06 03,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 06 04,GOVERNOR,Ballots,DEM,25
Onondaga,Syracuse - Ward 06 04,GOVERNOR,Cynthia E Nixon,DEM,9
Onondaga,Syracuse - Ward 06 04,GOVERNOR,Andrew M Cuomo,DEM,16
Onondaga,Syracuse - Ward 06 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 06 04,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 07 01,GOVERNOR,Ballots,DEM,194
Onondaga,Syracuse - Ward 07 01,GOVERNOR,Cynthia E Nixon,DEM,95
Onondaga,Syracuse - Ward 07 01,GOVERNOR,Andrew M Cuomo,DEM,98
Onondaga,Syracuse - Ward 07 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 07 01,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 08 01,GOVERNOR,Ballots,DEM,131
Onondaga,Syracuse - Ward 08 01,GOVERNOR,Cynthia E Nixon,DEM,33
Onondaga,Syracuse - Ward 08 01,GOVERNOR,Andrew M Cuomo,DEM,94
Onondaga,Syracuse - Ward 08 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 08 01,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 08 02,GOVERNOR,Ballots,DEM,177
Onondaga,Syracuse - Ward 08 02,GOVERNOR,Cynthia E Nixon,DEM,89
Onondaga,Syracuse - Ward 08 02,GOVERNOR,Andrew M Cuomo,DEM,86
Onondaga,Syracuse - Ward 08 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 08 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 09 01,GOVERNOR,Ballots,DEM,93
Onondaga,Syracuse - Ward 09 01,GOVERNOR,Cynthia E Nixon,DEM,38
Onondaga,Syracuse - Ward 09 01,GOVERNOR,Andrew M Cuomo,DEM,55
Onondaga,Syracuse - Ward 09 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 09 01,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 09 03,GOVERNOR,Ballots,DEM,30
Onondaga,Syracuse - Ward 09 03,GOVERNOR,Cynthia E Nixon,DEM,18
Onondaga,Syracuse - Ward 09 03,GOVERNOR,Andrew M Cuomo,DEM,12
Onondaga,Syracuse - Ward 09 03,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 09 03,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 09 04,GOVERNOR,Ballots,DEM,7
Onondaga,Syracuse - Ward 09 04,GOVERNOR,Cynthia E Nixon,DEM,2
Onondaga,Syracuse - Ward 09 04,GOVERNOR,Andrew M Cuomo,DEM,5
Onondaga,Syracuse - Ward 09 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 09 04,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 09 05,GOVERNOR,Ballots,DEM,38
Onondaga,Syracuse - Ward 09 05,GOVERNOR,Cynthia E Nixon,DEM,7
Onondaga,Syracuse - Ward 09 05,GOVERNOR,Andrew M Cuomo,DEM,28
Onondaga,Syracuse - Ward 09 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 09 05,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 10 02,GOVERNOR,Ballots,DEM,66
Onondaga,Syracuse - Ward 10 02,GOVERNOR,Cynthia E Nixon,DEM,14
Onondaga,Syracuse - Ward 10 02,GOVERNOR,Andrew M Cuomo,DEM,50
Onondaga,Syracuse - Ward 10 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 10 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 11 01,GOVERNOR,Ballots,DEM,62
Onondaga,Syracuse - Ward 11 01,GOVERNOR,Cynthia E Nixon,DEM,16
Onondaga,Syracuse - Ward 11 01,GOVERNOR,Andrew M Cuomo,DEM,45
Onondaga,Syracuse - Ward 11 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 11 01,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 11 02,GOVERNOR,Ballots,DEM,146
Onondaga,Syracuse - Ward 11 02,GOVERNOR,Cynthia E Nixon,DEM,53
Onondaga,Syracuse - Ward 11 02,GOVERNOR,Andrew M Cuomo,DEM,91
Onondaga,Syracuse - Ward 11 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 11 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 11 04,GOVERNOR,Ballots,DEM,348
Onondaga,Syracuse - Ward 11 04,GOVERNOR,Cynthia E Nixon,DEM,164
Onondaga,Syracuse - Ward 11 04,GOVERNOR,Andrew M Cuomo,DEM,175
Onondaga,Syracuse - Ward 11 04,GOVERNOR,Write-ins,DEM,6
Onondaga,Syracuse - Ward 11 04,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 11 07,GOVERNOR,Ballots,DEM,138
Onondaga,Syracuse - Ward 11 07,GOVERNOR,Cynthia E Nixon,DEM,47
Onondaga,Syracuse - Ward 11 07,GOVERNOR,Andrew M Cuomo,DEM,82
Onondaga,Syracuse - Ward 11 07,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 11 07,GOVERNOR,Voids/Blanks,DEM,8
Onondaga,Syracuse - Ward 11 09,GOVERNOR,Ballots,DEM,0
Onondaga,Syracuse - Ward 11 09,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 11 09,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 11 09,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 11 09,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 12 01,GOVERNOR,Ballots,DEM,119
Onondaga,Syracuse - Ward 12 01,GOVERNOR,Cynthia E Nixon,DEM,24
Onondaga,Syracuse - Ward 12 01,GOVERNOR,Andrew M Cuomo,DEM,90
Onondaga,Syracuse - Ward 12 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 12 01,GOVERNOR,Voids/Blanks,DEM,5
Onondaga,Syracuse - Ward 12 04,GOVERNOR,Ballots,DEM,255
Onondaga,Syracuse - Ward 12 04,GOVERNOR,Cynthia E Nixon,DEM,75
Onondaga,Syracuse - Ward 12 04,GOVERNOR,Andrew M Cuomo,DEM,175
Onondaga,Syracuse - Ward 12 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 12 04,GOVERNOR,Voids/Blanks,DEM,5
Onondaga,Syracuse - Ward 13 03,GOVERNOR,Ballots,DEM,251
Onondaga,Syracuse - Ward 13 03,GOVERNOR,Cynthia E Nixon,DEM,117
Onondaga,Syracuse - Ward 13 03,GOVERNOR,Andrew M Cuomo,DEM,128
Onondaga,Syracuse - Ward 13 03,GOVERNOR,Write-ins,DEM,4
Onondaga,Syracuse - Ward 13 03,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 13 05,GOVERNOR,Ballots,DEM,182
Onondaga,Syracuse - Ward 13 05,GOVERNOR,Cynthia E Nixon,DEM,67
Onondaga,Syracuse - Ward 13 05,GOVERNOR,Andrew M Cuomo,DEM,114
Onondaga,Syracuse - Ward 13 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 13 05,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 13 06,GOVERNOR,Ballots,DEM,216
Onondaga,Syracuse - Ward 13 06,GOVERNOR,Cynthia E Nixon,DEM,54
Onondaga,Syracuse - Ward 13 06,GOVERNOR,Andrew M Cuomo,DEM,160
Onondaga,Syracuse - Ward 13 06,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 13 06,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 13 07,GOVERNOR,Ballots,DEM,308
Onondaga,Syracuse - Ward 13 07,GOVERNOR,Cynthia E Nixon,DEM,99
Onondaga,Syracuse - Ward 13 07,GOVERNOR,Andrew M Cuomo,DEM,203
Onondaga,Syracuse - Ward 13 07,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 13 07,GOVERNOR,Voids/Blanks,DEM,5
Onondaga,Syracuse - Ward 13 09,GOVERNOR,Ballots,DEM,220
Onondaga,Syracuse - Ward 13 09,GOVERNOR,Cynthia E Nixon,DEM,73
Onondaga,Syracuse - Ward 13 09,GOVERNOR,Andrew M Cuomo,DEM,147
Onondaga,Syracuse - Ward 13 09,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 13 09,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 14 02,GOVERNOR,Ballots,DEM,67
Onondaga,Syracuse - Ward 14 02,GOVERNOR,Cynthia E Nixon,DEM,17
Onondaga,Syracuse - Ward 14 02,GOVERNOR,Andrew M Cuomo,DEM,48
Onondaga,Syracuse - Ward 14 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 14 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 14 03,GOVERNOR,Ballots,DEM,199
Onondaga,Syracuse - Ward 14 03,GOVERNOR,Cynthia E Nixon,DEM,40
Onondaga,Syracuse - Ward 14 03,GOVERNOR,Andrew M Cuomo,DEM,151
Onondaga,Syracuse - Ward 14 03,GOVERNOR,Write-ins,DEM,2
Onondaga,Syracuse - Ward 14 03,GOVERNOR,Voids/Blanks,DEM,6
Onondaga,Syracuse - Ward 14 04,GOVERNOR,Ballots,DEM,289
Onondaga,Syracuse - Ward 14 04,GOVERNOR,Cynthia E Nixon,DEM,138
Onondaga,Syracuse - Ward 14 04,GOVERNOR,Andrew M Cuomo,DEM,147
Onondaga,Syracuse - Ward 14 04,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 14 04,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 14 09,GOVERNOR,Ballots,DEM,180
Onondaga,Syracuse - Ward 14 09,GOVERNOR,Cynthia E Nixon,DEM,46
Onondaga,Syracuse - Ward 14 09,GOVERNOR,Andrew M Cuomo,DEM,130
Onondaga,Syracuse - Ward 14 09,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 14 09,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 15 02,GOVERNOR,Ballots,DEM,54
Onondaga,Syracuse - Ward 15 02,GOVERNOR,Cynthia E Nixon,DEM,19
Onondaga,Syracuse - Ward 15 02,GOVERNOR,Andrew M Cuomo,DEM,33
Onondaga,Syracuse - Ward 15 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 15 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 15 03,GOVERNOR,Ballots,DEM,0
Onondaga,Syracuse - Ward 15 03,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 15 03,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 15 03,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 15 03,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 15 04,GOVERNOR,Ballots,DEM,77
Onondaga,Syracuse - Ward 15 04,GOVERNOR,Cynthia E Nixon,DEM,20
Onondaga,Syracuse - Ward 15 04,GOVERNOR,Andrew M Cuomo,DEM,57
Onondaga,Syracuse - Ward 15 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 15 04,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 16 01,GOVERNOR,Ballots,DEM,32
Onondaga,Syracuse - Ward 16 01,GOVERNOR,Cynthia E Nixon,DEM,23
Onondaga,Syracuse - Ward 16 01,GOVERNOR,Andrew M Cuomo,DEM,9
Onondaga,Syracuse - Ward 16 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 16 01,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 16 02,GOVERNOR,Ballots,DEM,550
Onondaga,Syracuse - Ward 16 02,GOVERNOR,Cynthia E Nixon,DEM,320
Onondaga,Syracuse - Ward 16 02,GOVERNOR,Andrew M Cuomo,DEM,220
Onondaga,Syracuse - Ward 16 02,GOVERNOR,Write-ins,DEM,3
Onondaga,Syracuse - Ward 16 02,GOVERNOR,Voids/Blanks,DEM,7
Onondaga,Syracuse - Ward 16 04,GOVERNOR,Ballots,DEM,0
Onondaga,Syracuse - Ward 16 04,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 16 04,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 16 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 16 04,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 16 05,GOVERNOR,Ballots,DEM,3
Onondaga,Syracuse - Ward 16 05,GOVERNOR,Cynthia E Nixon,DEM,3
Onondaga,Syracuse - Ward 16 05,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 16 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 16 05,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 17 01,GOVERNOR,Ballots,DEM,416
Onondaga,Syracuse - Ward 17 01,GOVERNOR,Cynthia E Nixon,DEM,243
Onondaga,Syracuse - Ward 17 01,GOVERNOR,Andrew M Cuomo,DEM,173
Onondaga,Syracuse - Ward 17 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 01,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 17 03,GOVERNOR,Ballots,DEM,181
Onondaga,Syracuse - Ward 17 03,GOVERNOR,Cynthia E Nixon,DEM,111
Onondaga,Syracuse - Ward 17 03,GOVERNOR,Andrew M Cuomo,DEM,67
Onondaga,Syracuse - Ward 17 03,GOVERNOR,Write-ins,DEM,1
Onondaga,Syracuse - Ward 17 03,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 17 04,GOVERNOR,Ballots,DEM,153
Onondaga,Syracuse - Ward 17 04,GOVERNOR,Cynthia E Nixon,DEM,79
Onondaga,Syracuse - Ward 17 04,GOVERNOR,Andrew M Cuomo,DEM,70
Onondaga,Syracuse - Ward 17 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 04,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 17 05,GOVERNOR,Ballots,DEM,122
Onondaga,Syracuse - Ward 17 05,GOVERNOR,Cynthia E Nixon,DEM,47
Onondaga,Syracuse - Ward 17 05,GOVERNOR,Andrew M Cuomo,DEM,72
Onondaga,Syracuse - Ward 17 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 05,GOVERNOR,Voids/Blanks,DEM,3
Onondaga,Syracuse - Ward 17 07,GOVERNOR,Ballots,DEM,523
Onondaga,Syracuse - Ward 17 07,GOVERNOR,Cynthia E Nixon,DEM,223
Onondaga,Syracuse - Ward 17 07,GOVERNOR,Andrew M Cuomo,DEM,290
Onondaga,Syracuse - Ward 17 07,GOVERNOR,Write-ins,DEM,6
Onondaga,Syracuse - Ward 17 07,GOVERNOR,Voids/Blanks,DEM,4
Onondaga,Syracuse - Ward 17 10,GOVERNOR,Ballots,DEM,297
Onondaga,Syracuse - Ward 17 10,GOVERNOR,Cynthia E Nixon,DEM,67
Onondaga,Syracuse - Ward 17 10,GOVERNOR,Andrew M Cuomo,DEM,225
Onondaga,Syracuse - Ward 17 10,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 10,GOVERNOR,Voids/Blanks,DEM,5
Onondaga,Syracuse - Ward 17 11,GOVERNOR,Ballots,DEM,68
Onondaga,Syracuse - Ward 17 11,GOVERNOR,Cynthia E Nixon,DEM,11
Onondaga,Syracuse - Ward 17 11,GOVERNOR,Andrew M Cuomo,DEM,57
Onondaga,Syracuse - Ward 17 11,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 11,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 17 13,GOVERNOR,Ballots,DEM,507
Onondaga,Syracuse - Ward 17 13,GOVERNOR,Cynthia E Nixon,DEM,219
Onondaga,Syracuse - Ward 17 13,GOVERNOR,Andrew M Cuomo,DEM,279
Onondaga,Syracuse - Ward 17 13,GOVERNOR,Write-ins,DEM,2
Onondaga,Syracuse - Ward 17 13,GOVERNOR,Voids/Blanks,DEM,7
Onondaga,Syracuse - Ward 17 17,GOVERNOR,Ballots,DEM,72
Onondaga,Syracuse - Ward 17 17,GOVERNOR,Cynthia E Nixon,DEM,24
Onondaga,Syracuse - Ward 17 17,GOVERNOR,Andrew M Cuomo,DEM,46
Onondaga,Syracuse - Ward 17 17,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 17 17,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 17 18,GOVERNOR,Ballots,DEM,0
Onondaga,Syracuse - Ward 17 18,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 17 18,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 17 18,GOVERNOR,Write-ins,DEM,0
