county,precinct,office,district,Candidate,party,Votes,,,,,,,,,,
westchester,Town of Harrison  50018,Governor,,CYNTHIA NIXON,DEM,10,,,,,,,,,,
westchester,Town of Harrison  50019,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
westchester,Town of Harrison  50020,Governor,,CYNTHIA NIXON,DEM,6,,,,,,,,,,
westchester,Town of Lewisboro  60001,Governor,,CYNTHIA NIXON,DEM,19,,,,,,,,,,
westchester,Town of Lewisboro  60002,Governor,,CYNTHIA NIXON,DEM,61,,,,,,,,,,
westchester,Town of Lewisboro  60003,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Lewisboro  60004,Governor,,CYNTHIA NIXON,DEM,83,,,,,,,,,,
westchester,Town of Lewisboro  60005,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Lewisboro  60006,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Lewisboro  60007,Governor,,CYNTHIA NIXON,DEM,48,,,,,,,,,,
westchester,Town of Lewisboro  60008,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Lewisboro  60009,Governor,,CYNTHIA NIXON,DEM,62,,,,,,,,,,
westchester,Town of Lewisboro  60010,Governor,,CYNTHIA NIXON,DEM,43,,,,,,,,,,
westchester,Town of Lewisboro  60011,Governor,,CYNTHIA NIXON,DEM,46,,,,,,,,,,
westchester,Town of Lewisboro  60012,Governor,,CYNTHIA NIXON,DEM,45,,,,,,,,,,
westchester,Town of Mamaroneck  70001,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Mamaroneck  70002,Governor,,CYNTHIA NIXON,DEM,26,,,,,,,,,,
westchester,Town of Mamaroneck  70003,Governor,,CYNTHIA NIXON,DEM,58,,,,,,,,,,
westchester,Town of Mamaroneck  70004,Governor,,CYNTHIA NIXON,DEM,46,,,,,,,,,,
westchester,Town of Mamaroneck  70005,Governor,,CYNTHIA NIXON,DEM,14,,,,,,,,,,
westchester,Town of Mamaroneck  70006,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Mamaroneck  70007,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Mamaroneck  70008,Governor,,CYNTHIA NIXON,DEM,52,,,,,,,,,,
westchester,Town of Mamaroneck  70009,Governor,,CYNTHIA NIXON,DEM,42,,,,,,,,,,
westchester,Town of Mamaroneck  70010,Governor,,CYNTHIA NIXON,DEM,41,,,,,,,,,,
westchester,Town of Mamaroneck  70011,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Mamaroneck  70012,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Mamaroneck  70013,Governor,,CYNTHIA NIXON,DEM,40,,,,,,,,,,
westchester,Town of Mamaroneck  70014,Governor,,CYNTHIA NIXON,DEM,47,,,,,,,,,,
westchester,Town of Mamaroneck  70015,Governor,,CYNTHIA NIXON,DEM,39,,,,,,,,,,
westchester,Town of Mamaroneck  70016,Governor,,CYNTHIA NIXON,DEM,46,,,,,,,,,,
westchester,Town of Mamaroneck  70017,Governor,,CYNTHIA NIXON,DEM,49,,,,,,,,,,
westchester,Town of Mamaroneck  70018,Governor,,CYNTHIA NIXON,DEM,37,,,,,,,,,,
westchester,Town of Mamaroneck  70019,Governor,,CYNTHIA NIXON,DEM,45,,,,,,,,,,
westchester,Town of Mamaroneck  70020,Governor,,CYNTHIA NIXON,DEM,51,,,,,,,,,,
westchester,Town of Mamaroneck  70021,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Mamaroneck  70022,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Mamaroneck  70023,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Mamaroneck  70024,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Mamaroneck  70025,Governor,,CYNTHIA NIXON,DEM,18,,,,,,,,,,
westchester,Town of Mamaroneck  70026,Governor,,CYNTHIA NIXON,DEM,61,,,,,,,,,,
westchester,Town of Mamaroneck  70027,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Mamaroneck  70028,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Mount Kisco  80001,Governor,,CYNTHIA NIXON,DEM,34,,,,,,,,,,
westchester,Town of Mount Kisco  80002,Governor,,CYNTHIA NIXON,DEM,44,,,,,,,,,,
westchester,Town of Mount Kisco  80003,Governor,,CYNTHIA NIXON,DEM,40,,,,,,,,,,
westchester,Town of Mount Kisco  80004,Governor,,CYNTHIA NIXON,DEM,56,,,,,,,,,,
westchester,Town of Mount Kisco  80005,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Mount Kisco  80006,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Mount Kisco  80007,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Mount Pleasant  90001,Governor,,CYNTHIA NIXON,DEM,15,,,,,,,,,,
westchester,Town of Mount Pleasant  90002,Governor,,CYNTHIA NIXON,DEM,25,,,,,,,,,,
westchester,Town of Mount Pleasant  90003,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Mount Pleasant  90004,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Mount Pleasant  90005,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Mount Pleasant  90006,Governor,,CYNTHIA NIXON,DEM,59,,,,,,,,,,
westchester,Town of Mount Pleasant  90007,Governor,,CYNTHIA NIXON,DEM,101,,,,,,,,,,
westchester,Town of Mount Pleasant  90009,Governor,,CYNTHIA NIXON,DEM,38,,,,,,,,,,
westchester,Town of Mount Pleasant  90010,Governor,,CYNTHIA NIXON,DEM,11,,,,,,,,,,
westchester,Town of Mount Pleasant  90011,Governor,,CYNTHIA NIXON,DEM,17,,,,,,,,,,
westchester,Town of Mount Pleasant  90012,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Mount Pleasant  90013,Governor,,CYNTHIA NIXON,DEM,51,,,,,,,,,,
westchester,Town of Mount Pleasant  90014,Governor,,CYNTHIA NIXON,DEM,51,,,,,,,,,,
westchester,Town of Mount Pleasant  90015,Governor,,CYNTHIA NIXON,DEM,66,,,,,,,,,,
westchester,Town of Mount Pleasant  90016,Governor,,CYNTHIA NIXON,DEM,48,,,,,,,,,,
