county,precinct,office,district,party,candidate,machine,absentee,affidavit,federal,votes
Oswego,Scriba 1,U.S. House,24,DEM,Dana Balter,13,0,0,0,13
Oswego,Scriba 2,U.S. House,24,DEM,Dana Balter,11,0,0,0,11
Oswego,Scriba 3,U.S. House,24,DEM,Dana Balter,20,2,0,0,22
Oswego,Scriba 4,U.S. House,24,DEM,Dana Balter,11,0,0,0,11
Oswego,Scriba 5,U.S. House,24,DEM,Dana Balter,6,4,0,0,10
Oswego,Scriba 6,U.S. House,24,DEM,Dana Balter,4,0,0,0,4
Oswego,Volney 1,U.S. House,24,DEM,Dana Balter,6,2,0,0,8
Oswego,Volney 2,U.S. House,24,DEM,Dana Balter,14,1,0,0,15
Oswego,Volney 3,U.S. House,24,DEM,Dana Balter,8,0,0,0,8
Oswego,Volney 4,U.S. House,24,DEM,Dana Balter,19,0,0,0,19
Oswego,Volney 5,U.S. House,24,DEM,Dana Balter,5,0,0,0,5
Oswego,City of Oswego 43466,U.S. House,24,DEM,Dana Balter,42,2,0,0,44
Oswego,City of Oswego 43467,U.S. House,24,DEM,Dana Balter,14,3,0,0,17
Oswego,City of Oswego 43497,U.S. House,24,DEM,Dana Balter,36,1,0,0,37
Oswego,City of Oswego 43498,U.S. House,24,DEM,Dana Balter,11,0,0,0,11
Oswego,City of Oswego 43525,U.S. House,24,DEM,Dana Balter,24,2,0,0,26
Oswego,City of Oswego 43526,U.S. House,24,DEM,Dana Balter,12,0,0,0,12
Oswego,City of Oswego 43556,U.S. House,24,DEM,Dana Balter,26,1,0,0,27
Oswego,City of Oswego 43557,U.S. House,24,DEM,Dana Balter,24,1,0,0,25
Oswego,City of Oswego 43558,U.S. House,24,DEM,Dana Balter,9,2,0,0,11
Oswego,City of Oswego 43586,U.S. House,24,DEM,Dana Balter,7,0,0,0,7
Oswego,City of Oswego 43587,U.S. House,24,DEM,Dana Balter,20,0,0,0,20
Oswego,City of Oswego 43588,U.S. House,24,DEM,Dana Balter,5,0,0,0,5
Oswego,City of Oswego 43589,U.S. House,24,DEM,Dana Balter,2,0,0,0,2
Oswego,City of Oswego 43617,U.S. House,24,DEM,Dana Balter,37,7,0,0,44
Oswego,City of Oswego 43618,U.S. House,24,DEM,Dana Balter,5,0,0,0,5
Oswego,City of Oswego 43647,U.S. House,24,DEM,Dana Balter,31,0,0,0,31
Oswego,City of Oswego 43648,U.S. House,24,DEM,Dana Balter,31,1,0,0,32
Oswego,City of Oswego 43649,U.S. House,24,DEM,Dana Balter,3,0,0,0,3
Oswego,City of Fulton 43466,U.S. House,24,DEM,Dana Balter,12,1,0,0,13
Oswego,City of Fulton 43467,U.S. House,24,DEM,Dana Balter,2,0,0,0,2
Oswego,City of Fulton 43497,U.S. House,24,DEM,Dana Balter,0,0,0,0,0
Oswego,City of Fulton 43498,U.S. House,24,DEM,Dana Balter,10,3,0,0,13
Oswego,City of Fulton 43525,U.S. House,24,DEM,Dana Balter,25,1,0,0,26
Oswego,City of Fulton 43526,U.S. House,24,DEM,Dana Balter,20,3,0,1,24
Oswego,City of Fulton 43556,U.S. House,24,DEM,Dana Balter,7,0,0,0,7
Oswego,City of Fulton 43557,U.S. House,24,DEM,Dana Balter,8,1,0,0,9
Oswego,City of Fulton 43558,U.S. House,24,DEM,Dana Balter,1,2,0,0,3
Oswego,City of Fulton 43586,U.S. House,24,DEM,Dana Balter,10,1,0,0,11
Oswego,City of Fulton 43587,U.S. House,24,DEM,Dana Balter,13,2,0,0,15
Oswego,City of Fulton 43588,U.S. House,24,DEM,Dana Balter,2,0,0,0,2
Oswego,City of Fulton 43617,U.S. House,24,DEM,Dana Balter,6,0,0,0,6
Oswego,City of Fulton 43618,U.S. House,24,DEM,Dana Balter,0,0,0,0,0
Oswego,Granby 1,U.S. House,24,DEM,Juanita P. Williams,7,1,0,0,8
Oswego,Granby 2,U.S. House,24,DEM,Juanita P. Williams,7,1,0,0,8
Oswego,Granby 3,U.S. House,24,DEM,Juanita P. Williams,1,0,0,0,1
Oswego,Granby 4,U.S. House,24,DEM,Juanita P. Williams,3,1,0,0,4
Oswego,Granby 5,U.S. House,24,DEM,Juanita P. Williams,8,1,0,1,10
Oswego,Hannibal 1,U.S. House,24,DEM,Juanita P. Williams,1,0,0,0,1
Oswego,Hannibal 2,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,Hannibal 3,U.S. House,24,DEM,Juanita P. Williams,5,1,0,0,6
Oswego,Hannibal 4,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,Minetto 1,U.S. House,24,DEM,Juanita P. Williams,2,0,0,0,2
Oswego,Minetto 2,U.S. House,24,DEM,Juanita P. Williams,19,0,0,0,19
Oswego,New Haven 3,U.S. House,24,DEM,Juanita P. Williams,3,0,0,0,3
Oswego,Oswego Town 1,U.S. House,24,DEM,Juanita P. Williams,1,0,0,0,1
Oswego,Oswego Town 2,U.S. House,24,DEM,Juanita P. Williams,2,0,0,0,2
Oswego,Oswego Town 3,U.S. House,24,DEM,Juanita P. Williams,9,0,0,0,9
Oswego,Oswego Town 4,U.S. House,24,DEM,Juanita P. Williams,7,1,0,0,8
Oswego,Oswego Town 5,U.S. House,24,DEM,Juanita P. Williams,6,1,1,0,8
Oswego,Oswego Town 6,U.S. House,24,DEM,Juanita P. Williams,2,0,0,0,2
Oswego,Oswego Town 7,U.S. House,24,DEM,Juanita P. Williams,12,0,0,0,12
Oswego,Palermo 1,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,Palermo 2,U.S. House,24,DEM,Juanita P. Williams,9,0,0,0,9
Oswego,Palermo 3,U.S. House,24,DEM,Juanita P. Williams,3,0,0,0,3
Oswego,Palermo 4,U.S. House,24,DEM,Juanita P. Williams,1,0,0,0,1
Oswego,Schroeppel 1,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,Schroeppel 2,U.S. House,24,DEM,Juanita P. Williams,5,0,0,0,5
Oswego,Schroeppel 3,U.S. House,24,DEM,Juanita P. Williams,0,0,0,0,0
Oswego,Schroeppel 4,U.S. House,24,DEM,Juanita P. Williams,8,1,0,0,9
Oswego,Schroeppel 5,U.S. House,24,DEM,Juanita P. Williams,10,1,0,0,11
Oswego,Scriba 1,U.S. House,24,DEM,Juanita P. Williams,2,0,0,0,2
Oswego,Scriba 2,U.S. House,24,DEM,Juanita P. Williams,4,0,0,0,4
Oswego,Scriba 3,U.S. House,24,DEM,Juanita P. Williams,23,0,0,0,23
Oswego,Scriba 4,U.S. House,24,DEM,Juanita P. Williams,4,0,0,0,4
Oswego,Scriba 5,U.S. House,24,DEM,Juanita P. Williams,7,0,0,0,7
Oswego,Scriba 6,U.S. House,24,DEM,Juanita P. Williams,3,1,0,0,4
Oswego,Volney 1,U.S. House,24,DEM,Juanita P. Williams,5,5,0,0,10
Oswego,Volney 2,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,Volney 3,U.S. House,24,DEM,Juanita P. Williams,6,0,0,0,6
Oswego,Volney 4,U.S. House,24,DEM,Juanita P. Williams,9,0,0,0,9
Oswego,Volney 5,U.S. House,24,DEM,Juanita P. Williams,5,0,0,0,5
Oswego,City of Oswego 43466,U.S. House,24,DEM,Juanita P. Williams,15,1,0,0,16
Oswego,City of Oswego 43467,U.S. House,24,DEM,Juanita P. Williams,3,3,0,0,6
Oswego,City of Oswego 43497,U.S. House,24,DEM,Juanita P. Williams,13,1,0,0,14
Oswego,City of Oswego 43498,U.S. House,24,DEM,Juanita P. Williams,3,2,0,0,5
Oswego,City of Oswego 43525,U.S. House,24,DEM,Juanita P. Williams,15,4,0,0,19
Oswego,City of Oswego 43526,U.S. House,24,DEM,Juanita P. Williams,4,0,0,0,4
Oswego,City of Oswego 43556,U.S. House,24,DEM,Juanita P. Williams,14,5,0,0,19
Oswego,City of Oswego 43557,U.S. House,24,DEM,Juanita P. Williams,1,0,0,0,1
Oswego,City of Oswego 43558,U.S. House,24,DEM,Juanita P. Williams,6,1,0,0,7
Oswego,City of Oswego 43586,U.S. House,24,DEM,Juanita P. Williams,8,1,0,0,9
Oswego,City of Oswego 43587,U.S. House,24,DEM,Juanita P. Williams,12,0,0,0,12
Oswego,City of Oswego 43588,U.S. House,24,DEM,Juanita P. Williams,3,1,0,0,4
Oswego,City of Oswego 43589,U.S. House,24,DEM,Juanita P. Williams,5,0,0,0,5
Oswego,City of Oswego 43617,U.S. House,24,DEM,Juanita P. Williams,20,3,0,0,23
Oswego,City of Oswego 43618,U.S. House,24,DEM,Juanita P. Williams,2,1,0,0,3
Oswego,City of Oswego 43647,U.S. House,24,DEM,Juanita P. Williams,14,0,0,0,14
Oswego,City of Oswego 43648,U.S. House,24,DEM,Juanita P. Williams,20,1,0,0,21
Oswego,City of Oswego 43649,U.S. House,24,DEM,Juanita P. Williams,0,0,0,0,0
Oswego,City of Fulton 43466,U.S. House,24,DEM,Juanita P. Williams,9,0,0,0,9
Oswego,City of Fulton 43467,U.S. House,24,DEM,Juanita P. Williams,6,1,0,0,7
Oswego,City of Fulton 43497,U.S. House,24,DEM,Juanita P. Williams,0,0,0,0,0
Oswego,City of Fulton 43498,U.S. House,24,DEM,Juanita P. Williams,2,1,0,0,3
Oswego,City of Fulton 43525,U.S. House,24,DEM,Juanita P. Williams,11,2,0,0,13
Oswego,City of Fulton 43526,U.S. House,24,DEM,Juanita P. Williams,13,0,0,0,13
Oswego,City of Fulton 43556,U.S. House,24,DEM,Juanita P. Williams,4,0,0,0,4
Oswego,City of Fulton 43557,U.S. House,24,DEM,Juanita P. Williams,8,0,0,0,8
Oswego,City of Fulton 43558,U.S. House,24,DEM,Juanita P. Williams,4,1,0,0,5
Oswego,City of Fulton 43586,U.S. House,24,DEM,Juanita P. Williams,4,1,0,0,5
Oswego,City of Fulton 43587,U.S. House,24,DEM,Juanita P. Williams,7,0,0,0,7
Oswego,City of Fulton 43588,U.S. House,24,DEM,Juanita P. Williams,0,0,0,0,0
Oswego,City of Fulton 43617,U.S. House,24,DEM,Juanita P. Williams,5,2,0,1,8
Oswego,City of Fulton 43618,U.S. House,24,DEM,Juanita P. Williams,4,0,0,0,4
