county,precinct,office,district,party,candidate,election_day,absentee,votes,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 4 1,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Columbia 1,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Columbia 2,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Danube 1,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Fairfield 1,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Frankfort 1,Governor,,IND,Andrew M. Cuomo,7,0,7,,,,,,,,,,,,
Herkimer,Town of Frankfort 2,Governor,,IND,Andrew M. Cuomo,7,0,7,,,,,,,,,,,,
Herkimer,Town of Frankfort 3,Governor,,IND,Andrew M. Cuomo,8,0,8,,,,,,,,,,,,
Herkimer,Town of Frankfort 4,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Frankfort 5,Governor,,IND,Andrew M. Cuomo,6,1,7,,,,,,,,,,,,
Herkimer,Town of Frankfort 6,Governor,,IND,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,Town of German Flatts 1,Governor,,IND,Andrew M. Cuomo,3,1,4,,,,,,,,,,,,
Herkimer,Town of German Flatts 2,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of German Flatts 3,Governor,,IND,Andrew M. Cuomo,5,0,5,,,,,,,,,,,,
Herkimer,Town of German Flatts 4,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of German Flatts 5,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 6,Governor,,IND,Andrew M. Cuomo,1,1,2,,,,,,,,,,,,
Herkimer,Town of German Flatts 7,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of German Flatts 8,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 9,Governor,,IND,Andrew M. Cuomo,3,1,4,,,,,,,,,,,,
Herkimer,Town of German Flatts 10,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of German Flatts 11,Governor,,IND,Andrew M. Cuomo,0,1,1,,,,,,,,,,,,
Herkimer,Town of German Flatts 12,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of German Flatts 13,Governor,,IND,Andrew M. Cuomo,5,1,6,,,,,,,,,,,,
Herkimer,Town of German Flatts 14,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 1,Governor,,IND,Andrew M. Cuomo,2,1,3,,,,,,,,,,,,
Herkimer,Town of Herkimer 2,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Herkimer 3,Governor,,IND,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Herkimer 4,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Herkimer 5,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Herkimer 6,Governor,,IND,Andrew M. Cuomo,6,0,6,,,,,,,,,,,,
Herkimer,Town of Herkimer 7,Governor,,IND,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Herkimer 8,Governor,,IND,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Herkimer 9,Governor,,IND,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
