county,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,14,DEM,Joseph Crowley,4072,,,,,,,,,,,,,,,,,,,
QUEENS,U.S. House,14,DEM,Alexandria Ocasio-Cortez,12395,,,,,,,,,,,,,,,,,,,
QUEENS,U.S. House,14,DEM,Joseph Crowley,8808,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,15,REF,Scattering,44,,,,,,,,,,,,,,,,,,,
WESTCHESTER,U.S. House,16,DEM,Jonathan Lewis,3306,,,,,,,,,,,,,,,,,,,
WESTCHESTER,U.S. House,16,DEM,Derickson K. Lawrence,837,,,,,,,,,,,,,,,,,,,
WESTCHESTER,U.S. House,16,DEM,Joyce N. Briscoe,836,,,,,,,,,,,,,,,,,,,
WESTCHESTER,U.S. House,16,DEM,Eliot L. Engel,12836,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,16,DEM,Jonathan Lewis,1560,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,16,DEM,Derickson K. Lawrence,443,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,16,DEM,Joyce N. Briscoe,936,,,,,,,,,,,,,,,,,,,
BRONX,U.S. House,16,DEM,Eliot L. Engel,9324,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Brian Flynn,746,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Erin Collier,212,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Gareth Rhodes,1504,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Pat Ryan,905,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Antonio Delgado,1137,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Jeff Beals,643,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,DEM,Dave Clegg,252,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Brian Flynn,327,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Erin Collier,115,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Gareth Rhodes,340,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Pat Ryan,192,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Antonio Delgado,292,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Jeff Beals,265,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,DEM,Dave Clegg,94,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Brian Flynn,504,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Erin Collier,67,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Gareth Rhodes,261,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Pat Ryan,296,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Antonio Delgado,447,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Jeff Beals,291,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,DEM,Dave Clegg,89,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Brian Flynn,1078,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Erin Collier,323,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Gareth Rhodes,229,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Pat Ryan,342,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Antonio Delgado,455,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Jeff Beals,310,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,DEM,Dave Clegg,131,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Brian Flynn,162,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Erin Collier,112,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Gareth Rhodes,123,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Pat Ryan,159,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Antonio Delgado,306,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Jeff Beals,88,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,DEM,Dave Clegg,53,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Brian Flynn,350,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Erin Collier,114,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Gareth Rhodes,707,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Pat Ryan,281,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Antonio Delgado,471,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Jeff Beals,196,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,DEM,Dave Clegg,443,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Brian Flynn,1092,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Erin Collier,459,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Gareth Rhodes,2063,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Pat Ryan,2654,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Antonio Delgado,3000,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Jeff Beals,2303,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,DEM,Dave Clegg,2818,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Brian Flynn,3,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Erin Collier,7,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Gareth Rhodes,8,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Pat Ryan,12,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Antonio Delgado,10,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Jeff Beals,5,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,DEM,Dave Clegg,4,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Brian Flynn,760,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Erin Collier,296,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Gareth Rhodes,1261,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Pat Ryan,1449,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Antonio Delgado,1850,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Jeff Beals,701,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,DEM,Dave Clegg,281,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Brian Flynn,52,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Erin Collier,33,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Gareth Rhodes,34,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Pat Ryan,47,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Antonio Delgado,77,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Jeff Beals,19,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,DEM,Dave Clegg,6,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Brian Flynn,171,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Erin Collier,170,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Gareth Rhodes,360,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Pat Ryan,604,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Antonio Delgado,531,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Jeff Beals,170,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,DEM,Dave Clegg,86,,,,,,,,,,,,,,,,,,,
COLUMBIA,U.S. House,19,WEP,Scattering,4,,,,,,,,,,,,,,,,,,,
DELAWARE,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
GREENE,U.S. House,19,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
OTSEGO,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
SCHOHARIE,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
SULLIVAN,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
ULSTER,U.S. House,19,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
BROOME,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
DUTCHESS,U.S. House,19,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
MONTGOMERY,U.S. House,19,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
RENSSELAER,U.S. House,19,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Tedra L. Cobb,1092,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Patrick F. Nelson,316,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Dylan Ratigan,411,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Katie Wilson,504,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Emily Martz,328,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,DEM,Don Boyajian,10,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Tedra L. Cobb,766,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Patrick F. Nelson,116,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Dylan Ratigan,233,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Katie Wilson,379,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Emily Martz,296,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,DEM,Don Boyajian,7,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Tedra L. Cobb,870,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Patrick F. Nelson,103,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Dylan Ratigan,215,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Katie Wilson,130,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Emily Martz,296,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,DEM,Don Boyajian,8,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Tedra L. Cobb,190,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Patrick F. Nelson,42,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Dylan Ratigan,63,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Katie Wilson,62,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Emily Martz,43,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,DEM,Don Boyajian,4,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Tedra L. Cobb,117,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Patrick F. Nelson,20,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Dylan Ratigan,15,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Katie Wilson,55,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Emily Martz,39,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,DEM,Don Boyajian,1,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Tedra L. Cobb,1137,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Patrick F. Nelson,133,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Dylan Ratigan,238,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Katie Wilson,194,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Emily Martz,172,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,DEM,Don Boyajian,11,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Tedra L. Cobb,209,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Patrick F. Nelson,40,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Dylan Ratigan,36,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Katie Wilson,58,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Emily Martz,70,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,DEM,Don Boyajian,1,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Tedra L. Cobb,3136,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Patrick F. Nelson,213,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Dylan Ratigan,331,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Katie Wilson,249,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Emily Martz,134,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,DEM,Don Boyajian,11,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Tedra L. Cobb,1139,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Patrick F. Nelson,240,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Dylan Ratigan,193,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Katie Wilson,266,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Emily Martz,414,,,,,,,,,,,,,,,,,,,
WARREN,U.S. House,21,DEM,Don Boyajian,27,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Tedra L. Cobb,938,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Patrick F. Nelson,167,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Dylan Ratigan,334,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Katie Wilson,185,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Emily Martz,124,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,DEM,Don Boyajian,14,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Tedra L. Cobb,33,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Patrick F. Nelson,24,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Dylan Ratigan,45,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Katie Wilson,22,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Emily Martz,28,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,DEM,Don Boyajian,2,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Tedra L. Cobb,1226,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Patrick F. Nelson,388,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Dylan Ratigan,199,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Katie Wilson,252,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Emily Martz,221,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,DEM,Don Boyajian,33,,,,,,,,,,,,,,,,,,,
CLINTON,U.S. House,21,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
ESSEX,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
FRANKLIN,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
FULTON,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
HAMILTON,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
JEFFERSON,U.S. House,21,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
LEWIS,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,U.S. House,21,WEP,Scattering,1,,,,,,,,,,,,,,,,,2*,,
WARREN,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
WASHINGTON,U.S. House,21,WEP,Scattering,1,,,,,,,,,,,,,,,,,,,
HERKIMER,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
SARATOGA,U.S. House,21,WEP,Scattering,0,,,,,,,,,,,,,,,,,,,
ALLEGANY,U.S. House,23,DEM,Tracy Mitrano,301,,,,,,,,,,,,,,,,,,,
ALLEGANY,U.S. House,23,DEM,Ian Golden,158,,,,,,,,,,,,,,,,,,,
ALLEGANY,U.S. House,23,DEM,Max Della Pia,143,,,,,,,,,,,,,,,,,,,
ALLEGANY,U.S. House,23,DEM,Edward A. Sundquist,49,,,,,,,,,,,,,,,,,,,
ALLEGANY,U.S. House,23,DEM,Linda Andrei,129,,,,,,,,,,,,,,,,,,,
CATTARAUGUS,U.S. House,23,DEM,Tracy Mitrano,263,,,,,,,,,,,,,,,,,,,
CATTARAUGUS,U.S. House,23,DEM,Ian Golden,150,,,,,,,,,,,,,,,,,,,
CATTARAUGUS,U.S. House,23,DEM,Max Della Pia,268,,,,,,,,,,,,,,,,,,,
CATTARAUGUS,U.S. House,23,DEM,Edward A. Sundquist,274,,,,,,,,,,,,,,,,,,,
CATTARAUGUS,U.S. House,23,DEM,Linda Andrei,355,,,,,,,,,,,,,,,,,,,
CHAUTAUQUA,U.S. House,23,DEM,Tracy Mitrano,1064,,,,,,,,,,,,,,,,,,,
CHAUTAUQUA,U.S. House,23,DEM,Ian Golden,280,,,,,,,,,,,,,,,,,,,
CHAUTAUQUA,U.S. House,23,DEM,Max Della Pia,731,,,,,,,,,,,,,,,,,,,
CHAUTAUQUA,U.S. House,23,DEM,Edward A. Sundquist,803,,,,,,,,,,,,,,,,,,,
CHAUTAUQUA,U.S. House,23,DEM,Linda Andrei,709,,,,,,,,,,,,,,,,,,,
CHEMUNG,U.S. House,23,DEM,Tracy Mitrano,573,,,,,,,,,,,,,,,,,,,
CHEMUNG,U.S. House,23,DEM,Ian Golden,452,,,,,,,,,,,,,,,,,,,
CHEMUNG,U.S. House,23,DEM,Max Della Pia,459,,,,,,,,,,,,,,,,,,,
CHEMUNG,U.S. House,23,DEM,Edward A. Sundquist,68,,,,,,,,,,,,,,,,,,,
CHEMUNG,U.S. House,23,DEM,Linda Andrei,510,,,,,,,,,,,,,,,,,,,
SCHUYLER,U.S. House,23,DEM,Tracy Mitrano,335,,,,,,,,,,,,,,,,,,,
SCHUYLER,U.S. House,23,DEM,Ian Golden,78,,,,,,,,,,,,,,,,,,,
SCHUYLER,U.S. House,23,DEM,Max Della Pia,204,,,,,,,,,,,,,,,,,,,
SCHUYLER,U.S. House,23,DEM,Edward A. Sundquist,13,,,,,,,,,,,,,,,,,,,
SCHUYLER,U.S. House,23,DEM,Linda Andrei,103,,,,,,,,,,,,,,,,,,,
SENECA,U.S. House,23,DEM,Tracy Mitrano,374,,,,,,,,,,,,,,,,,,,
SENECA,U.S. House,23,DEM,Ian Golden,76,,,,,,,,,,,,,,,,,,,
SENECA,U.S. House,23,DEM,Max Della Pia,341,,,,,,,,,,,,,,,,,,,
SENECA,U.S. House,23,DEM,Edward A. Sundquist,29,,,,,,,,,,,,,,,,,,,
SENECA,U.S. House,23,DEM,Linda Andrei,177,,,,,,,,,,,,,,,,,,,
STEUBEN,U.S. House,23,DEM,Tracy Mitrano,639,,,,,,,,,,,,,,,,,,,
STEUBEN,U.S. House,23,DEM,Ian Golden,335,,,,,,,,,,,,,,,,,,,
STEUBEN,U.S. House,23,DEM,Max Della Pia,662,,,,,,,,,,,,,,,,,,,
STEUBEN,U.S. House,23,DEM,Edward A. Sundquist,76,,,,,,,,,,,,,,,,,,,
STEUBEN,U.S. House,23,DEM,Linda Andrei,402,,,,,,,,,,,,,,,,,,,
TOMPKINS,U.S. House,23,DEM,Tracy Mitrano,3162,,,,,,,,,,,,,,,,,,,
TOMPKINS,U.S. House,23,DEM,Ian Golden,1270,,,,,,,,,,,,,,,,,,,
TOMPKINS,U.S. House,23,DEM,Max Della Pia,3660,,,,,,,,,,,,,,,,,,,
TOMPKINS,U.S. House,23,DEM,Edward A. Sundquist,178,,,,,,,,,,,,,,,,,,,
TOMPKINS,U.S. House,23,DEM,Linda Andrei,827,,,,,,,,,,,,,,,,,,,
YATES,U.S. House,23,DEM,Tracy Mitrano,402,,,,,,,,,,,,,,,,,,,
YATES,U.S. House,23,DEM,Ian Golden,58,,,,,,,,,,,,,,,,,,,
YATES,U.S. House,23,DEM,Max Della Pia,80,,,,,,,,,,,,,,,,,,,
YATES,U.S. House,23,DEM,Edward A. Sundquist,15,,,,,,,,,,,,,,,,,,,
YATES,U.S. House,23,DEM,Linda Andrei,75,,,,,,,,,,,,,,,,,,,
ONTARIO,U.S. House,23,DEM,Tracy Mitrano,440,,,,,,,,,,,,,,,,,,,
ONTARIO,U.S. House,23,DEM,Ian Golden,190,,,,,,,,,,,,,,,,,,,
ONTARIO,U.S. House,23,DEM,Max Della Pia,299,,,,,,,,,,,,,,,,,,,
ONTARIO,U.S. House,23,DEM,Edward A. Sundquist,22,,,,,,,,,,,,,,,,,,,
ONTARIO,U.S. House,23,DEM,Linda Andrei,186,,,,,,,,,,,,,,,,,,,
TIOGA,U.S. House,23,DEM,Tracy Mitrano,171,,,,,,,,,,,,,,,,,,,
TIOGA,U.S. House,23,DEM,Ian Golden,95,,,,,,,,,,,,,,,,,,,
