county,precinct,office,district,candidate,party,votes,,,,,,,
Monroe,Greece 105,Ballots Cast,,,,458,,,,,,,
Monroe,Greece 106,Ballots Cast,,,,334,,,,,,,
Monroe,Greece 107,Ballots Cast,,,,296,,,,,,,
Monroe,Greece 108,Ballots Cast,,,,276,,,,,,,
Monroe,Greece 109,Ballots Cast,,,,513,,,,,,,
Monroe,Hamlin 1,Ballots Cast,,,,348,,,,,,,
Monroe,Hamlin 2,Ballots Cast,,,,396,,,,,,,
Monroe,Hamlin 3,Ballots Cast,,,,389,,,,,,,
Monroe,Hamlin 4,Ballots Cast,,,,272,,,,,,,
Monroe,Hamlin 5,Ballots Cast,,,,338,,,,,,,
Monroe,Hamlin 6,Ballots Cast,,,,286,,,,,,,
Monroe,Hamlin 7,Ballots Cast,,,,478,,,,,,,
Monroe,Hamlin 8,Ballots Cast,,,,237,,,,,,,
Monroe,Hamlin 9,Ballots Cast,,,,216,,,,,,,
Monroe,Hamlin 10,Ballots Cast,,,,413,,,,,,,
Monroe,Henrietta 1,Ballots Cast,,,,459,,,,,,,
Monroe,Henrietta 2,Ballots Cast,,,,350,,,,,,,
Monroe,Henrietta 3,Ballots Cast,,,,197,,,,,,,
Monroe,Henrietta 4,Ballots Cast,,,,428,,,,,,,
Monroe,Henrietta 5,Ballots Cast,,,,356,,,,,,,
Monroe,Henrietta 6,Ballots Cast,,,,334,,,,,,,
Monroe,Henrietta 7,Ballots Cast,,,,314,,,,,,,
Monroe,Henrietta 8,Ballots Cast,,,,350,,,,,,,
Monroe,Henrietta 9,Ballots Cast,,,,280,,,,,,,
Monroe,Henrietta 10,Ballots Cast,,,,363,,,,,,,
Monroe,Henrietta 11,Ballots Cast,,,,317,,,,,,,
Monroe,Henrietta 12,Ballots Cast,,,,332,,,,,,,
Monroe,Henrietta 13,Ballots Cast,,,,635,,,,,,,
Monroe,Henrietta 14,Ballots Cast,,,,315,,,,,,,
Monroe,Henrietta 15,Ballots Cast,,,,487,,,,,,,
Monroe,Henrietta 16,Ballots Cast,,,,248,,,,,,,
Monroe,Henrietta 17,Ballots Cast,,,,409,,,,,,,
Monroe,Henrietta 18,Ballots Cast,,,,456,,,,,,,
Monroe,Henrietta 19,Ballots Cast,,,,326,,,,,,,
Monroe,Henrietta 20,Ballots Cast,,,,595,,,,,,,
Monroe,Henrietta 21,Ballots Cast,,,,275,,,,,,,
Monroe,Henrietta 22,Ballots Cast,,,,553,,,,,,,
Monroe,Henrietta 23,Ballots Cast,,,,354,,,,,,,
Monroe,Henrietta 24,Ballots Cast,,,,422,,,,,,,
Monroe,Henrietta 25,Ballots Cast,,,,336,,,,,,,
Monroe,Henrietta 26,Ballots Cast,,,,725,,,,,,,
Monroe,Henrietta 27,Ballots Cast,,,,595,,,,,,,
Monroe,Henrietta 28,Ballots Cast,,,,459,,,,,,,
Monroe,Henrietta 29,Ballots Cast,,,,"1,213",,,,,,,
Monroe,Henrietta 30,Ballots Cast,,,,837,,,,,,,
Monroe,Henrietta 31,Ballots Cast,,,,230,,,,,,,
Monroe,Henrietta 32,Ballots Cast,,,,572,,,,,,,
Monroe,Henrietta 33,Ballots Cast,,,,262,,,,,,,
Monroe,Henrietta 34,Ballots Cast,,,,234,,,,,,,
Monroe,Henrietta 35,Ballots Cast,,,,507,,,,,,,
Monroe,Irondequoit 1,Ballots Cast,,,,529,,,,,,,
Monroe,Irondequoit 2,Ballots Cast,,,,271,,,,,,,
Monroe,Irondequoit 3,Ballots Cast,,,,410,,,,,,,
Monroe,Irondequoit 4,Ballots Cast,,,,180,,,,,,,
Monroe,Irondequoit 5,Ballots Cast,,,,338,,,,,,,
Monroe,Irondequoit 6,Ballots Cast,,,,565,,,,,,,
Monroe,Irondequoit 7,Ballots Cast,,,,480,,,,,,,
Monroe,Irondequoit 8,Ballots Cast,,,,377,,,,,,,
Monroe,Irondequoit 9,Ballots Cast,,,,339,,,,,,,
Monroe,Irondequoit 10,Ballots Cast,,,,349,,,,,,,
Monroe,Irondequoit 11,Ballots Cast,,,,203,,,,,,,
Monroe,Irondequoit 12,Ballots Cast,,,,318,,,,,,,
Monroe,Irondequoit 13,Ballots Cast,,,,470,,,,,,,
Monroe,Irondequoit 14,Ballots Cast,,,,479,,,,,,,
Monroe,Irondequoit 15,Ballots Cast,,,,445,,,,,,,
Monroe,Irondequoit 16,Ballots Cast,,,,603,,,,,,,
Monroe,Irondequoit 17,Ballots Cast,,,,239,,,,,,,
Monroe,Irondequoit 18,Ballots Cast,,,,368,,,,,,,
Monroe,Irondequoit 19,Ballots Cast,,,,452,,,,,,,
Monroe,Irondequoit 20,Ballots Cast,,,,333,,,,,,,
Monroe,Irondequoit 21,Ballots Cast,,,,369,,,,,,,
Monroe,Irondequoit 22,Ballots Cast,,,,391,,,,,,,
Monroe,Irondequoit 23,Ballots Cast,,,,338,,,,,,,
Monroe,Irondequoit 24,Ballots Cast,,,,323,,,,,,,
Monroe,Irondequoit 25,Ballots Cast,,,,348,,,,,,,
Monroe,Irondequoit 26,Ballots Cast,,,,250,,,,,,,
Monroe,Irondequoit 27,Ballots Cast,,,,240,,,,,,,
Monroe,Irondequoit 28,Ballots Cast,,,,295,,,,,,,
Monroe,Irondequoit 29,Ballots Cast,,,,296,,,,,,,
Monroe,Irondequoit 30,Ballots Cast,,,,325,,,,,,,
Monroe,Irondequoit 31,Ballots Cast,,,,473,,,,,,,
Monroe,Irondequoit 32,Ballots Cast,,,,374,,,,,,,
Monroe,Irondequoit 33,Ballots Cast,,,,259,,,,,,,
Monroe,Irondequoit 34,Ballots Cast,,,,521,,,,,,,
Monroe,Irondequoit 35,Ballots Cast,,,,266,,,,,,,
Monroe,Irondequoit 36,Ballots Cast,,,,218,,,,,,,
Monroe,Irondequoit 37,Ballots Cast,,,,263,,,,,,,
Monroe,Irondequoit 38,Ballots Cast,,,,204,,,,,,,
Monroe,Irondequoit 39,Ballots Cast,,,,89,,,,,,,
Monroe,Irondequoit 40,Ballots Cast,,,,198,,,,,,,
Monroe,Irondequoit 41,Ballots Cast,,,,341,,,,,,,
Monroe,Irondequoit 42,Ballots Cast,,,,370,,,,,,,
Monroe,Irondequoit 43,Ballots Cast,,,,306,,,,,,,
Monroe,Irondequoit 44,Ballots Cast,,,,601,,,,,,,
Monroe,Irondequoit 45,Ballots Cast,,,,252,,,,,,,
