county,office,district,party,candidate,votes,
Queens,President,,CON,George W. Bush,8524,
Richmond,President,,CON,George W. Bush,4716,
Albany,President,,LIB,Al Gore,1452,
Allegany,President,,LIB,Al Gore,143,
Broome,President,,LIB,Al Gore,668,
Cattaraugus,President,,LIB,Al Gore,277,
Cayuga,President,,LIB,Al Gore,409,
Chautauqua,President,,LIB,Al Gore,627,
Chemung,President,,LIB,Al Gore,328,
Chenango,President,,LIB,Al Gore,227,
Clinton,President,,LIB,Al Gore,456,
Columbia,President,,LIB,Al Gore,373,
Cortland,President,,LIB,Al Gore,239,
Delaware,President,,LIB,Al Gore,226,
Dutchess,President,,LIB,Al Gore,1077,
Erie,President,,LIB,Al Gore,5240,
Essex,President,,LIB,Al Gore,275,
Franklin,President,,LIB,Al Gore,229,
Fulton,President,,LIB,Al Gore,190,
Genesee,President,,LIB,Al Gore,306,
Greene,President,,LIB,Al Gore,204,
Hamilton,President,,LIB,Al Gore,32,
Herkimer,President,,LIB,Al Gore,279,
Jefferson,President,,LIB,Al Gore,464,
Lewis,President,,LIB,Al Gore,125,
Livingston,President,,LIB,Al Gore,263,
Madison,President,,LIB,Al Gore,322,
Monroe,President,,LIB,Al Gore,2884,
Montgomery,President,,LIB,Al Gore,251,
Nassau,President,,LIB,Al Gore,5598,
Niagara,President,,LIB,Al Gore,1054,
Oneida,President,,LIB,Al Gore,968,
Onondaga,President,,LIB,Al Gore,2100,
Ontario,President,,LIB,Al Gore,434,
Orange,President,,LIB,Al Gore,992,
Orleans,President,,LIB,Al Gore,139,
Oswego,President,,LIB,Al Gore,584,
Otsego,President,,LIB,Al Gore,305,
Putnam,President,,LIB,Al Gore,373,
Rensselaer,President,,LIB,Al Gore,1028,
Rockland,President,,LIB,Al Gore,1501,
St. Lawrence,President,,LIB,Al Gore,445,
Saratoga,President,,LIB,Al Gore,1094,
Schenectady,President,,LIB,Al Gore,861,
Schoharie,President,,LIB,Al Gore,138,
Schuyler,President,,LIB,Al Gore,96,
Seneca,President,,LIB,Al Gore,190,
Steuben,President,,LIB,Al Gore,404,
Suffolk,President,,LIB,Al Gore,5386,
Sullivan,President,,LIB,Al Gore,282,
Tioga,President,,LIB,Al Gore,184,
Tompkins,President,,LIB,Al Gore,455,
Ulster,President,,LIB,Al Gore,985,
Warren,President,,LIB,Al Gore,353,
Washington,President,,LIB,Al Gore,254,
Wayne,President,,LIB,Al Gore,399,
Westchester,President,,LIB,Al Gore,3400,
Wyoming,President,,LIB,Al Gore,134,
Yates,President,,LIB,Al Gore,91,
Bronx,President,,LIB,Al Gore,4294,
Kings,President,,LIB,Al Gore,7724,
New York,President,,LIB,Al Gore,7712,
Queens,President,,LIB,Al Gore,8311,
Richmond,President,,LIB,Al Gore,1253,
Albany,President,,RTL,Pat Buchanan,454,
Allegany,President,,RTL,Pat Buchanan,107,
Broome,President,,RTL,Pat Buchanan,301,
Cattaraugus,President,,RTL,Pat Buchanan,203,
Cayuga,President,,RTL,Pat Buchanan,252,
Chautauqua,President,,RTL,Pat Buchanan,261,
Chemung,President,,RTL,Pat Buchanan,127,
Chenango,President,,RTL,Pat Buchanan,92,
Clinton,President,,RTL,Pat Buchanan,221,
Columbia,President,,RTL,Pat Buchanan,73,
Cortland,President,,RTL,Pat Buchanan,92,
Delaware,President,,RTL,Pat Buchanan,91,
Dutchess,President,,RTL,Pat Buchanan,475,
Erie,President,,RTL,Pat Buchanan,2789,
Essex,President,,RTL,Pat Buchanan,140,
Franklin,President,,RTL,Pat Buchanan,134,
Fulton,President,,RTL,Pat Buchanan,78,
Genesee,President,,RTL,Pat Buchanan,201,
Greene,President,,RTL,Pat Buchanan,108,
Hamilton,President,,RTL,Pat Buchanan,24,
Herkimer,President,,RTL,Pat Buchanan,148,
Jefferson,President,,RTL,Pat Buchanan,131,
Lewis,President,,RTL,Pat Buchanan,66,
Livingston,President,,RTL,Pat Buchanan,146,
Madison,President,,RTL,Pat Buchanan,173,
Monroe,President,,RTL,Pat Buchanan,1308,
Montgomery,President,,RTL,Pat Buchanan,105,
Nassau,President,,RTL,Pat Buchanan,2302,
Niagara,President,,RTL,Pat Buchanan,615,
Oneida,President,,RTL,Pat Buchanan,617,
Onondaga,President,,RTL,Pat Buchanan,929,
Ontario,President,,RTL,Pat Buchanan,184,
Orange,President,,RTL,Pat Buchanan,510,
Orleans,President,,RTL,Pat Buchanan,85,
Oswego,President,,RTL,Pat Buchanan,293,
Otsego,President,,RTL,Pat Buchanan,79,
Putnam,President,,RTL,Pat Buchanan,179,
Rensselaer,President,,RTL,Pat Buchanan,258,
Rockland,President,,RTL,Pat Buchanan,378,
St. Lawrence,President,,RTL,Pat Buchanan,168,
Saratoga,President,,RTL,Pat Buchanan,295,
Schenectady,President,,RTL,Pat Buchanan,238,
Schoharie,President,,RTL,Pat Buchanan,46,
Schuyler,President,,RTL,Pat Buchanan,39,
Seneca,President,,RTL,Pat Buchanan,81,
Steuben,President,,RTL,Pat Buchanan,202,
Suffolk,President,,RTL,Pat Buchanan,2629,
Sullivan,President,,RTL,Pat Buchanan,120,
Tioga,President,,RTL,Pat Buchanan,74,
Tompkins,President,,RTL,Pat Buchanan,75,
Ulster,President,,RTL,Pat Buchanan,278,
Warren,President,,RTL,Pat Buchanan,83,
Washington,President,,RTL,Pat Buchanan,96,
Wayne,President,,RTL,Pat Buchanan,194,
Westchester,President,,RTL,Pat Buchanan,1109,
Wyoming,President,,RTL,Pat Buchanan,141,
Yates,President,,RTL,Pat Buchanan,53,
Bronx,President,,RTL,Pat Buchanan,694,
Kings,President,,RTL,Pat Buchanan,1041,
New York,President,,RTL,Pat Buchanan,746,
Queens,President,,RTL,Pat Buchanan,1544,
Richmond,President,,RTL,Pat Buchanan,500,
Albany,President,,GRE,Ralph Nader,7182,
Allegany,President,,GRE,Ralph Nader,657,
Broome,President,,GRE,Ralph Nader,3826,
Cattaraugus,President,,GRE,Ralph Nader,1094,
Cayuga,President,,GRE,Ralph Nader,1448,
Chautauqua,President,,GRE,Ralph Nader,1888,
Chemung,President,,GRE,Ralph Nader,1195,
Chenango,President,,GRE,Ralph Nader,869,
Clinton,President,,GRE,Ralph Nader,1205,
Columbia,President,,GRE,Ralph Nader,1707,
Cortland,President,,GRE,Ralph Nader,943,
Delaware,President,,GRE,Ralph Nader,833,
Dutchess,President,,GRE,Ralph Nader,5553,
Erie,President,,GRE,Ralph Nader,18166,
Essex,President,,GRE,Ralph Nader,848,
Franklin,President,,GRE,Ralph Nader,658,
Fulton,President,,GRE,Ralph Nader,668,
Genesee,President,,GRE,Ralph Nader,924,
Greene,President,,GRE,Ralph Nader,924,
Hamilton,President,,GRE,Ralph Nader,133,
Herkimer,President,,GRE,Ralph Nader,969,
Jefferson,President,,GRE,Ralph Nader,1029,
Lewis,President,,GRE,Ralph Nader,324,
Livingston,President,,GRE,Ralph Nader,1053,
Madison,President,,GRE,Ralph Nader,1092,
Monroe,President,,GRE,Ralph Nader,11520,
Montgomery,President,,GRE,Ralph Nader,487,
Nassau,President,,GRE,Ralph Nader,14780,
Niagara,President,,GRE,Ralph Nader,3257,
Oneida,President,,GRE,Ralph Nader,3160,
Onondaga,President,,GRE,Ralph Nader,7670,
Ontario,President,,GRE,Ralph Nader,1793,
Orange,President,,GRE,Ralph Nader,4192,
Orleans,President,,GRE,Ralph Nader,474,
Oswego,President,,GRE,Ralph Nader,1699,
Otsego,President,,GRE,Ralph Nader,1419,
Putnam,President,,GRE,Ralph Nader,1730,
Rensselaer,President,,GRE,Ralph Nader,3291,
Rockland,President,,GRE,Ralph Nader,3502,
St. Lawrence,President,,GRE,Ralph Nader,1488,
Saratoga,President,,GRE,Ralph Nader,4149,
Schenectady,President,,GRE,Ralph Nader,2750,
Schoharie,President,,GRE,Ralph Nader,551,
Schuyler,President,,GRE,Ralph Nader,369,
Seneca,President,,GRE,Ralph Nader,560,
Steuben,President,,GRE,Ralph Nader,1248,
Suffolk,President,,GRE,Ralph Nader,18130,
Sullivan,President,,GRE,Ralph Nader,1156,
Tioga,President,,GRE,Ralph Nader,846,
Tompkins,President,,GRE,Ralph Nader,4548,
Ulster,President,,GRE,Ralph Nader,5732,
Warren,President,,GRE,Ralph Nader,1177,
Washington,President,,GRE,Ralph Nader,997,
Wayne,President,,GRE,Ralph Nader,1202,
Westchester,President,,GRE,Ralph Nader,11596,
Wyoming,President,,GRE,Ralph Nader,548,
Yates,President,,GRE,Ralph Nader,386,
Bronx,President,,GRE,Ralph Nader,4265,
Kings,President,,GRE,Ralph Nader,19977,
New York,President,,GRE,Ralph Nader,30923,
Queens,President,,GRE,Ralph Nader,13720,
Richmond,President,,GRE,Ralph Nader,3550,
Albany,President,,WOR,Al Gore,1840,
Allegany,President,,WOR,Al Gore,84,
Broome,President,,WOR,Al Gore,1594,
Cattaraugus,President,,WOR,Al Gore,52,
Cayuga,President,,WOR,Al Gore,293,
Chautauqua,President,,WOR,Al Gore,344,
Chemung,President,,WOR,Al Gore,218,
Chenango,President,,WOR,Al Gore,129,
Clinton,President,,WOR,Al Gore,215,
Columbia,President,,WOR,Al Gore,258,
Cortland,President,,WOR,Al Gore,215,
Delaware,President,,WOR,Al Gore,152,
Dutchess,President,,WOR,Al Gore,814,
Erie,President,,WOR,Al Gore,6961,
Essex,President,,WOR,Al Gore,106,
Franklin,President,,WOR,Al Gore,113,
Fulton,President,,WOR,Al Gore,96,
Genesee,President,,WOR,Al Gore,238,
Greene,President,,WOR,Al Gore,165,
Hamilton,President,,WOR,Al Gore,16,
Herkimer,President,,WOR,Al Gore,119,
Jefferson,President,,WOR,Al Gore,218,
Lewis,President,,WOR,Al Gore,64,
Livingston,President,,WOR,Al Gore,159,
Madison,President,,WOR,Al Gore,251,
Monroe,President,,WOR,Al Gore,1545,
Montgomery,President,,WOR,Al Gore,110,
Nassau,President,,WOR,Al Gore,4962,
Niagara,President,,WOR,Al Gore,1594,
Oneida,President,,WOR,Al Gore,712,
Onondaga,President,,WOR,Al Gore,3030,
Ontario,President,,WOR,Al Gore,180,
Orange,President,,WOR,Al Gore,611,
Orleans,President,,WOR,Al Gore,99,
Oswego,President,,WOR,Al Gore,404,
Otsego,President,,WOR,Al Gore,179,
Putnam,President,,WOR,Al Gore,280,
Rensselaer,President,,WOR,Al Gore,602,
Rockland,President,,WOR,Al Gore,1433,
St. Lawrence,President,,WOR,Al Gore,277,
Saratoga,President,,WOR,Al Gore,669,
Schenectady,President,,WOR,Al Gore,423,
Schoharie,President,,WOR,Al Gore,74,
Schuyler,President,,WOR,Al Gore,73,
Seneca,President,,WOR,Al Gore,73,
Steuben,President,,WOR,Al Gore,182,
Suffolk,President,,WOR,Al Gore,5018,
Sullivan,President,,WOR,Al Gore,171,
Tioga,President,,WOR,Al Gore,148,
Tompkins,President,,WOR,Al Gore,917,
Ulster,President,,WOR,Al Gore,856,
Warren,President,,WOR,Al Gore,184,
Washington,President,,WOR,Al Gore,149,
Wayne,President,,WOR,Al Gore,157,
Westchester,President,,WOR,Al Gore,2839,
Wyoming,President,,WOR,Al Gore,39,
Yates,President,,WOR,Al Gore,48,
Bronx,President,,WOR,Al Gore,5185,
Kings,President,,WOR,Al Gore,17342,
New York,President,,WOR,Al Gore,13874,
Queens,President,,WOR,Al Gore,7589,
Richmond,President,,WOR,Al Gore,1653,
Albany,President,,REF,Pat Buchanan,105,
Allegany,President,,REF,Pat Buchanan,40,
Broome,President,,REF,Pat Buchanan,87,
Cattaraugus,President,,REF,Pat Buchanan,44,
Cayuga,President,,REF,Pat Buchanan,57,
Chautauqua,President,,REF,Pat Buchanan,83,
Chemung,President,,REF,Pat Buchanan,29,
Chenango,President,,REF,Pat Buchanan,24,
Clinton,President,,REF,Pat Buchanan,54,
Columbia,President,,REF,Pat Buchanan,5,
Cortland,President,,REF,Pat Buchanan,29,
Delaware,President,,REF,Pat Buchanan,26,
Dutchess,President,,REF,Pat Buchanan,138,
Erie,President,,REF,Pat Buchanan,569,
Essex,President,,REF,Pat Buchanan,57,
Franklin,President,,REF,Pat Buchanan,21,
Fulton,President,,REF,Pat Buchanan,29,
Genesee,President,,REF,Pat Buchanan,41,
Greene,President,,REF,Pat Buchanan,60,
Hamilton,President,,REF,Pat Buchanan,4,
Herkimer,President,,REF,Pat Buchanan,46,
Jefferson,President,,REF,Pat Buchanan,32,
Lewis,President,,REF,Pat Buchanan,14,
Livingston,President,,REF,Pat Buchanan,6,
Madison,President,,REF,Pat Buchanan,41,
Monroe,President,,REF,Pat Buchanan,420,
Montgomery,President,,REF,Pat Buchanan,34,
Nassau,President,,REF,Pat Buchanan,507,
Niagara,President,,REF,Pat Buchanan,155,
Oneida,President,,REF,Pat Buchanan,119,
Onondaga,President,,REF,Pat Buchanan,250,
Ontario,President,,REF,Pat Buchanan,66,
Orange,President,,REF,Pat Buchanan,137,
Orleans,President,,REF,Pat Buchanan,20,
Oswego,President,,REF,Pat Buchanan,81,
Otsego,President,,REF,Pat Buchanan,23,
Putnam,President,,REF,Pat Buchanan,85,
Rensselaer,President,,REF,Pat Buchanan,79,
Rockland,President,,REF,Pat Buchanan,94,
St. Lawrence,President,,REF,Pat Buchanan,41,
Saratoga,President,,REF,Pat Buchanan,81,
Schenectady,President,,REF,Pat Buchanan,70,
Schoharie,President,,REF,Pat Buchanan,20,
Schuyler,President,,REF,Pat Buchanan,7,
Seneca,President,,REF,Pat Buchanan,33,
Steuben,President,,REF,Pat Buchanan,47,
Suffolk,President,,REF,Pat Buchanan,526,
Sullivan,President,,REF,Pat Buchanan,39,
Tioga,President,,REF,Pat Buchanan,23,
Tompkins,President,,REF,Pat Buchanan,38,
Ulster,President,,REF,Pat Buchanan,84,
Warren,President,,REF,Pat Buchanan,23,
Washington,President,,REF,Pat Buchanan,32,
Wayne,President,,REF,Pat Buchanan,46,
Westchester,President,,REF,Pat Buchanan,275,
Wyoming,President,,REF,Pat Buchanan,18,
Yates,President,,REF,Pat Buchanan,19,
Bronx,President,,REF,Pat Buchanan,227,
Kings,President,,REF,Pat Buchanan,416,
New York,President,,REF,Pat Buchanan,250,
Queens,President,,REF,Pat Buchanan,345,
Richmond,President,,REF,Pat Buchanan,53,
Albany,President,,CON,Howard Phillips,36,
Allegany,President,,CON,Howard Phillips,9,
Broome,President,,CON,Howard Phillips,30,
Cattaraugus,President,,CON,Howard Phillips,10,
Cayuga,President,,CON,Howard Phillips,19,
Chautauqua,President,,CON,Howard Phillips,24,
Chemung,President,,CON,Howard Phillips,5,
Chenango,President,,CON,Howard Phillips,5,
Clinton,President,,CON,Howard Phillips,8,
Columbia,President,,CON,Howard Phillips,6,
Cortland,President,,CON,Howard Phillips,6,
Delaware,President,,CON,Howard Phillips,3,
Dutchess,President,,CON,Howard Phillips,25,
Erie,President,,CON,Howard Phillips,130,
Essex,President,,CON,Howard Phillips,3,
Franklin,President,,CON,Howard Phillips,7,
Fulton,President,,CON,Howard Phillips,16,
Genesee,President,,CON,Howard Phillips,14,
Greene,President,,CON,Howard Phillips,11,
Hamilton,President,,CON,Howard Phillips,1,
Herkimer,President,,CON,Howard Phillips,17,
Jefferson,President,,CON,Howard Phillips,10,
Lewis,President,,CON,Howard Phillips,3,
Livingston,President,,CON,Howard Phillips,18,
Madison,President,,CON,Howard Phillips,14,
Monroe,President,,CON,Howard Phillips,72,
Montgomery,President,,CON,Howard Phillips,8,
Nassau,President,,CON,Howard Phillips,59,
Niagara,President,,CON,Howard Phillips,34,
Oneida,President,,CON,Howard Phillips,42,
Onondaga,President,,CON,Howard Phillips,51,
Ontario,President,,CON,Howard Phillips,17,
Orange,President,,CON,Howard Phillips,33,
Orleans,President,,CON,Howard Phillips,8,
Oswego,President,,CON,Howard Phillips,26,
Otsego,President,,CON,Howard Phillips,2,
Putnam,President,,CON,Howard Phillips,5,
Rensselaer,President,,CON,Howard Phillips,18,
Rockland,President,,CON,Howard Phillips,33,
St. Lawrence,President,,CON,Howard Phillips,22,
Saratoga,President,,CON,Howard Phillips,24,
Schenectady,President,,CON,Howard Phillips,21,
Schoharie,President,,CON,Howard Phillips,6,
Schuyler,President,,CON,Howard Phillips,2,
Seneca,President,,CON,Howard Phillips,5,
Steuben,President,,CON,Howard Phillips,7,
Suffolk,President,,CON,Howard Phillips,73,
Sullivan,President,,CON,Howard Phillips,5,
Tioga,President,,CON,Howard Phillips,5,
Tompkins,President,,CON,Howard Phillips,14,
Ulster,President,,CON,Howard Phillips,28,
Warren,President,,CON,Howard Phillips,7,
Washington,President,,CON,Howard Phillips,9,
Wayne,President,,CON,Howard Phillips,4,
Westchester,President,,CON,Howard Phillips,51,
Wyoming,President,,CON,Howard Phillips,3,
Yates,President,,CON,Howard Phillips,3,
Bronx,President,,CON,Howard Phillips,54,
Kings,President,,CON,Howard Phillips,139,
New York,President,,CON,Howard Phillips,74,
Queens,President,,CON,Howard Phillips,87,
Richmond,President,,CON,Howard Phillips,17,
Albany,President,,LBT,Harry Browne,221,
Allegany,President,,LBT,Harry Browne,20,
Broome,President,,LBT,Harry Browne,129,
Cattaraugus,President,,LBT,Harry Browne,6,
